"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P21","No sabe",0.04,0.061,0.009,0.061,0.121,0.224
"P22","La votaría",0.021,0.262,0.159,0.058,0.065,0.083
"P22","Puede que la vote",0.03,0.364,0.235,0.265,0.215,0.189
"P22","Nunca la votaría",0.891,0.278,0.512,0.633,0.562,0.417
"P22","No sabe",0.058,0.096,0.094,0.044,0.158,0.311
"P23","Lo votaría",0.364,0.041,0.023,0.038,0.043,0.057
"P23","Puede que lo vote",0.278,0.081,0.066,0.245,0.127,0.088
"P23","Nunca lo votaría",0.292,0.831,0.748,0.48,0.642,0.529
"P23","No sabe",0.066,0.047,0.163,0.237,0.188,0.326
"P24","Lo votaría",0.057,0.081,0.044,0.007,0.067,0.025
"P24","Puede que lo vote",0.086,0.291,0.096,0.155,0.245,0.134
"P24","Nunca lo votaría",0.751,0.541,0.697,0.561,0.469,0.429
"P24","No sabe",0.106,0.087,0.163,0.277,0.219,0.412
"P25","Mauricio Macri por Juntos por el Cambio",0.016,0.324,0.054,0.073,0.083,0.101
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.005,0.131,0.076,0.091,0.188,0.12
"P25","Patricia Bullrich por Juntos por el Cambio",0.004,0.433,0.064,0.072,0.033,0.034
"P25","Facundo Manes por Juntos por el Cambio",0.006,0.028,0.025,0.084,0.195,0.076
"P25","Alberto Fernández por el Frente de Todos",0.119,0.008,0.006,0.102,0.055,0.104
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.796,0.002,0.007,0.061,0.07,0.068
"P25","Javier Milei por los liberales libertarios",0,0.019,0.745,0.042,0.028,0.019
"P25","Nicolás del Caño por la izquierda",0.005,0.001,0.006,0.364,0.005,0.004
"P25","Otros candidatos",0.02,0.014,0.007,0.03,0.247,0.093
"P25","Aún no lo tengo decidido",0.029,0.04,0.01,0.081,0.096,0.381
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.199,0.103,0.168,0.177,0.145
"P26","Patricia Bullrich por Juntos por el Cambio",0.012,0.598,0.075,0.074,0.08,0.099
"P26","Facundo Manes por Juntos por el Cambio",0.017,0.124,0.03,0.03,0.18,0.075
"P26","Wado de Pedro por el Frente de Todos",0.402,0.007,0.009,0.054,0.093,0.065
"P26","Sergio Massa por el Frente de Todos",0.384,0.009,0.009,0.11,0.145,0.108
"P26","Javier Milei por los liberales libertarios",0.024,0.027,0.663,0.065,0.065,0.023
"P26","Nicolás del Caño por la izquierda",0.013,0.004,0.09,0.278,0.002,0.006
"P26","Otros candidatos",0.04,0.007,0.008,0.15,0.134,0.057
"P26","Aún no lo tengo decidido",0.091,0.025,0.013,0.071,0.124,0.422
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.922,0.015,0.007,0.054,0.093,0.132
"P27","Mauricio Macri por Juntos por el Cambio",0.018,0.699,0.089,0.08,0.139,0.135
"P27","Javier Milei por los liberales libertarios",0.002,0.109,0.849,0.1,0.051,0.043
"P27","Nicolás del Caño por la izquierda",0.008,0.004,0.013,0.547,0.01,0.044
"P27","Otro candidato",0.026,0.1,0.018,0.093,0.521,0.094
"P27","Aún no lo tengo decidido",0.024,0.073,0.024,0.126,0.186,0.552
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.095,0.535,0.082,0.112,0.26,0.127
"P29","Wado de Pedro por el Frente de Todos",0.67,0.074,0.011,0.079,0.112,0.06
"P29","Javier Milei por los liberales libertarios",0.018,0.173,0.875,0.142,0.02,0.05
"P29","Nicolás del Caño por la izquierda",0.023,0.003,0.003,0.529,0.015,0.014
"P29","Otro candidato",0.092,0.129,0.007,0.089,0.433,0.101
"P29","Aún no lo tengo decidido",0.102,0.086,0.022,0.049,0.16,0.648
"P31","Sergio Massa por el Frente de Todos",0.669,0.04,0.024,0.123,0.24,0.106
"P31","Patricia Bullrich por Juntos por el Cambio",0.046,0.86,0.046,0.101,0.07,0.085
"P31","Javier Milei por los liberales libertarios",0.005,0.041,0.887,0.084,0.028,0.05
"P31","Nicolás del Caño por la izquierda",0.031,0.005,0.006,0.569,0.008,0.028
"P31","Otro candidato",0.143,0.028,0.012,0.095,0.497,0.086
"P31","Aún no lo tengo decidido",0.106,0.026,0.025,0.028,0.157,0.645
"P33","Sergio Massa por el Frente de Todos",0.62,0.072,0.025,0.202,0.162,0.1
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.087,0.591,0.082,0.065,0.268,0.123
"P33","Javier Milei por los liberales libertarios",0.011,0.164,0.868,0.1,0.019,0.039
"P33","Nicolás del Caño por la izquierda",0.037,0.006,0.002,0.593,0.022,0.025
"P33","Otro candidato",0.151,0.098,0.005,0.023,0.433,0.118
"P33","Aún no lo tengo decidido",0.094,0.069,0.018,0.017,0.096,0.595
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.893,0.059,0.007,0.054,0.115,0.112
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.047,0.596,0.09,0.101,0.298,0.162
"P35","Javier Milei por los liberales libertarios",0.005,0.19,0.875,0.058,0.014,0.039
"P35","Nicolás del Caño por la izquierda",0.011,0.001,0,0.654,0.016,0.017
"P35","Otro candidato",0.024,0.107,0.015,0.113,0.467,0.075
"P35","Aún no lo tengo decidido",0.02,0.047,0.013,0.02,0.09,0.595
"P36","Sergio Massa por el Frente de Todos",0.721,0.031,0.022,0.135,0.168,0.086
"P36","Mauricio Macri por Juntos por el Cambio",0.022,0.71,0.075,0.094,0.161,0.153
"P36","Javier Milei por los liberales libertarios",0.004,0.116,0.872,0.108,0.015,0.037
"P36","Nicolás del Caño por la izquierda",0.03,0.002,0.007,0.6,0.021,0.047
"P36","Otro candidato",0.144,0.086,0.01,0.039,0.534,0.094
"P36","Aún no lo tengo decidido",0.079,0.055,0.014,0.024,0.101,0.583
"P37","Wado de Pedro por el Frente de Todos",0.749,0.012,0.006,0.064,0.093,0.112
"P37","Mauricio Macri por Juntos por el Cambio",0.023,0.743,0.072,0.083,0.173,0.099
"P37","Javier Milei por los liberales libertarios",0.015,0.103,0.886,0.1,0.007,0.053
"P37","Nicolás del Caño por la izquierda",0.018,0.007,0.004,0.669,0.004,0.015
"P37","Otro candidato",0.09,0.08,0.019,0.054,0.61,0.097
"P37","Aún no lo tengo decidido",0.105,0.055,0.013,0.03,0.113,0.624
"P38","Wado de Pedro por el Frente de Todos",0.757,0.016,0.007,0.059,0.086,0.081
"P38","Patricia Bullrich por Juntos por el Cambio",0.018,0.909,0.043,0.138,0.074,0.049
"P38","Javier Milei por los liberales libertarios",0.007,0.025,0.922,0.042,0.018,0.025
"P38","Nicolás del Caño por la izquierda",0.024,0.002,0.005,0.714,0.004,0
"P38","Otro candidato",0.094,0.019,0.011,0.024,0.771,0.077
"P38","Aún no lo tengo decidido",0.1,0.029,0.012,0.023,0.047,0.768
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.863,0.119,0.028,0.427,0.201,0.173
"P40","Mauricio Macri por Juntos por el Cambio",0.123,0.779,0.482,0.21,0.257,0.216
"P40","No sabe",0.014,0.102,0.49,0.363,0.542,0.611
"P41","Wado de Pedro por el Frente de Todos",0.808,0.026,0.022,0.32,0.152,0.116
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.787,0.399,0.226,0.428,0.258
"P41","No sabe",0.162,0.187,0.579,0.454,0.42,0.626
"P42","Sergio Massa por el Frente de Todos",0.77,0.027,0.046,0.35,0.315,0.121
"P42","Patricia Bullrich por Juntos por el Cambio",0.026,0.923,0.566,0.159,0.23,0.206
"P42","No sabe",0.204,0.05,0.388,0.491,0.455,0.673
"P43","Sergio Massa por el Frente de Todos",0.802,0.025,0.046,0.357,0.342,0.142
"P43","Mauricio Macri por Juntos por el Cambio",0.021,0.876,0.577,0.114,0.271,0.245
"P43","No sabe",0.177,0.099,0.377,0.529,0.387,0.613
"P44","Sergio Massa por el Frente de Todos",0.808,0.032,0.013,0.29,0.297,0.167
"P44","Javier Milei por los liberales libertarios",0.014,0.582,0.873,0.23,0.138,0.182
"P44","No sabe",0.178,0.386,0.114,0.48,0.565,0.651
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.415,0.32,0.064,0.212,0.353,0.216
"P45","Javier Milei por los liberales libertarios",0.029,0.401,0.874,0.217,0.12,0.142
"P45","No sabe",0.556,0.279,0.062,0.571,0.527,0.642
"P46","Patricia Bullrich por Juntos por el Cambio",0.074,0.892,0.508,0.128,0.23,0.227
"P46","Wado de Pedro por el Frente de Todos",0.708,0.056,0.157,0.327,0.151,0.143
"P46","No sabe",0.218,0.052,0.335,0.545,0.619,0.63
"P47","Patricia Bullrich por Juntos por el Cambio",0.042,0.969,0.623,0.181,0.309,0.26
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.931,0.013,0.04,0.466,0.171,0.191
"P47","No sabe",0.027,0.018,0.337,0.353,0.52,0.549
"P48","Muy buena",0.138,0.118,0.08,0.007,0.098,0.098
"P48","Buena",0.417,0.013,0.021,0.245,0.06,0.073
"P48","Ni buena ni mala",0.295,0.033,0.092,0.354,0.209,0.246
"P48","Mala",0.107,0.074,0.07,0.154,0.199,0.19
"P48","Muy mala",0.026,0.76,0.735,0.224,0.434,0.372
"P48","No sabe",0.017,0.002,0.002,0.016,0,0.021
"P49","Muy buena",0.153,0.011,0.02,0.021,0.033,0.059
"P49","Buena",0.346,0.009,0.014,0.241,0.068,0.09
"P49","Ni buena ni mala",0.352,0.021,0.067,0.282,0.203,0.247
"P49","Mala",0.105,0.138,0.073,0.165,0.205,0.171
"P49","Muy mala",0.038,0.817,0.815,0.209,0.483,0.405
"P49","No sabe",0.006,0.004,0.011,0.082,0.008,0.028
"P50","Muy buena",0.714,0.015,0.018,0.054,0.068,0.112
"P50","Buena",0.184,0.007,0.013,0.204,0.051,0.062
"P50","Ni buena ni mala",0.079,0.008,0.039,0.359,0.102,0.221
"P50","Mala",0.013,0.063,0.046,0.162,0.158,0.077
"P50","Muy mala",0.01,0.906,0.883,0.205,0.599,0.493
"P50","No sabe",0,0.001,0.001,0.016,0.022,0.035
"P51","Muy buena",0.107,0.344,0.082,0.036,0.097,0.072
"P51","Buena",0.029,0.312,0.191,0.088,0.102,0.174
"P51","Ni buena ni mala",0.023,0.154,0.279,0.046,0.192,0.212
"P51","Mala",0.166,0.049,0.186,0.296,0.207,0.176
"P51","Muy mala",0.664,0.14,0.26,0.518,0.393,0.311
"P51","No sabe",0.011,0.001,0.002,0.016,0.009,0.055
"P52","Muy buena",0.023,0.286,0.091,0.047,0.1,0.104
"P52","Buena",0.017,0.358,0.183,0.217,0.251,0.167
"P52","Ni buena ni mala",0.1,0.246,0.229,0.164,0.327,0.291
"P52","Mala",0.211,0.067,0.182,0.158,0.103,0.08
"P52","Muy mala",0.62,0.036,0.308,0.365,0.195,0.201
"P52","No sabe",0.029,0.007,0.007,0.049,0.024,0.157
"P53","Muy buena",0.178,0.035,0.036,0.094,0.063,0.093
"P53","Buena",0.328,0.064,0.023,0.217,0.211,0.096
"P53","Ni buena ni mala",0.279,0.089,0.124,0.176,0.237,0.188
"P53","Mala",0.103,0.159,0.163,0.225,0.163,0.201
"P53","Muy mala",0.097,0.645,0.65,0.239,0.324,0.312
"P53","No sabe",0.015,0.008,0.004,0.049,0.002,0.11
"P54","Muy buena",0.048,0.564,0.161,0.023,0.046,0.09
"P54","Buena",0.037,0.259,0.266,0.143,0.141,0.135
"P54","Ni buena ni mala",0.077,0.051,0.275,0.089,0.307,0.252
"P54","Mala",0.128,0.031,0.091,0.161,0.179,0.168
"P54","Muy mala",0.697,0.091,0.191,0.485,0.317,0.252
"P54","No sabe",0.013,0.004,0.016,0.099,0.01,0.103
"P55","Muy buena",0.023,0.15,0.601,0.052,0.054,0.042
"P55","Buena",0.02,0.268,0.245,0.208,0.055,0.069
"P55","Ni buena ni mala",0.073,0.356,0.135,0.124,0.326,0.352
"P55","Mala",0.137,0.123,0.004,0.114,0.179,0.154
"P55","Muy mala",0.721,0.077,0.012,0.502,0.346,0.276
"P55","No sabe",0.026,0.026,0.003,0,0.04,0.107
"P56","Muy buena",0.009,0.326,0.206,0.182,0.116,0.126
"P56","Buena",0.016,0.349,0.212,0.062,0.205,0.117
"P56","Ni buena ni mala",0.061,0.211,0.198,0.051,0.222,0.279
"P56","Mala",0.172,0.069,0.143,0.249,0.115,0.205
"P56","Muy mala",0.724,0.031,0.234,0.456,0.314,0.167
"P56","No sabe",0.018,0.014,0.007,0,0.028,0.106
"P57","Muy buena",0.379,0.044,0.04,0.119,0.043,0.038
"P57","Buena",0.287,0.06,0.048,0.078,0.094,0.07
"P57","Ni buena ni mala",0.142,0.146,0.213,0.428,0.3,0.305
"P57","Mala",0.05,0.2,0.114,0.184,0.191,0.191
"P57","Muy mala",0.093,0.512,0.484,0.154,0.267,0.212
"P57","No sabe",0.049,0.038,0.101,0.037,0.105,0.184
"P58","Muy buena",0.093,0.077,0.065,0.152,0.184,0.062
"P58","Buena",0.116,0.173,0.083,0.201,0.222,0.167
"P58","Ni buena ni mala",0.34,0.337,0.353,0.296,0.282,0.333
"P58","Mala",0.189,0.201,0.121,0.114,0.12,0.12
"P58","Muy mala",0.186,0.186,0.284,0.099,0.118,0.149
"P58","No sabe",0.076,0.026,0.094,0.138,0.074,0.169
"P59","Muy buena",0.014,0.095,0.05,0.015,0.125,0.027
"P59","Buena",0.027,0.231,0.072,0.139,0.148,0.119
"P59","Ni buena ni mala",0.191,0.357,0.279,0.313,0.33,0.388
"P59","Mala",0.168,0.137,0.152,0.147,0.116,0.133
"P59","Muy mala",0.513,0.132,0.285,0.188,0.136,0.131
"P59","No sabe",0.087,0.048,0.162,0.198,0.145,0.202
"P60","Siempre",0.316,0.295,0.236,0.219,0.212,0.206
"P60","Casi siempre",0.382,0.373,0.384,0.512,0.456,0.353
"P60","Casi nunca",0.216,0.233,0.237,0.195,0.256,0.292
"P60","Nunca, pero esta es una excepción",0.086,0.099,0.143,0.074,0.076,0.149
"P61","Si",0.628,0.545,0.552,0.64,0.536,0.48
"P61","No",0.372,0.455,0.448,0.36,0.464,0.52
