"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P10","A algún candidato del kirchnerismo",0.391,0.216,0.284,0.684,0.52,0.511
"P11","A Alberto Fernández",0.135,0.17,0.324,0.179,0.12,0.294
"P11","A Sergio Massa",0.198,0.11,0.091,0.008,0.049,0.06
"P11","A algún candidato del peronismo",0.074,0.398,0.418,0.096,0.197,0.058
"P11","A Cristina Fernández de Kirchner",0.593,0.322,0.167,0.717,0.634,0.588
"P12","A Horacio Rodriguez Larreta",0.379,0.183,0.349,0.416,0.316,0.305
"P12","A Mauricio Macri",0.188,0.352,0.238,0.356,0.176,0.351
"P12","A Patricia Bullrich",0.205,0.412,0.315,0.228,0.124,0.185
"P12","A Facundo Manes",0.156,0.025,0.052,0,0.232,0.118
"P12","A Gerardo Morales",0.072,0.028,0.046,0,0.152,0.041
"P13","Seguro lo votaria",0.137,0.158,0.544,0.032,0.078,0.214
"P13","Quizás lo votaría",0.262,0.387,0.304,0.621,0.23,0.449
"P13","Nunca lo votaría",0.601,0.455,0.152,0.347,0.692,0.337
"P14","Lo votaría",0.046,0.483,0.178,0.069,0.065,0.101
"P14","Puede que lo vote",0.073,0.304,0.33,0.103,0.135,0.115
"P14","Nunca lo votaría",0.817,0.158,0.397,0.707,0.708,0.609
"P14","No sabe",0.064,0.055,0.095,0.121,0.092,0.175
"P15","Lo votaría",0.358,0.055,0.031,0.062,0.05,0.062
"P15","Puede que lo vote",0.435,0.085,0.117,0.116,0.199,0.148
"P15","Nunca lo votaría",0.171,0.825,0.803,0.597,0.642,0.522
"P15","No sabe",0.036,0.035,0.049,0.225,0.109,0.268
"P16","Lo votaría",0.319,0.046,0.049,0.01,0.135,0.148
"P16","Puede que lo vote",0.406,0.031,0.053,0.284,0.176,0.155
"P16","Nunca lo votaría",0.208,0.913,0.862,0.472,0.603,0.52
"P16","No sabe",0.067,0.01,0.036,0.234,0.086,0.177
"P17","La votaría",0.687,0.061,0.035,0.347,0.371,0.316
"P17","Puede que la vote",0.127,0.007,0.045,0.217,0.083,0.085
"P17","Nunca la votaría",0.142,0.928,0.894,0.365,0.5,0.45
"P17","No sabe",0.044,0.004,0.026,0.071,0.046,0.149
"P18","Lo votaría",0.114,0.239,0.079,0.042,0.118,0.082
"P18","Puede que lo vote",0.111,0.429,0.238,0.106,0.17,0.185
"P18","Nunca lo votaría",0.723,0.277,0.591,0.782,0.637,0.53
"P18","No sabe",0.052,0.055,0.092,0.07,0.075,0.203
"P19","Lo votaría",0.049,0.1,0.064,0.045,0.139,0.064
"P19","Puede que lo vote",0.165,0.336,0.185,0.093,0.178,0.174
"P19","Nunca lo votaría",0.628,0.482,0.589,0.592,0.581,0.437
"P19","No sabe",0.158,0.082,0.162,0.27,0.102,0.325
"P20","La votaría",0.046,0.64,0.209,0.034,0.092,0.06
"P20","Puede que la vote",0.063,0.246,0.351,0.046,0.116,0.161
"P20","Nunca la votaría",0.852,0.092,0.36,0.827,0.701,0.583
"P20","No sabe",0.039,0.022,0.08,0.093,0.091,0.196
"P21","Lo votaría",0.046,0.179,0.746,0.012,0.042,0.024
"P21","Puede que lo vote",0.067,0.331,0.164,0.077,0.104,0.189
"P21","Nunca lo votaría",0.846,0.419,0.069,0.774,0.754,0.636
"P21","No sabe",0.041,0.071,0.021,0.137,0.1,0.151
"P22","La votaría",0.038,0.242,0.147,0.031,0.082,0.059
"P22","Puede que la vote",0.082,0.363,0.245,0.067,0.125,0.153
"P22","Nunca la votaría",0.818,0.296,0.493,0.763,0.692,0.529
"P22","No sabe",0.062,0.099,0.115,0.139,0.101,0.259
"P23","Lo votaría",0.311,0.044,0.035,0.235,0.139,0.075
"P23","Puede que lo vote",0.25,0.077,0.058,0.251,0.188,0.127
"P23","Nunca lo votaría",0.35,0.817,0.73,0.355,0.571,0.507
"P23","No sabe",0.089,0.062,0.177,0.159,0.102,0.291
"P24","Lo votaría",0.056,0.071,0.043,0.046,0.091,0.017
"P24","Puede que lo vote",0.125,0.267,0.11,0.062,0.165,0.109
"P24","Nunca lo votaría",0.685,0.557,0.672,0.681,0.589,0.538
"P24","No sabe",0.134,0.105,0.175,0.211,0.155,0.336
"P25","Mauricio Macri por Juntos por el Cambio",0.029,0.305,0.08,0.002,0.053,0.082
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.042,0.127,0.041,0.144,0.092,0.087
"P25","Patricia Bullrich por Juntos por el Cambio",0.03,0.407,0.067,0.01,0.064,0.023
"P25","Facundo Manes por Juntos por el Cambio",0.02,0.026,0.026,0.034,0.133,0.059
"P25","Alberto Fernández por el Frente de Todos",0.137,0.029,0.034,0.029,0.083,0.112
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.645,0.031,0.019,0.317,0.32,0.26
"P25","Javier Milei por los liberales libertarios",0.007,0.025,0.71,0.011,0.007,0.026
"P25","Nicolás del Caño por la izquierda",0.004,0.001,0.003,0.363,0.008,0.002
"P25","Otros candidatos",0.039,0.01,0.002,0.056,0.184,0.056
"P25","Aún no lo tengo decidido",0.047,0.039,0.018,0.034,0.056,0.293
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.041,0.198,0.077,0.138,0.098,0.121
"P26","Patricia Bullrich por Juntos por el Cambio",0.045,0.591,0.079,0.058,0.06,0.052
"P26","Facundo Manes por Juntos por el Cambio",0.026,0.101,0.043,0.023,0.156,0.066
"P26","Wado de Pedro por el Frente de Todos",0.316,0.032,0.01,0.245,0.217,0.106
"P26","Sergio Massa por el Frente de Todos",0.484,0.02,0.009,0.048,0.084,0.099
"P26","Javier Milei por los liberales libertarios",0.027,0.026,0.666,0.017,0.023,0.044
"P26","Nicolás del Caño por la izquierda",0.004,0.006,0.079,0.3,0.026,0.008
"P26","Otros candidatos",0.016,0.004,0.009,0.111,0.207,0.035
"P26","Aún no lo tengo decidido",0.041,0.022,0.028,0.06,0.129,0.469
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.773,0.062,0.025,0.341,0.408,0.31
"P27","Mauricio Macri por Juntos por el Cambio",0.057,0.669,0.102,0.047,0.082,0.103
"P27","Javier Milei por los liberales libertarios",0.022,0.097,0.823,0.037,0.028,0.051
"P27","Nicolás del Caño por la izquierda",0.015,0.005,0.012,0.487,0.012,0.011
"P27","Otro candidato",0.077,0.1,0.015,0.047,0.376,0.055
"P27","Aún no lo tengo decidido",0.056,0.067,0.023,0.041,0.094,0.47
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.159,0.54,0.056,0.07,0.121,0.135
"P29","Wado de Pedro por el Frente de Todos",0.61,0.106,0.005,0.297,0.25,0.138
"P29","Javier Milei por los liberales libertarios",0.032,0.153,0.899,0.01,0.018,0.037
"P29","Nicolás del Caño por la izquierda",0.024,0.004,0.001,0.483,0.017,0.004
"P29","Otro candidato",0.087,0.114,0.013,0.04,0.543,0.036
"P29","Aún no lo tengo decidido",0.088,0.083,0.026,0.1,0.051,0.65
"P33","Sergio Massa por el Frente de Todos",0.769,0.107,0.013,0.047,0.07,0.048
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.156,0.566,0.069,0.051,0.124,0.112
"P33","Javier Milei por los liberales libertarios",0.017,0.151,0.865,0.051,0.027,0.04
"P33","Nicolás del Caño por la izquierda",0.006,0.003,0.014,0.732,0.02,0.019
"P33","Otro candidato",0.024,0.105,0.017,0.084,0.697,0.093
"P33","Aún no lo tengo decidido",0.028,0.068,0.022,0.035,0.062,0.688
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.783,0.078,0.02,0.321,0.364,0.302
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.113,0.592,0.074,0.055,0.159,0.119
"P35","Javier Milei por los liberales libertarios",0.012,0.172,0.863,0.025,0.04,0.043
"P35","Nicolás del Caño por la izquierda",0.012,0.002,0.004,0.459,0.011,0.017
"P35","Otro candidato",0.048,0.105,0.018,0.042,0.379,0.059
"P35","Aún no lo tengo decidido",0.032,0.051,0.021,0.098,0.047,0.46
"P36","Sergio Massa por el Frente de Todos",0.842,0.051,0.004,0.108,0.093,0.111
"P36","Mauricio Macri por Juntos por el Cambio",0.048,0.691,0.104,0.069,0.099,0.111
"P36","Javier Milei por los liberales libertarios",0.017,0.103,0.858,0.023,0.037,0.034
"P36","Nicolás del Caño por la izquierda",0.007,0.004,0.005,0.668,0.023,0.032
"P36","Otro candidato",0.049,0.091,0.014,0.071,0.669,0.124
"P36","Aún no lo tengo decidido",0.037,0.06,0.015,0.061,0.079,0.588
"P37","Wado de Pedro por el Frente de Todos",0.714,0.036,0.011,0.267,0.252,0.175
"P37","Mauricio Macri por Juntos por el Cambio",0.058,0.725,0.094,0.021,0.114,0.112
"P37","Javier Milei por los liberales libertarios",0.025,0.096,0.858,0.012,0.027,0.062
"P37","Nicolás del Caño por la izquierda",0.018,0.004,0.005,0.558,0.011,0.008
"P37","Otro candidato",0.101,0.09,0.012,0.065,0.491,0.098
"P37","Aún no lo tengo decidido",0.084,0.049,0.02,0.077,0.105,0.545
"P38","Wado de Pedro por el Frente de Todos",0.711,0.034,0.017,0.269,0.277,0.165
"P38","Patricia Bullrich por Juntos por el Cambio",0.061,0.869,0.085,0.025,0.119,0.066
"P38","Javier Milei por los liberales libertarios",0.023,0.028,0.856,0.057,0.008,0.061
"P38","Nicolás del Caño por la izquierda",0.021,0.003,0.006,0.517,0.016,0.003
"P38","Otro candidato",0.109,0.032,0.015,0.08,0.485,0.131
"P38","Aún no lo tengo decidido",0.075,0.034,0.021,0.052,0.095,0.574
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.802,0.039,0.008,0.354,0.409,0.292
"P39","Patricia Bullrich por Juntos por el Cambio",0.059,0.896,0.078,0.064,0.101,0.086
"P39","Javier Milei por los liberales libertarios",0.019,0.024,0.873,0.04,0.023,0.042
"P39","Nicolás del Caño por la izquierda",0.01,0.006,0.009,0.435,0.019,0.005
"P39","Otro candidato",0.077,0.016,0.012,0.025,0.384,0.116
"P39","Aún no lo tengo decidido",0.033,0.019,0.02,0.082,0.064,0.459
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.8,0.126,0.044,0.601,0.403,0.362
"P40","Mauricio Macri por Juntos por el Cambio",0.134,0.778,0.492,0.051,0.298,0.187
"P40","No sabe",0.066,0.096,0.464,0.348,0.299,0.451
"P41","Wado de Pedro por el Frente de Todos",0.771,0.048,0.02,0.494,0.308,0.245
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.105,0.764,0.399,0.254,0.279,0.217
"P41","No sabe",0.124,0.188,0.581,0.252,0.413,0.538
"P42","Sergio Massa por el Frente de Todos",0.858,0.046,0.035,0.407,0.219,0.182
"P42","Patricia Bullrich por Juntos por el Cambio",0.076,0.898,0.566,0.077,0.243,0.177
"P42","No sabe",0.066,0.056,0.399,0.516,0.538,0.641
"P43","Sergio Massa por el Frente de Todos",0.889,0.041,0.039,0.377,0.285,0.178
"P43","Mauricio Macri por Juntos por el Cambio",0.061,0.858,0.586,0.088,0.233,0.204
"P43","No sabe",0.05,0.101,0.375,0.535,0.482,0.618
"P44","Sergio Massa por el Frente de Todos",0.888,0.045,0.013,0.442,0.256,0.172
"P44","Javier Milei por los liberales libertarios",0.05,0.563,0.867,0.116,0.167,0.139
"P44","No sabe",0.062,0.392,0.12,0.442,0.577,0.689
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.476,0.322,0.038,0.38,0.28,0.21
"P45","Javier Milei por los liberales libertarios",0.054,0.392,0.885,0.119,0.107,0.099
"P45","No sabe",0.47,0.286,0.077,0.501,0.613,0.691
"P46","Patricia Bullrich por Juntos por el Cambio",0.123,0.879,0.521,0.058,0.186,0.212
"P46","Wado de Pedro por el Frente de Todos",0.656,0.063,0.157,0.581,0.348,0.228
"P46","No sabe",0.221,0.058,0.322,0.361,0.466,0.56
"P47","Patricia Bullrich por Juntos por el Cambio",0.098,0.944,0.632,0.1,0.281,0.22
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.83,0.036,0.045,0.605,0.423,0.391
"P47","No sabe",0.072,0.02,0.323,0.295,0.296,0.389
"P48","Muy buena",0.15,0.109,0.081,0.026,0.136,0.078
"P48","Buena",0.398,0.016,0.047,0.094,0.172,0.134
"P48","Ni buena ni mala",0.268,0.037,0.106,0.43,0.179,0.293
"P48","Mala",0.107,0.074,0.051,0.278,0.172,0.168
"P48","Muy mala",0.068,0.762,0.714,0.159,0.325,0.296
"P48","No sabe",0.009,0.002,0.001,0.013,0.016,0.031
"P49","Muy buena",0.151,0.016,0.02,0.043,0.07,0.046
"P49","Buena",0.346,0.013,0.03,0.106,0.128,0.131
"P49","Ni buena ni mala",0.319,0.035,0.075,0.353,0.204,0.28
"P49","Mala",0.095,0.13,0.072,0.272,0.166,0.203
"P49","Muy mala",0.088,0.802,0.789,0.213,0.405,0.319
"P49","No sabe",0.001,0.004,0.014,0.013,0.027,0.021
"P50","Muy buena",0.605,0.033,0.021,0.275,0.355,0.259
"P50","Buena",0.16,0.009,0.024,0.232,0.089,0.096
"P50","Ni buena ni mala",0.094,0.01,0.048,0.173,0.084,0.154
"P50","Mala",0.047,0.055,0.05,0.102,0.048,0.082
"P50","Muy mala",0.09,0.891,0.857,0.18,0.424,0.386
"P50","No sabe",0.004,0.002,0,0.038,0,0.023
"P51","Muy buena",0.101,0.338,0.098,0.076,0.111,0.105
"P51","Buena",0.051,0.311,0.193,0.049,0.118,0.08
"P51","Ni buena ni mala",0.039,0.151,0.257,0.099,0.151,0.163
"P51","Mala",0.198,0.053,0.191,0.11,0.131,0.158
"P51","Muy mala",0.607,0.145,0.258,0.625,0.489,0.43
"P51","No sabe",0.004,0.002,0.003,0.041,0,0.064
"P52","Muy buena",0.043,0.274,0.096,0.082,0.08,0.092
"P52","Buena",0.051,0.348,0.194,0.091,0.169,0.146
"P52","Ni buena ni mala",0.15,0.242,0.237,0.034,0.229,0.191
"P52","Mala",0.202,0.073,0.173,0.203,0.121,0.114
"P52","Muy mala",0.54,0.055,0.294,0.549,0.384,0.286
"P52","No sabe",0.014,0.008,0.006,0.041,0.017,0.171
"P53","Muy buena",0.233,0.035,0.033,0.041,0.038,0.039
"P53","Buena",0.396,0.069,0.029,0.125,0.106,0.089
"P53","Ni buena ni mala",0.231,0.099,0.117,0.201,0.25,0.288
"P53","Mala",0.048,0.155,0.155,0.287,0.229,0.25
"P53","Muy mala",0.08,0.635,0.661,0.305,0.368,0.242
"P53","No sabe",0.012,0.007,0.005,0.041,0.009,0.092
"P54","Muy buena",0.075,0.566,0.162,0.033,0.058,0.061
"P54","Buena",0.079,0.248,0.283,0.041,0.097,0.071
"P54","Ni buena ni mala",0.081,0.055,0.256,0.078,0.22,0.234
"P54","Mala",0.132,0.028,0.087,0.16,0.127,0.191
"P54","Muy mala",0.621,0.098,0.192,0.66,0.483,0.364
"P54","No sabe",0.012,0.005,0.02,0.028,0.015,0.079
"P55","Muy buena",0.034,0.14,0.608,0.012,0.053,0.032
"P55","Buena",0.04,0.256,0.238,0.026,0.111,0.066
"P55","Ni buena ni mala",0.096,0.356,0.131,0.198,0.223,0.282
"P55","Mala",0.154,0.124,0.003,0.11,0.147,0.127
"P55","Muy mala",0.651,0.097,0.014,0.654,0.464,0.375
"P55","No sabe",0.025,0.027,0.006,0,0.002,0.118
"P56","Muy buena",0.032,0.314,0.22,0.107,0.104,0.092
"P56","Buena",0.039,0.345,0.208,0.05,0.138,0.116
"P56","Ni buena ni mala",0.087,0.207,0.195,0.119,0.151,0.197
"P56","Mala",0.18,0.066,0.151,0.083,0.147,0.176
"P56","Muy mala",0.649,0.054,0.215,0.641,0.452,0.313
"P56","No sabe",0.013,0.014,0.011,0,0.008,0.106
"P57","Muy buena",0.343,0.055,0.04,0.125,0.17,0.12
"P57","Buena",0.281,0.053,0.051,0.19,0.162,0.103
"P57","Ni buena ni mala",0.164,0.152,0.219,0.321,0.192,0.247
"P57","Mala",0.063,0.194,0.119,0.079,0.186,0.135
"P57","Muy mala",0.104,0.504,0.479,0.185,0.267,0.177
"P57","No sabe",0.045,0.042,0.092,0.1,0.023,0.218
"P58","Muy buena",0.092,0.073,0.079,0.125,0.152,0.066
"P58","Buena",0.141,0.169,0.095,0.058,0.174,0.137
"P58","Ni buena ni mala",0.343,0.346,0.335,0.285,0.276,0.358
"P58","Mala",0.173,0.205,0.131,0.18,0.169,0.104
"P58","Muy mala",0.175,0.181,0.274,0.173,0.205,0.141
"P58","No sabe",0.076,0.026,0.086,0.179,0.024,0.194
"P59","Muy buena",0.026,0.085,0.067,0.029,0.08,0.018
"P59","Buena",0.048,0.234,0.088,0.029,0.102,0.055
"P59","Ni buena ni mala",0.221,0.352,0.26,0.204,0.297,0.355
"P59","Mala",0.185,0.138,0.145,0.206,0.094,0.128
"P59","Muy mala",0.433,0.138,0.289,0.335,0.349,0.228
"P59","No sabe",0.087,0.053,0.151,0.197,0.078,0.216
"P60","Siempre",0.305,0.29,0.251,0.258,0.291,0.189
"P60","Casi siempre",0.375,0.384,0.384,0.442,0.365,0.426
"P60","Casi nunca",0.205,0.237,0.239,0.145,0.265,0.274
"P60","Nunca, pero esta es una excepción",0.115,0.089,0.126,0.155,0.079,0.111
"P61","Si",0.608,0.546,0.577,0.479,0.576,0.536
"P61","No",0.392,0.454,0.423,0.521,0.424,0.464
