"var","categoria","Wado de Pedro por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P25","Javier Milei por los liberales libertarios",0.002,0.016,0.655,0,0.015,0.036
"P25","Nicolás del Caño por la izquierda",0.004,0.001,0.005,0.303,0.012,0.009
"P25","Otros candidatos",0.031,0.008,0.009,0.049,0.168,0.054
"P25","Aún no lo tengo decidido",0.032,0.025,0.014,0.056,0.095,0.298
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.262,0.06,0.15,0.113,0.074
"P26","Patricia Bullrich por Juntos por el Cambio",0.01,0.552,0.172,0.093,0.189,0.11
"P26","Facundo Manes por Juntos por el Cambio",0.018,0.091,0.054,0.017,0.169,0.083
"P26","Wado de Pedro por el Frente de Todos",0.476,0.012,0.004,0.067,0.082,0.029
"P26","Sergio Massa por el Frente de Todos",0.382,0.01,0.012,0.186,0.166,0.173
"P26","Javier Milei por los liberales libertarios",0.018,0.033,0.597,0.013,0.039,0.028
"P26","Nicolás del Caño por la izquierda",0.005,0.004,0.076,0.309,0.019,0.006
"P26","Otros candidatos",0.027,0.009,0.007,0.11,0.113,0.062
"P26","Aún no lo tengo decidido",0.045,0.027,0.018,0.055,0.11,0.435
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.889,0.022,0.017,0.231,0.243,0.316
"P27","Mauricio Macri por Juntos por el Cambio",0.015,0.875,0.051,0.074,0.04,0.035
"P27","Javier Milei por los liberales libertarios",0.008,0.028,0.862,0.03,0.044,0.067
"P27","Nicolás del Caño por la izquierda",0.008,0.002,0.009,0.488,0.028,0.02
"P27","Otro candidato",0.038,0.043,0.025,0.088,0.499,0.079
"P27","Aún no lo tengo decidido",0.042,0.03,0.036,0.089,0.146,0.483
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.092,0.614,0.061,0.085,0.215,0.121
"P29","Wado de Pedro por el Frente de Todos",0.785,0.095,0.005,0.098,0.065,0.072
"P29","Javier Milei por los liberales libertarios",0.018,0.123,0.885,0.05,0.03,0.042
"P29","Nicolás del Caño por la izquierda",0.008,0.003,0,0.564,0.014,0.022
"P29","Otro candidato",0.052,0.088,0.019,0.095,0.532,0.093
"P29","Aún no lo tengo decidido",0.045,0.077,0.03,0.108,0.144,0.65
"P31","Sergio Massa por el Frente de Todos",0.72,0.047,0.029,0.176,0.205,0.176
"P31","Patricia Bullrich por Juntos por el Cambio",0.051,0.81,0.15,0.059,0.252,0.143
"P31","Javier Milei por los liberales libertarios",0.009,0.061,0.775,0.042,0.02,0.033
"P31","Nicolás del Caño por la izquierda",0.031,0.002,0.001,0.639,0.015,0.019
"P31","Otro candidato",0.106,0.038,0.013,0.047,0.415,0.093
"P31","Aún no lo tengo decidido",0.083,0.042,0.032,0.037,0.093,0.536
"P33","Sergio Massa por el Frente de Todos",0.667,0.086,0.025,0.158,0.178,0.161
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.099,0.653,0.065,0.098,0.23,0.104
"P33","Javier Milei por los liberales libertarios",0.009,0.125,0.86,0.046,0.023,0.046
"P33","Nicolás del Caño por la izquierda",0.037,0.007,0,0.608,0.015,0.016
"P33","Otro candidato",0.125,0.074,0.02,0.049,0.481,0.092
"P33","Aún no lo tengo decidido",0.063,0.055,0.03,0.041,0.073,0.581
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.872,0.055,0.03,0.25,0.234,0.314
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.048,0.682,0.058,0.109,0.233,0.128
"P35","Javier Milei por los liberales libertarios",0.006,0.148,0.863,0.025,0.021,0.031
"P35","Nicolás del Caño por la izquierda",0.019,0.001,0.001,0.511,0.011,0.013
"P35","Otro candidato",0.03,0.069,0.032,0.038,0.456,0.043
"P35","Aún no lo tengo decidido",0.025,0.045,0.016,0.067,0.045,0.471
"P36","Sergio Massa por el Frente de Todos",0.782,0.028,0.023,0.18,0.179,0.18
"P36","Mauricio Macri por Juntos por el Cambio",0.015,0.895,0.04,0.089,0.047,0.042
"P36","Javier Milei por los liberales libertarios",0.008,0.042,0.902,0.013,0.009,0.039
"P36","Nicolás del Caño por la izquierda",0.035,0.001,0.002,0.668,0.018,0.014
"P36","Otro candidato",0.111,0.022,0.018,0.036,0.66,0.082
"P36","Aún no lo tengo decidido",0.049,0.012,0.015,0.014,0.087,0.643
"P38","Wado de Pedro por el Frente de Todos",0.925,0.015,0.01,0.019,0.051,0.05
"P38","Patricia Bullrich por Juntos por el Cambio",0.013,0.888,0.158,0.055,0.216,0.113
"P38","Javier Milei por los liberales libertarios",0.002,0.034,0.801,0.05,0.013,0.025
"P38","Nicolás del Caño por la izquierda",0.006,0.001,0.002,0.761,0.024,0.004
"P38","Otro candidato",0.028,0.028,0.012,0.105,0.626,0.096
"P38","Aún no lo tengo decidido",0.026,0.034,0.017,0.01,0.07,0.712
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.908,0.022,0.021,0.23,0.228,0.281
"P39","Patricia Bullrich por Juntos por el Cambio",0.017,0.862,0.174,0.107,0.251,0.18
"P39","Javier Milei por los liberales libertarios",0.004,0.043,0.774,0.035,0.031,0.021
"P39","Nicolás del Caño por la izquierda",0.005,0.005,0.009,0.564,0.009,0.005
"P39","Otro candidato",0.031,0.044,0.003,0.015,0.417,0.081
"P39","Aún no lo tengo decidido",0.035,0.024,0.019,0.049,0.064,0.432
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.858,0.112,0.062,0.539,0.276,0.384
"P40","Mauricio Macri por Juntos por el Cambio",0.115,0.871,0.489,0.087,0.251,0.114
"P40","No sabe",0.027,0.017,0.449,0.374,0.473,0.502
"P41","Wado de Pedro por el Frente de Todos",0.928,0.032,0.019,0.389,0.148,0.117
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.036,0.82,0.423,0.229,0.379,0.194
"P41","No sabe",0.036,0.148,0.558,0.382,0.473,0.689
"P42","Sergio Massa por el Frente de Todos",0.836,0.034,0.048,0.454,0.254,0.21
"P42","Patricia Bullrich por Juntos por el Cambio",0.037,0.901,0.601,0.077,0.328,0.239
"P42","No sabe",0.127,0.065,0.351,0.469,0.418,0.551
"P43","Sergio Massa por el Frente de Todos",0.862,0.029,0.042,0.386,0.312,0.24
"P43","Mauricio Macri por Juntos por el Cambio",0.024,0.948,0.577,0.078,0.229,0.163
"P43","No sabe",0.114,0.023,0.381,0.536,0.459,0.597
"P44","Sergio Massa por el Frente de Todos",0.854,0.031,0.025,0.406,0.283,0.242
"P44","Javier Milei por los liberales libertarios",0.029,0.57,0.863,0.118,0.202,0.107
"P44","No sabe",0.117,0.399,0.112,0.476,0.515,0.651
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.438,0.357,0.04,0.292,0.324,0.243
"P45","Javier Milei por los liberales libertarios",0.033,0.355,0.897,0.111,0.153,0.106
"P45","No sabe",0.529,0.288,0.063,0.597,0.523,0.651
"P46","Patricia Bullrich por Juntos por el Cambio",0.078,0.867,0.573,0.117,0.328,0.259
"P46","Wado de Pedro por el Frente de Todos",0.794,0.051,0.143,0.417,0.182,0.125
"P46","No sabe",0.128,0.082,0.284,0.466,0.49,0.616
"P47","Patricia Bullrich por Juntos por el Cambio",0.048,0.952,0.671,0.153,0.369,0.291
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.922,0.014,0.058,0.508,0.282,0.337
"P47","No sabe",0.03,0.034,0.271,0.339,0.349,0.372
"P48","Muy buena",0.137,0.122,0.088,0.031,0.109,0.091
"P48","Buena",0.454,0.005,0.032,0.232,0.088,0.093
"P48","Ni buena ni mala",0.288,0.026,0.095,0.415,0.167,0.281
"P48","Mala",0.101,0.063,0.051,0.143,0.195,0.222
"P48","Muy mala",0.018,0.781,0.733,0.165,0.429,0.264
"P48","No sabe",0.002,0.003,0.001,0.014,0.012,0.049
"P49","Muy buena",0.145,0.019,0.022,0.032,0.04,0.079
"P49","Buena",0.363,0.007,0.028,0.276,0.069,0.116
"P49","Ni buena ni mala",0.343,0.02,0.068,0.319,0.195,0.271
"P49","Mala",0.109,0.132,0.068,0.225,0.162,0.197
"P49","Muy mala",0.039,0.817,0.798,0.134,0.516,0.314
"P49","No sabe",0.001,0.005,0.016,0.014,0.018,0.023
"P50","Muy buena",0.714,0.018,0.024,0.206,0.181,0.203
"P50","Buena",0.161,0.006,0.023,0.222,0.071,0.117
"P50","Ni buena ni mala",0.077,0.007,0.049,0.253,0.088,0.165
"P50","Mala",0.029,0.063,0.04,0.095,0.085,0.083
"P50","Muy mala",0.018,0.903,0.864,0.21,0.575,0.394
"P50","No sabe",0.001,0.003,0,0.014,0,0.038
"P51","Muy buena",0.106,0.412,0.065,0.054,0.055,0.081
"P51","Buena",0.038,0.315,0.214,0.074,0.121,0.102
"P51","Ni buena ni mala",0.021,0.108,0.261,0.129,0.258,0.186
"P51","Mala",0.146,0.028,0.198,0.189,0.212,0.2
"P51","Muy mala",0.681,0.137,0.259,0.54,0.354,0.369
"P51","No sabe",0.008,0,0.003,0.014,0,0.062
"P52","Muy buena",0.026,0.32,0.084,0.109,0.066,0.09
"P52","Buena",0.02,0.377,0.18,0.124,0.187,0.193
"P52","Ni buena ni mala",0.093,0.214,0.266,0.085,0.339,0.225
"P52","Mala",0.192,0.056,0.178,0.162,0.152,0.13
"P52","Muy mala",0.652,0.03,0.274,0.477,0.24,0.212
"P52","No sabe",0.017,0.003,0.018,0.043,0.016,0.15
"P53","Muy buena",0.191,0.051,0.029,0.099,0.035,0.093
"P53","Buena",0.354,0.065,0.037,0.173,0.142,0.151
"P53","Ni buena ni mala",0.258,0.094,0.104,0.187,0.235,0.257
"P53","Mala",0.098,0.155,0.158,0.248,0.168,0.182
"P53","Muy mala",0.095,0.631,0.658,0.25,0.413,0.214
"P53","No sabe",0.004,0.004,0.014,0.043,0.007,0.103
"P54","Muy buena",0.054,0.524,0.241,0.043,0.149,0.149
"P54","Buena",0.038,0.273,0.241,0.076,0.16,0.118
"P54","Ni buena ni mala",0.078,0.085,0.221,0.074,0.189,0.174
"P54","Mala",0.103,0.02,0.086,0.221,0.184,0.182
"P54","Muy mala",0.722,0.092,0.185,0.557,0.312,0.296
"P54","No sabe",0.005,0.006,0.026,0.029,0.006,0.081
"P55","Muy buena",0.023,0.149,0.573,0,0.033,0.018
"P55","Buena",0.02,0.244,0.283,0.065,0.085,0.103
"P55","Ni buena ni mala",0.061,0.368,0.118,0.263,0.294,0.333
"P55","Mala",0.127,0.126,0.004,0.099,0.233,0.12
"P55","Muy mala",0.759,0.089,0.012,0.56,0.337,0.282
"P55","No sabe",0.01,0.024,0.01,0.013,0.018,0.144
"P56","Muy buena",0.005,0.36,0.218,0.11,0.07,0.098
"P56","Buena",0.017,0.347,0.224,0.086,0.184,0.127
"P56","Ni buena ni mala",0.057,0.184,0.208,0.119,0.235,0.237
"P56","Mala",0.168,0.066,0.129,0.147,0.182,0.166
"P56","Muy mala",0.74,0.033,0.207,0.525,0.309,0.275
"P56","No sabe",0.013,0.01,0.014,0.013,0.02,0.097
"P57","Muy buena",0.434,0.06,0.037,0.078,0.039,0.035
"P57","Buena",0.305,0.054,0.055,0.193,0.123,0.064
"P57","Ni buena ni mala",0.115,0.142,0.216,0.366,0.241,0.323
"P57","Mala",0.037,0.192,0.127,0.082,0.215,0.173
"P57","Muy mala",0.082,0.51,0.479,0.186,0.313,0.196
"P57","No sabe",0.027,0.042,0.086,0.095,0.069,0.209
"P58","Muy buena",0.098,0.073,0.093,0.161,0.103,0.06
"P58","Buena",0.133,0.173,0.089,0.103,0.176,0.17
"P58","Ni buena ni mala",0.32,0.34,0.337,0.255,0.344,0.368
"P58","Mala",0.194,0.182,0.15,0.139,0.177,0.112
"P58","Muy mala",0.199,0.203,0.252,0.158,0.141,0.102
"P58","No sabe",0.056,0.029,0.079,0.184,0.059,0.188
"P59","Muy buena",0.015,0.105,0.055,0.025,0.069,0.028
"P59","Buena",0.039,0.227,0.101,0.049,0.147,0.075
"P59","Ni buena ni mala",0.174,0.345,0.286,0.294,0.325,0.414
"P59","Mala",0.185,0.133,0.155,0.136,0.14,0.085
"P59","Muy mala",0.535,0.125,0.26,0.238,0.237,0.166
"P59","No sabe",0.052,0.065,0.143,0.258,0.082,0.232
"P60","Siempre",0.33,0.314,0.222,0.357,0.191,0.216
"P60","Casi siempre",0.386,0.374,0.403,0.418,0.373,0.384
"P60","Casi nunca",0.216,0.222,0.25,0.1,0.315,0.221
"P60","Nunca, pero esta es una excepción",0.068,0.09,0.125,0.125,0.121,0.179
"P61","Si",0.628,0.558,0.554,0.598,0.497,0.553
"P61","No",0.372,0.442,0.446,0.402,0.503,0.447
