"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"CFK","Muy mala",0.582,0.615,0.551,0.637,0.551,0.599,0.581,0.524,0.605,0.606,0.599,0.606,0.511,0.567,0.156,0.865,0.64
"CFK","No sabe",0.005,0.002,0.007,0,0.002,0.003,0.017,0.008,0.005,0.002,0.005,0,0.002,0.007,0.001,0.002,0.016
"Wado de Pedro","Muy buena",0.14,0.116,0.163,0.131,0.146,0.132,0.144,0.123,0.139,0.156,0.131,0.115,0.181,0.153,0.29,0.054,0.062
"Wado de Pedro","Buena",0.126,0.132,0.119,0.083,0.144,0.128,0.12,0.129,0.119,0.131,0.138,0.116,0.164,0.114,0.239,0.058,0.077
"Wado de Pedro","Ni buena ni mala",0.183,0.169,0.198,0.188,0.199,0.173,0.163,0.205,0.181,0.168,0.178,0.233,0.171,0.171,0.187,0.177,0.239
"Wado de Pedro","Mala",0.14,0.139,0.14,0.117,0.136,0.129,0.18,0.159,0.137,0.126,0.13,0.131,0.09,0.158,0.087,0.168,0.135
"Wado de Pedro","Muy mala",0.344,0.391,0.299,0.372,0.311,0.393,0.323,0.3,0.343,0.383,0.363,0.29,0.361,0.347,0.15,0.496,0.294
"Wado de Pedro","No sabe",0.067,0.053,0.081,0.109,0.064,0.045,0.07,0.084,0.081,0.036,0.06,0.115,0.033,0.057,0.047,0.047,0.193
"Facundo Manes","Muy buena",0.087,0.087,0.088,0.084,0.097,0.072,0.091,0.092,0.084,0.087,0.078,0.113,0.107,0.082,0.079,0.096,0.174
"Facundo Manes","Buena",0.144,0.143,0.144,0.071,0.149,0.173,0.151,0.129,0.142,0.158,0.13,0.124,0.107,0.168,0.116,0.168,0.181
"Facundo Manes","Ni buena ni mala",0.336,0.309,0.361,0.268,0.344,0.331,0.381,0.357,0.336,0.317,0.308,0.359,0.371,0.347,0.362,0.329,0.331
"Facundo Manes","Mala",0.17,0.18,0.16,0.179,0.146,0.198,0.176,0.164,0.163,0.184,0.201,0.134,0.135,0.162,0.181,0.175,0.084
"Facundo Manes","Muy mala",0.196,0.224,0.169,0.3,0.193,0.174,0.145,0.168,0.192,0.223,0.21,0.171,0.23,0.189,0.191,0.189,0.109
"Facundo Manes","No sabe",0.067,0.057,0.078,0.098,0.071,0.052,0.056,0.09,0.083,0.031,0.073,0.099,0.05,0.052,0.071,0.043,0.121
"Sergio Massa","Muy buena",0.083,0.073,0.092,0.081,0.078,0.073,0.109,0.104,0.087,0.06,0.068,0.106,0.084,0.087,0.144,0.046,0.029
"Sergio Massa","Buena",0.147,0.138,0.156,0.141,0.135,0.149,0.172,0.172,0.134,0.14,0.164,0.087,0.13,0.157,0.281,0.068,0.155
"Sergio Massa","Ni buena ni mala",0.168,0.156,0.18,0.108,0.197,0.16,0.169,0.152,0.173,0.176,0.162,0.197,0.19,0.159,0.241,0.118,0.246
"Sergio Massa","Mala",0.148,0.144,0.152,0.098,0.147,0.146,0.195,0.159,0.138,0.15,0.157,0.134,0.207,0.139,0.118,0.16,0.119
"Sergio Massa","Muy mala",0.438,0.474,0.403,0.537,0.431,0.46,0.34,0.392,0.445,0.469,0.435,0.451,0.372,0.443,0.195,0.602,0.437
"Sergio Massa","No sabe",0.016,0.015,0.017,0.035,0.012,0.012,0.015,0.021,0.023,0.005,0.014,0.025,0.017,0.015,0.021,0.006,0.014
"Alberto Fernandez","Muy buena",0.058,0.052,0.064,0.06,0.061,0.045,0.069,0.09,0.048,0.042,0.048,0.085,0.064,0.056,0.119,0.02,0.025
"Alberto Fernandez","Buena",0.121,0.109,0.131,0.062,0.133,0.134,0.123,0.15,0.113,0.104,0.11,0.106,0.144,0.133,0.286,0.025,0.108
"Alberto Fernandez","Ni buena ni mala",0.158,0.15,0.165,0.155,0.181,0.157,0.112,0.177,0.145,0.156,0.153,0.146,0.211,0.16,0.313,0.054,0.113
"Alberto Fernandez","Mala",0.124,0.092,0.155,0.109,0.119,0.11,0.168,0.089,0.138,0.138,0.132,0.143,0.106,0.111,0.117,0.127,0.185
"Alberto Fernandez","Muy mala",0.53,0.586,0.477,0.597,0.498,0.55,0.516,0.482,0.543,0.557,0.553,0.499,0.473,0.529,0.16,0.767,0.535
"Alberto Fernandez","No sabe",0.009,0.011,0.008,0.017,0.008,0.004,0.012,0.012,0.013,0.003,0.004,0.021,0.002,0.011,0.005,0.007,0.034
