"var","categoria","Mauricio Macri por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Cristina Fernández de Kirchner por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otros candidatos","Aún no lo tengo decidido"
"P10","A Alberto Fernández",0.314,0.232,0.291,0.048,0.699,0.118,0.221,0.379,0.073,0.074
"P10","A Sergio Massa",0.074,0.11,0.038,0.277,0.157,0.222,0.352,0.092,0.474,0.412
"P10","A algún candidato del peronismo",0.345,0.599,0.603,0.327,0.118,0.107,0.257,0.21,0.282,0.345
"P10","A algún candidato del kirchnerismo",0.267,0.059,0.068,0.348,0.026,0.553,0.17,0.319,0.171,0.169
"P11","A Alberto Fernández",0.235,0.213,0.233,0.048,0.679,0.074,0.221,0.379,0,0.039
"P11","A Sergio Massa",0.256,0.15,0.063,0.231,0.153,0.1,0.245,0,0.447,0.33
"P11","A algún candidato del peronismo",0.361,0.567,0.652,0.291,0.067,0.063,0.411,0.302,0.319,0.4
"P11","A Cristina Fernández de Kirchner",0.148,0.07,0.052,0.43,0.101,0.763,0.123,0.319,0.234,0.231
"P12","A Horacio Rodriguez Larreta",0.136,0.802,0.07,0.06,0.417,0.191,0.33,0,0.199,0.178
"P12","A Mauricio Macri",0.736,0.1,0.097,0.092,0.318,0.055,0.102,0,0.112,0.162
"P12","A Patricia Bullrich",0.097,0.06,0.813,0.083,0.115,0.028,0.509,0.45,0.134,0.379
"P12","A Facundo Manes",0.006,0.009,0.012,0.602,0.036,0.41,0.005,0,0.268,0.106
"P12","A Gerardo Morales",0.025,0.029,0.008,0.163,0.114,0.316,0.054,0.55,0.287,0.175
"P13","Seguro lo votaria",0.17,0.228,0.165,0.198,0.209,0.04,0.74,0.55,0.125,0.089
"P13","Quizás lo votaría",0.43,0.295,0.37,0.232,0.314,0.181,0.061,0.45,0.359,0.425
"P13","Nunca lo votaría",0.4,0.477,0.465,0.57,0.477,0.779,0.199,0,0.516,0.486
"P14","Lo votaría",0.807,0.251,0.35,0.077,0.075,0.012,0.115,0.063,0.057,0.028
"P14","Puede que lo vote",0.12,0.352,0.385,0.295,0.109,0.024,0.365,0.174,0.112,0.174
"P14","Nunca lo votaría",0.062,0.297,0.202,0.512,0.759,0.889,0.416,0.728,0.672,0.54
"P14","No sabe",0.011,0.1,0.063,0.116,0.057,0.075,0.104,0.035,0.159,0.258
"P15","Lo votaría",0.09,0.043,0.045,0.046,0.337,0.241,0.041,0.026,0.173,0.057
"P15","Puede que lo vote",0.102,0.131,0.072,0.205,0.285,0.376,0.097,0.188,0.186,0.173
"P15","Nunca lo votaría",0.782,0.757,0.86,0.623,0.293,0.286,0.816,0.631,0.504,0.49
"P15","No sabe",0.026,0.069,0.023,0.126,0.085,0.097,0.046,0.155,0.137,0.28
"P16","Lo votaría",0.052,0.024,0.014,0.02,0.77,0.242,0.018,0.019,0.07,0.027
"P16","Puede que lo vote",0.04,0.085,0.018,0.129,0.18,0.429,0.026,0.244,0.165,0.133
"P16","Nunca lo votaría",0.894,0.861,0.952,0.78,0.037,0.229,0.918,0.538,0.583,0.591
"P16","No sabe",0.014,0.03,0.016,0.071,0.013,0.1,0.038,0.199,0.182,0.249
"P17","La votaría",0.031,0.033,0.012,0.042,0.667,0.855,0.017,0.118,0.12,0.064
"P17","Puede que la vote",0.028,0.029,0.004,0.087,0.23,0.083,0.016,0.237,0.109,0.118
"P17","Nunca la votaría",0.926,0.906,0.972,0.839,0.053,0.041,0.94,0.614,0.625,0.62
"P17","No sabe",0.015,0.032,0.012,0.032,0.05,0.021,0.027,0.031,0.146,0.198
"P18","Lo votaría",0.212,0.552,0.127,0.126,0.078,0.094,0.04,0.01,0.049,0.032
"P18","Puede que lo vote",0.448,0.246,0.46,0.394,0.13,0.032,0.211,0.155,0.199,0.245
"P18","Nunca lo votaría",0.296,0.176,0.345,0.342,0.699,0.837,0.634,0.809,0.592,0.442
"P18","No sabe",0.044,0.026,0.068,0.138,0.093,0.037,0.115,0.026,0.16,0.281
"P19","Lo votaría",0.071,0.165,0.056,0.529,0.08,0.029,0.038,0,0.06,0.021
"P19","Puede que lo vote",0.309,0.325,0.34,0.294,0.128,0.099,0.152,0.196,0.195,0.241
"P19","Nunca lo votaría",0.549,0.358,0.519,0.084,0.593,0.74,0.641,0.645,0.541,0.341
"P19","No sabe",0.071,0.152,0.085,0.093,0.199,0.132,0.169,0.159,0.204,0.397
"P20","La votaría",0.557,0.218,0.781,0.148,0.066,0.013,0.175,0.018,0.074,0.083
"P20","Puede que la vote",0.266,0.392,0.13,0.354,0.095,0.017,0.378,0.065,0.115,0.184
"P20","Nunca la votaría",0.137,0.298,0.074,0.415,0.744,0.922,0.376,0.901,0.663,0.501
"P20","No sabe",0.04,0.092,0.015,0.083,0.095,0.048,0.071,0.016,0.148,0.232
"P21","Lo votaría",0.207,0.122,0.259,0.103,0.099,0.016,0.798,0.055,0.05,0.065
"P21","Puede que lo vote",0.321,0.279,0.328,0.205,0.138,0.031,0.143,0.086,0.114,0.181
"P21","Nunca lo votaría",0.422,0.518,0.336,0.609,0.664,0.907,0.044,0.824,0.701,0.551
"P21","No sabe",0.05,0.081,0.077,0.083,0.099,0.046,0.015,0.035,0.135,0.203
"P22","La votaría",0.272,0.24,0.208,0.155,0.077,0.017,0.118,0,0.1,0.047
"P22","Puede que la vote",0.338,0.356,0.391,0.227,0.124,0.018,0.217,0.074,0.112,0.163
"P22","Nunca la votaría",0.288,0.283,0.317,0.503,0.662,0.906,0.526,0.91,0.613,0.511
"P22","No sabe",0.102,0.121,0.084,0.115,0.137,0.059,0.139,0.016,0.175,0.279
"P23","Lo votaría",0.07,0.048,0.015,0.034,0.067,0.361,0.027,0.017,0.112,0.033
"P23","Puede que lo vote",0.085,0.103,0.088,0.115,0.117,0.27,0.033,0.238,0.165,0.101
"P23","Nunca lo votaría",0.788,0.707,0.862,0.714,0.635,0.296,0.735,0.693,0.516,0.488
"P23","No sabe",0.057,0.142,0.035,0.137,0.181,0.073,0.205,0.052,0.207,0.378
"P24","Lo votaría",0.065,0.084,0.042,0.247,0.049,0.051,0.03,0.037,0.078,0.025
"P24","Puede que lo vote",0.299,0.229,0.284,0.22,0.069,0.075,0.082,0.116,0.117,0.11
"P24","Nunca lo votaría",0.551,0.509,0.577,0.352,0.664,0.753,0.698,0.665,0.577,0.458
"P24","No sabe",0.085,0.178,0.097,0.181,0.218,0.121,0.19,0.182,0.228,0.407
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.349,0.62,0.021,0.04,0.041,0.011,0.007,0,0.045,0.053
"P26","Patricia Bullrich por Juntos por el Cambio",0.521,0.264,0.731,0.031,0.03,0.003,0.04,0,0.039,0.082
"P26","Facundo Manes por Juntos por el Cambio",0.024,0.017,0.191,0.627,0.009,0.01,0.009,0.013,0.04,0.039
"P26","Wado de Pedro por el Frente de Todos",0.003,0.023,0.006,0.111,0.191,0.408,0.003,0.026,0.12,0.03
"P26","Sergio Massa por el Frente de Todos",0.012,0.016,0.003,0.047,0.435,0.385,0.006,0.063,0.187,0.115
"P26","Javier Milei por los liberales libertarios",0.051,0.018,0.029,0.102,0.05,0.033,0.794,0.039,0.012,0.048
"P26","Nicolás del Caño por la izquierda",0.008,0,0.001,0.006,0.031,0.013,0.11,0.469,0.001,0.016
"P26","Otros candidatos",0.007,0.019,0.002,0.007,0.064,0.023,0.007,0.286,0.337,0.049
"P26","Aún no lo tengo decidido",0.025,0.023,0.016,0.029,0.149,0.114,0.024,0.104,0.219,0.568
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.025,0.022,0.01,0.054,0.677,0.952,0.005,0.044,0.106,0.082
"P27","Mauricio Macri por Juntos por el Cambio",0.894,0.465,0.543,0.141,0.047,0.006,0.027,0.02,0.047,0.072
"P27","Javier Milei por los liberales libertarios",0.039,0.114,0.198,0.172,0.069,0.002,0.927,0.04,0.04,0.066
"P27","Nicolás del Caño por la izquierda",0.002,0.019,0.009,0.048,0.041,0.004,0.013,0.777,0.037,0.022
"P27","Otro candidato",0.013,0.206,0.148,0.335,0.068,0.006,0.011,0.026,0.579,0.177
"P27","Aún no lo tengo decidido",0.027,0.174,0.092,0.25,0.098,0.03,0.017,0.093,0.191,0.581
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.52,0.792,0.413,0.201,0.108,0.099,0.014,0.005,0.06,0.088
"P29","Wado de Pedro por el Frente de Todos",0.094,0.052,0.069,0.079,0.246,0.706,0.004,0.069,0.151,0.083
"P29","Javier Milei por los liberales libertarios",0.177,0.052,0.252,0.155,0.112,0.018,0.942,0.047,0.052,0.088
"P29","Nicolás del Caño por la izquierda",0.005,0.023,0.005,0.038,0.035,0.016,0,0.703,0.003,0.033
"P29","Otro candidato",0.105,0.038,0.17,0.36,0.217,0.055,0.01,0.041,0.537,0.127
"P29","Aún no lo tengo decidido",0.099,0.043,0.091,0.167,0.282,0.106,0.03,0.135,0.197,0.581
"P31","Sergio Massa por el Frente de Todos",0.051,0.12,0.044,0.123,0.458,0.642,0.011,0.065,0.232,0.165
"P31","Patricia Bullrich por Juntos por el Cambio",0.724,0.497,0.814,0.211,0.133,0.042,0.053,0.021,0.084,0.183
"P31","Javier Milei por los liberales libertarios",0.116,0.098,0.082,0.128,0.095,0.015,0.91,0.047,0.011,0.052
"P31","Nicolás del Caño por la izquierda",0,0.05,0.002,0.024,0.012,0.038,0.002,0.785,0.041,0.015
"P31","Otro candidato",0.039,0.112,0.041,0.34,0.119,0.136,0.004,0.062,0.469,0.083
"P31","Aún no lo tengo decidido",0.07,0.123,0.017,0.174,0.183,0.127,0.02,0.02,0.163,0.502
"P33","Sergio Massa por el Frente de Todos",0.093,0.065,0.064,0.158,0.54,0.594,0.007,0.073,0.234,0.13
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.556,0.771,0.45,0.237,0.098,0.076,0.01,0.021,0.072,0.138
"P33","Javier Milei por los liberales libertarios",0.166,0.058,0.249,0.065,0.052,0.023,0.951,0.047,0.052,0.063
"P33","Nicolás del Caño por la izquierda",0.01,0.018,0.005,0.031,0.012,0.034,0.002,0.807,0.042,0.055
"P33","Otro candidato",0.098,0.037,0.15,0.338,0.154,0.149,0.01,0.041,0.461,0.083
"P33","Aún no lo tengo decidido",0.077,0.051,0.082,0.171,0.144,0.124,0.02,0.011,0.139,0.531
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.07,0.063,0.053,0.061,0.606,0.914,0.001,0.073,0.135,0.102
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.592,0.827,0.435,0.298,0.102,0.031,0.009,0.009,0.093,0.176
"P35","Javier Milei por los liberales libertarios",0.182,0.029,0.278,0.133,0.079,0.005,0.954,0.059,0.043,0.069
"P35","Nicolás del Caño por la izquierda",0,0.026,0.006,0.032,0.026,0.008,0,0.689,0.01,0.034
"P35","Otro candidato",0.086,0.025,0.165,0.314,0.091,0.018,0.013,0.053,0.522,0.114
"P35","Aún no lo tengo decidido",0.07,0.03,0.063,0.162,0.096,0.024,0.023,0.117,0.197,0.505
"P36","Sergio Massa por el Frente de Todos",0.045,0.066,0.034,0.112,0.562,0.689,0.011,0.037,0.208,0.155
"P36","Mauricio Macri por Juntos por el Cambio",0.856,0.514,0.543,0.195,0.097,0.007,0.039,0.021,0.062,0.1
"P36","Javier Milei por los liberales libertarios",0.061,0.122,0.24,0.13,0.073,0.017,0.905,0.066,0.046,0.046
"P36","Nicolás del Caño por la izquierda",0.002,0.031,0.007,0.03,0.031,0.033,0.002,0.695,0.035,0.038
"P36","Otro candidato",0.026,0.175,0.122,0.36,0.135,0.142,0.025,0.041,0.486,0.109
"P36","Aún no lo tengo decidido",0.01,0.092,0.054,0.173,0.102,0.112,0.018,0.14,0.163,0.552
"P37","Wado de Pedro por el Frente de Todos",0.02,0.033,0.016,0.119,0.4,0.761,0.004,0.077,0.188,0.118
"P37","Mauricio Macri por Juntos por el Cambio",0.905,0.476,0.583,0.176,0.083,0.007,0.031,0.025,0.062,0.117
"P37","Javier Milei por los liberales libertarios",0.041,0.133,0.219,0.124,0.077,0.016,0.926,0.081,0.05,0.047
"P37","Nicolás del Caño por la izquierda",0.006,0.046,0.004,0.035,0.04,0.021,0,0.607,0.03,0.021
"P37","Otro candidato",0.021,0.189,0.119,0.409,0.141,0.084,0.012,0.121,0.512,0.173
"P37","Aún no lo tengo decidido",0.007,0.123,0.059,0.137,0.259,0.111,0.027,0.089,0.158,0.524
"P38","Wado de Pedro por el Frente de Todos",0.029,0.038,0.012,0.109,0.373,0.775,0.004,0.09,0.196,0.127
"P38","Patricia Bullrich por Juntos por el Cambio",0.81,0.506,0.839,0.249,0.064,0.007,0.048,0.026,0.105,0.186
"P38","Javier Milei por los liberales libertarios",0.06,0.15,0.081,0.108,0.019,0.011,0.923,0.088,0.034,0.034
"P38","Nicolás del Caño por la izquierda",0.004,0.032,0.003,0.041,0.036,0.024,0,0.673,0.006,0.03
"P38","Otro candidato",0.039,0.175,0.026,0.396,0.232,0.08,0.01,0.043,0.528,0.141
"P38","Aún no lo tengo decidido",0.058,0.099,0.039,0.097,0.276,0.103,0.015,0.08,0.131,0.482
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.033,0.017,0.007,0.046,0.655,0.944,0,0.141,0.149,0.133
"P39","Patricia Bullrich por Juntos por el Cambio",0.792,0.532,0.888,0.257,0.055,0.002,0.045,0.03,0.125,0.231
"P39","Javier Milei por los liberales libertarios",0.068,0.159,0.067,0.117,0.023,0.005,0.924,0.099,0.033,0.03
"P39","Nicolás del Caño por la izquierda",0.01,0.021,0.008,0.042,0.038,0.005,0.006,0.667,0.015,0.026
"P39","Otro candidato",0.045,0.168,0.015,0.391,0.081,0.023,0.015,0.034,0.498,0.12
"P39","Aún no lo tengo decidido",0.052,0.103,0.015,0.147,0.148,0.021,0.01,0.029,0.18,0.46
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.121,0.063,0.112,0.171,0.848,0.871,0.02,0.505,0.227,0.203
"P40","Mauricio Macri por Juntos por el Cambio",0.857,0.58,0.75,0.323,0.076,0.118,0.466,0.15,0.193,0.217
"P40","No sabe",0.022,0.357,0.138,0.506,0.076,0.011,0.514,0.345,0.58,0.58
"P41","Wado de Pedro por el Frente de Todos",0.026,0.022,0.034,0.148,0.394,0.854,0.022,0.407,0.22,0.191
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.788,0.896,0.712,0.499,0.051,0.018,0.347,0.114,0.232,0.24
"P41","No sabe",0.186,0.082,0.254,0.353,0.555,0.128,0.631,0.479,0.548,0.569
"P42","Sergio Massa por el Frente de Todos",0.032,0.086,0.02,0.15,0.63,0.778,0.037,0.415,0.373,0.223
"P42","Patricia Bullrich por Juntos por el Cambio",0.898,0.675,0.902,0.44,0.078,0.022,0.53,0.135,0.206,0.274
"P42","No sabe",0.07,0.239,0.078,0.41,0.292,0.2,0.433,0.45,0.421,0.503
"P43","Sergio Massa por el Frente de Todos",0.015,0.068,0.016,0.229,0.646,0.824,0.035,0.387,0.39,0.242
"P43","Mauricio Macri por Juntos por el Cambio",0.955,0.649,0.85,0.385,0.063,0.012,0.542,0.17,0.191,0.195
"P43","No sabe",0.03,0.283,0.134,0.386,0.291,0.164,0.423,0.443,0.419,0.563
"P44","Sergio Massa por el Frente de Todos",0.031,0.088,0.02,0.194,0.632,0.82,0.01,0.332,0.349,0.239
"P44","Javier Milei por los liberales libertarios",0.554,0.42,0.665,0.232,0.061,0.013,0.881,0.168,0.23,0.169
"P44","No sabe",0.415,0.492,0.315,0.574,0.307,0.167,0.109,0.5,0.421,0.592
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.33,0.438,0.252,0.313,0.479,0.384,0.021,0.249,0.326,0.246
"P45","Javier Milei por los liberales libertarios",0.403,0.21,0.491,0.265,0.057,0.032,0.928,0.167,0.099,0.173
"P45","No sabe",0.267,0.352,0.257,0.422,0.464,0.584,0.051,0.584,0.575,0.581
"P46","Patricia Bullrich por Juntos por el Cambio",0.872,0.616,0.873,0.384,0.12,0.063,0.493,0.134,0.226,0.292
"P46","Wado de Pedro por el Frente de Todos",0.039,0.106,0.069,0.17,0.372,0.734,0.157,0.417,0.231,0.214
"P46","No sabe",0.089,0.278,0.058,0.446,0.508,0.203,0.35,0.449,0.543,0.494
"P47","Patricia Bullrich por Juntos por el Cambio",0.958,0.671,0.97,0.463,0.083,0.02,0.607,0.157,0.265,0.357
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.018,0.022,0.012,0.182,0.781,0.96,0.041,0.489,0.241,0.178
"P47","No sabe",0.024,0.307,0.018,0.355,0.136,0.02,0.352,0.354,0.494,0.465
"P48","Muy buena",0.099,0.099,0.138,0.086,0.352,0.11,0.067,0.03,0.089,0.075
"P48","Buena",0.016,0.006,0.004,0.015,0.353,0.447,0.031,0.068,0.075,0.074
"P48","Ni buena ni mala",0.046,0.092,0.038,0.194,0.217,0.296,0.083,0.371,0.258,0.27
"P48","Mala",0.076,0.166,0.053,0.196,0.035,0.107,0.05,0.179,0.283,0.18
"P48","Muy mala",0.761,0.635,0.765,0.509,0.043,0.022,0.767,0.329,0.295,0.367
"P48","No sabe",0.002,0.002,0.002,0,0,0.018,0.002,0.023,0,0.034
"P49","Muy buena",0.009,0.004,0.018,0.015,0.456,0.112,0.015,0.061,0.051,0.024
"P49","Buena",0.02,0.031,0.004,0.024,0.338,0.362,0.014,0.108,0.066,0.07
"P49","Ni buena ni mala",0.03,0.062,0.027,0.23,0.127,0.372,0.053,0.268,0.312,0.253
"P49","Mala",0.158,0.192,0.098,0.223,0.059,0.108,0.059,0.242,0.188,0.178
"P49","Muy mala",0.782,0.701,0.843,0.508,0.02,0.039,0.847,0.321,0.383,0.422
"P49","No sabe",0.001,0.01,0.01,0,0,0.007,0.012,0,0,0.053
"P50","Muy buena",0.027,0.003,0.015,0.058,0.493,0.741,0.015,0.122,0.124,0.091
"P50","Buena",0.004,0.026,0.006,0.062,0.265,0.17,0.015,0.176,0.048,0.076
"P50","Ni buena ni mala",0.011,0.032,0.019,0.135,0.152,0.071,0.025,0.189,0.265,0.17
"P50","Mala",0.073,0.083,0.052,0.1,0.061,0.01,0.041,0.225,0.116,0.104
"P50","Muy mala",0.881,0.849,0.907,0.645,0.01,0.007,0.903,0.288,0.447,0.513
"P50","No sabe",0.004,0.007,0.001,0,0.019,0.001,0.001,0,0,0.046
"P51","Muy buena",0.56,0.142,0.212,0.017,0.159,0.108,0.067,0.053,0.1,0.068
"P51","Buena",0.235,0.268,0.382,0.152,0.091,0.031,0.159,0.183,0.056,0.095
"P51","Ni buena ni mala",0.038,0.284,0.185,0.248,0.076,0.02,0.27,0.101,0.183,0.238
"P51","Mala",0.012,0.1,0.073,0.274,0.364,0.143,0.207,0.045,0.162,0.195
"P51","Muy mala",0.155,0.199,0.147,0.309,0.278,0.685,0.293,0.618,0.499,0.356
"P51","No sabe",0,0.007,0.001,0,0.032,0.013,0.004,0,0,0.048
"P52","Muy buena",0.314,0.524,0.148,0.143,0.1,0.013,0.044,0.031,0.049,0.052
"P52","Buena",0.374,0.326,0.364,0.263,0.074,0.013,0.169,0.068,0.073,0.154
"P52","Ni buena ni mala",0.225,0.099,0.319,0.31,0.275,0.086,0.233,0.149,0.306,0.271
"P52","Mala",0.044,0.026,0.096,0.102,0.243,0.191,0.198,0.234,0.157,0.167
"P52","Muy mala",0.043,0.025,0.066,0.145,0.217,0.665,0.35,0.518,0.385,0.192
"P52","No sabe",0,0,0.007,0.037,0.091,0.032,0.006,0,0.03,0.164
"P53","Muy buena",0.034,0.077,0.018,0.058,0.332,0.168,0.026,0.031,0.098,0.048
"P53","Buena",0.072,0.109,0.055,0.073,0.37,0.328,0.017,0.096,0.167,0.147
"P53","Ni buena ni mala",0.093,0.167,0.087,0.262,0.148,0.285,0.103,0.229,0.224,0.203
"P53","Mala",0.17,0.213,0.15,0.168,0.037,0.108,0.164,0.27,0.154,0.156
"P53","Muy mala",0.626,0.431,0.685,0.418,0.048,0.099,0.686,0.374,0.357,0.312
"P53","No sabe",0.005,0.003,0.005,0.021,0.065,0.012,0.004,0,0,0.134
"P54","Muy buena",0.514,0.221,0.617,0.095,0.133,0.038,0.154,0,0.125,0.117
"P54","Buena",0.282,0.322,0.204,0.219,0.101,0.041,0.261,0.033,0.062,0.105
"P54","Ni buena ni mala",0.087,0.22,0.032,0.238,0.186,0.075,0.265,0.25,0.169,0.19
"P54","Mala",0.02,0.118,0.036,0.152,0.225,0.111,0.081,0.101,0.148,0.195
"P54","Muy mala",0.092,0.098,0.102,0.278,0.304,0.723,0.223,0.616,0.49,0.307
"P54","No sabe",0.005,0.021,0.009,0.018,0.051,0.012,0.016,0,0.006,0.086
"P55","Muy buena",0.162,0.11,0.177,0.089,0.086,0.016,0.666,0.1,0.098,0.016
"P55","Buena",0.234,0.161,0.333,0.061,0.169,0.013,0.227,0.041,0.045,0.081
"P55","Ni buena ni mala",0.398,0.387,0.305,0.341,0.206,0.067,0.082,0.047,0.234,0.324
"P55","Mala",0.096,0.178,0.102,0.136,0.164,0.126,0.003,0.178,0.222,0.138
"P55","Muy mala",0.081,0.146,0.062,0.367,0.289,0.754,0.015,0.634,0.387,0.314
"P55","No sabe",0.029,0.018,0.021,0.006,0.086,0.024,0.007,0,0.014,0.127
"P56","Muy buena",0.425,0.33,0.247,0.208,0.069,0.004,0.171,0.143,0.071,0.052
"P56","Buena",0.269,0.39,0.379,0.219,0.084,0.008,0.187,0.018,0.145,0.089
"P56","Ni buena ni mala",0.195,0.129,0.244,0.197,0.22,0.047,0.196,0.103,0.178,0.316
"P56","Mala",0.06,0.085,0.078,0.165,0.259,0.157,0.166,0.097,0.188,0.157
"P56","Muy mala",0.04,0.048,0.044,0.202,0.309,0.765,0.273,0.639,0.394,0.263
"P56","No sabe",0.011,0.018,0.008,0.009,0.059,0.019,0.007,0,0.024,0.123
"P57","Muy buena",0.07,0.056,0.025,0.089,0.161,0.4,0.029,0.058,0.08,0.065
"P57","Buena",0.042,0.111,0.07,0.089,0.282,0.271,0.025,0.168,0.177,0.051
"P57","Ni buena ni mala",0.178,0.211,0.144,0.303,0.247,0.138,0.202,0.335,0.205,0.276
"P57","Mala",0.174,0.224,0.181,0.188,0.13,0.048,0.127,0.161,0.196,0.15
"P57","Muy mala",0.494,0.31,0.55,0.317,0.065,0.098,0.515,0.264,0.24,0.234
"P57","No sabe",0.042,0.088,0.03,0.014,0.115,0.045,0.102,0.014,0.102,0.224
"P58","Muy buena",0.055,0.111,0.057,0.532,0.037,0.101,0.058,0.033,0.03,0.035
"P58","Buena",0.173,0.23,0.133,0.293,0.178,0.108,0.084,0,0.161,0.172
"P58","Ni buena ni mala",0.313,0.399,0.361,0.098,0.396,0.331,0.337,0.416,0.28,0.358
"P58","Mala",0.203,0.091,0.211,0.023,0.112,0.193,0.141,0.208,0.219,0.156
"P58","Muy mala",0.218,0.09,0.216,0.054,0.088,0.202,0.297,0.188,0.171,0.127
"P58","No sabe",0.038,0.079,0.022,0,0.189,0.065,0.083,0.155,0.139,0.152
"P59","Muy buena",0.104,0.076,0.068,0.255,0.024,0.017,0.032,0.101,0.082,0.023
"P59","Buena",0.221,0.233,0.204,0.186,0.09,0.018,0.069,0.01,0.13,0.112
"P59","Ni buena ni mala",0.307,0.367,0.392,0.32,0.277,0.185,0.289,0.193,0.31,0.314
"P59","Mala",0.153,0.071,0.145,0.102,0.213,0.172,0.142,0.23,0.127,0.142
"P59","Muy mala",0.151,0.083,0.145,0.064,0.192,0.533,0.324,0.329,0.262,0.206
"P59","No sabe",0.064,0.17,0.046,0.073,0.204,0.075,0.144,0.137,0.089,0.203
