"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P21","Puede que lo vote",0.291,0.054,0.205,0.124,0.211,0.184
"P21","Nunca lo votaría",0.522,0.871,0.063,0.724,0.634,0.606
"P21","No sabe",0.082,0.034,0.02,0.143,0.092,0.149
"P22","La votaría",0.275,0.034,0.151,0.022,0.073,0.07
"P22","Puede que la vote",0.359,0.074,0.255,0.089,0.197,0.16
"P22","Nunca la votaría",0.271,0.847,0.483,0.746,0.628,0.501
"P22","No sabe",0.095,0.045,0.111,0.143,0.102,0.269
"P23","Lo votaría",0.066,0.405,0.028,0.03,0.026,0.03
"P23","Puede que lo vote",0.097,0.271,0.058,0.259,0.126,0.103
"P23","Nunca lo votaría",0.754,0.271,0.754,0.474,0.754,0.6
"P23","No sabe",0.083,0.053,0.16,0.237,0.094,0.267
"P24","Lo votaría",0.096,0.055,0.039,0.011,0.067,0.022
"P24","Puede que lo vote",0.285,0.106,0.126,0.175,0.179,0.122
"P24","Nunca lo votaría",0.485,0.758,0.676,0.514,0.626,0.512
"P24","No sabe",0.134,0.081,0.159,0.3,0.128,0.344
"P25","Mauricio Macri por Juntos por el Cambio",0.279,0.055,0.1,0.026,0.119,0.097
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.26,0.019,0.018,0.083,0.026,0.025
"P25","Patricia Bullrich por Juntos por el Cambio",0.263,0.048,0.17,0.032,0.228,0.106
"P25","Facundo Manes por Juntos por el Cambio",0.032,0.014,0.026,0.067,0.121,0.048
"P25","Alberto Fernández por el Frente de Todos",0.03,0.075,0.033,0.108,0.127,0.142
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.093,0.731,0.017,0.17,0.11,0.182
"P25","Javier Milei por los liberales libertarios",0.009,0.002,0.598,0.002,0.013,0.033
"P25","Nicolás del Caño por la izquierda",0,0.004,0.003,0.403,0.004,0.013
"P25","Otros candidatos",0.009,0.026,0.009,0.005,0.177,0.056
"P25","Aún no lo tengo decidido",0.025,0.026,0.026,0.104,0.075,0.298
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.337,0.041,0.042,0.029,0.034,0.055
"P26","Patricia Bullrich por Juntos por el Cambio",0.42,0.065,0.211,0.063,0.278,0.171
"P26","Facundo Manes por Juntos por el Cambio",0.082,0.029,0.052,0.055,0.168,0.07
"P26","Wado de Pedro por el Frente de Todos",0.036,0.465,0.011,0.063,0.038,0.032
"P26","Sergio Massa por el Frente de Todos",0.073,0.318,0.018,0.217,0.18,0.162
"P26","Javier Milei por los liberales libertarios",0.018,0.022,0.568,0.007,0.024,0.039
"P26","Nicolás del Caño por la izquierda",0.004,0.007,0.071,0.293,0.014,0.013
"P26","Otros candidatos",0.006,0.013,0.005,0.186,0.17,0.032
"P26","Aún no lo tengo decidido",0.024,0.04,0.022,0.087,0.094,0.426
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.134,0.83,0.021,0.208,0.189,0.273
"P27","Mauricio Macri por Juntos por el Cambio",0.668,0.123,0.143,0.031,0.168,0.134
"P27","Javier Milei por los liberales libertarios",0.04,0.002,0.776,0.002,0.042,0.04
"P27","Nicolás del Caño por la izquierda",0.003,0.006,0.01,0.597,0.016,0.026
"P27","Otro candidato",0.095,0.02,0.015,0.057,0.477,0.063
"P27","Aún no lo tengo decidido",0.06,0.019,0.035,0.105,0.108,0.464
"P31","Sergio Massa por el Frente de Todos",0.149,0.63,0.032,0.248,0.171,0.153
"P31","Patricia Bullrich por Juntos por el Cambio",0.689,0.149,0.206,0.053,0.305,0.196
"P31","Javier Milei por los liberales libertarios",0.044,0.004,0.735,0.003,0.022,0.037
"P31","Nicolás del Caño por la izquierda",0.008,0.037,0.001,0.601,0.01,0.021
"P31","Otro candidato",0.048,0.11,0.008,0.077,0.457,0.038
"P31","Aún no lo tengo decidido",0.062,0.07,0.018,0.018,0.035,0.555
"P33","Sergio Massa por el Frente de Todos",0.117,0.628,0.032,0.214,0.207,0.167
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.773,0.119,0.052,0.015,0.111,0.088
"P33","Javier Milei por los liberales libertarios",0.033,0.014,0.864,0.022,0.036,0.053
"P33","Nicolás del Caño por la izquierda",0.001,0.036,0.011,0.615,0.017,0.021
"P33","Otro candidato",0.031,0.135,0.019,0.044,0.562,0.109
"P33","Aún no lo tengo decidido",0.045,0.068,0.022,0.09,0.067,0.562
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.153,0.805,0.028,0.227,0.189,0.284
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.767,0.099,0.047,0.028,0.167,0.101
"P35","Javier Milei por los liberales libertarios",0.036,0.015,0.875,0.042,0.062,0.049
"P35","Nicolás del Caño por la izquierda",0.002,0.019,0.004,0.514,0.004,0.018
"P35","Otro candidato",0.018,0.032,0.028,0.097,0.518,0.096
"P35","Aún no lo tengo decidido",0.024,0.03,0.018,0.092,0.06,0.452
"P36","Sergio Massa por el Frente de Todos",0.128,0.662,0.03,0.19,0.208,0.176
"P36","Mauricio Macri por Juntos por el Cambio",0.662,0.118,0.156,0.078,0.194,0.168
"P36","Javier Milei por los liberales libertarios",0.063,0.012,0.771,0.008,0.045,0.035
"P36","Nicolás del Caño por la izquierda",0.006,0.029,0.006,0.556,0.019,0.034
"P36","Otro candidato",0.089,0.119,0.017,0.088,0.465,0.112
"P36","Aún no lo tengo decidido",0.052,0.06,0.02,0.08,0.069,0.475
"P37","Wado de Pedro por el Frente de Todos",0.085,0.797,0.018,0.088,0.106,0.08
"P37","Mauricio Macri por Juntos por el Cambio",0.706,0.121,0.154,0.042,0.221,0.172
"P37","Javier Milei por los liberales libertarios",0.05,0.004,0.788,0.003,0.034,0.048
"P37","Nicolás del Caño por la izquierda",0.008,0.01,0.005,0.663,0.019,0.019
"P37","Otro candidato",0.098,0.033,0.015,0.081,0.531,0.127
"P37","Aún no lo tengo decidido",0.053,0.035,0.02,0.123,0.089,0.554
"P38","Wado de Pedro por el Frente de Todos",0.092,0.794,0.022,0.059,0.091,0.079
"P38","Patricia Bullrich por Juntos por el Cambio",0.713,0.112,0.251,0.065,0.347,0.219
"P38","Javier Milei por los liberales libertarios",0.048,0.009,0.688,0.003,0.016,0.043
"P38","Nicolás del Caño por la izquierda",0.009,0.004,0.005,0.708,0.02,0.018
"P38","Otro candidato",0.084,0.036,0.013,0.064,0.439,0.139
"P38","Aún no lo tengo decidido",0.054,0.045,0.021,0.101,0.087,0.502
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.105,0.818,0.022,0.315,0.228,0.233
"P39","Patricia Bullrich por Juntos por el Cambio",0.717,0.111,0.262,0.049,0.393,0.243
"P39","Javier Milei por los liberales libertarios",0.057,0.009,0.681,0.03,0.01,0.031
"P39","Nicolás del Caño por la izquierda",0.008,0.006,0.012,0.5,0.015,0.008
"P39","Otro candidato",0.077,0.037,0.007,0.056,0.289,0.099
"P39","Aún no lo tengo decidido",0.036,0.019,0.016,0.05,0.065,0.386
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.134,0.817,0.064,0.645,0.324,0.335
"P40","Mauricio Macri por Juntos por el Cambio",0.75,0.159,0.547,0.088,0.381,0.246
"P40","No sabe",0.116,0.024,0.389,0.267,0.295,0.419
"P41","Wado de Pedro por el Frente de Todos",0.099,0.84,0.028,0.404,0.151,0.126
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.844,0.122,0.416,0.099,0.321,0.222
"P41","No sabe",0.057,0.038,0.556,0.497,0.528,0.652
"P42","Sergio Massa por el Frente de Todos",0.112,0.739,0.049,0.48,0.24,0.221
"P42","Patricia Bullrich por Juntos por el Cambio",0.778,0.129,0.632,0.08,0.427,0.326
"P42","No sabe",0.11,0.132,0.319,0.44,0.333,0.453
"P43","Sergio Massa por el Frente de Todos",0.115,0.752,0.056,0.412,0.278,0.24
"P43","Mauricio Macri por Juntos por el Cambio",0.79,0.129,0.619,0.102,0.387,0.267
"P43","No sabe",0.095,0.119,0.325,0.486,0.335,0.493
"P44","Sergio Massa por el Frente de Todos",0.124,0.776,0.028,0.39,0.252,0.222
"P44","Javier Milei por los liberales libertarios",0.459,0.077,0.868,0.078,0.272,0.17
"P44","No sabe",0.417,0.147,0.104,0.532,0.476,0.608
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.417,0.425,0.029,0.244,0.338,0.239
"P45","Javier Milei por los liberales libertarios",0.243,0.058,0.902,0.046,0.234,0.133
"P45","No sabe",0.34,0.517,0.069,0.71,0.428,0.628
"P46","Patricia Bullrich por Juntos por el Cambio",0.76,0.145,0.587,0.102,0.47,0.332
"P46","Wado de Pedro por el Frente de Todos",0.098,0.745,0.149,0.389,0.179,0.118
"P46","No sabe",0.142,0.11,0.264,0.509,0.351,0.55
"P47","Patricia Bullrich por Juntos por el Cambio",0.813,0.14,0.687,0.086,0.539,0.365
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.098,0.839,0.061,0.607,0.248,0.309
"P47","No sabe",0.089,0.021,0.252,0.307,0.213,0.326
"P48","Muy buena",0.092,0.151,0.082,0.017,0.141,0.13
"P48","Buena",0.066,0.386,0.035,0.212,0.098,0.081
"P48","Ni buena ni mala",0.053,0.282,0.09,0.361,0.112,0.266
"P48","Mala",0.092,0.091,0.073,0.232,0.123,0.157
"P48","Muy mala",0.685,0.087,0.719,0.16,0.522,0.344
"P48","No sabe",0.012,0.003,0.001,0.018,0.004,0.022
"P49","Muy buena",0.018,0.123,0.018,0.053,0.078,0.089
"P49","Buena",0.055,0.323,0.026,0.23,0.077,0.085
"P49","Ni buena ni mala",0.066,0.326,0.06,0.324,0.114,0.258
"P49","Mala",0.139,0.093,0.089,0.199,0.176,0.162
"P49","Muy mala",0.712,0.134,0.791,0.189,0.55,0.389
"P49","No sabe",0.01,0.001,0.016,0.005,0.005,0.017
"P50","Muy buena",0.064,0.659,0.025,0.162,0.184,0.209
"P50","Buena",0.028,0.138,0.026,0.266,0.066,0.091
"P50","Ni buena ni mala",0.027,0.067,0.049,0.27,0.054,0.137
"P50","Mala",0.07,0.022,0.045,0.107,0.084,0.071
"P50","Muy mala",0.81,0.113,0.855,0.158,0.607,0.464
"P50","No sabe",0.001,0.001,0,0.037,0.005,0.028
"P51","Muy buena",0.33,0.121,0.125,0.076,0.172,0.13
"P51","Buena",0.274,0.061,0.222,0.081,0.171,0.131
"P51","Ni buena ni mala",0.145,0.031,0.239,0.068,0.173,0.154
"P51","Mala",0.064,0.143,0.167,0.225,0.14,0.185
"P51","Muy mala",0.187,0.635,0.245,0.518,0.341,0.355
"P51","No sabe",0,0.009,0.002,0.032,0.003,0.045
"P52","Muy buena",0.365,0.046,0.068,0.016,0.086,0.05
"P52","Buena",0.37,0.066,0.189,0.123,0.183,0.158
"P52","Ni buena ni mala",0.136,0.104,0.291,0.131,0.343,0.302
"P52","Mala",0.055,0.172,0.171,0.235,0.161,0.133
"P52","Muy mala",0.068,0.598,0.272,0.42,0.219,0.212
"P52","No sabe",0.006,0.014,0.009,0.075,0.008,0.145
"P53","Muy buena",0.057,0.177,0.03,0.097,0.076,0.072
"P53","Buena",0.106,0.317,0.046,0.113,0.107,0.159
"P53","Ni buena ni mala",0.105,0.273,0.107,0.239,0.176,0.218
"P53","Mala",0.182,0.091,0.154,0.251,0.153,0.146
"P53","Muy mala",0.541,0.137,0.657,0.261,0.475,0.324
"P53","No sabe",0.009,0.005,0.006,0.039,0.013,0.081
"P54","Muy buena",0.427,0.082,0.279,0.073,0.294,0.208
"P54","Buena",0.29,0.034,0.239,0.056,0.165,0.106
"P54","Ni buena ni mala",0.113,0.078,0.209,0.11,0.117,0.143
"P54","Mala",0.047,0.1,0.075,0.221,0.116,0.176
"P54","Muy mala",0.112,0.701,0.181,0.499,0.302,0.297
"P54","No sabe",0.011,0.005,0.017,0.041,0.006,0.07
"P55","Muy buena",0.089,0.03,0.563,0.096,0.06,0.043
"P55","Buena",0.206,0.047,0.274,0.011,0.165,0.091
"P55","Ni buena ni mala",0.348,0.092,0.138,0.197,0.332,0.303
"P55","Mala",0.156,0.114,0.008,0.153,0.159,0.152
"P55","Muy mala",0.174,0.711,0.012,0.537,0.264,0.272
"P55","No sabe",0.027,0.006,0.005,0.006,0.02,0.139
"P56","Muy buena",0.341,0.04,0.205,0.09,0.128,0.112
"P56","Buena",0.339,0.04,0.229,0.066,0.191,0.138
"P56","Ni buena ni mala",0.142,0.067,0.217,0.066,0.265,0.257
"P56","Mala",0.072,0.136,0.144,0.259,0.154,0.162
"P56","Muy mala",0.093,0.707,0.196,0.519,0.246,0.236
"P56","No sabe",0.013,0.01,0.009,0,0.016,0.095
"P57","Muy buena",0.072,0.421,0.033,0.085,0.056,0.045
"P57","Buena",0.071,0.284,0.056,0.106,0.101,0.11
"P57","Ni buena ni mala",0.147,0.108,0.214,0.512,0.235,0.263
"P57","Mala",0.221,0.032,0.125,0.087,0.197,0.145
"P57","Muy mala",0.447,0.124,0.496,0.181,0.359,0.227
"P57","No sabe",0.042,0.031,0.076,0.029,0.052,0.21
"P58","Muy buena",0.104,0.089,0.081,0.079,0.091,0.052
"P58","Buena",0.195,0.114,0.089,0.129,0.164,0.177
"P58","Ni buena ni mala",0.351,0.34,0.318,0.35,0.328,0.334
"P58","Mala",0.161,0.198,0.16,0.208,0.189,0.132
"P58","Muy mala",0.153,0.211,0.278,0.089,0.185,0.117
"P58","No sabe",0.036,0.048,0.074,0.145,0.043,0.188
"P59","Muy buena",0.11,0.024,0.054,0.017,0.068,0.02
"P59","Buena",0.228,0.039,0.099,0.106,0.143,0.118
"P59","Ni buena ni mala",0.348,0.198,0.296,0.259,0.289,0.374
"P59","Mala",0.107,0.173,0.157,0.198,0.178,0.131
"P59","Muy mala",0.119,0.512,0.276,0.193,0.25,0.159
"P59","No sabe",0.088,0.054,0.118,0.227,0.072,0.198
"P60","Siempre",0.286,0.313,0.247,0.23,0.29,0.234
"P60","Casi siempre",0.392,0.386,0.395,0.498,0.348,0.362
"P60","Casi nunca",0.208,0.224,0.247,0.109,0.281,0.265
"P60","Nunca, pero esta es una excepción",0.114,0.077,0.111,0.163,0.081,0.139
"P61","Si",0.558,0.624,0.552,0.477,0.552,0.538
"P61","No",0.442,0.376,0.448,0.523,0.448,0.462
