"var","categoria","Patricia Bullrich por Juntos por el Cambio","Sergio Massa por el Frente de Todos","En blanco","No sabe"
"P13","Javier Milei por la Libertad Avanza",0.332,0.063,0.329,0.186
"P13","Al candidato del Frente de Izquierda",0.002,0.024,0.085,0.027
"P13","En blanco",0.004,0.026,0.101,0.018
"P13","No sabe",0.016,0.079,0.051,0.209
"P16","Sergio Massa por el Frente de Todos",0.018,0.29,0.022,0.034
"P16","Wado de Pedro por el Frente de Todos",0.021,0.485,0.123,0.184
"P16","Daniel Scioli por el Frente de Todos",0.017,0.073,0.076,0.078
"P16","Patricia Bullrich por Juntos por el Cambio",0.55,0.03,0.061,0.111
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.117,0.027,0.087,0.098
"P16","Javier Milei por la Libertad Avanza",0.26,0.04,0.398,0.245
"P16","Al candidato del Frente de Izquierda",0.001,0.013,0.075,0.018
"P16","En blanco",0.004,0.007,0.1,0.013
"P16","No sabe",0.012,0.035,0.058,0.219
"P19","Sergio Massa por el Frente de Todos",0.022,0.279,0.018,0.025
"P19","Wado de Pedro por el Frente de Todos",0.029,0.538,0.132,0.225
"P19","Patricia Bullrich por Juntos por el Cambio",0.547,0.024,0.055,0.072
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.112,0.037,0.084,0.102
"P19","Javier Milei por la Libertad Avanza",0.254,0.058,0.429,0.254
"P19","Al candidato del Frente de Izquierda",0.018,0.025,0.1,0.048
"P19","En blanco",0.005,0.005,0.116,0.023
"P19","No sabe",0.013,0.034,0.066,0.251
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.032,0.771,0.084,0.184
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.564,0.049,0.059,0.09
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.098,0.047,0.101,0.107
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.036,0.012,0.032,0.02
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.249,0.038,0.417,0.292
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.003,0.028,0.106,0.029
"P22","En blanco",0.007,0.009,0.116,0.012
"P22","No sabe",0.011,0.046,0.085,0.266
"P25","Sergio Massa por el Frente de Todos",0.042,0.564,0.028,0.069
"P25","Daniel Scioli por el Frente de Todos",0.037,0.174,0.075,0.123
"P25","Patricia Bullrich por Juntos por el Cambio",0.541,0.049,0.066,0.081
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.104,0.03,0.1,0.116
"P25","Javier Milei por la Libertad Avanza",0.249,0.055,0.404,0.227
"P25","Al candidato del Frente de Izquierda",0.004,0.046,0.105,0.021
"P25","En blanco",0.005,0.019,0.152,0.031
"P25","No sabe",0.018,0.063,0.07,0.332
"P26","Wado de Pedro por el Frente de Todos",0.012,0.68,0.111,0.187
"P26","Daniel Scioli por el Frente de Todos",0.017,0.15,0.067,0.077
"P26","Patricia Bullrich por Juntos por el Cambio",0.594,0.019,0.061,0.067
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.097,0.026,0.094,0.108
"P26","Javier Milei por la Libertad Avanza",0.256,0.047,0.437,0.274
"P26","Al candidato del Frente de Izquierda",0.004,0.021,0.089,0.014
"P26","En blanco",0.005,0.013,0.092,0.027
"P26","No sabe",0.015,0.044,0.049,0.246
"P27","Sergio Massa por el Frente de Todos",0.013,0.761,0.032,0.056
"P27","Patricia Bullrich por Juntos por el Cambio",0.562,0.026,0.08,0.081
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.146,0.022,0.102,0.091
"P27","Javier Milei por la Libertad Avanza",0.239,0.045,0.396,0.29
"P27","Al candidato del Frente de Izquierda",0.018,0.053,0.141,0.076
"P27","En blanco",0.006,0.023,0.158,0.009
"P27","No sabe",0.016,0.07,0.091,0.397
"P28","Wado de Pedro por el Frente de Todos",0.009,0.775,0.12,0.186
"P28","Patricia Bullrich por Juntos por el Cambio",0.602,0.032,0.048,0.08
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.108,0.026,0.089,0.092
"P28","Javier Milei por la Libertad Avanza",0.247,0.047,0.443,0.302
"P28","Al candidato del Frente de Izquierda",0.008,0.028,0.082,0.045
"P28","En blanco",0.007,0.027,0.161,0.017
"P28","No sabe",0.019,0.065,0.057,0.278
"P29","Axel Kicillof por el Frente de Todos",0.02,0.783,0.125,0.197
"P29","Patricia Bullrich por Juntos por el Cambio",0.599,0.021,0.065,0.081
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.112,0.03,0.097,0.108
"P29","Javier Milei por la Libertad Avanza",0.25,0.046,0.456,0.306
"P29","Al candidato del Frente de Izquierda",0.003,0.027,0.083,0.016
"P29","En blanco",0.003,0.021,0.132,0.01
"P29","No sabe",0.013,0.072,0.042,0.282
"P30","Sergio Massa  por el Frente de Todos",0.015,0.797,0.042,0.082
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.341,0.03,0.104,0.089
"P30","Javier Milei por la Libertad Avanza",0.413,0.05,0.461,0.311
"P30","Al candidato del Frente de Izquierda",0.009,0.046,0.125,0.046
"P30","En blanco",0.054,0.021,0.179,0.059
"P30","No sabe",0.168,0.056,0.089,0.413
"P31","Sergio Massa  por el Frente de Todos",0.012,0.822,0.043,0.082
"P31","Patricia Bullrich por Juntos por el Cambio",0.64,0.018,0.066,0.081
"P31","Javier Milei por la Libertad Avanza",0.279,0.035,0.468,0.303
"P31","Al candidato del Frente de Izquierda",0.007,0.045,0.116,0.049
"P31","En blanco",0.013,0.029,0.227,0.035
"P31","No sabe",0.049,0.051,0.08,0.45
"P32","Wado de Pedro por el Frente de Todos",0.007,0.782,0.124,0.231
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.379,0.046,0.111,0.108
"P32","Javier Milei por la Libertad Avanza",0.415,0.062,0.482,0.299
"P32","Al candidato del Frente de Izquierda",0.004,0.024,0.068,0.035
"P32","En blanco",0.064,0.023,0.179,0.019
"P32","No sabe",0.131,0.063,0.036,0.308
"P33","Wado de Pedro por el Frente de Todos",0.008,0.802,0.135,0.243
"P33","Patricia Bullrich por Juntos por el Cambio",0.674,0.019,0.053,0.076
"P33","Javier Milei por la Libertad Avanza",0.271,0.057,0.475,0.296
"P33","Al candidato del Frente de Izquierda",0.002,0.031,0.079,0.035
"P33","En blanco",0.016,0.028,0.211,0.015
"P33","No sabe",0.029,0.063,0.047,0.335
"P34","Daniel Scioli por el Frente de Todos",0.019,0.677,0.083,0.105
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.379,0.038,0.089,0.14
"P34","Javier Milei por la Libertad Avanza",0.418,0.057,0.478,0.305
"P34","Al candidato del Frente de Izquierda",0.008,0.062,0.095,0.054
"P34","En blanco",0.062,0.041,0.218,0.044
"P34","No sabe",0.114,0.125,0.037,0.352
"P35","Daniel Scioli por el Frente de Todos",0.013,0.678,0.108,0.117
"P35","Patricia Bullrich por Juntos por el Cambio",0.658,0.018,0.056,0.093
"P35","Javier Milei por la Libertad Avanza",0.283,0.043,0.46,0.288
"P35","Al candidato del Frente de Izquierda",0.006,0.076,0.099,0.049
"P35","En blanco",0.015,0.058,0.237,0.029
"P35","No sabe",0.025,0.127,0.04,0.424
"P36","Axel Kicillof por el Frente de Todos",0.014,0.79,0.147,0.189
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.396,0.039,0.117,0.106
"P36","Javier Milei por la Libertad Avanza",0.428,0.052,0.467,0.34
"P36","Al candidato del Frente de Izquierda",0.004,0.03,0.08,0.035
"P36","En blanco",0.056,0.029,0.148,0.015
"P36","No sabe",0.102,0.06,0.041,0.315
"P37","Axel Kicillof por el Frente de Todos",0.014,0.81,0.148,0.176
"P37","Patricia Bullrich por Juntos por el Cambio",0.654,0.021,0.066,0.056
"P37","Javier Milei por la Libertad Avanza",0.289,0.046,0.469,0.331
"P37","Al candidato del Frente de Izquierda",0.005,0.033,0.081,0.037
"P37","En blanco",0.016,0.029,0.215,0.014
"P37","No sabe",0.022,0.061,0.021,0.386
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.574,0.038,0.132,0.115
"P38","Sergio Massa por el Frente de Todos",0.04,0.89,0.038,0.061
"P38","En blanco",0.188,0.024,0.681,0.051
"P38","No sabe",0.198,0.048,0.149,0.773
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.626,0.052,0.127,0.124
"P39","Wado de Pedro por el Frente de Todos",0.016,0.859,0.147,0.22
"P39","En blanco",0.196,0.033,0.695,0.048
"P39","No sabe",0.162,0.056,0.031,0.608
"P41","Patricia Bullrich por Juntos por el Cambio",0.97,0.051,0.109,0.135
"P41","Wado de Pedro  por el Frente de Todos",0.011,0.87,0.151,0.223
"P41","En blanco",0.01,0.034,0.685,0.044
"P41","No sabe",0.009,0.045,0.055,0.598
"P42","Patricia Bullrich por Juntos por el Cambio",0.959,0.038,0.129,0.147
"P42","Daniel Scioli por el Frente de Todos",0.019,0.806,0.109,0.143
"P42","En blanco",0.009,0.08,0.702,0.05
"P42","No sabe",0.013,0.076,0.06,0.66
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.656,0.061,0.117,0.136
"P43","Daniel Scioli por el Frente de Todos",0.025,0.778,0.138,0.144
"P43","En blanco",0.182,0.083,0.723,0.076
"P43","No sabe",0.137,0.078,0.022,0.644
"P44","Patricia Bullrich por Juntos por el Cambio",0.932,0.053,0.108,0.125
"P44","Axel Kicillof por el Frente de Todos",0.016,0.861,0.175,0.235
"P44","En blanco",0.031,0.029,0.69,0.06
"P44","No sabe",0.021,0.057,0.027,0.58
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.679,0.068,0.124,0.135
"P45","Axel Kicillof por el Frente de Todos",0.015,0.855,0.163,0.226
"P45","En blanco",0.18,0.031,0.668,0.063
"P45","No sabe",0.126,0.046,0.045,0.576
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.434,0.111,0.116,0.135
"P46","Javier Milei por los liberales libertarios",0.407,0.186,0.413,0.288
"P46","En blanco",0.066,0.476,0.45,0.125
"P46","No sabe",0.093,0.227,0.021,0.452
"P47","Patricia Bullrich por Juntos por el Cambio",0.687,0.057,0.065,0.068
"P47","Javier Milei por los liberales libertarios",0.284,0.105,0.465,0.316
"P47","En blanco",0.012,0.638,0.438,0.149
"P47","No sabe",0.017,0.2,0.032,0.467
"P48","Javier Milei por los liberales libertarios",0.641,0.035,0.451,0.296
"P48","Sergio Massa por el Frente de Todos",0.055,0.852,0.102,0.199
"P48","En blanco",0.153,0.081,0.438,0.082
"P48","No sabe",0.151,0.032,0.009,0.423
"P49","Javier Milei por los liberales libertarios",0.647,0.055,0.502,0.353
"P49","Wado de Pedro  por el Frente de Todos",0.021,0.866,0.177,0.252
"P49","En blanco",0.171,0.036,0.298,0.078
"P49","No sabe",0.161,0.043,0.023,0.317
"P50","Javier Milei por los liberales libertarios",0.651,0.055,0.492,0.35
"P50","Daniel Scioli por el Frente de Todos",0.029,0.815,0.154,0.159
"P50","En blanco",0.176,0.074,0.338,0.089
"P50","No sabe",0.144,0.056,0.016,0.402
"P51","Javier Milei por los liberales libertarios",0.666,0.061,0.513,0.396
"P51","Axel Kicillof por el Frente de Todos",0.017,0.867,0.179,0.222
"P51","En blanco",0.181,0.039,0.294,0.055
"P51","No sabe",0.136,0.033,0.014,0.327
"P52","Lo votaría",0.106,0.55,0.067,0.117
"P52","Puede que lo vote",0.029,0.356,0.088,0.144
"P52","Nunca lo votaría",0.812,0.06,0.754,0.46
"P52","No sabe",0.053,0.034,0.091,0.279
"P53","Lo votaría",0.035,0.718,0.141,0.175
"P53","Puede que lo vote",0.026,0.174,0.084,0.134
"P53","Nunca lo votaría",0.904,0.079,0.704,0.497
"P53","No sabe",0.035,0.029,0.071,0.194
"P54","Lo votaría",0.031,0.445,0.086,0.1
"P54","Puede que lo vote",0.048,0.358,0.09,0.124
"P54","Nunca lo votaría",0.89,0.124,0.76,0.552
"P54","No sabe",0.031,0.073,0.064,0.224
"P55","Lo votaría",0.021,0.726,0.134,0.195
"P55","Puede que lo vote",0.02,0.161,0.075,0.062
"P55","Nunca lo votaría",0.941,0.086,0.756,0.552
"P55","No sabe",0.018,0.027,0.035,0.191
"P56","La votaría",0.669,0.105,0.089,0.137
"P56","Puede que la vote",0.205,0.053,0.19,0.157
"P56","Nunca la votaría",0.117,0.808,0.66,0.515
"P56","No sabe",0.009,0.034,0.061,0.191
"P57","Lo votaría",0.328,0.047,0.09,0.13
"P57","Puede que lo vote",0.336,0.081,0.07,0.167
"P57","Nunca lo votaría",0.281,0.82,0.775,0.534
"P57","No sabe",0.055,0.052,0.065,0.169
"P58","Lo votaría",0.369,0.049,0.441,0.321
"P58","Puede que lo vote",0.304,0.058,0.051,0.107
"P58","Nunca lo votaría",0.274,0.848,0.485,0.43
"P58","No sabe",0.053,0.045,0.023,0.142
"P59","Lo votaría",0.091,0.052,0.077,0.166
"P59","Puede que lo vote",0.169,0.133,0.065,0.049
"P59","Nunca lo votaría",0.651,0.745,0.79,0.535
"P59","No sabe",0.089,0.07,0.068,0.25
"P60","Lo votaría",0.207,0.017,0.072,0.136
"P60","Puede que lo vote",0.417,0.063,0.15,0.105
"P60","Nunca lo votaría",0.289,0.865,0.705,0.538
"P60","No sabe",0.087,0.055,0.073,0.221
"P61","Muy buena",0.038,0.263,0.02,0.052
"P61","Buena",0.057,0.365,0.06,0.103
"P61","Ni buena ni mala",0.092,0.289,0.182,0.265
"P61","Mala",0.167,0.058,0.209,0.224
"P61","Muy mala",0.635,0.02,0.518,0.275
"P61","No sabe",0.011,0.005,0.011,0.081
"P62","Muy buena",0.011,0.562,0.138,0.189
"P62","Buena",0.012,0.245,0.082,0.093
"P62","Ni buena ni mala",0.131,0.119,0.125,0.214
"P62","Mala",0.205,0.031,0.155,0.148
"P62","Muy mala",0.602,0.028,0.465,0.27
"P62","No sabe",0.039,0.015,0.035,0.086
"P63","Muy buena",0.014,0.243,0.095,0.113
"P63","Buena",0.03,0.343,0.093,0.11
"P63","Ni buena ni mala",0.136,0.303,0.161,0.243
"P63","Mala",0.246,0.079,0.196,0.144
"P63","Muy mala",0.563,0.024,0.438,0.29
"P63","No sabe",0.011,0.008,0.017,0.1
"P64","Muy buena",0.016,0.652,0.123,0.214
"P64","Buena",0.01,0.177,0.059,0.082
"P64","Ni buena ni mala",0.055,0.094,0.117,0.138
"P64","Mala",0.148,0.032,0.146,0.097
"P64","Muy mala",0.755,0.039,0.53,0.386
"P64","No sabe",0.016,0.006,0.025,0.083
"P65","Muy buena",0.578,0.095,0.07,0.143
"P65","Buena",0.245,0.035,0.096,0.135
"P65","Ni buena ni mala",0.074,0.07,0.257,0.187
"P65","Mala",0.028,0.203,0.179,0.142
"P65","Muy mala",0.071,0.586,0.39,0.301
"P65","No sabe",0.004,0.011,0.008,0.092
"P66","Muy buena",0.211,0.03,0.058,0.097
"P66","Buena",0.275,0.063,0.072,0.127
"P66","Ni buena ni mala",0.227,0.122,0.183,0.211
"P66","Mala",0.146,0.275,0.169,0.168
"P66","Muy mala",0.131,0.501,0.51,0.313
"P66","No sabe",0.01,0.009,0.008,0.084
"P67","Muy buena",0.281,0.039,0.366,0.214
"P67","Buena",0.232,0.033,0.073,0.129
"P67","Ni buena ni mala",0.269,0.079,0.122,0.161
"P67","Mala",0.099,0.139,0.091,0.113
"P67","Muy mala",0.096,0.703,0.332,0.293
"P67","No sabe",0.023,0.007,0.016,0.09
"P68","Muy buena",0.059,0.044,0.082,0.138
"P68","Buena",0.112,0.053,0.034,0.07
"P68","Ni buena ni mala",0.306,0.245,0.296,0.261
"P68","Mala",0.186,0.223,0.165,0.124
"P68","Muy mala",0.278,0.4,0.379,0.255
"P68","No sabe",0.059,0.035,0.044,0.152
"P69","Muy buena",0.164,0.023,0.053,0.079
"P69","Buena",0.33,0.034,0.118,0.151
"P69","Ni buena ni mala",0.337,0.128,0.247,0.241
"P69","Mala",0.056,0.215,0.137,0.12
"P69","Muy mala",0.079,0.568,0.402,0.29
"P69","No sabe",0.034,0.032,0.043,0.119
"P70","Si",0.533,0.576,0.499,0.536
"P70","No",0.467,0.424,0.501,0.464
