"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Juan Schiaretti por Juntos por el Cambio","Jose Luis Espert por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P25","Al candidato del Frente de Izquierda",0.012,0.001,0.009,0.029,0.021,0.016,0.581,0.035,0.037
"P25","En blanco",0.005,0.005,0.022,0.029,0.021,0.008,0.077,0.507,0.057
"P25","No sabe",0.049,0.028,0.06,0.073,0.041,0.015,0.036,0.23,0.492
"P26","Wado de Pedro por el Frente de Todos",0.587,0.025,0.058,0.053,0.593,0.033,0.374,0.22,0.37
"P26","Daniel Scioli por el Frente de Todos",0.146,0.033,0.01,0.028,0.173,0.017,0.044,0.065,0.119
"P26","Patricia Bullrich por Juntos por el Cambio",0.04,0.857,0.125,0.044,0.074,0.371,0.026,0.034,0.027
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.123,0.025,0.696,0.047,0.022,0.018,0.025,0.024,0.038
"P26","Javier Milei por la Libertad Avanza",0.02,0.03,0.041,0.739,0.051,0.518,0.035,0.059,0.032
"P26","Al candidato del Frente de Izquierda",0.009,0.001,0.005,0.005,0.026,0.014,0.371,0.01,0.018
"P26","En blanco",0.013,0.004,0.021,0.023,0.02,0.007,0.086,0.384,0.04
"P26","No sabe",0.062,0.025,0.044,0.061,0.041,0.022,0.039,0.204,0.356
"P27","Sergio Massa por el Frente de Todos",0.724,0.03,0.045,0.054,0.763,0.023,0.183,0.066,0.224
"P27","Patricia Bullrich por Juntos por el Cambio",0.058,0.811,0.106,0.063,0.061,0.362,0.029,0.055,0.036
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.118,0.087,0.662,0.055,0.04,0.045,0.009,0.011,0.043
"P27","Javier Milei por la Libertad Avanza",0.027,0.026,0.104,0.684,0.049,0.502,0.04,0.049,0.037
"P27","Al candidato del Frente de Izquierda",0.021,0.011,0.024,0.061,0.037,0.037,0.537,0.084,0.033
"P27","En blanco",0.007,0.006,0.025,0.019,0.017,0.013,0.102,0.465,0.071
