"var","categoria","Sergio Massa  por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P66","Muy mala",0.522,0.018,0.307,0.604,0.329,0.164
"P66","No sabe",0.015,0.011,0.002,0.002,0.009,0.054
"P67","Muy buena",0.024,0.074,0.582,0.035,0.05,0.041
"P67","Buena",0.025,0.208,0.242,0.069,0.053,0.133
"P67","Ni buena ni mala",0.067,0.357,0.11,0.07,0.241,0.343
"P67","Mala",0.142,0.159,0.031,0.126,0.207,0.127
"P67","Muy mala",0.732,0.178,0.034,0.7,0.422,0.263
"P67","No sabe",0.01,0.024,0.001,0,0.027,0.093
"P68","Muy buena",0.023,0.05,0.123,0.012,0.079,0.035
"P68","Buena",0.047,0.142,0.1,0.038,0.032,0.059
"P68","Ni buena ni mala",0.248,0.384,0.276,0.186,0.21,0.277
"P68","Mala",0.228,0.187,0.16,0.299,0.176,0.171
"P68","Muy mala",0.42,0.185,0.296,0.452,0.455,0.309
"P68","No sabe",0.034,0.052,0.045,0.013,0.048,0.149
"P69","Muy buena",0.012,0.123,0.177,0.018,0.143,0.082
"P69","Buena",0.024,0.343,0.281,0.055,0.129,0.237
"P69","Ni buena ni mala",0.124,0.358,0.312,0.131,0.275,0.262
"P69","Mala",0.217,0.071,0.083,0.078,0.076,0.104
"P69","Muy mala",0.595,0.07,0.129,0.64,0.329,0.201
"P69","No sabe",0.028,0.035,0.018,0.078,0.048,0.114
"P70","Si",0.569,0.541,0.529,0.609,0.529,0.515
"P70","No",0.431,0.459,0.471,0.391,0.471,0.485
