"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P13","Wado de Pedro por el Frente de Todos",0.559,0.066,0.235,0.022,0.153,0.05,0.083
"P13","Patricia Bullrich por Juntos por el Cambio",0.027,0.537,0.108,0.033,0.016,0.058,0.072
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.042,0.474,0.018,0.02,0.012,0.05
"P13","Juan Schiaretti por Juntos por el Cambio",0.009,0.02,0.056,0.302,0.169,0.043,0.089
"P13","Jose Luis Espert por Juntos por el Cambio",0.259,0.015,0.025,0.054,0.099,0.141,0.045
"P13","Javier Milei por la Libertad Avanza",0.055,0.301,0.03,0.553,0.013,0.115,0.04
"P13","Al candidato del Frente de Izquierda",0.01,0.001,0.023,0.003,0.433,0.052,0.037
"P13","En blanco",0.018,0.003,0.002,0.003,0.009,0.379,0.078
"P13","No sabe",0.057,0.015,0.047,0.012,0.088,0.15,0.506
"P16","Sergio Massa por el Frente de Todos",0.229,0.036,0.069,0.025,0.114,0.139,0.171
"P16","Wado de Pedro por el Frente de Todos",0.591,0.022,0.023,0.019,0.15,0.053,0.045
"P16","Daniel Scioli por el Frente de Todos",0.069,0.023,0.022,0.025,0.058,0.171,0.091
"P16","Patricia Bullrich por Juntos por el Cambio",0.026,0.808,0.146,0.065,0.043,0.028,0.052
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.034,0.638,0.045,0.048,0.046,0.054
"P16","Javier Milei por la Libertad Avanza",0.029,0.064,0.055,0.799,0.129,0.052,0.053
"P16","Al candidato del Frente de Izquierda",0.007,0.001,0.012,0.002,0.349,0.057,0.024
"P16","En blanco",0.009,0.002,0.005,0.005,0.054,0.315,0.039
"P16","No sabe",0.02,0.01,0.03,0.015,0.055,0.139,0.471
"P19","Sergio Massa por el Frente de Todos",0.215,0.042,0.086,0.039,0.104,0.139,0.168
"P19","Wado de Pedro por el Frente de Todos",0.654,0.026,0.05,0.025,0.185,0.023,0.061
"P19","Patricia Bullrich por Juntos por el Cambio",0.036,0.815,0.11,0.059,0.04,0.041,0.053
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.035,0.684,0.022,0.06,0.022,0.076
"P19","Javier Milei por la Libertad Avanza",0.029,0.069,0.022,0.801,0.148,0.076,0.049
"P19","Al candidato del Frente de Izquierda",0.012,0.003,0.017,0.038,0.361,0.164,0.005
"P19","En blanco",0.004,0.002,0.013,0.003,0.09,0.357,0.071
"P19","No sabe",0.022,0.008,0.018,0.013,0.012,0.178,0.517
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.805,0.04,0.064,0.045,0.213,0.233,0.239
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.049,0.819,0.184,0.053,0.066,0.026,0.055
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.024,0.046,0.591,0.033,0.048,0.073,0.116
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.013,0.023,0.051,0.026,0.06,0.039,0.035
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.021,0.056,0.04,0.82,0.115,0.043,0.047
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.017,0.001,0.014,0.011,0.451,0.169,0.004
"P22","En blanco",0.019,0.006,0.024,0.004,0.013,0.272,0.056
"P22","No sabe",0.052,0.009,0.032,0.008,0.034,0.145,0.448
"P25","Sergio Massa por el Frente de Todos",0.565,0.057,0.06,0.049,0.071,0.147,0.17
"P25","Daniel Scioli por el Frente de Todos",0.178,0.053,0.033,0.034,0.106,0.164,0.094
"P25","Patricia Bullrich por Juntos por el Cambio",0.044,0.794,0.155,0.057,0.037,0.032,0.032
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.04,0.679,0.034,0.075,0.025,0.041
"P25","Javier Milei por la Libertad Avanza",0.027,0.036,0.051,0.797,0.172,0.029,0.043
"P25","Al candidato del Frente de Izquierda",0.037,0.003,0.003,0.006,0.479,0.162,0.007
"P25","En blanco",0.036,0.004,0.002,0.003,0.018,0.355,0.079
"P25","No sabe",0.09,0.013,0.017,0.02,0.042,0.086,0.534
"P26","Wado de Pedro por el Frente de Todos",0.809,0.014,0.009,0.012,0.106,0.112,0.05
"P26","Daniel Scioli por el Frente de Todos",0.127,0.032,0.026,0.015,0.124,0.148,0.162
"P26","Patricia Bullrich por Juntos por el Cambio",0.015,0.9,0.121,0.036,0.021,0.014,0.026
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.005,0.009,0.762,0.011,0.121,0.031,0.023
"P26","Javier Milei por la Libertad Avanza",0.009,0.027,0.048,0.903,0.133,0.03,0.06
"P26","Al candidato del Frente de Izquierda",0.005,0.003,0.013,0.003,0.419,0.171,0.002
"P26","En blanco",0.009,0.003,0.003,0.005,0.025,0.365,0.083
"P26","No sabe",0.021,0.012,0.018,0.015,0.051,0.129,0.594
"P27","Sergio Massa por el Frente de Todos",0.785,0.017,0.025,0.019,0.131,0.186,0.165
"P27","Patricia Bullrich por Juntos por el Cambio",0.022,0.882,0.06,0.031,0.032,0.025,0.042
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.005,0.067,0.825,0.017,0.026,0.036,0.023
"P27","Javier Milei por la Libertad Avanza",0.015,0.021,0.053,0.88,0.05,0.01,0.05
"P27","Al candidato del Frente de Izquierda",0.045,0.006,0.025,0.046,0.604,0.055,0.018
"P27","En blanco",0.033,0.001,0.001,0.003,0.092,0.528,0.033
"P27","No sabe",0.095,0.006,0.011,0.004,0.065,0.16,0.669
"P29","Axel Kicillof por el Frente de Todos",0.884,0.019,0.034,0.028,0.141,0.16,0.175
"P29","Patricia Bullrich por Juntos por el Cambio",0.02,0.931,0.053,0.025,0.047,0.029,0.02
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.007,0.857,0.007,0.076,0.03,0.073
"P29","Javier Milei por la Libertad Avanza",0.018,0.031,0.037,0.923,0.098,0.053,0.025
"P29","Al candidato del Frente de Izquierda",0.011,0.003,0.004,0.004,0.569,0.038,0.008
"P29","En blanco",0.011,0.001,0.002,0.001,0.031,0.627,0.054
"P29","No sabe",0.042,0.008,0.013,0.012,0.038,0.063,0.645
"P30","Sergio Massa  por el Frente de Todos",0.807,0.028,0.05,0.031,0.117,0.229,0.257
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.354,0.851,0.02,0.068,0.035,0.051
"P30","Javier Milei por la Libertad Avanza",0.02,0.254,0.052,0.914,0.131,0.084,0.026
"P30","Al candidato del Frente de Izquierda",0.045,0.009,0.005,0.013,0.561,0.061,0.017
"P30","En blanco",0.04,0.094,0.01,0.003,0.032,0.404,0.088
"P30","No sabe",0.073,0.261,0.032,0.019,0.091,0.187,0.561
"P31","Sergio Massa  por el Frente de Todos",0.821,0.016,0.071,0.037,0.182,0.256,0.25
"P31","Patricia Bullrich por Juntos por el Cambio",0.013,0.847,0.56,0.037,0.032,0.041,0.063
"P31","Javier Milei por la Libertad Avanza",0.011,0.069,0.071,0.899,0.09,0.09,0.035
"P31","Al candidato del Frente de Izquierda",0.048,0.005,0.028,0.002,0.522,0.012,0.017
"P31","En blanco",0.031,0.018,0.108,0.005,0.111,0.443,0.089
"P31","No sabe",0.076,0.045,0.162,0.02,0.063,0.158,0.546
"P32","Wado de Pedro por el Frente de Todos",0.918,0.012,0.028,0.02,0.226,0.091,0.109
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.425,0.863,0.011,0.042,0.033,0.093
"P32","Javier Milei por la Libertad Avanza",0.012,0.265,0.04,0.944,0.151,0.107,0.061
"P32","Al candidato del Frente de Izquierda",0.014,0.005,0,0.001,0.462,0.014,0.007
"P32","En blanco",0.014,0.102,0.016,0.002,0.06,0.676,0.094
"P32","No sabe",0.025,0.191,0.053,0.022,0.059,0.079,0.636
"P33","Wado de Pedro por el Frente de Todos",0.939,0.005,0.046,0.024,0.215,0.104,0.127
"P33","Patricia Bullrich por Juntos por el Cambio",0.009,0.887,0.586,0.032,0.057,0.041,0.08
"P33","Javier Milei por la Libertad Avanza",0.008,0.066,0.059,0.916,0.11,0.132,0.026
"P33","Al candidato del Frente de Izquierda",0.012,0.008,0.012,0.004,0.436,0.009,0.009
"P33","En blanco",0.013,0.016,0.127,0.002,0.147,0.583,0.09
"P33","No sabe",0.019,0.018,0.17,0.022,0.035,0.131,0.668
"P34","Daniel Scioli por el Frente de Todos",0.689,0.032,0.049,0.025,0.191,0.244,0.264
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.43,0.842,0.022,0.028,0.017,0.087
"P34","Javier Milei por la Libertad Avanza",0.025,0.268,0.033,0.918,0.101,0.126,0.052
"P34","Al candidato del Frente de Izquierda",0.057,0.007,0.002,0.011,0.551,0.011,0.016
"P34","En blanco",0.073,0.098,0.038,0.002,0.077,0.504,0.079
"P34","No sabe",0.14,0.165,0.036,0.022,0.052,0.098,0.502
"P35","Daniel Scioli por el Frente de Todos",0.695,0.025,0.077,0.026,0.175,0.296,0.253
"P35","Patricia Bullrich por Juntos por el Cambio",0.015,0.856,0.572,0.052,0.078,0.041,0.096
"P35","Javier Milei por la Libertad Avanza",0.014,0.08,0.052,0.892,0.101,0.084,0.05
"P35","Al candidato del Frente de Izquierda",0.067,0.005,0.031,0.005,0.499,0.02,0.017
"P35","En blanco",0.078,0.015,0.106,0.002,0.052,0.463,0.068
"P35","No sabe",0.131,0.019,0.162,0.023,0.095,0.096,0.516
"P36","Axel Kicillof por el Frente de Todos",0.863,0.021,0.032,0.014,0.274,0.238,0.263
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.437,0.886,0.021,0.087,0.057,0.119
"P36","Javier Milei por la Libertad Avanza",0.015,0.284,0.023,0.942,0.112,0.091,0.044
"P36","Al candidato del Frente de Izquierda",0.021,0.013,0.007,0.002,0.444,0.018,0.003
"P36","En blanco",0.031,0.083,0.015,0.005,0.042,0.487,0.072
"P36","No sabe",0.055,0.162,0.037,0.016,0.041,0.109,0.499
"P37","Axel Kicillof por el Frente de Todos",0.897,0.019,0.039,0.015,0.233,0.218,0.276
"P37","Patricia Bullrich por Juntos por el Cambio",0.011,0.859,0.606,0.039,0.04,0.113,0.069
"P37","Javier Milei por la Libertad Avanza",0.012,0.083,0.061,0.913,0.121,0.065,0.036
"P37","Al candidato del Frente de Izquierda",0.017,0.008,0.036,0,0.473,0.037,0.029
"P37","En blanco",0.02,0.01,0.131,0.007,0.076,0.542,0.064
"P37","No sabe",0.043,0.021,0.127,0.026,0.057,0.025,0.526
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.558,0.898,0.25,0.083,0.045,0.16
"P38","Sergio Massa por el Frente de Todos",0.838,0.056,0.069,0.083,0.211,0.31,0.329
"P38","En blanco",0.054,0.152,0.011,0.395,0.388,0.445,0.077
"P38","No sabe",0.082,0.234,0.022,0.272,0.318,0.2,0.434
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.601,0.952,0.299,0.079,0.126,0.156
"P39","Wado de Pedro por el Frente de Todos",0.943,0.027,0.034,0.04,0.33,0.18,0.278
"P39","En blanco",0.007,0.162,0.005,0.445,0.43,0.638,0.09
"P39","No sabe",0.025,0.21,0.009,0.216,0.161,0.056,0.476
"P40","Patricia Bullrich por Juntos por el Cambio",0.016,0.932,0.679,0.585,0.162,0.111,0.158
"P40","Sergio Massa por el Frente de Todos",0.877,0.03,0.102,0.068,0.342,0.279,0.333
"P40","En blanco",0.047,0.016,0.117,0.221,0.341,0.562,0.1
"P40","No sabe",0.06,0.022,0.102,0.126,0.155,0.048,0.409
"P41","Patricia Bullrich por Juntos por el Cambio",0.019,0.97,0.676,0.645,0.192,0.136,0.159
"P41","Wado de Pedro  por el Frente de Todos",0.949,0.011,0.065,0.038,0.44,0.22,0.232
"P41","En blanco",0.011,0.007,0.164,0.207,0.26,0.532,0.112
"P41","No sabe",0.021,0.012,0.095,0.11,0.108,0.112,0.497
"P42","Patricia Bullrich por Juntos por el Cambio",0.021,0.961,0.675,0.639,0.249,0.117,0.113
"P42","Daniel Scioli por el Frente de Todos",0.787,0.023,0.102,0.052,0.32,0.351,0.326
"P42","En blanco",0.095,0.004,0.127,0.204,0.332,0.431,0.102
"P42","No sabe",0.097,0.012,0.096,0.105,0.099,0.101,0.459
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.04,0.639,0.914,0.338,0.087,0.08,0.163
"P43","Daniel Scioli por el Frente de Todos",0.775,0.034,0.04,0.072,0.311,0.399,0.271
"P43","En blanco",0.098,0.149,0.031,0.411,0.495,0.49,0.109
"P43","No sabe",0.087,0.178,0.015,0.179,0.107,0.031,0.457
"P44","Patricia Bullrich por Juntos por el Cambio",0.029,0.927,0.751,0.593,0.165,0.176,0.138
"P44","Axel Kicillof por el Frente de Todos",0.911,0.021,0.05,0.063,0.454,0.257,0.256
"P44","En blanco",0.024,0.024,0.13,0.225,0.289,0.547,0.119
"P44","No sabe",0.036,0.028,0.069,0.119,0.092,0.02,0.487
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.656,0.882,0.391,0.125,0.13,0.156
"P45","Axel Kicillof por el Frente de Todos",0.91,0.023,0.039,0.037,0.43,0.288,0.274
"P45","En blanco",0.02,0.152,0.051,0.409,0.356,0.508,0.113
"P45","No sabe",0.035,0.169,0.028,0.163,0.089,0.074,0.457
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.102,0.468,0.907,0.068,0.105,0.055,0.174
"P46","Javier Milei por los liberales libertarios",0.148,0.297,0.041,0.817,0.187,0.15,0.117
"P46","En blanco",0.516,0.087,0.034,0.079,0.586,0.732,0.176
"P46","No sabe",0.234,0.148,0.018,0.036,0.122,0.063,0.533
"P47","Patricia Bullrich por Juntos por el Cambio",0.051,0.865,0.713,0.084,0.075,0.079,0.15
"P47","Javier Milei por los liberales libertarios",0.058,0.091,0.087,0.874,0.168,0.133,0.058
"P47","En blanco",0.684,0.015,0.142,0.021,0.591,0.696,0.265
"P47","No sabe",0.207,0.029,0.058,0.021,0.166,0.092,0.527
"P48","Javier Milei por los liberales libertarios",0.021,0.568,0.317,0.833,0.149,0.15,0.11
"P48","Sergio Massa por el Frente de Todos",0.827,0.046,0.136,0.137,0.335,0.23,0.324
"P48","En blanco",0.112,0.186,0.328,0.019,0.395,0.572,0.153
"P48","No sabe",0.04,0.2,0.219,0.011,0.121,0.048,0.413
"P49","Javier Milei por los liberales libertarios",0.019,0.555,0.321,0.948,0.155,0.168,0.091
"P49","Wado de Pedro  por el Frente de Todos",0.951,0.018,0.115,0.028,0.415,0.209,0.287
"P49","En blanco",0.02,0.217,0.357,0.004,0.298,0.537,0.146
"P49","No sabe",0.01,0.21,0.207,0.02,0.132,0.086,0.476
"P50","Javier Milei por los liberales libertarios",0.027,0.55,0.338,0.941,0.116,0.168,0.09
"P50","Daniel Scioli por el Frente de Todos",0.835,0.032,0.113,0.031,0.399,0.339,0.326
"P50","En blanco",0.091,0.222,0.365,0.006,0.334,0.426,0.151
"P50","No sabe",0.047,0.196,0.184,0.022,0.151,0.067,0.433
"P51","Javier Milei por los liberales libertarios",0.03,0.57,0.377,0.956,0.135,0.174,0.101
"P51","Axel Kicillof por el Frente de Todos",0.928,0.021,0.078,0.023,0.432,0.269,0.346
"P51","En blanco",0.023,0.219,0.41,0.007,0.304,0.496,0.135
"P51","No sabe",0.019,0.19,0.135,0.014,0.129,0.061,0.418
"P52","Lo votaría",0.511,0.101,0.135,0.164,0.135,0.218,0.174
"P52","Puede que lo vote",0.358,0.022,0.095,0.039,0.282,0.101,0.246
"P52","Nunca lo votaría",0.08,0.817,0.663,0.771,0.541,0.51,0.272
"P52","No sabe",0.051,0.06,0.107,0.026,0.042,0.171,0.308
"P53","Lo votaría",0.826,0.034,0.051,0.04,0.269,0.096,0.091
"P53","Puede que lo vote",0.145,0.016,0.113,0.046,0.188,0.105,0.281
"P53","Nunca lo votaría",0.019,0.913,0.731,0.887,0.523,0.608,0.327
"P53","No sabe",0.01,0.037,0.105,0.027,0.02,0.191,0.301
"P54","Lo votaría",0.453,0.037,0.064,0.039,0.169,0.21,0.162
"P54","Puede que lo vote",0.356,0.049,0.11,0.055,0.235,0.117,0.185
"P54","Nunca lo votaría",0.119,0.884,0.736,0.88,0.487,0.572,0.356
"P54","No sabe",0.072,0.03,0.09,0.026,0.109,0.101,0.297
"P55","Lo votaría",0.791,0.027,0.032,0.028,0.286,0.163,0.279
"P55","Puede que lo vote",0.142,0.027,0.082,0.017,0.166,0.171,0.109
"P55","Nunca lo votaría",0.042,0.922,0.859,0.942,0.482,0.587,0.354
"P55","No sabe",0.025,0.024,0.027,0.013,0.066,0.079,0.258
"P56","La votaría",0.108,0.838,0.357,0.234,0.177,0.084,0.095
"P56","Puede que la vote",0.041,0.046,0.317,0.408,0.121,0.189,0.112
"P56","Nunca la votaría",0.823,0.11,0.272,0.321,0.681,0.632,0.562
"P56","No sabe",0.028,0.006,0.054,0.037,0.021,0.095,0.231
"P57","Lo votaría",0.034,0.342,0.697,0.099,0.117,0.03,0.068
"P57","Puede que lo vote",0.064,0.368,0.193,0.234,0.078,0.111,0.161
"P57","Nunca lo votaría",0.856,0.23,0.064,0.612,0.75,0.761,0.526
"P57","No sabe",0.046,0.06,0.046,0.055,0.055,0.098,0.245
"P58","Lo votaría",0.015,0.201,0.185,0.84,0.157,0.128,0.016
"P58","Puede que lo vote",0.041,0.408,0.214,0.07,0.063,0.1,0.117
"P58","Nunca lo votaría",0.903,0.324,0.507,0.085,0.73,0.692,0.679
"P58","No sabe",0.041,0.067,0.094,0.005,0.05,0.08,0.188
"P59","Lo votaría",0.026,0.07,0.111,0.17,0.084,0.068,0.089
"P59","Puede que lo vote",0.103,0.165,0.275,0.099,0.099,0.147,0.123
"P59","Nunca lo votaría",0.814,0.689,0.462,0.639,0.774,0.684,0.431
"P59","No sabe",0.057,0.076,0.152,0.092,0.043,0.101,0.357
"P60","Lo votaría",0.012,0.211,0.155,0.174,0.146,0.092,0.027
"P60","Puede que lo vote",0.036,0.435,0.339,0.315,0.076,0.038,0.127
"P60","Nunca lo votaría",0.915,0.272,0.366,0.424,0.731,0.782,0.529
"P60","No sabe",0.037,0.082,0.14,0.087,0.047,0.088,0.317
"P61","Muy buena",0.241,0.044,0.067,0.039,0.054,0.123,0.132
"P61","Buena",0.353,0.068,0.084,0.082,0.103,0.045,0.14
"P61","Ni buena ni mala",0.31,0.077,0.209,0.099,0.216,0.341,0.251
"P61","Mala",0.065,0.164,0.213,0.158,0.24,0.149,0.218
"P61","Muy mala",0.029,0.633,0.415,0.605,0.385,0.335,0.167
"P61","No sabe",0.002,0.014,0.012,0.017,0.002,0.007,0.092
"P62","Muy buena",0.675,0.02,0.035,0.012,0.137,0.072,0.063
"P62","Buena",0.235,0.011,0.069,0.038,0.243,0.064,0.145
"P62","Ni buena ni mala",0.075,0.117,0.248,0.127,0.203,0.228,0.334
"P62","Mala",0.007,0.214,0.194,0.177,0.101,0.178,0.185
"P62","Muy mala",0.003,0.6,0.379,0.621,0.3,0.347,0.14
"P62","No sabe",0.005,0.038,0.075,0.025,0.016,0.111,0.133
"P63","Muy buena",0.247,0.021,0.04,0.023,0.112,0.227,0.151
"P63","Buena",0.366,0.035,0.067,0.037,0.105,0.088,0.152
"P63","Ni buena ni mala",0.285,0.131,0.21,0.153,0.282,0.235,0.279
"P63","Mala",0.069,0.252,0.261,0.215,0.134,0.123,0.139
"P63","Muy mala",0.019,0.552,0.4,0.562,0.357,0.305,0.146
"P63","No sabe",0.014,0.009,0.022,0.01,0.01,0.022,0.133
"P64","Muy buena",0.728,0.027,0.031,0.013,0.18,0.171,0.26
"P64","Buena",0.165,0.014,0.048,0.028,0.179,0.05,0.126
"P64","Ni buena ni mala",0.065,0.047,0.142,0.092,0.156,0.146,0.163
"P64","Mala",0.022,0.15,0.185,0.118,0.089,0.177,0.125
"P64","Muy mala",0.012,0.745,0.574,0.743,0.396,0.394,0.191
"P64","No sabe",0.008,0.017,0.02,0.006,0,0.062,0.135
"P65","Muy buena",0.095,0.705,0.201,0.286,0.186,0.048,0.028
"P65","Buena",0.022,0.175,0.324,0.268,0.028,0.132,0.117
"P65","Ni buena ni mala",0.05,0.025,0.226,0.2,0.119,0.276,0.158
"P65","Mala",0.186,0.02,0.151,0.083,0.129,0.188,0.219
"P65","Muy mala",0.638,0.075,0.089,0.153,0.526,0.344,0.329
"P65","No sabe",0.009,0,0.009,0.01,0.012,0.012,0.149
"P66","Muy buena",0.022,0.19,0.505,0.098,0.057,0.013,0.031
"P66","Buena",0.038,0.315,0.341,0.121,0.047,0.114,0.14
"P66","Ni buena ni mala",0.104,0.25,0.104,0.209,0.153,0.203,0.298
"P66","Mala",0.27,0.147,0.033,0.195,0.187,0.308,0.168
"P66","Muy mala",0.558,0.089,0.013,0.37,0.553,0.345,0.211
"P66","No sabe",0.008,0.009,0.004,0.007,0.003,0.017,0.152
"P67","Muy buena",0.019,0.122,0.093,0.703,0.13,0.023,0.013
"P67","Buena",0.019,0.261,0.22,0.139,0.035,0.133,0.081
"P67","Ni buena ni mala",0.058,0.358,0.215,0.086,0.066,0.188,0.222
"P67","Mala",0.134,0.124,0.191,0.028,0.121,0.1,0.158
"P67","Muy mala",0.763,0.11,0.249,0.038,0.639,0.516,0.382
"P67","No sabe",0.007,0.025,0.032,0.006,0.009,0.04,0.144
"P68","Muy buena",0.024,0.051,0.09,0.115,0.053,0.08,0.092
"P68","Buena",0.037,0.091,0.163,0.103,0.053,0.09,0.076
"P68","Ni buena ni mala",0.225,0.293,0.427,0.29,0.261,0.274,0.301
"P68","Mala",0.229,0.209,0.116,0.141,0.208,0.213,0.156
"P68","Muy mala",0.454,0.302,0.126,0.283,0.415,0.332,0.173
"P68","No sabe",0.031,0.054,0.078,0.068,0.01,0.011,0.202
"P69","Muy buena",0.024,0.169,0.091,0.129,0.091,0.065,0.022
"P69","Buena",0.022,0.345,0.315,0.235,0.094,0.079,0.083
"P69","Ni buena ni mala",0.108,0.318,0.374,0.325,0.113,0.222,0.276
"P69","Mala",0.183,0.06,0.081,0.123,0.128,0.114,0.175
"P69","Muy mala",0.638,0.072,0.106,0.156,0.526,0.37,0.294
"P69","No sabe",0.025,0.036,0.033,0.032,0.048,0.15,0.15
"P70","Si",0.58,0.542,0.511,0.52,0.45,0.567,0.523
"P70","No",0.42,0.458,0.489,0.48,0.55,0.433,0.477
