"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Axel Kicillof por el Frente de Todos","En blanco","No sabe"
"P30","No sabe",0.124,0.079,0.09,0.467
"P31","Sergio Massa  por el Frente de Todos",0.036,0.778,0.047,0.09
"P31","Patricia Bullrich por Juntos por el Cambio",0.613,0.02,0.258,0.355
"P31","Javier Milei por la Libertad Avanza",0.254,0.02,0.531,0.249
"P31","Al candidato del Frente de Izquierda",0.008,0.073,0.04,0.011
"P31","En blanco",0.026,0.038,0.098,0.013
"P31","No sabe",0.063,0.071,0.026,0.282
"P32","Wado de Pedro por el Frente de Todos",0.012,0.848,0.038,0.07
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.497,0.02,0.048,0.066
"P32","Javier Milei por la Libertad Avanza",0.361,0.038,0.628,0.353
"P32","Al candidato del Frente de Izquierda",0.004,0.033,0.033,0.021
"P32","En blanco",0.036,0.021,0.196,0.046
"P32","No sabe",0.09,0.04,0.057,0.444
"P33","Wado de Pedro por el Frente de Todos",0.024,0.868,0.029,0.076
"P33","Patricia Bullrich por Juntos por el Cambio",0.643,0.02,0.267,0.376
"P33","Javier Milei por la Libertad Avanza",0.246,0.025,0.532,0.265
"P33","Al candidato del Frente de Izquierda",0.006,0.036,0.032,0.019
"P33","En blanco",0.031,0.017,0.111,0.01
"P33","No sabe",0.05,0.034,0.029,0.254
"P34","Daniel Scioli por el Frente de Todos",0.018,0.686,0.063,0.062
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.498,0.02,0.035,0.069
"P34","Javier Milei por la Libertad Avanza",0.363,0.029,0.635,0.361
"P34","Al candidato del Frente de Izquierda",0.009,0.082,0.033,0.031
"P34","En blanco",0.044,0.06,0.183,0.036
"P34","No sabe",0.068,0.123,0.051,0.441
"P35","Daniel Scioli por el Frente de Todos",0.027,0.684,0.06,0.062
"P35","Patricia Bullrich por Juntos por el Cambio",0.642,0.023,0.243,0.362
"P35","Javier Milei por la Libertad Avanza",0.246,0.011,0.549,0.282
"P35","Al candidato del Frente de Izquierda",0.008,0.09,0.044,0.02
"P35","En blanco",0.035,0.067,0.089,0.013
"P35","No sabe",0.042,0.125,0.015,0.261
"P36","Axel Kicillof por el Frente de Todos",0.006,0.896,0.026,0.032
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.53,0.008,0.04,0.071
"P36","Javier Milei por la Libertad Avanza",0.376,0.016,0.647,0.381
"P36","Al candidato del Frente de Izquierda",0.005,0.035,0.042,0.021
"P36","En blanco",0.031,0.01,0.197,0.028
"P36","No sabe",0.052,0.035,0.048,0.467
"P37","Axel Kicillof por el Frente de Todos",0.017,0.909,0.018,0.022
"P37","Patricia Bullrich por Juntos por el Cambio",0.642,0.01,0.244,0.358
"P37","Javier Milei por la Libertad Avanza",0.26,0.02,0.551,0.281
"P37","Al candidato del Frente de Izquierda",0.011,0.033,0.045,0.018
"P37","En blanco",0.036,0.006,0.117,0.023
"P37","No sabe",0.034,0.022,0.025,0.298
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.774,0.024,0.032,0.041
"P38","Sergio Massa por el Frente de Todos",0.057,0.821,0.087,0.119
"P38","En blanco",0.067,0.072,0.72,0.047
"P38","No sabe",0.102,0.083,0.161,0.793
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.837,0.027,0.041,0.059
"P39","Wado de Pedro por el Frente de Todos",0.03,0.894,0.05,0.116
"P39","En blanco",0.062,0.038,0.829,0.051
"P39","No sabe",0.071,0.041,0.08,0.774
"P40","Patricia Bullrich por Juntos por el Cambio",0.881,0.025,0.51,0.477
"P40","Sergio Massa por el Frente de Todos",0.054,0.854,0.055,0.107
"P40","En blanco",0.034,0.057,0.404,0.036
"P40","No sabe",0.031,0.064,0.031,0.38
"P41","Patricia Bullrich por Juntos por el Cambio",0.914,0.037,0.546,0.493
"P41","Wado de Pedro  por el Frente de Todos",0.034,0.899,0.052,0.091
"P41","En blanco",0.031,0.029,0.385,0.024
"P41","No sabe",0.021,0.035,0.017,0.392
"P42","Patricia Bullrich por Juntos por el Cambio",0.903,0.031,0.549,0.495
"P42","Daniel Scioli por el Frente de Todos",0.039,0.797,0.065,0.086
"P42","En blanco",0.032,0.095,0.359,0.028
"P42","No sabe",0.026,0.077,0.027,0.391
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.899,0.019,0.051,0.078
"P43","Daniel Scioli por el Frente de Todos",0.021,0.798,0.085,0.086
"P43","En blanco",0.037,0.107,0.832,0.045
"P43","No sabe",0.043,0.076,0.032,0.791
"P44","Patricia Bullrich por Juntos por el Cambio",0.929,0.024,0.471,0.438
"P44","Axel Kicillof por el Frente de Todos",0.024,0.946,0.032,0.035
"P44","En blanco",0.027,0.01,0.483,0.032
"P44","No sabe",0.02,0.02,0.014,0.495
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.621,0.087,0.021,0.038
"P46","Javier Milei por los liberales libertarios",0.333,0.171,0.578,0.36
"P46","En blanco",0.013,0.519,0.38,0.049
"P46","No sabe",0.033,0.223,0.021,0.553
"P47","Patricia Bullrich por Juntos por el Cambio",0.7,0.042,0.234,0.385
"P47","Javier Milei por los liberales libertarios",0.238,0.073,0.56,0.293
"P47","En blanco",0.032,0.68,0.192,0.045
"P47","No sabe",0.03,0.205,0.014,0.277
"P48","Javier Milei por los liberales libertarios",0.611,0.019,0.615,0.421
"P48","Sergio Massa por el Frente de Todos",0.08,0.811,0.109,0.135
"P48","En blanco",0.172,0.123,0.264,0.037
"P48","No sabe",0.137,0.047,0.012,0.407
"P49","Javier Milei por los liberales libertarios",0.624,0.027,0.683,0.427
"P49","Wado de Pedro  por el Frente de Todos",0.043,0.909,0.049,0.091
"P49","En blanco",0.194,0.033,0.258,0.035
"P49","No sabe",0.139,0.031,0.01,0.447
"P50","Javier Milei por los liberales libertarios",0.631,0.025,0.667,0.435
"P50","Daniel Scioli por el Frente de Todos",0.044,0.83,0.075,0.071
"P50","En blanco",0.201,0.082,0.242,0.065
"P50","No sabe",0.124,0.063,0.016,0.429
"P51","Javier Milei por los liberales libertarios",0.655,0.028,0.688,0.448
"P51","Axel Kicillof por el Frente de Todos",0.027,0.943,0.033,0.042
"P51","En blanco",0.207,0.012,0.265,0.063
"P51","No sabe",0.111,0.017,0.014,0.447
"P52","Lo votaría",0.138,0.5,0.097,0.11
"P52","Puede que lo vote",0.046,0.356,0.058,0.058
"P52","Nunca lo votaría",0.767,0.104,0.798,0.594
"P52","No sabe",0.049,0.04,0.047,0.238
"P53","Lo votaría",0.062,0.746,0.024,0.067
"P53","Puede que lo vote",0.041,0.171,0.048,0.078
"P53","Nunca lo votaría",0.865,0.061,0.885,0.669
"P53","No sabe",0.032,0.022,0.043,0.186
"P54","Lo votaría",0.048,0.437,0.045,0.065
"P54","Puede que lo vote",0.058,0.36,0.055,0.084
"P54","Nunca lo votaría",0.864,0.13,0.866,0.672
"P54","No sabe",0.03,0.073,0.034,0.179
"P55","Lo votaría",0.023,0.806,0.008,0.033
"P55","Puede que lo vote",0.029,0.148,0.032,0.08
"P55","Nunca lo votaría",0.935,0.029,0.939,0.706
"P55","No sabe",0.013,0.017,0.021,0.181
"P56","La votaría",0.627,0.108,0.333,0.438
"P56","Puede que la vote",0.2,0.041,0.257,0.135
"P56","Nunca la votaría",0.159,0.821,0.374,0.298
"P56","No sabe",0.014,0.03,0.036,0.129
"P57","Lo votaría",0.453,0.028,0.042,0.068
"P57","Puede que lo vote",0.39,0.052,0.082,0.268
"P57","Nunca lo votaría",0.119,0.875,0.839,0.431
"P57","No sabe",0.038,0.045,0.037,0.233
"P58","Lo votaría",0.353,0.033,0.515,0.292
"P58","Puede que lo vote",0.318,0.037,0.137,0.208
"P58","Nunca lo votaría",0.283,0.897,0.329,0.318
"P58","No sabe",0.046,0.033,0.019,0.182
"P59","Lo votaría",0.1,0.033,0.113,0.115
"P59","Puede que lo vote",0.214,0.104,0.063,0.085
"P59","Nunca lo votaría",0.596,0.807,0.763,0.551
"P59","No sabe",0.09,0.056,0.061,0.249
"P60","Lo votaría",0.199,0.022,0.142,0.152
"P60","Puede que lo vote",0.425,0.044,0.263,0.231
"P60","Nunca lo votaría",0.293,0.897,0.528,0.371
"P60","No sabe",0.083,0.037,0.067,0.246
"P61","Muy buena",0.056,0.227,0.032,0.072
"P61","Buena",0.07,0.34,0.071,0.083
"P61","Ni buena ni mala",0.115,0.308,0.095,0.157
"P61","Mala",0.179,0.071,0.164,0.179
"P61","Muy mala",0.568,0.053,0.631,0.441
"P61","No sabe",0.012,0.001,0.007,0.068
"P62","Muy buena",0.016,0.61,0.034,0.057
"P62","Buena",0.034,0.228,0.041,0.054
"P62","Ni buena ni mala",0.155,0.097,0.103,0.199
"P62","Mala",0.214,0.025,0.167,0.168
"P62","Muy mala",0.535,0.034,0.635,0.427
"P62","No sabe",0.046,0.006,0.02,0.095
"P63","Muy buena",0.031,0.245,0.041,0.047
"P63","Buena",0.031,0.35,0.061,0.065
"P63","Ni buena ni mala",0.139,0.302,0.142,0.206
"P63","Mala",0.252,0.071,0.206,0.2
"P63","Muy mala",0.532,0.03,0.539,0.405
"P63","No sabe",0.015,0.002,0.011,0.077
"P64","Muy buena",0.02,0.72,0.012,0.047
"P64","Buena",0.017,0.171,0.03,0.059
"P64","Ni buena ni mala",0.061,0.082,0.093,0.117
"P64","Mala",0.166,0.01,0.13,0.144
"P64","Muy mala",0.722,0.015,0.719,0.551
"P64","No sabe",0.014,0.002,0.016,0.082
"P65","Muy buena",0.536,0.095,0.298,0.394
"P65","Buena",0.226,0.026,0.213,0.179
"P65","Ni buena ni mala",0.087,0.062,0.182,0.131
"P65","Mala",0.055,0.183,0.102,0.089
"P65","Muy mala",0.092,0.629,0.199,0.13
"P65","No sabe",0.004,0.005,0.006,0.077
"P66","Muy buena",0.275,0.026,0.03,0.074
"P66","Buena",0.368,0.021,0.055,0.137
"P66","Ni buena ni mala",0.214,0.111,0.179,0.314
"P66","Mala",0.086,0.275,0.251,0.218
"P66","Muy mala",0.053,0.558,0.477,0.181
"P66","No sabe",0.004,0.009,0.008,0.076
"P67","Muy buena",0.237,0.027,0.453,0.241
"P67","Buena",0.237,0.022,0.157,0.152
"P67","Ni buena ni mala",0.279,0.066,0.128,0.275
"P67","Mala",0.115,0.127,0.077,0.114
"P67","Muy mala",0.114,0.751,0.167,0.138
"P67","No sabe",0.018,0.007,0.018,0.08
"P68","Muy buena",0.066,0.04,0.088,0.078
"P68","Buena",0.127,0.036,0.07,0.072
"P68","Ni buena ni mala",0.366,0.22,0.229,0.253
"P68","Mala",0.18,0.241,0.139,0.171
"P68","Muy mala",0.206,0.439,0.428,0.26
"P68","No sabe",0.055,0.024,0.046,0.166
"P69","Muy buena",0.161,0.02,0.115,0.103
"P69","Buena",0.336,0.022,0.203,0.229
"P69","Ni buena ni mala",0.341,0.115,0.294,0.283
"P69","Mala",0.064,0.189,0.124,0.107
"P69","Muy mala",0.07,0.635,0.225,0.137
"P69","No sabe",0.028,0.019,0.039,0.141
"P70","Si",0.519,0.587,0.527,0.529
"P70","No",0.481,0.413,0.473,0.471
