"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Sergio Massa por el Frente de Todos","En blanco","No sabe"
"P13","Wado de Pedro por el Frente de Todos",0.105,0.482,0.061,0.131
"P13","Patricia Bullrich por Juntos por el Cambio",0.336,0.048,0.15,0.214
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.154,0.013,0.015,0.021
"P13","Juan Schiaretti por Juntos por el Cambio",0.078,0.037,0.154,0.145
"P13","Jose Luis Espert por Juntos por el Cambio",0.034,0.224,0.068,0.063
"P13","Javier Milei por la Libertad Avanza",0.263,0.076,0.425,0.282
"P13","Al candidato del Frente de Izquierda",0.003,0.02,0.049,0.017
"P13","En blanco",0.004,0.023,0.054,0.019
"P13","No sabe",0.023,0.077,0.024,0.108
"P16","Sergio Massa por el Frente de Todos",0.025,0.283,0.035,0.021
"P16","Wado de Pedro por el Frente de Todos",0.024,0.471,0.069,0.124
"P16","Daniel Scioli por el Frente de Todos",0.021,0.074,0.042,0.051
"P16","Patricia Bullrich por Juntos por el Cambio",0.504,0.055,0.254,0.369
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.209,0.022,0.018,0.032
"P16","Javier Milei por la Libertad Avanza",0.189,0.052,0.46,0.262
"P16","Al candidato del Frente de Izquierda",0.004,0.01,0.045,0.008
"P16","En blanco",0.004,0.003,0.051,0.022
"P16","No sabe",0.02,0.03,0.026,0.111
"P19","Sergio Massa por el Frente de Todos",0.025,0.27,0.028,0.036
"P19","Wado de Pedro por el Frente de Todos",0.038,0.523,0.084,0.135
"P19","Patricia Bullrich por Juntos por el Cambio",0.508,0.061,0.259,0.314
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.213,0.023,0.012,0.036
"P19","Javier Milei por la Libertad Avanza",0.183,0.067,0.467,0.275
"P19","Al candidato del Frente de Izquierda",0.011,0.022,0.061,0.05
"P19","En blanco",0.006,0.005,0.058,0.021
"P19","No sabe",0.016,0.029,0.031,0.133
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.045,0.758,0.064,0.11
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.541,0.07,0.253,0.343
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.178,0.04,0.035,0.042
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.042,0.019,0.019,0.027
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.166,0.052,0.459,0.295
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.004,0.023,0.055,0.025
"P22","En blanco",0.007,0.007,0.071,0.012
"P22","No sabe",0.017,0.031,0.044,0.146
"P25","Sergio Massa por el Frente de Todos",0.053,0.565,0.033,0.046
"P25","Daniel Scioli por el Frente de Todos",0.042,0.172,0.049,0.082
"P25","Patricia Bullrich por Juntos por el Cambio",0.502,0.078,0.259,0.333
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.207,0.019,0.027,0.027
"P25","Javier Milei por la Libertad Avanza",0.171,0.059,0.449,0.273
"P25","Al candidato del Frente de Izquierda",0.003,0.038,0.061,0.027
"P25","En blanco",0.006,0.019,0.075,0.031
"P25","No sabe",0.016,0.05,0.047,0.181
"P26","Wado de Pedro por el Frente de Todos",0.017,0.659,0.08,0.115
"P26","Daniel Scioli por el Frente de Todos",0.026,0.144,0.038,0.046
"P26","Patricia Bullrich por Juntos por el Cambio",0.554,0.048,0.28,0.356
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.205,0.008,0.008,0.024
"P26","Javier Milei por la Libertad Avanza",0.172,0.062,0.472,0.299
"P26","Al candidato del Frente de Izquierda",0.003,0.02,0.051,0.017
"P26","En blanco",0.004,0.016,0.048,0.02
"P26","No sabe",0.019,0.043,0.023,0.123
"P27","Sergio Massa por el Frente de Todos",0.02,0.745,0.034,0.045
"P27","Patricia Bullrich por Juntos por el Cambio",0.525,0.062,0.257,0.351
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.244,0.01,0.028,0.056
"P27","Javier Milei por la Libertad Avanza",0.165,0.049,0.461,0.283
"P27","Al candidato del Frente de Izquierda",0.02,0.044,0.089,0.049
"P27","En blanco",0.006,0.019,0.088,0.017
"P27","No sabe",0.02,0.071,0.043,0.199
"P28","Wado de Pedro por el Frente de Todos",0.022,0.751,0.083,0.113
"P28","Patricia Bullrich por Juntos por el Cambio",0.552,0.059,0.275,0.379
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.219,0.018,0.005,0.009
"P28","Javier Milei por la Libertad Avanza",0.167,0.059,0.481,0.297
"P28","Al candidato del Frente de Izquierda",0.006,0.017,0.054,0.04
"P28","En blanco",0.004,0.031,0.076,0.031
"P28","No sabe",0.03,0.065,0.026,0.131
"P29","Axel Kicillof por el Frente de Todos",0.037,0.751,0.098,0.117
"P29","Patricia Bullrich por Juntos por el Cambio",0.549,0.052,0.279,0.373
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.225,0.02,0.004,0.025
"P29","Javier Milei por la Libertad Avanza",0.166,0.06,0.483,0.31
"P29","Al candidato del Frente de Izquierda",0.006,0.019,0.05,0.018
"P29","En blanco",0.005,0.027,0.068,0.014
"P29","No sabe",0.012,0.071,0.018,0.143
"P30","Sergio Massa  por el Frente de Todos",0.021,0.791,0.039,0.048
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.542,0.032,0.026,0.04
"P30","Javier Milei por la Libertad Avanza",0.31,0.073,0.594,0.381
"P30","Al candidato del Frente de Izquierda",0.009,0.038,0.068,0.042
"P30","En blanco",0.024,0.019,0.199,0.043
"P30","No sabe",0.094,0.047,0.074,0.446
"P31","Sergio Massa  por el Frente de Todos",0.024,0.806,0.033,0.056
"P31","Patricia Bullrich por Juntos por el Cambio",0.663,0.054,0.242,0.321
"P31","Javier Milei por la Libertad Avanza",0.205,0.048,0.504,0.309
"P31","Al candidato del Frente de Izquierda",0.013,0.042,0.063,0.026
"P31","En blanco",0.035,0.014,0.121,0.024
"P31","No sabe",0.06,0.036,0.037,0.264
"P32","Wado de Pedro por el Frente de Todos",0.016,0.755,0.093,0.129
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.583,0.049,0.037,0.07
"P32","Javier Milei por la Libertad Avanza",0.303,0.084,0.599,0.395
"P32","Al candidato del Frente de Izquierda",0.004,0.019,0.04,0.024
"P32","En blanco",0.027,0.031,0.192,0.039
"P32","No sabe",0.067,0.062,0.039,0.343
"P33","Wado de Pedro por el Frente de Todos",0.024,0.77,0.085,0.143
"P33","Patricia Bullrich por Juntos por el Cambio",0.684,0.062,0.25,0.345
"P33","Javier Milei por la Libertad Avanza",0.19,0.063,0.502,0.323
"P33","Al candidato del Frente de Izquierda",0.009,0.018,0.045,0.028
"P33","En blanco",0.036,0.028,0.098,0.018
"P33","No sabe",0.057,0.059,0.02,0.143
"P34","Daniel Scioli por el Frente de Todos",0.037,0.652,0.074,0.066
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.582,0.047,0.04,0.062
"P34","Javier Milei por la Libertad Avanza",0.296,0.08,0.594,0.415
"P34","Al candidato del Frente de Izquierda",0.007,0.056,0.057,0.044
"P34","En blanco",0.027,0.042,0.204,0.061
"P34","No sabe",0.051,0.123,0.031,0.352
"P35","Daniel Scioli por el Frente de Todos",0.043,0.655,0.051,0.075
"P35","Patricia Bullrich por Juntos por el Cambio",0.686,0.05,0.229,0.351
"P35","Javier Milei por la Libertad Avanza",0.19,0.058,0.516,0.321
"P35","Al candidato del Frente de Izquierda",0.005,0.071,0.066,0.025
"P35","En blanco",0.032,0.056,0.113,0.024
"P35","No sabe",0.044,0.11,0.025,0.204
"P36","Axel Kicillof por el Frente de Todos",0.028,0.76,0.106,0.118
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.61,0.043,0.04,0.066
"P36","Javier Milei por la Libertad Avanza",0.297,0.074,0.608,0.432
"P36","Al candidato del Frente de Izquierda",0.01,0.025,0.046,0.023
"P36","En blanco",0.018,0.034,0.169,0.04
"P36","No sabe",0.037,0.064,0.031,0.321
"P37","Axel Kicillof por el Frente de Todos",0.036,0.772,0.108,0.116
"P37","Patricia Bullrich por Juntos por el Cambio",0.675,0.053,0.243,0.332
"P37","Javier Milei por la Libertad Avanza",0.202,0.058,0.506,0.344
"P37","Al candidato del Frente de Izquierda",0.012,0.027,0.045,0.024
"P37","En blanco",0.035,0.029,0.086,0.026
"P37","No sabe",0.04,0.061,0.012,0.158
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.961,0.068,0.05,0.072
"P39","Wado de Pedro por el Frente de Todos",0.027,0.831,0.11,0.128
"P39","En blanco",0.006,0.05,0.81,0.129
"P39","No sabe",0.006,0.051,0.03,0.671
"P40","Patricia Bullrich por Juntos por el Cambio",0.889,0.066,0.53,0.502
"P40","Sergio Massa por el Frente de Todos",0.036,0.904,0.041,0.075
"P40","En blanco",0.043,0.013,0.404,0.079
"P40","No sabe",0.032,0.017,0.025,0.344
"P41","Patricia Bullrich por Juntos por el Cambio",0.9,0.089,0.564,0.554
"P41","Wado de Pedro  por el Frente de Todos",0.029,0.828,0.11,0.137
"P41","En blanco",0.043,0.037,0.305,0.06
"P41","No sabe",0.028,0.046,0.021,0.249
"P42","Patricia Bullrich por Juntos por el Cambio",0.891,0.077,0.563,0.554
"P42","Daniel Scioli por el Frente de Todos",0.046,0.772,0.078,0.091
"P42","En blanco",0.036,0.078,0.331,0.067
"P42","No sabe",0.027,0.073,0.028,0.288
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.917,0.082,0.115,0.178
"P43","Daniel Scioli por el Frente de Todos",0.033,0.763,0.091,0.101
"P43","En blanco",0.018,0.087,0.756,0.152
"P43","No sabe",0.032,0.068,0.038,0.569
"P44","Patricia Bullrich por Juntos por el Cambio",0.903,0.086,0.494,0.525
"P44","Axel Kicillof por el Frente de Todos",0.034,0.826,0.123,0.137
"P44","En blanco",0.035,0.037,0.366,0.07
"P44","No sabe",0.028,0.051,0.017,0.268
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.942,0.072,0.143,0.198
"P45","Axel Kicillof por el Frente de Todos",0.023,0.826,0.122,0.129
"P45","En blanco",0.018,0.05,0.701,0.143
"P45","No sabe",0.017,0.052,0.034,0.53
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.667,0.12,0.059,0.084
"P46","Javier Milei por los liberales libertarios",0.293,0.185,0.569,0.394
"P46","En blanco",0.021,0.469,0.356,0.12
"P46","No sabe",0.019,0.226,0.016,0.402
"P47","Patricia Bullrich por Juntos por el Cambio",0.736,0.089,0.247,0.355
"P47","Javier Milei por los liberales libertarios",0.201,0.109,0.504,0.319
"P47","En blanco",0.036,0.619,0.236,0.091
"P47","No sabe",0.027,0.183,0.013,0.235
"P48","Javier Milei por los liberales libertarios",0.598,0.066,0.574,0.467
"P48","Sergio Massa por el Frente de Todos",0.06,0.826,0.116,0.127
"P48","En blanco",0.193,0.076,0.29,0.095
"P48","No sabe",0.149,0.032,0.02,0.311
"P49","Javier Milei por los liberales libertarios",0.594,0.094,0.624,0.484
"P49","Wado de Pedro  por el Frente de Todos",0.043,0.824,0.131,0.14
"P49","En blanco",0.212,0.038,0.227,0.077
"P49","No sabe",0.151,0.044,0.018,0.299
"P50","Javier Milei por los liberales libertarios",0.597,0.089,0.627,0.488
"P50","Daniel Scioli por el Frente de Todos",0.055,0.782,0.111,0.093
"P50","En blanco",0.211,0.082,0.245,0.091
"P50","No sabe",0.137,0.047,0.017,0.328
"P51","Javier Milei por los liberales libertarios",0.614,0.095,0.652,0.509
"P51","Axel Kicillof por el Frente de Todos",0.038,0.827,0.121,0.129
"P51","En blanco",0.226,0.036,0.21,0.093
"P51","No sabe",0.122,0.042,0.017,0.269
"P52","Lo votaría",0.107,0.538,0.093,0.118
"P52","Puede que lo vote",0.044,0.344,0.069,0.069
"P52","Nunca lo votaría",0.798,0.084,0.804,0.624
"P52","No sabe",0.051,0.034,0.034,0.189
"P53","Lo votaría",0.048,0.68,0.088,0.142
"P53","Puede que lo vote",0.046,0.174,0.053,0.047
"P53","Nunca lo votaría",0.869,0.111,0.829,0.696
"P53","No sabe",0.037,0.035,0.03,0.115
"P54","Lo votaría",0.046,0.431,0.042,0.079
"P54","Puede que lo vote",0.069,0.337,0.072,0.082
"P54","Nunca lo votaría",0.85,0.156,0.856,0.72
"P54","No sabe",0.035,0.076,0.03,0.119
"P55","Lo votaría",0.033,0.692,0.099,0.118
"P55","Puede que lo vote",0.025,0.15,0.042,0.058
"P55","Nunca lo votaría",0.927,0.13,0.835,0.725
"P55","No sabe",0.015,0.028,0.024,0.099
"P56","La votaría",0.651,0.132,0.317,0.444
"P56","Puede que la vote",0.177,0.064,0.256,0.158
"P56","Nunca la votaría",0.158,0.772,0.393,0.312
"P56","No sabe",0.014,0.032,0.034,0.086
"P57","Lo votaría",0.494,0.053,0.05,0.1
"P57","Puede que lo vote",0.368,0.096,0.099,0.266
"P57","Nunca lo votaría",0.099,0.806,0.812,0.474
"P57","No sabe",0.039,0.045,0.039,0.16
"P58","Lo votaría",0.322,0.059,0.474,0.352
"P58","Puede que lo vote",0.321,0.072,0.146,0.181
"P58","Nunca lo votaría",0.306,0.829,0.368,0.345
"P58","No sabe",0.051,0.04,0.012,0.122
"P59","Lo votaría",0.1,0.044,0.077,0.124
"P59","Puede que lo vote",0.218,0.12,0.066,0.1
"P59","Nunca lo votaría",0.59,0.757,0.806,0.614
"P59","No sabe",0.092,0.079,0.051,0.162
"P60","Lo votaría",0.205,0.021,0.117,0.184
"P60","Puede que lo vote",0.43,0.062,0.293,0.235
"P60","Nunca lo votaría",0.281,0.853,0.524,0.436
"P60","No sabe",0.084,0.064,0.066,0.145
"P61","Muy buena",0.056,0.255,0.015,0.039
"P61","Buena",0.059,0.36,0.047,0.09
"P61","Ni buena ni mala",0.112,0.283,0.12,0.167
"P61","Mala",0.188,0.048,0.155,0.208
"P61","Muy mala",0.575,0.044,0.657,0.458
"P61","No sabe",0.01,0.01,0.006,0.038
"P62","Muy buena",0.028,0.539,0.076,0.105
"P62","Buena",0.02,0.235,0.049,0.053
"P62","Ni buena ni mala",0.162,0.109,0.111,0.146
"P62","Mala",0.216,0.038,0.135,0.189
"P62","Muy mala",0.535,0.061,0.609,0.437
"P62","No sabe",0.039,0.018,0.02,0.07
"P63","Muy buena",0.035,0.237,0.048,0.043
"P63","Buena",0.037,0.333,0.053,0.08
"P63","Ni buena ni mala",0.149,0.288,0.141,0.192
"P63","Mala",0.24,0.079,0.212,0.218
"P63","Muy mala",0.527,0.053,0.538,0.417
"P63","No sabe",0.012,0.01,0.008,0.05
"P64","Muy buena",0.031,0.625,0.092,0.107
"P64","Buena",0.012,0.173,0.033,0.048
"P64","Ni buena ni mala",0.059,0.087,0.09,0.094
"P64","Mala",0.169,0.036,0.101,0.13
"P64","Muy mala",0.714,0.071,0.67,0.573
"P64","No sabe",0.015,0.008,0.014,0.048
"P65","Muy buena",0.531,0.113,0.309,0.418
"P65","Buena",0.231,0.048,0.182,0.179
"P65","Ni buena ni mala",0.094,0.072,0.16,0.104
"P65","Mala",0.055,0.183,0.084,0.093
"P65","Muy mala",0.084,0.572,0.259,0.167
"P65","No sabe",0.005,0.012,0.006,0.039
"P66","Muy buena",0.304,0.028,0.048,0.086
"P66","Buena",0.372,0.063,0.066,0.143
"P66","Ni buena ni mala",0.189,0.132,0.164,0.297
"P66","Mala",0.083,0.267,0.229,0.205
"P66","Muy mala",0.046,0.494,0.485,0.233
"P66","No sabe",0.006,0.016,0.008,0.036
"P67","Muy buena",0.221,0.043,0.423,0.256
"P67","Buena",0.229,0.051,0.159,0.15
"P67","Ni buena ni mala",0.281,0.08,0.124,0.256
"P67","Mala",0.127,0.129,0.064,0.105
"P67","Muy mala",0.122,0.688,0.213,0.179
"P67","No sabe",0.02,0.009,0.017,0.054
"P68","Muy buena",0.069,0.044,0.071,0.079
"P68","Buena",0.13,0.05,0.068,0.068
"P68","Ni buena ni mala",0.358,0.243,0.219,0.283
"P68","Mala",0.194,0.223,0.156,0.165
"P68","Muy mala",0.2,0.397,0.436,0.304
"P68","No sabe",0.049,0.043,0.05,0.101
"P69","Muy buena",0.164,0.027,0.099,0.121
"P69","Buena",0.346,0.042,0.211,0.213
"P69","Ni buena ni mala",0.331,0.149,0.269,0.288
"P69","Mala",0.062,0.195,0.112,0.097
"P69","Muy mala",0.067,0.556,0.263,0.209
"P69","No sabe",0.03,0.031,0.046,0.072
"P70","Si",0.535,0.574,0.489,0.557
"P70","No",0.465,0.426,0.511,0.443
