"var","categoria","Patricia Bullrich por Juntos por el Cambio","Wado de Pedro  por el Frente de Todos","En blanco","No sabe"
"P54","Lo votaría",0.039,0.424,0.122,0.087
"P54","Puede que lo vote",0.055,0.359,0.074,0.091
"P54","Nunca lo votaría",0.877,0.142,0.755,0.52
"P54","No sabe",0.029,0.075,0.049,0.302
"P55","Lo votaría",0.027,0.742,0.081,0.16
"P55","Puede que lo vote",0.023,0.158,0.061,0.088
"P55","Nunca lo votaría",0.933,0.069,0.816,0.53
"P55","No sabe",0.017,0.031,0.042,0.222
"P56","La votaría",0.655,0.099,0.069,0.082
"P56","Puede que la vote",0.205,0.048,0.201,0.159
"P56","Nunca la votaría",0.123,0.826,0.671,0.529
"P56","No sabe",0.017,0.027,0.059,0.23
"P57","Lo votaría",0.324,0.035,0.114,0.098
"P57","Puede que lo vote",0.325,0.078,0.079,0.179
"P57","Nunca lo votaría",0.292,0.846,0.744,0.495
"P57","No sabe",0.059,0.041,0.063,0.228
"P58","Lo votaría",0.377,0.029,0.483,0.316
"P58","Puede que lo vote",0.302,0.042,0.051,0.109
"P58","Nunca lo votaría",0.27,0.893,0.441,0.36
"P58","No sabe",0.051,0.036,0.025,0.215
"P59","Lo votaría",0.099,0.031,0.13,0.144
"P59","Puede que lo vote",0.173,0.107,0.063,0.095
"P59","Nunca lo votaría",0.637,0.799,0.743,0.447
"P59","No sabe",0.091,0.063,0.064,0.314
"P60","Lo votaría",0.208,0.011,0.072,0.124
"P60","Puede que lo vote",0.413,0.039,0.167,0.115
"P60","Nunca lo votaría",0.289,0.902,0.695,0.486
"P60","No sabe",0.09,0.048,0.066,0.275
"P61","Muy buena",0.047,0.213,0.074,0.132
"P61","Buena",0.072,0.333,0.061,0.127
"P61","Ni buena ni mala",0.087,0.324,0.171,0.209
"P61","Mala",0.174,0.072,0.201,0.151
"P61","Muy mala",0.611,0.052,0.483,0.276
"P61","No sabe",0.009,0.006,0.01,0.105
"P62","Muy buena",0.015,0.613,0.047,0.078
"P62","Buena",0.025,0.243,0.043,0.073
"P62","Ni buena ni mala",0.13,0.098,0.174,0.274
"P62","Mala",0.203,0.021,0.185,0.161
"P62","Muy mala",0.595,0.015,0.503,0.248
"P62","No sabe",0.032,0.01,0.048,0.166
"P63","Muy buena",0.021,0.237,0.102,0.104
"P63","Buena",0.034,0.347,0.086,0.085
"P63","Ni buena ni mala",0.139,0.291,0.185,0.267
"P63","Mala",0.249,0.076,0.143,0.18
"P63","Muy mala",0.548,0.038,0.464,0.238
"P63","No sabe",0.009,0.011,0.02,0.126
"P64","Muy buena",0.018,0.683,0.062,0.175
"P64","Buena",0.021,0.161,0.051,0.096
"P64","Ni buena ni mala",0.056,0.091,0.146,0.129
"P64","Mala",0.152,0.027,0.13,0.111
"P64","Muy mala",0.739,0.033,0.582,0.37
"P64","No sabe",0.014,0.005,0.029,0.119
"P65","Muy buena",0.575,0.078,0.054,0.079
"P65","Buena",0.239,0.035,0.116,0.113
"P65","Ni buena ni mala",0.08,0.061,0.286,0.206
"P65","Mala",0.033,0.184,0.197,0.22
"P65","Muy mala",0.069,0.634,0.341,0.248
"P65","No sabe",0.004,0.008,0.006,0.134
"P66","Muy buena",0.21,0.021,0.065,0.081
"P66","Buena",0.271,0.049,0.096,0.127
"P66","Ni buena ni mala",0.224,0.12,0.166,0.255
"P66","Mala",0.154,0.257,0.194,0.161
"P66","Muy mala",0.133,0.543,0.469,0.262
"P66","No sabe",0.008,0.01,0.01,0.114
"P67","Muy buena",0.291,0.021,0.359,0.239
"P67","Buena",0.23,0.028,0.082,0.11
"P67","Ni buena ni mala",0.266,0.074,0.12,0.155
"P67","Mala",0.098,0.127,0.104,0.167
"P67","Muy mala",0.095,0.744,0.315,0.199
"P67","No sabe",0.02,0.006,0.02,0.13
"P68","Muy buena",0.065,0.031,0.122,0.121
"P68","Buena",0.11,0.044,0.053,0.076
"P68","Ni buena ni mala",0.317,0.221,0.273,0.309
"P68","Mala",0.185,0.235,0.124,0.112
"P68","Muy mala",0.269,0.435,0.375,0.164
"P68","No sabe",0.054,0.034,0.053,0.218
"P69","Muy buena",0.166,0.013,0.05,0.078
"P69","Buena",0.325,0.028,0.138,0.115
"P69","Ni buena ni mala",0.338,0.116,0.229,0.282
"P69","Mala",0.06,0.196,0.182,0.138
"P69","Muy mala",0.079,0.618,0.349,0.217
"P69","No sabe",0.032,0.029,0.052,0.17
"P70","Si",0.534,0.59,0.46,0.506
"P70","No",0.466,0.41,0.54,0.494
