"var","categoria","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P27","Javier Milei por la Libertad Avanza",0.035,0.034,0.107,0.056,0.139,0.78,0.061,0.049,0.049
"P27","Al candidato del Frente de Izquierda",0.041,0.058,0.049,0.015,0.024,0.052,0.617,0.035,0.018
"P27","En blanco",0.019,0.045,0.082,0.003,0.014,0.008,0.087,0.548,0.045
"P27","No sabe",0.025,0.141,0.171,0.015,0.035,0.02,0.104,0.231,0.717
"P28","Wado de Pedro por el Frente de Todos",0.581,0.878,0.384,0.025,0.065,0.035,0.115,0.117,0.089
"P28","Patricia Bullrich por Juntos por el Cambio",0.101,0.035,0.141,0.86,0.124,0.087,0.024,0.023,0.051
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.05,0.01,0.036,0.04,0.596,0.019,0.052,0.019,0.037
"P28","Javier Milei por la Libertad Avanza",0.052,0.023,0.114,0.051,0.122,0.813,0.022,0.054,0.056
"P28","Al candidato del Frente de Izquierda",0.028,0.022,0.032,0.004,0.016,0.016,0.54,0.068,0.023
"P28","En blanco",0.048,0.011,0.129,0.004,0.02,0.009,0.122,0.554,0.081
"P28","No sabe",0.14,0.021,0.164,0.016,0.057,0.021,0.125,0.165,0.663
"P29","Axel Kicillof por el Frente de Todos",0.659,0.841,0.472,0.021,0.063,0.038,0.184,0.085,0.121
"P29","Patricia Bullrich por Juntos por el Cambio",0.072,0.038,0.1,0.872,0.108,0.087,0.034,0.09,0.051
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.054,0.017,0.052,0.03,0.665,0.023,0.011,0.019,0.041
"P29","Javier Milei por la Libertad Avanza",0.044,0.032,0.126,0.055,0.113,0.838,0.079,0.056,0.051
"P29","Al candidato del Frente de Izquierda",0.03,0.021,0.036,0.005,0.008,0.004,0.531,0.041,0.016
"P29","En blanco",0.029,0.004,0.125,0.003,0.021,0.004,0.057,0.586,0.077
"P29","No sabe",0.112,0.047,0.089,0.014,0.022,0.006,0.104,0.123,0.643
"P30","Sergio Massa  por el Frente de Todos",0.815,0.702,0.472,0.029,0.068,0.032,0.095,0.063,0.122
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.057,0.025,0.078,0.353,0.741,0.043,0.044,0.019,0.067
"P30","Javier Milei por la Libertad Avanza",0.051,0.039,0.161,0.249,0.135,0.868,0.069,0.122,0.052
"P30","Al candidato del Frente de Izquierda",0.024,0.07,0.064,0.009,0.009,0.014,0.65,0.047,0.022
"P30","En blanco",0.023,0.045,0.084,0.096,0.009,0.008,0.095,0.547,0.099
"P30","No sabe",0.03,0.119,0.141,0.264,0.038,0.035,0.047,0.202,0.638
"P31","Sergio Massa  por el Frente de Todos",0.836,0.715,0.483,0.018,0.092,0.027,0.136,0.059,0.12
"P31","Patricia Bullrich por Juntos por el Cambio",0.064,0.03,0.172,0.838,0.482,0.085,0.033,0.031,0.066
"P31","Javier Milei por la Libertad Avanza",0.037,0.031,0.1,0.077,0.162,0.841,0.039,0.07,0.055
"P31","Al candidato del Frente de Izquierda",0.01,0.068,0.04,0.005,0.027,0.009,0.722,0.036,0.017
"P31","En blanco",0.029,0.047,0.06,0.016,0.094,0.006,0.015,0.65,0.119
"P31","No sabe",0.024,0.109,0.145,0.046,0.143,0.032,0.055,0.154,0.623
"P32","Wado de Pedro por el Frente de Todos",0.642,0.892,0.404,0.018,0.042,0.029,0.137,0.107,0.086
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.084,0.032,0.126,0.41,0.73,0.047,0.013,0.042,0.09
"P32","Javier Milei por la Libertad Avanza",0.069,0.028,0.184,0.262,0.165,0.892,0.055,0.075,0.068
"P32","Al candidato del Frente de Izquierda",0.033,0.007,0.042,0.007,0.002,0.002,0.615,0.019,0.015
"P32","En blanco",0.083,0.012,0.11,0.099,0.012,0.007,0.097,0.648,0.125
"P32","No sabe",0.089,0.029,0.134,0.204,0.049,0.023,0.083,0.109,0.616
"P33","Wado de Pedro por el Frente de Todos",0.646,0.909,0.457,0.019,0.058,0.022,0.143,0.044,0.112
"P33","Patricia Bullrich por Juntos por el Cambio",0.075,0.036,0.153,0.858,0.538,0.097,0.041,0.049,0.059
"P33","Javier Milei por la Libertad Avanza",0.076,0.017,0.132,0.074,0.146,0.848,0.036,0.091,0.05
"P33","Al candidato del Frente de Izquierda",0.025,0.015,0.046,0.004,0.008,0.003,0.599,0.06,0.012
"P33","En blanco",0.07,0.011,0.113,0.013,0.111,0.008,0.092,0.661,0.104
"P33","No sabe",0.108,0.012,0.099,0.032,0.139,0.022,0.089,0.095,0.663
"P34","Daniel Scioli por el Frente de Todos",0.591,0.617,0.721,0.023,0.034,0.031,0.121,0.02,0.113
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.082,0.029,0.1,0.425,0.745,0.042,0.005,0.019,0.099
