"var","categoria","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda","En blanco","No sabe"
"P29","Patricia Bullrich por Juntos por el Cambio",0.046,0.843,0.152,0.254,0.075,0.017,0.055,0.034
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.048,0.536,0.193,0.014,0.07,0.057,0.056
"P29","Javier Milei por la Libertad Avanza",0.041,0.045,0.091,0.209,0.851,0.122,0.062,0.031
"P29","Al candidato del Frente de Izquierda",0.016,0.005,0.007,0.032,0.009,0.441,0.014,0.017
"P29","En blanco",0.023,0.002,0.027,0.112,0.002,0.113,0.433,0.073
"P29","No sabe",0.07,0.012,0.112,0.034,0.009,0.011,0.162,0.537
"P30","Sergio Massa  por el Frente de Todos",0.818,0.046,0.087,0.112,0.029,0.064,0.037,0.111
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.354,0.625,0.314,0.038,0.06,0.08,0.059
"P30","Javier Milei por la Libertad Avanza",0.033,0.254,0.125,0.276,0.88,0.154,0.033,0.039
"P30","Al candidato del Frente de Izquierda",0.038,0.012,0.012,0.042,0.018,0.629,0.014,0.005
"P30","En blanco",0.023,0.093,0.033,0.114,0.006,0.044,0.613,0.093
"P30","No sabe",0.064,0.241,0.118,0.142,0.029,0.049,0.223,0.693
"P31","Sergio Massa  por el Frente de Todos",0.843,0.035,0.104,0.126,0.029,0.075,0.045,0.1
"P31","Patricia Bullrich por Juntos por el Cambio",0.033,0.838,0.417,0.394,0.061,0.009,0.12,0.055
"P31","Javier Milei por la Libertad Avanza",0.021,0.066,0.132,0.238,0.868,0.162,0.031,0.042
"P31","Al candidato del Frente de Izquierda",0.032,0.005,0.03,0.066,0.004,0.62,0.042,0.003
"P31","En blanco",0.018,0.012,0.111,0.105,0.015,0.056,0.692,0.102
"P31","No sabe",0.053,0.044,0.206,0.071,0.023,0.078,0.07,0.698
"P32","Wado de Pedro por el Frente de Todos",0.803,0.031,0.079,0.113,0.031,0.263,0.218,0.253
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.41,0.621,0.354,0.041,0.01,0.138,0.051
"P32","Javier Milei por la Libertad Avanza",0.035,0.27,0.125,0.24,0.9,0.254,0.031,0.043
"P32","Al candidato del Frente de Izquierda",0.017,0.006,0.013,0.033,0,0.393,0.011,0.009
"P32","En blanco",0.029,0.096,0.05,0.117,0.007,0.062,0.542,0.131
"P32","No sabe",0.067,0.187,0.112,0.143,0.021,0.018,0.06,0.513
"P33","Wado de Pedro por el Frente de Todos",0.816,0.034,0.087,0.155,0.03,0.311,0.178,0.272
"P33","Patricia Bullrich por Juntos por el Cambio",0.042,0.852,0.459,0.427,0.065,0.016,0.124,0.068
"P33","Javier Milei por la Libertad Avanza",0.032,0.065,0.122,0.23,0.878,0.175,0.034,0.034
"P33","Al candidato del Frente de Izquierda",0.017,0.008,0.019,0.017,0.001,0.388,0.054,0
"P33","En blanco",0.03,0.011,0.12,0.088,0.013,0.092,0.543,0.112
"P33","No sabe",0.063,0.03,0.193,0.083,0.013,0.018,0.067,0.514
"P34","Daniel Scioli por el Frente de Todos",0.65,0.051,0.089,0.154,0.031,0.163,0.157,0.259
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.046,0.418,0.617,0.376,0.035,0.022,0.158,0.074
"P34","Javier Milei por la Libertad Avanza",0.043,0.271,0.098,0.228,0.894,0.187,0.052,0.034
"P34","Al candidato del Frente de Izquierda",0.046,0.012,0.015,0.054,0.014,0.55,0.012,0.01
"P34","En blanco",0.067,0.087,0.085,0.061,0.008,0.064,0.567,0.123
"P34","No sabe",0.148,0.161,0.096,0.127,0.018,0.014,0.054,0.5
"P35","Daniel Scioli por el Frente de Todos",0.669,0.048,0.127,0.133,0.028,0.214,0.159,0.175
"P35","Patricia Bullrich por Juntos por el Cambio",0.047,0.827,0.449,0.541,0.064,0.034,0.084,0.072
"P35","Javier Milei por la Libertad Avanza",0.032,0.08,0.106,0.212,0.867,0.102,0.039,0.055
"P35","Al candidato del Frente de Izquierda",0.055,0.007,0.033,0.028,0.011,0.561,0.018,0.019
"P35","En blanco",0.068,0.011,0.104,0.051,0.012,0.031,0.622,0.117
"P35","No sabe",0.129,0.027,0.181,0.035,0.018,0.058,0.078,0.562
"P36","Axel Kicillof por el Frente de Todos",0.792,0.045,0.088,0.162,0.028,0.321,0.244,0.266
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.042,0.428,0.674,0.395,0.04,0.092,0.063,0.094
"P36","Javier Milei por la Libertad Avanza",0.042,0.283,0.09,0.253,0.907,0.104,0.042,0.049
"P36","Al candidato del Frente de Izquierda",0.019,0.016,0.007,0.018,0.004,0.421,0.012,0.013
"P36","En blanco",0.034,0.077,0.044,0.104,0.007,0.039,0.558,0.081
"P36","No sabe",0.071,0.151,0.097,0.068,0.014,0.023,0.081,0.497
"P37","Axel Kicillof por el Frente de Todos",0.803,0.053,0.109,0.193,0.032,0.241,0.276,0.29
"P37","Patricia Bullrich por Juntos por el Cambio",0.052,0.818,0.475,0.388,0.071,0.066,0.086,0.067
"P37","Javier Milei por la Libertad Avanza",0.036,0.084,0.085,0.329,0.873,0.113,0.028,0.04
"P37","Al candidato del Frente de Izquierda",0.01,0.011,0.058,0.016,0.003,0.533,0.003,0.02
"P37","En blanco",0.031,0.007,0.138,0.048,0.009,0.031,0.538,0.116
"P37","No sabe",0.068,0.027,0.135,0.026,0.012,0.016,0.069,0.467
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.052,0.566,0.685,0.489,0.257,0.057,0.11,0.104
"P38","Sergio Massa por el Frente de Todos",0.829,0.069,0.143,0.203,0.075,0.305,0.116,0.181
"P38","En blanco",0.041,0.145,0.073,0.121,0.389,0.422,0.654,0.153
"P38","No sabe",0.078,0.22,0.099,0.187,0.279,0.216,0.12,0.562
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.066,0.598,0.745,0.6,0.3,0.099,0.113,0.108
"P39","Wado de Pedro por el Frente de Todos",0.826,0.045,0.127,0.143,0.051,0.502,0.241,0.401
"P39","En blanco",0.038,0.158,0.067,0.134,0.438,0.321,0.54,0.135
"P39","No sabe",0.07,0.199,0.061,0.123,0.211,0.078,0.106,0.356
"P40","Patricia Bullrich por Juntos por el Cambio",0.057,0.906,0.587,0.669,0.605,0.057,0.193,0.108
"P40","Sergio Massa por el Frente de Todos",0.853,0.049,0.174,0.14,0.057,0.362,0.133,0.27
"P40","En blanco",0.032,0.02,0.127,0.126,0.214,0.473,0.62,0.172
"P40","No sabe",0.058,0.025,0.112,0.065,0.124,0.108,0.054,0.45
"P41","Patricia Bullrich por Juntos por el Cambio",0.084,0.945,0.594,0.587,0.649,0.057,0.165,0.106
"P41","Wado de Pedro  por el Frente de Todos",0.84,0.032,0.144,0.193,0.048,0.53,0.242,0.362
"P41","En blanco",0.022,0.008,0.158,0.149,0.2,0.301,0.553,0.128
"P41","No sabe",0.054,0.015,0.104,0.071,0.103,0.112,0.04,0.404
"P42","Patricia Bullrich por Juntos por el Cambio",0.079,0.926,0.58,0.661,0.651,0.077,0.154,0.104
"P42","Daniel Scioli por el Frente de Todos",0.747,0.051,0.162,0.145,0.053,0.342,0.243,0.289
"P42","En blanco",0.078,0.007,0.149,0.1,0.189,0.43,0.566,0.161
"P42","No sabe",0.096,0.016,0.109,0.094,0.107,0.151,0.037,0.446
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.083,0.613,0.717,0.635,0.346,0.07,0.137,0.119
"P43","Daniel Scioli por el Frente de Todos",0.731,0.055,0.127,0.164,0.069,0.346,0.269,0.281
"P43","En blanco",0.096,0.152,0.088,0.127,0.406,0.498,0.5,0.182
"P43","No sabe",0.09,0.18,0.068,0.074,0.179,0.086,0.094,0.418
"P44","Patricia Bullrich por Juntos por el Cambio",0.074,0.906,0.621,0.677,0.59,0.124,0.225,0.119
"P44","Axel Kicillof por el Frente de Todos",0.831,0.05,0.135,0.131,0.068,0.516,0.239,0.336
"P44","En blanco",0.034,0.021,0.159,0.103,0.219,0.292,0.498,0.163
"P44","No sabe",0.061,0.023,0.085,0.089,0.123,0.068,0.038,0.382
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.067,0.641,0.7,0.635,0.393,0.116,0.132,0.134
"P45","Axel Kicillof por el Frente de Todos",0.843,0.042,0.115,0.19,0.042,0.519,0.276,0.323
"P45","En blanco",0.036,0.153,0.118,0.121,0.405,0.29,0.488,0.11
"P45","No sabe",0.054,0.164,0.067,0.054,0.16,0.075,0.104,0.433
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.123,0.446,0.715,0.431,0.097,0.088,0.112,0.144
"P46","Javier Milei por los liberales libertarios",0.15,0.318,0.092,0.344,0.797,0.132,0.077,0.105
"P46","En blanco",0.487,0.094,0.106,0.144,0.068,0.672,0.697,0.288
"P46","No sabe",0.24,0.142,0.087,0.081,0.038,0.108,0.114,0.463
"P47","Patricia Bullrich por Juntos por el Cambio",0.072,0.847,0.58,0.497,0.104,0.049,0.154,0.125
"P47","Javier Milei por los liberales libertarios",0.085,0.089,0.12,0.305,0.846,0.132,0.075,0.058
"P47","En blanco",0.637,0.026,0.206,0.094,0.026,0.738,0.703,0.335
"P47","No sabe",0.206,0.038,0.094,0.104,0.024,0.081,0.068,0.482
"P48","Javier Milei por los liberales libertarios",0.049,0.548,0.317,0.463,0.843,0.155,0.132,0.086
"P48","Sergio Massa por el Frente de Todos",0.816,0.064,0.181,0.197,0.124,0.351,0.16,0.224
"P48","En blanco",0.093,0.189,0.303,0.173,0.021,0.446,0.654,0.237
"P48","No sabe",0.042,0.199,0.199,0.167,0.012,0.048,0.054,0.453
"P49","Javier Milei por los liberales libertarios",0.055,0.553,0.312,0.486,0.923,0.145,0.14,0.074
"P49","Wado de Pedro  por el Frente de Todos",0.864,0.039,0.153,0.156,0.043,0.506,0.295,0.363
"P49","En blanco",0.031,0.206,0.349,0.187,0.012,0.322,0.526,0.148
"P49","No sabe",0.05,0.202,0.186,0.171,0.022,0.027,0.039,0.415
"P50","Javier Milei por los liberales libertarios",0.071,0.542,0.29,0.488,0.928,0.143,0.132,0.06
"P50","Daniel Scioli por el Frente de Todos",0.777,0.054,0.18,0.22,0.035,0.419,0.263,0.349
"P50","En blanco",0.084,0.216,0.322,0.164,0.015,0.42,0.533,0.173
"P50","No sabe",0.068,0.188,0.208,0.128,0.022,0.018,0.072,0.418
"P51","Javier Milei por los liberales libertarios",0.072,0.567,0.341,0.539,0.932,0.157,0.122,0.07
"P51","Axel Kicillof por el Frente de Todos",0.849,0.043,0.143,0.149,0.041,0.501,0.269,0.404
"P51","En blanco",0.036,0.214,0.349,0.215,0.009,0.308,0.51,0.166
"P51","No sabe",0.043,0.176,0.167,0.097,0.018,0.034,0.099,0.36
"P52","Lo votaría",0.557,0.08,0.18,0.163,0.16,0.041,0.035,0.072
"P52","Puede que lo vote",0.317,0.053,0.109,0.106,0.043,0.215,0.154,0.226
"P52","Nunca lo votaría",0.07,0.811,0.6,0.712,0.776,0.693,0.664,0.331
"P52","No sabe",0.056,0.056,0.111,0.019,0.021,0.051,0.147,0.371
"P53","Lo votaría",0.724,0.04,0.12,0.134,0.066,0.307,0.228,0.27
"P53","Puede que lo vote",0.166,0.031,0.094,0.044,0.033,0.198,0.132,0.152
"P53","Nunca lo votaría",0.072,0.9,0.683,0.804,0.871,0.486,0.533,0.315
"P53","No sabe",0.038,0.029,0.103,0.018,0.03,0.009,0.107,0.263
"P54","Lo votaría",0.446,0.042,0.081,0.11,0.047,0.093,0.145,0.148
"P54","Puede que lo vote",0.332,0.068,0.151,0.121,0.047,0.195,0.085,0.166
"P54","Nunca lo votaría",0.137,0.868,0.686,0.755,0.878,0.597,0.695,0.375
"P54","No sabe",0.085,0.022,0.082,0.014,0.028,0.115,0.075,0.311
"P55","Lo votaría",0.727,0.045,0.081,0.114,0.037,0.329,0.279,0.319
"P55","Puede que lo vote",0.147,0.03,0.094,0.024,0.026,0.127,0.026,0.104
"P55","Nunca lo votaría",0.093,0.904,0.799,0.825,0.924,0.486,0.652,0.307
"P55","No sabe",0.033,0.021,0.026,0.037,0.013,0.058,0.043,0.27
"P56","La votaría",0.123,0.821,0.326,0.32,0.282,0.057,0.102,0.089
"P56","Puede que la vote",0.033,0.056,0.274,0.26,0.41,0.078,0.22,0.084
"P56","Nunca la votaría",0.802,0.116,0.356,0.396,0.275,0.844,0.657,0.597
"P56","No sabe",0.042,0.007,0.044,0.024,0.033,0.021,0.021,0.23
"P57","Lo votaría",0.043,0.332,0.589,0.291,0.112,0.036,0.065,0.067
"P57","Puede que lo vote",0.081,0.369,0.163,0.319,0.23,0.038,0.079,0.131
"P57","Nunca lo votaría",0.816,0.239,0.196,0.372,0.611,0.883,0.77,0.563
"P57","No sabe",0.06,0.06,0.052,0.018,0.047,0.043,0.086,0.239
"P58","Lo votaría",0.034,0.188,0.243,0.298,0.833,0.127,0.005,0.026
"P58","Puede que lo vote",0.064,0.416,0.133,0.211,0.07,0.015,0.12,0.093
"P58","Nunca lo votaría",0.859,0.327,0.544,0.446,0.087,0.841,0.83,0.678
"P58","No sabe",0.043,0.069,0.08,0.045,0.01,0.017,0.045,0.203
"P59","Lo votaría",0.027,0.074,0.251,0.15,0.123,0.023,0.016,0.044
"P59","Puede que lo vote",0.124,0.158,0.246,0.186,0.099,0.103,0.024,0.095
"P59","Nunca lo votaría",0.765,0.693,0.387,0.581,0.694,0.845,0.877,0.544
"P59","No sabe",0.084,0.075,0.116,0.083,0.084,0.029,0.083,0.317
"P60","Lo votaría",0.027,0.195,0.144,0.347,0.172,0.041,0.05,0.023
"P60","Puede que lo vote",0.049,0.445,0.272,0.262,0.312,0.039,0.099,0.099
"P60","Nunca lo votaría",0.856,0.275,0.478,0.352,0.438,0.89,0.835,0.59
"P60","No sabe",0.068,0.085,0.106,0.039,0.078,0.03,0.016,0.288
"P61","Muy buena",0.252,0.04,0.124,0.105,0.042,0.054,0.005,0.024
"P61","Buena",0.377,0.075,0.069,0.044,0.071,0.02,0.034,0.086
"P61","Ni buena ni mala",0.27,0.087,0.246,0.207,0.102,0.229,0.217,0.348
"P61","Mala",0.05,0.169,0.204,0.202,0.146,0.267,0.296,0.238
"P61","Muy mala",0.04,0.618,0.345,0.442,0.628,0.427,0.435,0.211
"P61","No sabe",0.011,0.011,0.012,0,0.011,0.003,0.013,0.093
"P62","Muy buena",0.57,0.03,0.109,0.094,0.04,0.251,0.198,0.222
"P62","Buena",0.237,0.02,0.045,0.015,0.033,0.19,0.087,0.168
"P62","Ni buena ni mala",0.093,0.115,0.284,0.167,0.131,0.166,0.159,0.194
"P62","Mala",0.043,0.209,0.185,0.174,0.154,0.082,0.209,0.125
"P62","Muy mala",0.038,0.592,0.312,0.49,0.615,0.24,0.328,0.192
"P62","No sabe",0.019,0.034,0.065,0.06,0.027,0.071,0.019,0.099
"P63","Muy buena",0.228,0.035,0.077,0.077,0.033,0.107,0.171,0.11
"P63","Buena",0.354,0.038,0.091,0.067,0.047,0.056,0.037,0.155
"P63","Ni buena ni mala",0.294,0.138,0.258,0.144,0.124,0.237,0.232,0.257
"P63","Mala",0.08,0.242,0.234,0.211,0.209,0.165,0.21,0.148
"P63","Muy mala",0.032,0.54,0.324,0.477,0.574,0.415,0.327,0.188
"P63","No sabe",0.012,0.007,0.016,0.024,0.013,0.02,0.023,0.142
"P64","Muy buena",0.658,0.041,0.091,0.104,0.035,0.274,0.263,0.273
"P64","Buena",0.163,0.017,0.047,0.025,0.037,0.117,0.046,0.117
"P64","Ni buena ni mala",0.093,0.039,0.164,0.045,0.067,0.147,0.082,0.173
"P64","Mala",0.029,0.153,0.174,0.148,0.119,0.093,0.164,0.079
"P64","Muy mala",0.042,0.732,0.503,0.674,0.733,0.369,0.429,0.236
"P64","No sabe",0.015,0.018,0.021,0.004,0.009,0,0.016,0.122
"P65","Muy buena",0.103,0.703,0.187,0.241,0.314,0.055,0.11,0.036
"P65","Buena",0.03,0.184,0.233,0.247,0.275,0.083,0.034,0.09
"P65","Ni buena ni mala",0.067,0.017,0.245,0.146,0.179,0.083,0.247,0.171
"P65","Mala",0.191,0.02,0.162,0.1,0.082,0.1,0.147,0.186
"P65","Muy mala",0.591,0.074,0.167,0.266,0.141,0.673,0.446,0.401
"P65","No sabe",0.018,0.002,0.006,0,0.009,0.006,0.016,0.116
"P66","Muy buena",0.022,0.188,0.395,0.174,0.111,0.022,0.091,0.042
"P66","Buena",0.053,0.305,0.288,0.309,0.132,0.078,0.058,0.082
"P66","Ni buena ni mala",0.126,0.243,0.165,0.103,0.212,0.096,0.181,0.222
"P66","Mala",0.273,0.155,0.064,0.14,0.174,0.223,0.294,0.197
"P66","Muy mala",0.515,0.099,0.082,0.253,0.364,0.578,0.376,0.32
"P66","No sabe",0.011,0.01,0.006,0.021,0.007,0.003,0,0.137
"P67","Muy buena",0.032,0.118,0.122,0.12,0.71,0.05,0.053,0
"P67","Buena",0.035,0.255,0.188,0.212,0.142,0.08,0.015,0.071
"P67","Ni buena ni mala",0.066,0.35,0.234,0.278,0.088,0.032,0.194,0.168
"P67","Mala",0.143,0.126,0.146,0.129,0.019,0.113,0.159,0.153
"P67","Muy mala",0.717,0.123,0.284,0.261,0.036,0.725,0.502,0.46
"P67","No sabe",0.007,0.028,0.026,0,0.005,0,0.077,0.148
"P68","Muy buena",0.016,0.043,0.204,0.066,0.12,0,0,0.031
"P68","Buena",0.053,0.091,0.153,0.064,0.093,0.091,0.031,0.051
"P68","Ni buena ni mala",0.249,0.294,0.358,0.39,0.281,0.123,0.297,0.277
"P68","Mala",0.252,0.207,0.084,0.141,0.146,0.26,0.143,0.117
