"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Daniel Scioli por el Frente de Todos","En blanco","No sabe"
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.51,0.061,0.236,0.369
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.162,0.038,0.037,0.038
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.044,0.015,0.017,0.013
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.193,0.051,0.421,0.244
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.004,0.028,0.057,0.013
"P22","En blanco",0.008,0.02,0.05,0.012
"P22","No sabe",0.017,0.054,0.048,0.146
"P25","Sergio Massa por el Frente de Todos",0.066,0.516,0.068,0.138
"P25","Daniel Scioli por el Frente de Todos",0.041,0.252,0.013,0.034
"P25","Patricia Bullrich por Juntos por el Cambio",0.496,0.059,0.236,0.342
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.175,0.019,0.019,0.031
"P25","Javier Milei por la Libertad Avanza",0.189,0.047,0.45,0.21
"P25","Al candidato del Frente de Izquierda",0.004,0.033,0.076,0.019
"P25","En blanco",0.011,0.019,0.081,0.013
"P25","No sabe",0.018,0.055,0.057,0.213
"P26","Wado de Pedro por el Frente de Todos",0.032,0.652,0.141,0.156
"P26","Daniel Scioli por el Frente de Todos",0.014,0.216,0.004,0.017
"P26","Patricia Bullrich por Juntos por el Cambio",0.551,0.031,0.239,0.357
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.171,0.014,0.017,0.009
"P26","Javier Milei por la Libertad Avanza",0.196,0.04,0.461,0.245
"P26","Al candidato del Frente de Izquierda",0.004,0.022,0.048,0.009
"P26","En blanco",0.011,0.007,0.054,0.014
"P26","No sabe",0.021,0.018,0.036,0.193
"P27","Sergio Massa por el Frente de Todos",0.032,0.712,0.095,0.132
"P27","Patricia Bullrich por Juntos por el Cambio",0.519,0.055,0.231,0.338
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.221,0.008,0.025,0.03
"P27","Javier Milei por la Libertad Avanza",0.187,0.045,0.431,0.229
"P27","Al candidato del Frente de Izquierda",0.012,0.059,0.084,0.058
"P27","En blanco",0.006,0.036,0.072,0.01
"P27","No sabe",0.023,0.085,0.062,0.203
"P28","Wado de Pedro por el Frente de Todos",0.03,0.764,0.134,0.159
"P28","Patricia Bullrich por Juntos por el Cambio",0.552,0.04,0.241,0.377
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.185,0.011,0.012,0.007
"P28","Javier Milei por la Libertad Avanza",0.195,0.055,0.443,0.255
"P28","Al candidato del Frente de Izquierda",0.006,0.029,0.064,0.018
"P28","En blanco",0.006,0.043,0.074,0.006
"P28","No sabe",0.026,0.058,0.032,0.178
"P29","Axel Kicillof por el Frente de Todos",0.019,0.828,0.128,0.135
"P29","Patricia Bullrich por Juntos por el Cambio",0.556,0.022,0.25,0.369
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.198,0.007,0.014,0.012
"P29","Javier Milei por la Libertad Avanza",0.206,0.041,0.454,0.246
"P29","Al candidato del Frente de Izquierda",0.003,0.025,0.046,0.019
"P29","En blanco",0.005,0.029,0.064,0.009
"P29","No sabe",0.013,0.048,0.044,0.21
"P30","Sergio Massa  por el Frente de Todos",0.035,0.754,0.102,0.136
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.481,0.022,0.017,0.036
"P30","Javier Milei por la Libertad Avanza",0.338,0.063,0.551,0.318
"P30","Al candidato del Frente de Izquierda",0.007,0.055,0.07,0.023
"P30","En blanco",0.031,0.034,0.157,0.039
"P30","No sabe",0.108,0.072,0.103,0.448
"P31","Sergio Massa  por el Frente de Todos",0.047,0.765,0.107,0.132
"P31","Patricia Bullrich por Juntos por el Cambio",0.62,0.034,0.221,0.348
"P31","Javier Milei por la Libertad Avanza",0.228,0.048,0.475,0.249
"P31","Al candidato del Frente de Izquierda",0.01,0.052,0.065,0.018
"P31","En blanco",0.028,0.04,0.087,0.011
"P31","No sabe",0.067,0.061,0.045,0.242
"P32","Wado de Pedro por el Frente de Todos",0.018,0.78,0.153,0.159
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.524,0.038,0.029,0.044
"P32","Javier Milei por la Libertad Avanza",0.338,0.072,0.55,0.348
"P32","Al candidato del Frente de Izquierda",0.004,0.03,0.036,0.018
"P32","En blanco",0.034,0.036,0.174,0.023
"P32","No sabe",0.082,0.044,0.058,0.408
"P33","Wado de Pedro por el Frente de Todos",0.029,0.804,0.144,0.165
"P33","Patricia Bullrich por Juntos por el Cambio",0.658,0.04,0.223,0.351
"P33","Javier Milei por la Libertad Avanza",0.219,0.053,0.475,0.262
"P33","Al candidato del Frente de Izquierda",0.007,0.025,0.042,0.025
"P33","En blanco",0.033,0.035,0.083,0.003
"P33","No sabe",0.054,0.043,0.033,0.194
"P34","Daniel Scioli por el Frente de Todos",0.015,0.781,0.033,0.037
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.523,0.018,0.035,0.051
"P34","Javier Milei por la Libertad Avanza",0.342,0.048,0.56,0.364
"P34","Al candidato del Frente de Izquierda",0.006,0.05,0.08,0.041
"P34","En blanco",0.043,0.031,0.21,0.032
"P34","No sabe",0.071,0.072,0.082,0.475
"P35","Daniel Scioli por el Frente de Todos",0.029,0.789,0.015,0.027
"P35","Patricia Bullrich por Juntos por el Cambio",0.651,0.038,0.213,0.333
"P35","Javier Milei por la Libertad Avanza",0.222,0.039,0.496,0.267
"P35","Al candidato del Frente de Izquierda",0.012,0.054,0.08,0.033
"P35","En blanco",0.035,0.028,0.139,0.021
"P35","No sabe",0.051,0.052,0.057,0.319
"P36","Axel Kicillof por el Frente de Todos",0.012,0.833,0.135,0.136
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.548,0.018,0.035,0.057
"P36","Javier Milei por la Libertad Avanza",0.353,0.055,0.562,0.363
"P36","Al candidato del Frente de Izquierda",0.005,0.031,0.045,0.025
"P36","En blanco",0.033,0.018,0.173,0.011
"P36","No sabe",0.049,0.045,0.05,0.408
"P37","Axel Kicillof por el Frente de Todos",0.023,0.835,0.135,0.146
"P37","Patricia Bullrich por Juntos por el Cambio",0.65,0.02,0.223,0.326
"P37","Javier Milei por la Libertad Avanza",0.234,0.048,0.478,0.295
"P37","Al candidato del Frente de Izquierda",0.013,0.03,0.046,0.015
"P37","En blanco",0.039,0.023,0.092,0.004
"P37","No sabe",0.041,0.044,0.026,0.214
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.781,0.037,0.029,0.067
"P38","Sergio Massa por el Frente de Todos",0.067,0.831,0.132,0.137
"P38","En blanco",0.056,0.059,0.686,0.045
"P38","No sabe",0.096,0.073,0.153,0.751
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.85,0.047,0.038,0.067
"P39","Wado de Pedro por el Frente de Todos",0.034,0.84,0.167,0.176
"P39","En blanco",0.049,0.067,0.737,0.034
"P39","No sabe",0.067,0.046,0.058,0.723
"P40","Patricia Bullrich por Juntos por el Cambio",0.884,0.045,0.457,0.455
"P40","Sergio Massa por el Frente de Todos",0.051,0.857,0.127,0.159
"P40","En blanco",0.033,0.053,0.383,0.015
"P40","No sabe",0.032,0.045,0.033,0.371
"P41","Patricia Bullrich por Juntos por el Cambio",0.907,0.061,0.488,0.486
"P41","Wado de Pedro  por el Frente de Todos",0.035,0.855,0.175,0.151
"P41","En blanco",0.033,0.054,0.31,0.018
"P41","No sabe",0.025,0.03,0.027,0.345
"P42","Patricia Bullrich por Juntos por el Cambio",0.907,0.04,0.499,0.467
"P42","Daniel Scioli por el Frente de Todos",0.032,0.935,0.023,0.027
"P42","En blanco",0.033,0.011,0.455,0.017
"P42","No sabe",0.028,0.014,0.023,0.489
"P44","Patricia Bullrich por Juntos por el Cambio",0.931,0.038,0.428,0.432
"P44","Axel Kicillof por el Frente de Todos",0.021,0.899,0.149,0.139
"P44","En blanco",0.026,0.031,0.405,0.025
"P44","No sabe",0.022,0.032,0.018,0.404
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.933,0.029,0.071,0.109
"P45","Axel Kicillof por el Frente de Todos",0.015,0.876,0.165,0.157
"P45","En blanco",0.024,0.054,0.735,0.038
"P45","No sabe",0.028,0.041,0.029,0.696
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.634,0.089,0.032,0.057
"P46","Javier Milei por los liberales libertarios",0.311,0.183,0.544,0.365
"P46","En blanco",0.022,0.494,0.401,0.073
"P46","No sabe",0.033,0.234,0.023,0.505
"P47","Patricia Bullrich por Juntos por el Cambio",0.714,0.061,0.2,0.351
"P47","Javier Milei por los liberales libertarios",0.222,0.092,0.507,0.281
"P47","En blanco",0.035,0.65,0.268,0.084
"P47","No sabe",0.029,0.197,0.025,0.284
"P48","Javier Milei por los liberales libertarios",0.596,0.054,0.534,0.415
"P48","Sergio Massa por el Frente de Todos",0.088,0.808,0.18,0.154
"P48","En blanco",0.175,0.105,0.272,0.043
"P48","No sabe",0.141,0.033,0.014,0.388
"P49","Javier Milei por los liberales libertarios",0.601,0.075,0.596,0.417
"P49","Wado de Pedro  por el Frente de Todos",0.056,0.839,0.182,0.162
"P49","En blanco",0.2,0.05,0.197,0.048
"P49","No sabe",0.143,0.036,0.025,0.373
"P50","Javier Milei por los liberales libertarios",0.622,0.041,0.598,0.426
"P50","Daniel Scioli por el Frente de Todos",0.041,0.914,0.069,0.065
"P50","En blanco",0.211,0.023,0.305,0.058
"P50","No sabe",0.126,0.022,0.028,0.451
"P51","Javier Milei por los liberales libertarios",0.643,0.053,0.607,0.443
"P51","Axel Kicillof por el Frente de Todos",0.033,0.877,0.175,0.14
"P51","En blanco",0.212,0.04,0.205,0.049
"P51","No sabe",0.112,0.03,0.013,0.368
"P52","Lo votaría",0.141,0.51,0.116,0.139
"P52","Puede que lo vote",0.051,0.34,0.107,0.068
"P52","Nunca lo votaría",0.754,0.108,0.738,0.59
"P52","No sabe",0.054,0.042,0.039,0.203
"P53","Lo votaría",0.063,0.698,0.14,0.143
"P53","Puede que lo vote",0.05,0.152,0.074,0.075
"P53","Nunca lo votaría",0.851,0.119,0.758,0.629
"P53","No sabe",0.036,0.031,0.028,0.153
"P54","Lo votaría",0.046,0.512,0.022,0.035
"P54","Puede que lo vote",0.065,0.372,0.056,0.098
"P54","Nunca lo votaría",0.857,0.069,0.873,0.676
"P54","No sabe",0.032,0.047,0.049,0.191
"P55","Lo votaría",0.029,0.739,0.128,0.142
"P55","Puede que lo vote",0.038,0.152,0.049,0.045
"P55","Nunca lo votaría",0.917,0.087,0.801,0.677
"P55","No sabe",0.016,0.022,0.022,0.136
"P56","La votaría",0.629,0.116,0.31,0.42
"P56","Puede que la vote",0.183,0.051,0.247,0.143
"P56","Nunca la votaría",0.171,0.8,0.407,0.339
"P56","No sabe",0.017,0.033,0.036,0.098
"P57","Lo votaría",0.472,0.028,0.035,0.067
"P57","Puede que lo vote",0.39,0.057,0.089,0.25
"P57","Nunca lo votaría",0.099,0.878,0.829,0.48
"P57","No sabe",0.039,0.037,0.047,0.203
"P58","Lo votaría",0.335,0.046,0.47,0.296
"P58","Puede que lo vote",0.324,0.054,0.112,0.182
"P58","Nunca lo votaría",0.297,0.865,0.392,0.365
"P58","No sabe",0.044,0.035,0.026,0.157
"P59","Lo votaría",0.096,0.038,0.094,0.128
"P59","Puede que lo vote",0.213,0.124,0.053,0.083
"P59","Nunca lo votaría",0.595,0.767,0.804,0.595
"P59","No sabe",0.096,0.071,0.049,0.194
"P60","Lo votaría",0.2,0.025,0.124,0.149
"P60","Puede que lo vote",0.408,0.06,0.249,0.24
"P60","Nunca lo votaría",0.303,0.856,0.575,0.431
"P60","No sabe",0.089,0.059,0.052,0.18
"P61","Muy buena",0.065,0.226,0.037,0.077
"P61","Buena",0.076,0.346,0.093,0.08
"P61","Ni buena ni mala",0.117,0.295,0.109,0.192
"P61","Mala",0.172,0.065,0.17,0.182
"P61","Muy mala",0.556,0.061,0.588,0.422
"P61","No sabe",0.014,0.007,0.003,0.047
"P62","Muy buena",0.019,0.565,0.127,0.117
"P62","Buena",0.045,0.218,0.06,0.053
"P62","Ni buena ni mala",0.155,0.106,0.087,0.194
"P62","Mala",0.214,0.032,0.142,0.166
"P62","Muy mala",0.523,0.059,0.577,0.389
"P62","No sabe",0.044,0.02,0.007,0.081
"P63","Muy buena",0.027,0.296,0.008,0.04
"P63","Buena",0.031,0.404,0.038,0.045
"P63","Ni buena ni mala",0.146,0.242,0.198,0.25
"P63","Mala",0.253,0.036,0.232,0.207
"P63","Muy mala",0.526,0.02,0.517,0.391
"P63","No sabe",0.017,0.002,0.007,0.067
"P64","Muy buena",0.026,0.657,0.12,0.141
"P64","Buena",0.026,0.168,0.052,0.037
"P64","Ni buena ni mala",0.066,0.095,0.085,0.082
"P64","Mala",0.162,0.025,0.098,0.143
"P64","Muy mala",0.704,0.048,0.641,0.526
"P64","No sabe",0.016,0.007,0.004,0.071
"P65","Muy buena",0.519,0.106,0.288,0.404
"P65","Buena",0.227,0.038,0.179,0.168
"P65","Ni buena ni mala",0.093,0.076,0.155,0.098
"P65","Mala",0.057,0.188,0.103,0.085
"P65","Muy mala",0.097,0.584,0.27,0.189
"P65","No sabe",0.007,0.008,0.005,0.056
"P66","Muy buena",0.278,0.031,0.028,0.082
"P66","Buena",0.367,0.04,0.051,0.123
"P66","Ni buena ni mala",0.209,0.121,0.164,0.298
"P66","Mala",0.088,0.282,0.234,0.211
"P66","Muy mala",0.053,0.518,0.516,0.219
"P66","No sabe",0.005,0.008,0.007,0.067
"P67","Muy buena",0.228,0.045,0.403,0.222
"P67","Buena",0.229,0.038,0.141,0.147
"P67","Ni buena ni mala",0.275,0.083,0.102,0.268
"P67","Mala",0.123,0.12,0.091,0.096
"P67","Muy mala",0.124,0.705,0.252,0.198
"P67","No sabe",0.021,0.009,0.011,0.069
"P68","Muy buena",0.066,0.043,0.069,0.088
"P68","Buena",0.124,0.046,0.068,0.063
"P68","Ni buena ni mala",0.368,0.236,0.222,0.236
"P68","Mala",0.178,0.227,0.164,0.187
"P68","Muy mala",0.209,0.414,0.432,0.298
"P68","No sabe",0.055,0.034,0.045,0.128
"P69","Muy buena",0.165,0.02,0.103,0.095
"P69","Buena",0.33,0.038,0.188,0.21
"P69","Ni buena ni mala",0.33,0.134,0.265,0.286
"P69","Mala",0.065,0.205,0.117,0.092
"P69","Muy mala",0.08,0.562,0.301,0.223
"P69","No sabe",0.03,0.041,0.026,0.094
"P70","Si",0.52,0.587,0.528,0.537
"P70","No",0.48,0.413,0.472,0.463
