"var","categoria","Sergio Massa  por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P22","No sabe",0.022,0.01,0.011,0.006,0.13,0.429
"P25","Sergio Massa por el Frente de Todos",0.654,0.042,0.042,0.048,0.035,0.044
"P25","Daniel Scioli por el Frente de Todos",0.174,0.051,0.034,0.153,0.1,0.088
"P25","Patricia Bullrich por Juntos por el Cambio",0.051,0.725,0.078,0.037,0.072,0.131
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.029,0.129,0.049,0.045,0.201,0.119
"P25","Javier Milei por la Libertad Avanza",0.03,0.035,0.756,0.043,0.042,0.038
"P25","Al candidato del Frente de Izquierda",0.011,0.002,0.014,0.628,0.018,0.02
"P25","En blanco",0.013,0.003,0.004,0.038,0.368,0.063
"P25","No sabe",0.038,0.013,0.023,0.008,0.164,0.497
"P26","Wado de Pedro por el Frente de Todos",0.706,0.01,0.013,0.359,0.191,0.175
"P26","Daniel Scioli por el Frente de Todos",0.168,0.026,0.01,0.103,0.1,0.076
"P26","Patricia Bullrich por Juntos por el Cambio",0.013,0.796,0.093,0.035,0.079,0.141
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.122,0.019,0.041,0.215,0.127
"P26","Javier Milei por la Libertad Avanza",0.021,0.031,0.835,0.052,0.051,0.051
"P26","Al candidato del Frente de Izquierda",0.011,0.002,0.011,0.356,0.006,0.014
"P26","En blanco",0.015,0.002,0.005,0.042,0.27,0.028
"P26","No sabe",0.048,0.011,0.014,0.012,0.088,0.388
"P27","Sergio Massa por el Frente de Todos",0.849,0.013,0.008,0.113,0.041,0.06
"P27","Patricia Bullrich por Juntos por el Cambio",0.03,0.761,0.097,0.049,0.093,0.126
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.165,0.033,0.08,0.193,0.161
"P27","Javier Milei por la Libertad Avanza",0.022,0.036,0.795,0.009,0.008,0.067
"P27","Al candidato del Frente de Izquierda",0.013,0.007,0.05,0.647,0.065,0.021
"P27","En blanco",0.01,0.003,0.01,0.06,0.411,0.037
"P27","No sabe",0.059,0.015,0.007,0.042,0.189,0.528
"P28","Wado de Pedro por el Frente de Todos",0.812,0.01,0.013,0.39,0.175,0.205
"P28","Patricia Bullrich por Juntos por el Cambio",0.019,0.811,0.092,0.046,0.115,0.141
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.132,0.023,0.066,0.174,0.126
"P28","Javier Milei por la Libertad Avanza",0.03,0.025,0.837,0.016,0.022,0.044
"P28","Al candidato del Frente de Izquierda",0.019,0.003,0.011,0.432,0.064,0.017
"P28","En blanco",0.031,0.004,0.013,0.012,0.309,0.053
"P28","No sabe",0.069,0.015,0.011,0.038,0.141,0.414
"P29","Axel Kicillof por el Frente de Todos",0.82,0.015,0.021,0.451,0.202,0.219
"P29","Patricia Bullrich por Juntos por el Cambio",0.019,0.814,0.077,0.023,0.083,0.14
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.133,0.023,0.124,0.173,0.162
"P29","Javier Milei por la Libertad Avanza",0.034,0.019,0.864,0.012,0.026,0.045
"P29","Al candidato del Frente de Izquierda",0.013,0.004,0.002,0.367,0.055,0.015
"P29","En blanco",0.025,0.005,0.009,0.013,0.348,0.024
"P29","No sabe",0.065,0.01,0.004,0.01,0.113,0.395
"P30","Sergio Massa  por el Frente de Todos",0.925,0.016,0.004,0.052,0.033,0.063
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.471,0.028,0.102,0.196,0.131
"P30","Javier Milei por la Libertad Avanza",0.015,0.205,0.941,0.034,0.025,0.027
"P30","Al candidato del Frente de Izquierda",0.012,0.007,0.014,0.734,0.033,0.015
"P30","En blanco",0.008,0.081,0.001,0.039,0.623,0.023
"P30","No sabe",0.02,0.22,0.012,0.039,0.09,0.741
"P32","Wado de Pedro por el Frente de Todos",0.833,0.007,0.009,0.403,0.215,0.217
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.039,0.536,0.023,0.1,0.185,0.123
"P32","Javier Milei por la Libertad Avanza",0.032,0.206,0.946,0.066,0.013,0.076
"P32","Al candidato del Frente de Izquierda",0.01,0.005,0.003,0.39,0.005,0.011
"P32","En blanco",0.028,0.086,0.005,0.025,0.483,0.066
"P32","No sabe",0.058,0.16,0.014,0.016,0.099,0.507
"P33","Wado de Pedro por el Frente de Todos",0.857,0.003,0.009,0.467,0.182,0.241
"P33","Patricia Bullrich por Juntos por el Cambio",0.014,0.937,0.056,0.056,0.055,0.118
"P33","Javier Milei por la Libertad Avanza",0.024,0.025,0.914,0.041,0.053,0.045
"P33","Al candidato del Frente de Izquierda",0.012,0.007,0.004,0.374,0.021,0.009
"P33","En blanco",0.034,0.011,0.001,0.051,0.571,0.063
"P33","No sabe",0.059,0.017,0.016,0.011,0.118,0.524
"P34","Daniel Scioli por el Frente de Todos",0.719,0.029,0.01,0.225,0.154,0.16
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.036,0.522,0.035,0.071,0.183,0.196
"P34","Javier Milei por la Libertad Avanza",0.024,0.214,0.938,0.046,0.03,0.051
"P34","Al candidato del Frente de Izquierda",0.035,0.008,0.003,0.598,0.021,0.029
"P34","En blanco",0.06,0.086,0.001,0.042,0.532,0.055
"P34","No sabe",0.126,0.141,0.013,0.018,0.08,0.509
"P35","Daniel Scioli por el Frente de Todos",0.742,0.018,0.015,0.245,0.192,0.124
"P35","Patricia Bullrich por Juntos por el Cambio",0.018,0.907,0.052,0.058,0.13,0.16
"P35","Javier Milei por la Libertad Avanza",0.016,0.035,0.912,0.022,0.004,0.066
"P35","Al candidato del Frente de Izquierda",0.042,0.006,0.005,0.612,0.028,0.021
"P35","En blanco",0.066,0.015,0.001,0.018,0.592,0.05
"P35","No sabe",0.116,0.019,0.015,0.045,0.054,0.579
"P36","Axel Kicillof por el Frente de Todos",0.825,0.016,0.013,0.457,0.23,0.21
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.029,0.536,0.04,0.075,0.262,0.216
"P36","Javier Milei por la Libertad Avanza",0.033,0.227,0.931,0.022,0.015,0.08
"P36","Al candidato del Frente de Izquierda",0.015,0.01,0.004,0.414,0.005,0.014
"P36","En blanco",0.034,0.076,0.001,0.016,0.39,0.054
"P36","No sabe",0.064,0.135,0.011,0.016,0.098,0.426
"P37","Axel Kicillof por el Frente de Todos",0.846,0.02,0.015,0.433,0.267,0.226
"P37","Patricia Bullrich por Juntos por el Cambio",0.02,0.898,0.055,0.045,0.12,0.173
"P37","Javier Milei por la Libertad Avanza",0.029,0.047,0.913,0.016,0.013,0.047
"P37","Al candidato del Frente de Izquierda",0.012,0.009,0.002,0.48,0.006,0.023
"P37","En blanco",0.037,0.009,0.006,0.009,0.513,0.07
"P37","No sabe",0.056,0.017,0.009,0.017,0.081,0.461
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.636,0.286,0.127,0.273,0.217
"P38","Sergio Massa por el Frente de Todos",0.909,0.049,0.063,0.384,0.101,0.121
"P38","En blanco",0.022,0.127,0.387,0.333,0.511,0.075
"P38","No sabe",0.041,0.188,0.264,0.156,0.115,0.587
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.057,0.679,0.319,0.122,0.253,0.252
"P39","Wado de Pedro por el Frente de Todos",0.865,0.019,0.047,0.584,0.266,0.273
"P39","En blanco",0.026,0.132,0.44,0.214,0.407,0.093
"P39","No sabe",0.052,0.17,0.194,0.08,0.074,0.382
"P40","Patricia Bullrich por Juntos por el Cambio",0.021,0.942,0.616,0.1,0.157,0.28
"P40","Sergio Massa por el Frente de Todos",0.935,0.016,0.048,0.409,0.208,0.177
"P40","En blanco",0.017,0.021,0.218,0.363,0.563,0.096
"P40","No sabe",0.027,0.021,0.118,0.128,0.072,0.447
"P41","Patricia Bullrich por Juntos por el Cambio",0.047,0.962,0.67,0.077,0.165,0.29
"P41","Wado de Pedro  por el Frente de Todos",0.874,0.01,0.036,0.647,0.269,0.285
"P41","En blanco",0.027,0.014,0.198,0.223,0.508,0.07
"P41","No sabe",0.052,0.014,0.096,0.053,0.058,0.355
"P42","Patricia Bullrich por Juntos por el Cambio",0.041,0.953,0.662,0.068,0.195,0.283
"P42","Daniel Scioli por el Frente de Todos",0.802,0.021,0.054,0.46,0.248,0.197
"P42","En blanco",0.072,0.01,0.186,0.39,0.495,0.103
"P42","No sabe",0.085,0.016,0.098,0.082,0.062,0.417
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.065,0.685,0.368,0.109,0.257,0.284
"P43","Daniel Scioli por el Frente de Todos",0.783,0.028,0.057,0.429,0.273,0.194
"P43","En blanco",0.078,0.131,0.411,0.383,0.429,0.102
"P43","No sabe",0.074,0.156,0.164,0.079,0.041,0.42
"P44","Patricia Bullrich por Juntos por el Cambio",0.049,0.942,0.612,0.079,0.177,0.286
"P44","Axel Kicillof por el Frente de Todos",0.866,0.02,0.05,0.649,0.316,0.258
"P44","En blanco",0.034,0.022,0.228,0.224,0.46,0.08
"P44","No sabe",0.051,0.016,0.11,0.048,0.047,0.376
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.051,0.705,0.424,0.087,0.246,0.277
"P45","Axel Kicillof por el Frente de Todos",0.875,0.019,0.027,0.659,0.291,0.247
"P45","En blanco",0.03,0.136,0.406,0.209,0.422,0.053
"P45","No sabe",0.044,0.14,0.143,0.045,0.041,0.423
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.116,0.55,0.09,0.136,0.218,0.286
"P46","Javier Milei por los liberales libertarios",0.167,0.252,0.82,0.085,0.053,0.071
"P46","En blanco",0.49,0.077,0.066,0.663,0.647,0.159
"P46","No sabe",0.227,0.121,0.024,0.116,0.082,0.484
"P47","Patricia Bullrich por Juntos por el Cambio",0.065,0.908,0.082,0.07,0.147,0.294
"P47","Javier Milei por los liberales libertarios",0.076,0.051,0.883,0.077,0.049,0.054
"P47","En blanco",0.66,0.014,0.011,0.749,0.699,0.228
"P47","No sabe",0.199,0.027,0.024,0.104,0.105,0.424
"P48","Javier Milei por los liberales libertarios",0.013,0.548,0.86,0.036,0.108,0.162
"P48","Sergio Massa por el Frente de Todos",0.87,0.039,0.12,0.44,0.149,0.203
"P48","En blanco",0.086,0.216,0.011,0.449,0.686,0.153
"P48","No sabe",0.031,0.197,0.009,0.075,0.057,0.482
"P49","Javier Milei por los liberales libertarios",0.033,0.529,0.955,0.033,0.068,0.156
"P49","Wado de Pedro  por el Frente de Todos",0.89,0.024,0.028,0.627,0.288,0.306
"P49","En blanco",0.038,0.238,0.002,0.278,0.599,0.121
"P49","No sabe",0.039,0.209,0.015,0.062,0.045,0.417
"P50","Javier Milei por los liberales libertarios",0.037,0.527,0.962,0.023,0.064,0.141
"P50","Daniel Scioli por el Frente de Todos",0.825,0.037,0.029,0.582,0.282,0.224
"P50","En blanco",0.079,0.242,0.001,0.356,0.607,0.174
"P50","No sabe",0.059,0.194,0.008,0.039,0.047,0.461
"P51","Javier Milei por los liberales libertarios",0.05,0.546,0.965,0.04,0.11,0.159
"P51","Axel Kicillof por el Frente de Todos",0.879,0.022,0.025,0.633,0.321,0.289
"P51","En blanco",0.04,0.248,0.003,0.278,0.53,0.167
"P51","No sabe",0.031,0.184,0.007,0.049,0.039,0.385
"P52","Lo votaría",0.594,0.074,0.171,0.115,0.064,0.057
"P52","Puede que lo vote",0.338,0.035,0.03,0.285,0.194,0.197
"P52","Nunca lo votaría",0.03,0.82,0.774,0.567,0.684,0.43
"P52","No sabe",0.038,0.071,0.025,0.033,0.058,0.316
"P53","Lo votaría",0.738,0.026,0.044,0.472,0.236,0.247
"P53","Puede que lo vote",0.182,0.025,0.038,0.195,0.075,0.119
"P53","Nunca lo votaría",0.045,0.907,0.897,0.299,0.62,0.423
"P53","No sabe",0.035,0.042,0.021,0.034,0.069,0.211
"P54","Lo votaría",0.484,0.03,0.036,0.124,0.117,0.115
"P54","Puede que lo vote",0.345,0.053,0.039,0.344,0.147,0.178
"P54","Nunca lo votaría",0.105,0.883,0.894,0.428,0.673,0.461
"P54","No sabe",0.066,0.034,0.031,0.104,0.063,0.246
"P55","Lo votaría",0.728,0.023,0.029,0.485,0.302,0.253
"P55","Puede que lo vote",0.171,0.025,0.014,0.149,0.041,0.089
"P55","Nunca lo votaría",0.07,0.93,0.948,0.331,0.63,0.458
"P55","No sabe",0.031,0.022,0.009,0.035,0.027,0.2
"P56","La votaría",0.109,0.816,0.282,0.076,0.103,0.171
"P56","Puede que la vote",0.053,0.086,0.386,0.036,0.206,0.119
"P56","Nunca la votaría",0.8,0.092,0.306,0.836,0.628,0.533
"P56","No sabe",0.038,0.006,0.026,0.052,0.063,0.177
"P57","Lo votaría",0.049,0.406,0.114,0.082,0.154,0.183
"P57","Puede que lo vote",0.079,0.338,0.248,0.041,0.129,0.195
"P57","Nunca lo votaría",0.82,0.197,0.598,0.801,0.672,0.418
"P57","No sabe",0.052,0.059,0.04,0.076,0.045,0.204
"P58","Lo votaría",0.035,0.19,0.822,0.013,0.035,0.071
"P58","Puede que lo vote",0.052,0.398,0.085,0.032,0.132,0.14
"P58","Nunca lo votaría",0.873,0.342,0.088,0.916,0.806,0.587
"P58","No sabe",0.04,0.07,0.005,0.039,0.027,0.202
"P59","Lo votaría",0.046,0.074,0.145,0.009,0.094,0.097
"P59","Puede que lo vote",0.12,0.162,0.13,0.105,0.106,0.14
"P59","Nunca lo votaría",0.759,0.673,0.65,0.824,0.728,0.512
"P59","No sabe",0.075,0.091,0.075,0.062,0.072,0.251
"P60","Lo votaría",0.028,0.201,0.182,0.019,0.076,0.089
"P60","Puede que lo vote",0.044,0.434,0.321,0.029,0.143,0.18
"P60","Nunca lo votaría",0.878,0.267,0.428,0.89,0.727,0.49
"P60","No sabe",0.05,0.098,0.069,0.062,0.054,0.241
"P61","Muy buena",0.284,0.04,0.041,0.058,0.03,0.023
"P61","Buena",0.383,0.054,0.081,0.049,0.069,0.102
"P61","Ni buena ni mala",0.286,0.086,0.102,0.316,0.206,0.323
"P61","Mala",0.033,0.189,0.146,0.256,0.303,0.195
"P61","Muy mala",0.013,0.618,0.622,0.319,0.383,0.262
"P61","No sabe",0.001,0.013,0.008,0.002,0.009,0.095
"P62","Muy buena",0.576,0.019,0.026,0.453,0.176,0.185
"P62","Buena",0.262,0.009,0.021,0.134,0.106,0.104
"P62","Ni buena ni mala",0.098,0.133,0.145,0.139,0.162,0.207
"P62","Mala",0.027,0.214,0.168,0.067,0.162,0.176
"P62","Muy mala",0.02,0.583,0.615,0.173,0.365,0.223
"P62","No sabe",0.017,0.042,0.025,0.034,0.029,0.105
"P63","Muy buena",0.254,0.023,0.028,0.179,0.128,0.072
"P63","Buena",0.367,0.035,0.033,0.169,0.062,0.129
"P63","Ni buena ni mala",0.289,0.13,0.153,0.202,0.209,0.299
"P63","Mala",0.064,0.256,0.219,0.198,0.178,0.158
"P63","Muy mala",0.016,0.548,0.559,0.231,0.41,0.225
"P63","No sabe",0.01,0.008,0.008,0.021,0.013,0.117
"P64","Muy buena",0.669,0.022,0.022,0.437,0.249,0.217
"P64","Buena",0.182,0.013,0.023,0.124,0.046,0.077
"P64","Ni buena ni mala",0.082,0.051,0.079,0.149,0.102,0.16
"P64","Mala",0.031,0.163,0.13,0.068,0.122,0.092
"P64","Muy mala",0.026,0.732,0.743,0.222,0.472,0.343
"P64","No sabe",0.01,0.019,0.003,0,0.009,0.111
"P65","Muy buena",0.094,0.658,0.315,0.1,0.104,0.155
"P65","Buena",0.024,0.214,0.281,0.025,0.08,0.092
"P65","Ni buena ni mala",0.07,0.041,0.174,0.082,0.209,0.197
"P65","Mala",0.205,0.028,0.083,0.128,0.175,0.129
"P65","Muy mala",0.592,0.057,0.142,0.661,0.423,0.337
"P65","No sabe",0.015,0.002,0.005,0.004,0.009,0.09
"P66","Muy buena",0.028,0.229,0.122,0.098,0.113,0.112
"P66","Buena",0.058,0.334,0.127,0.009,0.081,0.184
"P66","Ni buena ni mala",0.116,0.23,0.214,0.133,0.196,0.209
"P66","Mala",0.278,0.13,0.184,0.177,0.218,0.149
"P66","Muy mala",0.509,0.07,0.35,0.581,0.379,0.243
"P66","No sabe",0.011,0.007,0.003,0.002,0.013,0.103
"P67","Muy buena",0.031,0.101,0.678,0.079,0.031,0.051
"P67","Buena",0.029,0.262,0.17,0.017,0.026,0.102
"P67","Ni buena ni mala",0.063,0.361,0.092,0.064,0.179,0.202
"P67","Mala",0.145,0.135,0.023,0.101,0.147,0.149
"P67","Muy mala",0.723,0.114,0.036,0.736,0.582,0.381
"P67","No sabe",0.009,0.027,0.001,0.003,0.035,0.115
"P68","Muy buena",0.032,0.044,0.117,0.066,0.099,0.078
"P68","Buena",0.056,0.094,0.099,0.039,0.031,0.112
"P68","Ni buena ni mala",0.247,0.308,0.31,0.114,0.307,0.278
"P68","Mala",0.222,0.219,0.133,0.303,0.142,0.11
"P68","Muy mala",0.41,0.28,0.282,0.45,0.384,0.249
"P68","No sabe",0.033,0.055,0.059,0.028,0.037,0.173
"P69","Muy buena",0.026,0.165,0.136,0.075,0.038,0.04
"P69","Buena",0.027,0.351,0.252,0.025,0.092,0.165
"P69","Ni buena ni mala",0.128,0.316,0.346,0.082,0.244,0.247
"P69","Mala",0.215,0.058,0.103,0.097,0.109,0.1
"P69","Muy mala",0.577,0.073,0.136,0.695,0.45,0.304
"P69","No sabe",0.027,0.037,0.027,0.026,0.067,0.144
"P70","Si",0.573,0.536,0.538,0.564,0.503,0.494
"P70","No",0.427,0.464,0.462,0.436,0.497,0.506
