"var","categoria","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.131,0.053,0.048,0.157,0.109
"P16","Javier Milei por la Libertad Avanza",0.022,0.056,0.757,0.04,0.035,0.049
"P16","Al candidato del Frente de Izquierda",0.004,0.003,0,0.282,0.007,0.006
"P16","En blanco",0.002,0.003,0.006,0.007,0.195,0.017
"P16","No sabe",0.022,0.01,0.015,0.034,0.063,0.313
"P19","Sergio Massa por el Frente de Todos",0.263,0.029,0.027,0.116,0.124,0.153
"P19","Wado de Pedro por el Frente de Todos",0.539,0.029,0.028,0.444,0.306,0.297
"P19","Patricia Bullrich por Juntos por el Cambio",0.042,0.72,0.093,0.026,0.116,0.055
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.15,0.025,0.065,0.137,0.13
"P19","Javier Milei por la Libertad Avanza",0.043,0.056,0.762,0.029,0.036,0.058
"P19","Al candidato del Frente de Izquierda",0.02,0.006,0.047,0.25,0.011,0.01
"P19","En blanco",0.016,0.004,0.002,0.055,0.182,0.009
"P19","No sabe",0.04,0.006,0.016,0.015,0.088,0.288
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.772,0.037,0.037,0.388,0.342,0.356
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.063,0.746,0.103,0.059,0.063,0.084
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.047,0.114,0.039,0.076,0.167,0.159
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.015,0.043,0.024,0.02,0.026,0.01
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.025,0.04,0.77,0.057,0.048,0.039
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.023,0.003,0.011,0.363,0.014,0.015
"P22","En blanco",0.013,0.005,0.003,0.009,0.218,0.015
"P22","No sabe",0.042,0.012,0.013,0.028,0.122,0.322
"P25","Sergio Massa por el Frente de Todos",0.548,0.036,0.039,0.287,0.261,0.254
"P25","Daniel Scioli por el Frente de Todos",0.265,0.052,0.024,0.041,0.034,0.022
"P25","Patricia Bullrich por Juntos por el Cambio",0.046,0.731,0.103,0.005,0.092,0.047
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.125,0.036,0.039,0.177,0.136
"P25","Javier Milei por la Libertad Avanza",0.036,0.035,0.764,0.041,0.023,0.035
"P25","Al candidato del Frente de Izquierda",0.018,0.002,0.008,0.497,0.009,0.03
"P25","En blanco",0.015,0.003,0.004,0.038,0.299,0.04
"P25","No sabe",0.037,0.016,0.022,0.052,0.105,0.436
"P26","Wado de Pedro por el Frente de Todos",0.666,0.011,0.015,0.453,0.366,0.357
"P26","Daniel Scioli por el Frente de Todos",0.236,0.017,0.009,0.084,0.01,0.018
"P26","Patricia Bullrich por Juntos por el Cambio",0.023,0.794,0.101,0.003,0.095,0.043
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.131,0.013,0.041,0.173,0.14
"P26","Javier Milei por la Libertad Avanza",0.017,0.033,0.829,0.057,0.014,0.045
"P26","Al candidato del Frente de Izquierda",0.017,0.002,0.009,0.303,0.009,0.004
"P26","En blanco",0.009,0.002,0.006,0.027,0.252,0.015
"P26","No sabe",0.018,0.01,0.018,0.032,0.081,0.378
"P27","Sergio Massa por el Frente de Todos",0.761,0.013,0.015,0.29,0.288,0.301
"P27","Patricia Bullrich por Juntos por el Cambio",0.035,0.753,0.094,0.06,0.086,0.049
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.179,0.032,0.041,0.161,0.136
"P27","Javier Milei por la Libertad Avanza",0.03,0.026,0.788,0.026,0.009,0.041
"P27","Al candidato del Frente de Izquierda",0.038,0.008,0.052,0.5,0.035,0.017
"P27","En blanco",0.019,0.005,0.01,0.042,0.271,0.021
"P27","No sabe",0.089,0.016,0.009,0.041,0.15,0.435
"P28","Wado de Pedro por el Frente de Todos",0.787,0.012,0.016,0.465,0.383,0.354
"P28","Patricia Bullrich por Juntos por el Cambio",0.034,0.79,0.106,0.037,0.085,0.061
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.136,0.018,0.065,0.157,0.133
"P28","Javier Milei por la Libertad Avanza",0.024,0.033,0.824,0.028,0.009,0.05
"P28","Al candidato del Frente de Izquierda",0.021,0.006,0.012,0.361,0.027,0.027
"P28","En blanco",0.037,0.004,0.01,0.015,0.256,0.029
"P28","No sabe",0.071,0.019,0.014,0.029,0.083,0.346
"P29","Axel Kicillof por el Frente de Todos",0.845,0.014,0.01,0.473,0.364,0.328
"P29","Patricia Bullrich por Juntos por el Cambio",0.017,0.801,0.087,0.047,0.099,0.062
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.143,0.02,0.089,0.167,0.151
"P29","Javier Milei por la Libertad Avanza",0.024,0.021,0.867,0.028,0.022,0.033
"P29","Al candidato del Frente de Izquierda",0.019,0.003,0.002,0.309,0.031,0.011
"P29","En blanco",0.02,0.006,0.009,0.019,0.246,0.021
"P29","No sabe",0.051,0.012,0.005,0.035,0.071,0.394
"P30","Sergio Massa  por el Frente de Todos",0.821,0.02,0.013,0.251,0.312,0.318
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.47,0.018,0.085,0.17,0.144
"P30","Javier Milei por la Libertad Avanza",0.029,0.207,0.918,0.04,0.032,0.045
"P30","Al candidato del Frente de Izquierda",0.039,0.009,0.008,0.534,0.01,0.003
"P30","En blanco",0.036,0.076,0.005,0.04,0.353,0.01
"P30","No sabe",0.047,0.218,0.038,0.05,0.123,0.48
"P31","Sergio Massa  por el Frente de Todos",0.841,0.014,0.018,0.293,0.326,0.315
"P31","Patricia Bullrich por Juntos por el Cambio",0.025,0.884,0.049,0.051,0.093,0.062
"P31","Javier Milei por la Libertad Avanza",0.015,0.036,0.903,0.033,0.004,0.035
"P31","Al candidato del Frente de Izquierda",0.035,0.006,0.003,0.54,0.012,0.015
"P31","En blanco",0.035,0.016,0.001,0.032,0.478,0.024
"P31","No sabe",0.049,0.044,0.026,0.051,0.087,0.549
"P32","Wado de Pedro por el Frente de Todos",0.806,0.012,0.017,0.502,0.389,0.363
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.055,0.517,0.021,0.094,0.175,0.139
"P32","Javier Milei por la Libertad Avanza",0.037,0.216,0.936,0.012,0.024,0.043
"P32","Al candidato del Frente de Izquierda",0.018,0.005,0.001,0.322,0.011,0.006
"P32","En blanco",0.032,0.083,0.003,0.031,0.359,0.036
"P32","No sabe",0.052,0.167,0.022,0.039,0.042,0.413
"P33","Wado de Pedro por el Frente de Todos",0.846,0.012,0.016,0.507,0.359,0.365
"P33","Patricia Bullrich por Juntos por el Cambio",0.03,0.918,0.059,0.059,0.079,0.052
"P33","Javier Milei por la Libertad Avanza",0.025,0.034,0.905,0.033,0.009,0.018
"P33","Al candidato del Frente de Izquierda",0.018,0.001,0,0.346,0.019,0.018
"P33","En blanco",0.034,0.015,0.001,0.034,0.472,0.037
"P33","No sabe",0.047,0.02,0.019,0.021,0.062,0.51
"P34","Daniel Scioli por el Frente de Todos",0.896,0.019,0.007,0.09,0.053,0.094
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.546,0.018,0.075,0.136,0.129
"P34","Javier Milei por la Libertad Avanza",0.019,0.203,0.954,0.05,0.008,0.039
"P34","Al candidato del Frente de Izquierda",0.004,0.012,0.007,0.731,0.012,0.012
"P34","En blanco",0.02,0.075,0.001,0.037,0.699,0.035
"P34","No sabe",0.037,0.145,0.013,0.017,0.092,0.691
"P36","Axel Kicillof por el Frente de Todos",0.863,0.013,0.004,0.437,0.326,0.323
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.555,0.02,0.086,0.18,0.134
"P36","Javier Milei por la Libertad Avanza",0.024,0.213,0.967,0.021,0.002,0.027
"P36","Al candidato del Frente de Izquierda",0.014,0.006,0.003,0.439,0.004,0.002
"P36","En blanco",0.02,0.074,0.004,0.005,0.443,0.023
"P36","No sabe",0.042,0.139,0.002,0.012,0.045,0.491
"P37","Axel Kicillof por el Frente de Todos",0.874,0.016,0.006,0.45,0.359,0.358
"P37","Patricia Bullrich por Juntos por el Cambio",0.023,0.913,0.044,0.025,0.085,0.05
"P37","Javier Milei por la Libertad Avanza",0.024,0.039,0.931,0.026,0.007,0.024
"P37","Al candidato del Frente de Izquierda",0.011,0.007,0.003,0.447,0.009,0.017
"P37","En blanco",0.027,0.009,0.007,0.033,0.508,0.033
"P37","No sabe",0.041,0.016,0.009,0.019,0.032,0.518
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.059,0.639,0.262,0.04,0.198,0.156
"P38","Sergio Massa por el Frente de Todos",0.84,0.044,0.074,0.541,0.326,0.36
"P38","En blanco",0.039,0.117,0.392,0.294,0.384,0.047
"P38","No sabe",0.062,0.2,0.272,0.125,0.092,0.437
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.074,0.678,0.306,0.052,0.214,0.186
"P39","Wado de Pedro por el Frente de Todos",0.846,0.021,0.047,0.687,0.388,0.424
"P39","En blanco",0.043,0.124,0.441,0.2,0.328,0.046
"P39","No sabe",0.037,0.177,0.206,0.061,0.07,0.344
"P40","Patricia Bullrich por Juntos por el Cambio",0.026,0.944,0.619,0.071,0.143,0.136
"P40","Sergio Massa por el Frente de Todos",0.882,0.016,0.059,0.57,0.336,0.42
"P40","En blanco",0.048,0.017,0.212,0.255,0.473,0.045
"P40","No sabe",0.044,0.023,0.11,0.104,0.048,0.399
"P41","Patricia Bullrich por Juntos por el Cambio",0.058,0.956,0.682,0.067,0.124,0.147
"P41","Wado de Pedro  por el Frente de Todos",0.851,0.016,0.04,0.69,0.434,0.422
"P41","En blanco",0.055,0.013,0.186,0.171,0.399,0.039
"P41","No sabe",0.036,0.015,0.092,0.072,0.043,0.392
"P42","Patricia Bullrich por Juntos por el Cambio",0.024,0.965,0.672,0.032,0.162,0.151
"P42","Daniel Scioli por el Frente de Todos",0.939,0.015,0.041,0.432,0.17,0.176
"P42","En blanco",0.012,0.008,0.189,0.392,0.63,0.108
"P42","No sabe",0.025,0.012,0.098,0.144,0.038,0.565
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.045,0.701,0.355,0.109,0.255,0.204
"P43","Daniel Scioli por el Frente de Todos",0.925,0.03,0.046,0.373,0.149,0.155
"P43","En blanco",0.013,0.123,0.425,0.394,0.535,0.122
"P43","No sabe",0.017,0.146,0.174,0.124,0.061,0.519
"P44","Patricia Bullrich por Juntos por el Cambio",0.04,0.946,0.614,0.053,0.186,0.161
"P44","Axel Kicillof por el Frente de Todos",0.889,0.016,0.037,0.705,0.378,0.395
"P44","En blanco",0.04,0.02,0.23,0.189,0.421,0.043
"P44","No sabe",0.031,0.018,0.119,0.053,0.015,0.401
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.043,0.716,0.408,0.073,0.262,0.178
"P45","Axel Kicillof por el Frente de Todos",0.879,0.021,0.015,0.677,0.399,0.417
"P45","En blanco",0.044,0.124,0.417,0.186,0.305,0.029
"P45","No sabe",0.034,0.139,0.16,0.064,0.034,0.376
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.114,0.559,0.077,0.157,0.28,0.179
"P46","Javier Milei por los liberales libertarios",0.169,0.242,0.813,0.109,0.047,0.116
"P46","En blanco",0.475,0.083,0.067,0.598,0.624,0.249
"P46","No sabe",0.242,0.116,0.043,0.136,0.049,0.456
"P47","Patricia Bullrich por Juntos por el Cambio",0.06,0.923,0.073,0.032,0.15,0.173
"P47","Javier Milei por los liberales libertarios",0.085,0.036,0.896,0.06,0.042,0.058
"P47","En blanco",0.648,0.017,0.014,0.753,0.773,0.288
"P47","No sabe",0.207,0.024,0.017,0.155,0.035,0.481
"P48","Javier Milei por los liberales libertarios",0.024,0.55,0.848,0.037,0.096,0.059
"P48","Sergio Massa por el Frente de Todos",0.842,0.037,0.127,0.564,0.346,0.361
"P48","En blanco",0.096,0.218,0.014,0.333,0.527,0.141
"P48","No sabe",0.038,0.195,0.011,0.066,0.031,0.439
"P49","Javier Milei por los liberales libertarios",0.04,0.525,0.961,0.031,0.063,0.053
"P49","Wado de Pedro  por el Frente de Todos",0.872,0.022,0.026,0.741,0.454,0.45
"P49","En blanco",0.057,0.24,0.003,0.168,0.446,0.088
"P49","No sabe",0.031,0.213,0.01,0.06,0.037,0.409
"P50","Javier Milei por los liberales libertarios",0.021,0.523,0.972,0.046,0.077,0.064
"P50","Daniel Scioli por el Frente de Todos",0.936,0.034,0.013,0.546,0.223,0.251
"P50","En blanco",0.019,0.25,0.006,0.332,0.663,0.158
"P50","No sabe",0.024,0.193,0.009,0.076,0.037,0.527
"P51","Javier Milei por los liberales libertarios",0.042,0.547,0.967,0.059,0.072,0.089
"P51","Axel Kicillof por el Frente de Todos",0.893,0.022,0.012,0.696,0.448,0.425
"P51","En blanco",0.041,0.249,0.003,0.205,0.45,0.121
"P51","No sabe",0.024,0.182,0.018,0.04,0.03,0.365
"P52","Lo votaría",0.535,0.083,0.163,0.241,0.203,0.276
"P52","Puede que lo vote",0.347,0.029,0.038,0.362,0.257,0.174
"P52","Nunca lo votaría",0.078,0.826,0.769,0.336,0.457,0.263
"P52","No sabe",0.04,0.062,0.03,0.061,0.083,0.287
"P53","Lo votaría",0.734,0.025,0.041,0.512,0.372,0.384
"P53","Puede que lo vote",0.156,0.034,0.038,0.203,0.106,0.168
"P53","Nunca lo votaría",0.086,0.904,0.892,0.215,0.441,0.238
"P53","No sabe",0.024,0.037,0.029,0.07,0.081,0.21
"P54","Lo votaría",0.577,0.028,0.029,0.103,0.074,0.087
"P54","Puede que lo vote",0.355,0.044,0.048,0.349,0.126,0.249
"P54","Nunca lo votaría",0.039,0.891,0.901,0.365,0.69,0.377
"P54","No sabe",0.029,0.037,0.022,0.183,0.11,0.287
"P55","Lo votaría",0.776,0.018,0.012,0.503,0.32,0.37
"P55","Puede que lo vote",0.148,0.023,0.021,0.206,0.081,0.135
"P55","Nunca lo votaría",0.055,0.94,0.956,0.221,0.528,0.308
"P55","No sabe",0.021,0.019,0.011,0.07,0.071,0.187
"P56","La votaría",0.111,0.812,0.273,0.096,0.117,0.115
"P56","Puede que la vote",0.058,0.079,0.395,0.049,0.09,0.127
"P56","Nunca la votaría",0.797,0.097,0.299,0.85,0.723,0.602
"P56","No sabe",0.034,0.012,0.033,0.005,0.07,0.156
"P57","Lo votaría",0.048,0.404,0.099,0.096,0.189,0.143
"P57","Puede que lo vote",0.066,0.347,0.248,0.08,0.147,0.119
"P57","Nunca lo votaría",0.858,0.185,0.607,0.789,0.587,0.504
"P57","No sabe",0.028,0.064,0.046,0.035,0.077,0.234
"P58","Lo votaría",0.035,0.183,0.806,0.078,0.048,0.059
"P58","Puede que lo vote",0.054,0.394,0.103,0.04,0.075,0.077
"P58","Nunca lo votaría",0.874,0.347,0.088,0.882,0.816,0.676
"P58","No sabe",0.037,0.076,0.003,0,0.061,0.188
"P59","Lo votaría",0.052,0.061,0.155,0.06,0.078,0.081
"P59","Puede que lo vote",0.122,0.176,0.112,0.153,0.078,0.12
"P59","Nunca lo votaría",0.761,0.661,0.654,0.732,0.751,0.587
"P59","No sabe",0.065,0.102,0.079,0.055,0.093,0.212
"P60","Lo votaría",0.021,0.201,0.176,0.08,0.093,0.048
"P60","Puede que lo vote",0.059,0.429,0.321,0.055,0.072,0.114
"P60","Nunca lo votaría",0.862,0.267,0.431,0.854,0.773,0.637
"P60","No sabe",0.058,0.103,0.072,0.011,0.062,0.201
"P61","Muy buena",0.266,0.034,0.04,0.091,0.146,0.121
"P61","Buena",0.357,0.051,0.093,0.232,0.128,0.17
"P61","Ni buena ni mala",0.278,0.095,0.088,0.322,0.272,0.341
"P61","Mala",0.073,0.191,0.144,0.183,0.131,0.128
"P61","Muy mala",0.026,0.616,0.621,0.171,0.317,0.161
"P61","No sabe",0,0.013,0.014,0.001,0.006,0.079
"P62","Muy buena",0.597,0.011,0.018,0.402,0.283,0.316
"P62","Buena",0.225,0.017,0.028,0.29,0.144,0.138
"P62","Ni buena ni mala",0.106,0.135,0.131,0.117,0.145,0.211
"P62","Mala",0.031,0.222,0.17,0.06,0.135,0.088
"P62","Muy mala",0.03,0.57,0.626,0.101,0.271,0.145
"P62","No sabe",0.011,0.045,0.027,0.03,0.022,0.102
"P63","Muy buena",0.344,0.011,0.017,0.073,0.062,0.054
"P63","Buena",0.416,0.03,0.037,0.176,0.053,0.125
"P63","Ni buena ni mala",0.189,0.143,0.157,0.359,0.337,0.411
"P63","Mala",0.035,0.26,0.212,0.194,0.226,0.15
"P63","Muy mala",0.015,0.545,0.57,0.167,0.303,0.138
"P63","No sabe",0.001,0.011,0.007,0.031,0.019,0.122
"P64","Muy buena",0.687,0.015,0.016,0.516,0.303,0.338
"P64","Buena",0.169,0.011,0.026,0.176,0.098,0.115
"P64","Ni buena ni mala",0.079,0.055,0.083,0.124,0.115,0.137
"P64","Mala",0.023,0.162,0.126,0.052,0.13,0.092
"P64","Muy mala",0.033,0.739,0.746,0.129,0.341,0.206
"P64","No sabe",0.009,0.018,0.003,0.003,0.013,0.112
"P65","Muy buena",0.096,0.644,0.323,0.119,0.12,0.078
"P65","Buena",0.032,0.212,0.276,0.045,0.036,0.068
"P65","Ni buena ni mala",0.069,0.05,0.176,0.087,0.159,0.167
"P65","Mala",0.201,0.027,0.075,0.115,0.228,0.18
"P65","Muy mala",0.595,0.065,0.139,0.632,0.45,0.404
"P65","No sabe",0.007,0.002,0.011,0.002,0.007,0.103
"P66","Muy buena",0.036,0.231,0.113,0.049,0.131,0.067
"P66","Buena",0.04,0.33,0.138,0.069,0.091,0.148
"P66","Ni buena ni mala",0.131,0.238,0.2,0.109,0.192,0.15
"P66","Mala",0.273,0.125,0.189,0.254,0.166,0.209
"P66","Muy mala",0.513,0.068,0.357,0.518,0.4,0.318
"P66","No sabe",0.007,0.008,0.003,0.001,0.02,0.108
"P67","Muy buena",0.034,0.095,0.678,0.043,0.037,0.044
"P67","Buena",0.028,0.261,0.17,0.05,0.038,0.051
"P67","Ni buena ni mala",0.097,0.353,0.092,0.028,0.116,0.137
"P67","Mala",0.129,0.141,0.027,0.091,0.159,0.167
"P67","Muy mala",0.705,0.121,0.032,0.785,0.62,0.493
"P67","No sabe",0.007,0.029,0.001,0.003,0.03,0.108
"P68","Muy buena",0.051,0.031,0.126,0.064,0.058,0.059
"P68","Buena",0.047,0.106,0.1,0.036,0.054,0.071
"P68","Ni buena ni mala",0.248,0.318,0.283,0.194,0.293,0.27
"P68","Mala",0.228,0.21,0.14,0.239,0.157,0.138
"P68","Muy mala",0.399,0.277,0.286,0.422,0.375,0.333
"P68","No sabe",0.027,0.058,0.065,0.045,0.063,0.129
"P69","Muy buena",0.036,0.149,0.137,0.064,0.049,0.044
"P69","Buena",0.025,0.364,0.234,0.059,0.081,0.094
"P69","Ni buena ni mala",0.138,0.318,0.339,0.077,0.219,0.204
"P69","Mala",0.206,0.06,0.109,0.153,0.124,0.119
"P69","Muy mala",0.568,0.072,0.154,0.587,0.465,0.418
"P69","No sabe",0.027,0.037,0.027,0.06,0.062,0.121
"P70","Si",0.574,0.522,0.542,0.568,0.563,0.517
"P70","No",0.426,0.478,0.458,0.432,0.437,0.483
