"var","categoria","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.059,0.041,0.711,0.019,0.018,0.016,0.036
"P19","Javier Milei por la Libertad Avanza",0.03,0.071,0.056,0.029,0.817,0.019,0.02,0.074
"P19","Al candidato del Frente de Izquierda",0.01,0.035,0.002,0.015,0.034,0.66,0.064,0.004
"P19","En blanco",0.004,0.039,0.002,0.015,0.007,0.09,0.515,0.029
"P19","No sabe",0.022,0.095,0.006,0.016,0.013,0.019,0.149,0.619
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.793,0.593,0.048,0.066,0.043,0.12,0.187,0.181
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.049,0.115,0.81,0.163,0.056,0.038,0.066,0.073
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.023,0.065,0.048,0.562,0.038,0.018,0.09,0.124
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.011,0.024,0.021,0.063,0.03,0.009,0.068,0.017
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.022,0.072,0.056,0.07,0.807,0.038,0.02,0.035
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.022,0.021,0.001,0.001,0.016,0.741,0.05,0.012
"P22","En blanco",0.019,0.025,0.005,0.03,0.006,0.02,0.39,0.028
"P22","No sabe",0.061,0.085,0.011,0.045,0.004,0.016,0.129,0.53
"P25","Sergio Massa por el Frente de Todos",0.624,0.28,0.036,0.047,0.046,0.067,0.095,0.136
"P25","Daniel Scioli por el Frente de Todos",0.122,0.576,0.032,0.02,0.025,0.014,0.007,0.033
"P25","Patricia Bullrich por Juntos por el Cambio",0.032,0.031,0.85,0.101,0.042,0.016,0.044,0.028
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.028,0.038,0.773,0.032,0.018,0.007,0.034
"P25","Javier Milei por la Libertad Avanza",0.027,0.037,0.032,0.04,0.82,0.025,0.009,0.051
"P25","Al candidato del Frente de Izquierda",0.043,0.006,0.001,0.001,0.007,0.821,0.048,0.017
"P25","En blanco",0.032,0.007,0.002,0.004,0.009,0.018,0.697,0.028
"P25","No sabe",0.101,0.035,0.009,0.014,0.019,0.021,0.093,0.673
"P27","Sergio Massa por el Frente de Todos",0.781,0.508,0.016,0.035,0.012,0.046,0.086,0.152
"P27","Patricia Bullrich por Juntos por el Cambio",0.02,0.169,0.853,0.056,0.038,0.032,0.041,0.042
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.009,0.037,0.092,0.763,0.011,0.044,0.027,0.023
"P27","Javier Milei por la Libertad Avanza",0.013,0.034,0.027,0.064,0.86,0.039,0.043,0.048
"P27","Al candidato del Frente de Izquierda",0.037,0.074,0.003,0.04,0.062,0.587,0.057,0.016
"P27","En blanco",0.038,0.043,0.001,0.018,0.003,0.218,0.409,0.053
"P27","No sabe",0.102,0.135,0.008,0.024,0.014,0.034,0.337,0.666
"P28","Wado de Pedro por el Frente de Todos",0.922,0.476,0.014,0.019,0.011,0.059,0.097,0.077
"P28","Patricia Bullrich por Juntos por el Cambio",0.017,0.134,0.916,0.04,0.036,0.037,0.034,0.049
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.003,0.027,0.032,0.82,0.016,0.046,0.01,0.02
"P28","Javier Milei por la Libertad Avanza",0.011,0.047,0.027,0.033,0.893,0.03,0.041,0.048
"P28","Al candidato del Frente de Izquierda",0.012,0.045,0.002,0.044,0.016,0.524,0.026,0.019
"P28","En blanco",0.017,0.075,0.002,0.016,0.005,0.297,0.512,0.065
"P28","No sabe",0.018,0.196,0.007,0.028,0.023,0.007,0.28,0.722
"P29","Axel Kicillof por el Frente de Todos",0.874,0.638,0.015,0.02,0.017,0.154,0.125,0.111
"P29","Patricia Bullrich por Juntos por el Cambio",0.021,0.09,0.924,0.052,0.031,0.024,0.047,0.04
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.048,0.025,0.847,0.014,0.078,0.065,0.048
"P29","Javier Milei por la Libertad Avanza",0.024,0.045,0.026,0.029,0.915,0.071,0.034,0.038
"P29","Al candidato del Frente de Izquierda",0.012,0.021,0.004,0.02,0.005,0.531,0.048,0.026
"P29","En blanco",0.017,0.067,0.002,0.015,0.004,0.123,0.526,0.053
"P29","No sabe",0.046,0.091,0.004,0.017,0.014,0.019,0.155,0.684
"P30","Sergio Massa  por el Frente de Todos",0.797,0.639,0.021,0.039,0.022,0.123,0.127,0.192
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.052,0.368,0.847,0.029,0.03,0.078,0.036
"P30","Javier Milei por la Libertad Avanza",0.019,0.076,0.252,0.039,0.905,0.139,0.047,0.049
"P30","Al candidato del Frente de Izquierda",0.052,0.044,0.009,0.017,0.014,0.618,0.048,0.013
"P30","En blanco",0.038,0.082,0.096,0.011,0.003,0.036,0.564,0.052
"P30","No sabe",0.08,0.107,0.254,0.047,0.027,0.054,0.136,0.658
"P31","Sergio Massa  por el Frente de Todos",0.81,0.63,0.012,0.068,0.025,0.149,0.181,0.206
"P31","Patricia Bullrich por Juntos por el Cambio",0.014,0.119,0.854,0.542,0.045,0.031,0.032,0.058
"P31","Javier Milei por la Libertad Avanza",0.013,0.034,0.072,0.061,0.888,0.132,0.05,0.051
"P31","Al candidato del Frente de Izquierda",0.051,0.047,0.004,0.019,0.008,0.604,0.06,0.007
"P31","En blanco",0.039,0.066,0.012,0.139,0.011,0.014,0.558,0.066
"P31","No sabe",0.073,0.104,0.046,0.171,0.023,0.07,0.119,0.612
"P32","Wado de Pedro por el Frente de Todos",0.903,0.508,0.014,0.036,0.013,0.19,0.142,0.126
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.134,0.427,0.84,0.018,0.019,0.041,0.052
"P32","Javier Milei por la Libertad Avanza",0.013,0.085,0.27,0.027,0.924,0.209,0.06,0.084
"P32","Al candidato del Frente de Izquierda",0.01,0.063,0.003,0.011,0,0.494,0.013,0.013
"P32","En blanco",0.016,0.084,0.098,0.023,0.014,0.06,0.655,0.114
"P32","No sabe",0.032,0.126,0.188,0.063,0.031,0.028,0.089,0.611
"P33","Wado de Pedro por el Frente de Todos",0.928,0.557,0.012,0.041,0.009,0.189,0.145,0.111
"P33","Patricia Bullrich por Juntos por el Cambio",0.018,0.127,0.896,0.544,0.042,0.016,0.033,0.057
"P33","Javier Milei por la Libertad Avanza",0.008,0.061,0.06,0.05,0.913,0.166,0.055,0.063
"P33","Al candidato del Frente de Izquierda",0.012,0.042,0.004,0.025,0,0.54,0.014,0.008
"P33","En blanco",0.011,0.099,0.012,0.15,0.013,0.06,0.604,0.099
"P33","No sabe",0.023,0.114,0.016,0.19,0.023,0.029,0.149,0.662
"P34","Daniel Scioli por el Frente de Todos",0.651,0.849,0.018,0.02,0.019,0.136,0.041,0.117
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.046,0.444,0.844,0.027,0.049,0.018,0.056
"P34","Javier Milei por la Libertad Avanza",0.027,0.05,0.271,0.024,0.911,0.163,0.062,0.071
"P34","Al candidato del Frente de Izquierda",0.067,0.02,0.006,0.029,0.007,0.588,0.031,0.028
"P34","En blanco",0.069,0.027,0.099,0.043,0.015,0.051,0.712,0.089
"P34","No sabe",0.164,0.008,0.162,0.04,0.021,0.013,0.136,0.639
"P35","Daniel Scioli por el Frente de Todos",0.663,0.806,0.018,0.043,0.018,0.203,0.103,0.079
"P35","Patricia Bullrich por Juntos por el Cambio",0.015,0.084,0.874,0.59,0.051,0.042,0.031,0.063
"P35","Javier Milei por la Libertad Avanza",0.015,0.03,0.077,0.04,0.897,0.112,0.066,0.08
"P35","Al candidato del Frente de Izquierda",0.074,0.047,0,0.021,0.01,0.601,0.051,0.022
"P35","En blanco",0.084,0.008,0.017,0.124,0.004,0.024,0.676,0.08
"P35","No sabe",0.149,0.025,0.014,0.182,0.02,0.018,0.073,0.676
"P36","Axel Kicillof por el Frente de Todos",0.864,0.666,0.012,0.026,0.016,0.184,0.14,0.156
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.069,0.456,0.857,0.026,0.081,0.022,0.092
"P36","Javier Milei por la Libertad Avanza",0.02,0.072,0.28,0.036,0.933,0.117,0.068,0.06
"P36","Al candidato del Frente de Izquierda",0.011,0.059,0.01,0.01,0.003,0.576,0.041,0.013
"P36","En blanco",0.024,0.052,0.083,0.033,0.011,0.029,0.614,0.075
"P36","No sabe",0.059,0.082,0.159,0.038,0.011,0.013,0.115,0.604
"P37","Axel Kicillof por el Frente de Todos",0.888,0.646,0.013,0.051,0.017,0.163,0.162,0.18
"P37","Patricia Bullrich por Juntos por el Cambio",0.02,0.077,0.874,0.557,0.044,0.104,0.041,0.069
"P37","Javier Milei por la Libertad Avanza",0.017,0.064,0.078,0.073,0.909,0.114,0.069,0.034
"P37","Al candidato del Frente de Izquierda",0.017,0.051,0.004,0.045,0.005,0.566,0.037,0.014
"P37","En blanco",0.017,0.068,0.012,0.144,0.01,0.024,0.6,0.093
"P37","No sabe",0.041,0.094,0.019,0.13,0.015,0.029,0.091,0.61
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.124,0.571,0.884,0.256,0.047,0.062,0.128
"P38","Sergio Massa por el Frente de Todos",0.825,0.643,0.046,0.033,0.087,0.307,0.257,0.274
"P38","En blanco",0.058,0.099,0.159,0.019,0.386,0.471,0.462,0.085
"P38","No sabe",0.094,0.134,0.224,0.064,0.271,0.175,0.219,0.513
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.043,0.134,0.612,0.91,0.295,0.14,0.056,0.146
"P39","Wado de Pedro por el Frente de Todos",0.912,0.62,0.027,0.016,0.052,0.433,0.21,0.187
"P39","En blanco",0.015,0.139,0.161,0.031,0.448,0.319,0.595,0.11
"P39","No sabe",0.03,0.107,0.2,0.043,0.205,0.108,0.139,0.557
"P40","Patricia Bullrich por Juntos por el Cambio",0.025,0.127,0.942,0.64,0.602,0.108,0.131,0.153
"P40","Sergio Massa por el Frente de Todos",0.86,0.673,0.019,0.104,0.068,0.34,0.221,0.286
"P40","En blanco",0.048,0.102,0.02,0.131,0.217,0.489,0.52,0.108
"P40","No sabe",0.067,0.098,0.019,0.125,0.113,0.063,0.128,0.453
"P41","Patricia Bullrich por Juntos por el Cambio",0.036,0.141,0.966,0.677,0.66,0.087,0.137,0.162
"P41","Wado de Pedro  por el Frente de Todos",0.925,0.624,0.016,0.07,0.032,0.476,0.182,0.18
"P41","En blanco",0.012,0.13,0.009,0.153,0.202,0.329,0.62,0.105
"P41","No sabe",0.027,0.105,0.009,0.1,0.106,0.108,0.061,0.553
"P42","Patricia Bullrich por Juntos por el Cambio",0.032,0.095,0.969,0.707,0.644,0.09,0.15,0.122
"P42","Daniel Scioli por el Frente de Todos",0.746,0.87,0.015,0.075,0.047,0.364,0.195,0.144
"P42","En blanco",0.115,0.009,0.011,0.116,0.199,0.416,0.555,0.146
"P42","No sabe",0.107,0.026,0.005,0.102,0.11,0.13,0.1,0.588
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.048,0.075,0.65,0.882,0.342,0.078,0.217,0.161
"P43","Daniel Scioli por el Frente de Todos",0.74,0.876,0.027,0.055,0.053,0.329,0.109,0.1
"P43","En blanco",0.115,0.011,0.151,0.046,0.431,0.519,0.565,0.147
"P43","No sabe",0.097,0.038,0.172,0.017,0.174,0.074,0.109,0.592
"P44","Patricia Bullrich por Juntos por el Cambio",0.032,0.105,0.939,0.717,0.604,0.14,0.228,0.156
"P44","Axel Kicillof por el Frente de Todos",0.907,0.713,0.016,0.063,0.048,0.437,0.174,0.166
"P44","En blanco",0.025,0.09,0.028,0.121,0.23,0.345,0.572,0.13
"P44","No sabe",0.036,0.092,0.017,0.099,0.118,0.078,0.026,0.548
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.038,0.099,0.663,0.871,0.396,0.141,0.156,0.157
"P45","Axel Kicillof por el Frente de Todos",0.904,0.689,0.024,0.046,0.026,0.421,0.21,0.192
"P45","En blanco",0.021,0.108,0.156,0.044,0.424,0.341,0.56,0.074
"P45","No sabe",0.037,0.104,0.157,0.039,0.154,0.097,0.074,0.577
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.103,0.157,0.474,0.867,0.08,0.08,0.141,0.14
"P46","Javier Milei por los liberales libertarios",0.135,0.223,0.302,0.043,0.809,0.16,0.074,0.131
"P46","En blanco",0.523,0.378,0.089,0.066,0.071,0.688,0.667,0.186
"P46","No sabe",0.239,0.242,0.135,0.024,0.04,0.072,0.118,0.543
"P47","Patricia Bullrich por Juntos por el Cambio",0.059,0.13,0.872,0.709,0.07,0.079,0.182,0.144
"P47","Javier Milei por los liberales libertarios",0.046,0.148,0.084,0.072,0.884,0.16,0.053,0.1
"P47","En blanco",0.692,0.507,0.017,0.147,0.022,0.683,0.66,0.202
"P47","No sabe",0.203,0.215,0.027,0.072,0.024,0.078,0.105,0.554
"P48","Javier Milei por los liberales libertarios",0.032,0.123,0.574,0.292,0.838,0.16,0.077,0.085
"P48","Sergio Massa por el Frente de Todos",0.806,0.65,0.043,0.103,0.135,0.299,0.213,0.293
"P48","En blanco",0.117,0.124,0.194,0.365,0.017,0.462,0.634,0.132
"P48","No sabe",0.045,0.103,0.189,0.24,0.01,0.079,0.076,0.49
"P49","Javier Milei por los liberales libertarios",0.026,0.161,0.559,0.29,0.946,0.148,0.073,0.102
"P49","Wado de Pedro  por el Frente de Todos",0.936,0.606,0.025,0.081,0.031,0.465,0.205,0.224
"P49","En blanco",0.023,0.121,0.216,0.367,0.007,0.355,0.659,0.125
"P49","No sabe",0.015,0.112,0.2,0.262,0.016,0.032,0.063,0.549
"P50","Javier Milei por los liberales libertarios",0.025,0.078,0.566,0.278,0.964,0.146,0.101,0.113
"P50","Daniel Scioli por el Frente de Todos",0.807,0.825,0.024,0.101,0.019,0.391,0.185,0.19
"P50","En blanco",0.104,0.044,0.22,0.382,0.006,0.444,0.557,0.182
"P50","No sabe",0.064,0.053,0.19,0.239,0.011,0.019,0.157,0.515
"P51","Javier Milei por los liberales libertarios",0.038,0.104,0.585,0.342,0.961,0.151,0.09,0.113
"P51","Axel Kicillof por el Frente de Todos",0.917,0.695,0.017,0.077,0.019,0.466,0.254,0.213
"P51","En blanco",0.019,0.143,0.218,0.42,0.007,0.363,0.504,0.163
"P51","No sabe",0.026,0.058,0.18,0.161,0.013,0.02,0.152,0.511
"P52","Lo votaría",0.505,0.391,0.101,0.136,0.153,0.098,0.143,0.183
"P52","Puede que lo vote",0.358,0.278,0.023,0.08,0.04,0.266,0.197,0.165
"P52","Nunca lo votaría",0.079,0.247,0.83,0.664,0.782,0.599,0.546,0.245
"P52","No sabe",0.058,0.084,0.046,0.12,0.025,0.037,0.114,0.407
"P53","Lo votaría",0.846,0.376,0.034,0.063,0.031,0.17,0.138,0.085
"P53","Puede que lo vote",0.109,0.266,0.019,0.117,0.045,0.221,0.144,0.246
"P53","Nunca lo votaría",0.034,0.26,0.919,0.723,0.896,0.591,0.588,0.306
"P53","No sabe",0.011,0.098,0.028,0.097,0.028,0.018,0.13,0.363
"P54","Lo votaría",0.418,0.525,0.037,0.073,0.031,0.061,0.132,0.076
"P54","Puede que lo vote",0.362,0.301,0.038,0.106,0.05,0.203,0.07,0.178
"P54","Nunca lo votaría",0.136,0.115,0.901,0.731,0.894,0.675,0.682,0.397
"P54","No sabe",0.084,0.059,0.024,0.09,0.025,0.061,0.116,0.349
"P55","Lo votaría",0.798,0.552,0.022,0.036,0.023,0.2,0.125,0.157
"P55","Puede que lo vote",0.127,0.232,0.018,0.079,0.019,0.188,0.076,0.118
"P55","Nunca lo votaría",0.052,0.156,0.942,0.858,0.95,0.534,0.716,0.387
"P55","No sabe",0.023,0.06,0.018,0.027,0.008,0.078,0.083,0.338
"P56","La votaría",0.114,0.141,0.844,0.331,0.255,0.08,0.087,0.103
"P56","Puede que la vote",0.034,0.132,0.042,0.337,0.405,0.121,0.214,0.11
"P56","Nunca la votaría",0.827,0.665,0.11,0.258,0.308,0.799,0.583,0.522
"P56","No sabe",0.025,0.062,0.004,0.074,0.032,0,0.116,0.265
"P57","Lo votaría",0.036,0.108,0.341,0.716,0.098,0.016,0.088,0.076
"P57","Puede que lo vote",0.061,0.102,0.38,0.152,0.233,0.071,0.193,0.168
"P57","Nunca lo votaría",0.86,0.752,0.217,0.07,0.621,0.862,0.609,0.435
"P57","No sabe",0.043,0.038,0.062,0.062,0.048,0.051,0.11,0.321
"P58","Lo votaría",0.017,0.107,0.197,0.212,0.837,0.141,0.035,0.048
"P58","Puede que lo vote",0.045,0.129,0.411,0.163,0.073,0.031,0.087,0.131
"P58","Nunca lo votaría",0.902,0.711,0.323,0.523,0.086,0.822,0.8,0.58
"P58","No sabe",0.036,0.053,0.069,0.102,0.004,0.006,0.078,0.241
"P59","Lo votaría",0.028,0.088,0.068,0.141,0.149,0.035,0.162,0.086
"P59","Puede que lo vote",0.099,0.17,0.168,0.259,0.102,0.134,0.054,0.096
"P59","Nunca lo votaría",0.809,0.658,0.686,0.46,0.655,0.796,0.68,0.467
"P59","No sabe",0.064,0.084,0.078,0.14,0.094,0.035,0.104,0.351
"P60","Lo votaría",0.013,0.039,0.215,0.185,0.176,0.032,0.065,0.035
"P60","Puede que lo vote",0.042,0.146,0.427,0.312,0.316,0.046,0.051,0.153
"P60","Nunca lo votaría",0.908,0.704,0.276,0.357,0.427,0.896,0.8,0.483
"P60","No sabe",0.037,0.111,0.082,0.146,0.081,0.026,0.084,0.329
"P61","Muy buena",0.232,0.211,0.039,0.052,0.037,0.101,0.098,0.145
"P61","Buena",0.347,0.269,0.061,0.069,0.086,0.098,0.069,0.113
"P61","Ni buena ni mala",0.313,0.298,0.076,0.2,0.104,0.157,0.265,0.231
"P61","Mala",0.067,0.115,0.163,0.218,0.159,0.262,0.177,0.212
"P61","Muy mala",0.039,0.107,0.647,0.449,0.599,0.379,0.38,0.172
"P61","No sabe",0.002,0,0.014,0.012,0.015,0.003,0.011,0.127
"P62","Muy buena",0.684,0.321,0.018,0.02,0.019,0.122,0.068,0.019
"P62","Buena",0.217,0.208,0.009,0.072,0.034,0.188,0.136,0.181
"P62","Ni buena ni mala",0.06,0.226,0.113,0.263,0.128,0.231,0.246,0.296
"P62","Mala",0.008,0.093,0.228,0.168,0.173,0.112,0.147,0.167
"P62","Muy mala",0.025,0.103,0.599,0.403,0.62,0.263,0.388,0.167
"P62","No sabe",0.006,0.049,0.033,0.074,0.026,0.084,0.015,0.17
"P63","Muy buena",0.207,0.47,0.019,0.054,0.017,0.1,0.035,0.026
"P63","Buena",0.352,0.322,0.027,0.052,0.04,0.073,0.027,0.159
"P63","Ni buena ni mala",0.322,0.119,0.125,0.206,0.147,0.229,0.275,0.35
"P63","Mala",0.066,0.052,0.261,0.245,0.229,0.183,0.172,0.13
"P63","Muy mala",0.04,0.036,0.56,0.414,0.56,0.391,0.474,0.153
"P63","No sabe",0.013,0.001,0.008,0.029,0.007,0.024,0.017,0.182
"P64","Muy buena",0.715,0.544,0.018,0.028,0.018,0.22,0.116,0.126
"P64","Buena",0.161,0.199,0.005,0.028,0.026,0.108,0.075,0.137
"P64","Ni buena ni mala",0.077,0.086,0.045,0.144,0.082,0.174,0.073,0.2
"P64","Mala",0.016,0.043,0.163,0.161,0.119,0.105,0.207,0.16
"P64","Muy mala",0.027,0.101,0.751,0.612,0.752,0.393,0.519,0.187
"P64","No sabe",0.004,0.027,0.018,0.027,0.003,0,0.01,0.19
"P65","Muy buena",0.097,0.152,0.713,0.171,0.293,0.076,0.019,0.065
"P65","Buena",0.028,0.043,0.181,0.318,0.269,0.105,0.13,0.095
"P65","Ni buena ni mala",0.039,0.152,0.021,0.239,0.198,0.095,0.297,0.188
"P65","Mala",0.175,0.232,0.018,0.153,0.079,0.134,0.176,0.195
"P65","Muy mala",0.65,0.41,0.066,0.103,0.155,0.59,0.371,0.28
"P65","No sabe",0.011,0.011,0.001,0.016,0.006,0,0.007,0.177
"P66","Muy buena",0.018,0.07,0.193,0.518,0.098,0.022,0.019,0.038
"P66","Buena",0.044,0.067,0.318,0.325,0.131,0.082,0.05,0.156
"P66","Ni buena ni mala",0.093,0.206,0.251,0.066,0.215,0.156,0.351,0.26
"P66","Mala",0.269,0.304,0.143,0.055,0.185,0.128,0.168,0.175
"P66","Muy mala",0.565,0.336,0.086,0.036,0.367,0.609,0.373,0.205
"P66","No sabe",0.011,0.017,0.009,0,0.004,0.003,0.039,0.166
"P67","Muy buena",0.023,0.062,0.121,0.111,0.704,0.049,0.022,0.032
"P67","Buena",0.018,0.071,0.272,0.158,0.151,0.094,0.013,0.108
"P67","Ni buena ni mala",0.051,0.21,0.357,0.213,0.076,0.085,0.183,0.206
"P67","Mala",0.123,0.154,0.119,0.206,0.03,0.079,0.195,0.153
"P67","Muy mala",0.778,0.477,0.105,0.274,0.038,0.693,0.508,0.347
"P67","No sabe",0.007,0.026,0.026,0.038,0.001,0,0.079,0.154
"P68","Muy buena",0.018,0.094,0.055,0.079,0.109,0.012,0.148,0.071
"P68","Buena",0.041,0.044,0.101,0.146,0.092,0.104,0.043,0.098
"P68","Ni buena ni mala",0.206,0.36,0.29,0.436,0.293,0.207,0.251,0.293
"P68","Mala",0.237,0.204,0.202,0.109,0.152,0.22,0.149,0.138
"P68","Muy mala",0.466,0.252,0.296,0.161,0.282,0.454,0.368,0.213
"P68","No sabe",0.032,0.046,0.056,0.069,0.072,0.003,0.041,0.187
"P69","Muy buena",0.028,0.05,0.174,0.087,0.131,0,0.036,0.023
"P69","Buena",0.021,0.099,0.359,0.29,0.228,0.018,0.061,0.12
"P69","Ni buena ni mala",0.097,0.206,0.303,0.383,0.336,0.204,0.236,0.325
