"var","categoria","Daniel Scioli por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.31,0.009,0.005,0.041,0.021
"P28","Javier Milei por la Libertad Avanza",0.023,0.021,0.658,0.064,0.006,0.035
"P28","Al candidato del Frente de Izquierda",0.023,0.004,0.009,0.419,0.029,0.011
"P28","En blanco",0.03,0.002,0.012,0.008,0.191,0.021
"P28","No sabe",0.077,0.027,0.012,0.031,0.07,0.252
"P29","Axel Kicillof por el Frente de Todos",0.854,0.02,0.02,0.414,0.238,0.248
"P29","Patricia Bullrich por Juntos por el Cambio",0.025,0.615,0.272,0.113,0.404,0.379
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.322,0.008,0.029,0.066,0.024
"P29","Javier Milei por la Libertad Avanza",0.013,0.021,0.683,0.042,0.026,0.028
"P29","Al candidato del Frente de Izquierda",0.02,0.002,0.003,0.354,0.016,0.007
"P29","En blanco",0.025,0.003,0.005,0.01,0.176,0.031
"P29","No sabe",0.048,0.017,0.009,0.038,0.074,0.283
"P30","Sergio Massa  por el Frente de Todos",0.82,0.042,0.02,0.196,0.189,0.248
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.774,0.024,0.059,0.107,0.046
"P30","Javier Milei por la Libertad Avanza",0.033,0.054,0.896,0.076,0.024,0.025
"P30","Al candidato del Frente de Izquierda",0.033,0.004,0.014,0.572,0.017,0.006
"P30","En blanco",0.03,0.025,0.007,0.036,0.507,0.029
"P30","No sabe",0.066,0.101,0.039,0.061,0.156,0.646
"P31","Sergio Massa  por el Frente de Todos",0.821,0.043,0.021,0.257,0.212,0.249
"P31","Patricia Bullrich por Juntos por el Cambio",0.042,0.786,0.234,0.074,0.374,0.344
"P31","Javier Milei por la Libertad Avanza",0.01,0.037,0.72,0.015,0.004,0.022
"P31","Al candidato del Frente de Izquierda",0.033,0.011,0.005,0.555,0.019,0.005
"P31","En blanco",0.03,0.039,0.004,0.026,0.323,0.027
"P31","No sabe",0.064,0.084,0.016,0.073,0.068,0.353
"P32","Wado de Pedro por el Frente de Todos",0.811,0.027,0.012,0.482,0.247,0.283
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.039,0.852,0.026,0.049,0.08,0.06
"P32","Javier Milei por la Libertad Avanza",0.037,0.038,0.92,0.091,0.029,0.042
"P32","Al candidato del Frente de Izquierda",0.018,0.002,0.007,0.327,0.004,0.005
"P32","En blanco",0.035,0.023,0.004,0.031,0.577,0.034
"P32","No sabe",0.06,0.058,0.031,0.02,0.063,0.576
"P33","Wado de Pedro por el Frente de Todos",0.833,0.031,0.021,0.471,0.232,0.283
"P33","Patricia Bullrich por Juntos por el Cambio",0.038,0.835,0.246,0.042,0.366,0.354
"P33","Javier Milei por la Libertad Avanza",0.024,0.026,0.715,0.075,0.02,0.02
"P33","Al candidato del Frente de Izquierda",0.019,0.006,0.005,0.35,0.014,0
"P33","En blanco",0.034,0.038,0.002,0.039,0.309,0.026
"P33","No sabe",0.052,0.064,0.011,0.023,0.059,0.317
"P35","Daniel Scioli por el Frente de Todos",0.899,0.026,0.015,0.025,0.064,0.066
"P35","Patricia Bullrich por Juntos por el Cambio",0.027,0.849,0.226,0.107,0.349,0.366
"P35","Javier Milei por la Libertad Avanza",0.008,0.02,0.739,0.044,0.003,0.023
"P35","Al candidato del Frente de Izquierda",0.015,0.013,0.006,0.775,0.019,0.005
"P35","En blanco",0.012,0.034,0.001,0.018,0.518,0.037
"P35","No sabe",0.039,0.058,0.013,0.031,0.047,0.503
"P36","Axel Kicillof por el Frente de Todos",0.858,0.009,0.015,0.442,0.254,0.238
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.895,0.029,0.06,0.108,0.071
"P36","Javier Milei por la Libertad Avanza",0.027,0.037,0.94,0.044,0.009,0.046
"P36","Al candidato del Frente de Izquierda",0.021,0.002,0.002,0.434,0.017,0.004
"P36","En blanco",0.028,0.016,0.005,0.011,0.537,0.043
"P36","No sabe",0.047,0.041,0.009,0.009,0.075,0.598
"P37","Axel Kicillof por el Frente de Todos",0.876,0.022,0.021,0.419,0.248,0.257
"P37","Patricia Bullrich por Juntos por el Cambio",0.024,0.82,0.238,0.038,0.397,0.374
"P37","Javier Milei por la Libertad Avanza",0.021,0.033,0.735,0.077,0.002,0.013
"P37","Al candidato del Frente de Izquierda",0.013,0.019,0.002,0.439,0.006,0.006
"P37","En blanco",0.025,0.045,0.002,0.002,0.314,0.033
"P37","No sabe",0.041,0.061,0.002,0.025,0.033,0.317
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.051,0.848,0.311,0.057,0.126,0.127
"P38","Sergio Massa por el Frente de Todos",0.838,0.064,0.079,0.446,0.184,0.29
"P38","En blanco",0.056,0.032,0.343,0.267,0.518,0.042
"P38","No sabe",0.055,0.056,0.267,0.23,0.172,0.541
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.056,0.891,0.362,0.082,0.151,0.145
"P39","Wado de Pedro por el Frente de Todos",0.859,0.043,0.046,0.565,0.26,0.314
"P39","En blanco",0.048,0.023,0.382,0.21,0.503,0.063
"P39","No sabe",0.037,0.043,0.21,0.143,0.086,0.478
"P40","Patricia Bullrich por Juntos por el Cambio",0.04,0.85,0.688,0.11,0.441,0.437
"P40","Sergio Massa por el Frente de Todos",0.884,0.053,0.058,0.503,0.179,0.296
"P40","En blanco",0.037,0.042,0.166,0.262,0.326,0.03
"P40","No sabe",0.039,0.055,0.088,0.125,0.054,0.237
"P41","Patricia Bullrich por Juntos por el Cambio",0.061,0.868,0.744,0.076,0.454,0.451
"P41","Wado de Pedro  por el Frente de Todos",0.86,0.035,0.038,0.674,0.254,0.313
"P41","En blanco",0.047,0.051,0.141,0.141,0.24,0.029
"P41","No sabe",0.032,0.046,0.077,0.109,0.052,0.207
"P42","Patricia Bullrich por Juntos por el Cambio",0.034,0.878,0.734,0.128,0.451,0.448
"P42","Daniel Scioli por el Frente de Todos",0.927,0.034,0.037,0.364,0.122,0.155
"P42","En blanco",0.023,0.041,0.145,0.357,0.346,0.082
"P42","No sabe",0.016,0.047,0.084,0.151,0.081,0.315
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.908,0.413,0.062,0.223,0.195
"P43","Daniel Scioli por el Frente de Todos",0.923,0.023,0.044,0.362,0.122,0.148
"P43","En blanco",0.028,0.033,0.363,0.414,0.587,0.122
"P43","No sabe",0.024,0.036,0.18,0.162,0.068,0.535
"P44","Patricia Bullrich por Juntos por el Cambio",0.04,0.878,0.694,0.105,0.461,0.446
"P44","Axel Kicillof por el Frente de Todos",0.89,0.034,0.044,0.618,0.24,0.286
"P44","En blanco",0.036,0.048,0.172,0.157,0.281,0.034
"P44","No sabe",0.034,0.04,0.09,0.12,0.018,0.234
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.899,0.453,0.089,0.233,0.199
"P45","Axel Kicillof por el Frente de Todos",0.889,0.029,0.029,0.655,0.256,0.288
"P45","En blanco",0.047,0.029,0.363,0.15,0.445,0.069
"P45","No sabe",0.034,0.043,0.155,0.106,0.066,0.444
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.089,0.879,0.078,0.106,0.224,0.175
"P46","Javier Milei por los liberales libertarios",0.184,0.062,0.821,0.134,0.041,0.093
"P46","En blanco",0.493,0.029,0.059,0.6,0.649,0.195
"P46","No sabe",0.234,0.03,0.042,0.16,0.086,0.537
"P47","Patricia Bullrich por Juntos por el Cambio",0.055,0.858,0.282,0.085,0.432,0.446
"P47","Javier Milei por los liberales libertarios",0.077,0.048,0.675,0.086,0.021,0.066
"P47","En blanco",0.667,0.056,0.014,0.682,0.474,0.202
"P47","No sabe",0.201,0.038,0.029,0.147,0.073,0.286
"P48","Javier Milei por los liberales libertarios",0.036,0.456,0.864,0.115,0.128,0.137
"P48","Sergio Massa por el Frente de Todos",0.814,0.08,0.109,0.508,0.216,0.297
"P48","En blanco",0.11,0.257,0.013,0.321,0.608,0.111
"P48","No sabe",0.04,0.207,0.014,0.056,0.048,0.455
"P49","Javier Milei por los liberales libertarios",0.045,0.416,0.942,0.131,0.11,0.156
"P49","Wado de Pedro  por el Frente de Todos",0.882,0.067,0.026,0.614,0.285,0.314
"P49","En blanco",0.047,0.294,0.005,0.154,0.546,0.114
"P49","No sabe",0.026,0.223,0.027,0.101,0.059,0.416
"P50","Javier Milei por los liberales libertarios",0.02,0.433,0.948,0.097,0.11,0.165
"P50","Daniel Scioli por el Frente de Todos",0.936,0.047,0.026,0.487,0.181,0.178
"P50","En blanco",0.023,0.316,0.008,0.305,0.649,0.168
"P50","No sabe",0.021,0.204,0.018,0.111,0.06,0.489
"P51","Javier Milei por los liberales libertarios",0.035,0.466,0.955,0.141,0.131,0.153
"P51","Axel Kicillof por el Frente de Todos",0.907,0.051,0.019,0.626,0.291,0.286
"P51","En blanco",0.041,0.31,0.006,0.188,0.518,0.139
"P51","No sabe",0.017,0.173,0.02,0.045,0.06,0.422
"P52","Lo votaría",0.529,0.125,0.153,0.145,0.142,0.185
"P52","Puede que lo vote",0.349,0.062,0.029,0.371,0.145,0.123
"P52","Nunca lo votaría",0.086,0.737,0.794,0.428,0.621,0.469
"P52","No sabe",0.036,0.076,0.024,0.056,0.092,0.223
"P53","Lo votaría",0.729,0.053,0.045,0.492,0.251,0.252
"P53","Puede que lo vote",0.152,0.075,0.036,0.162,0.053,0.105
"P53","Nunca lo votaría",0.091,0.817,0.897,0.295,0.632,0.497
"P53","No sabe",0.028,0.055,0.022,0.051,0.064,0.146
"P54","Lo votaría",0.579,0.041,0.026,0.111,0.071,0.052
"P54","Puede que lo vote",0.348,0.069,0.05,0.282,0.101,0.179
"P54","Nunca lo votaría",0.043,0.834,0.898,0.44,0.759,0.577
"P54","No sabe",0.03,0.056,0.026,0.167,0.069,0.192
"P55","Lo votaría",0.777,0.032,0.027,0.512,0.202,0.235
"P55","Puede que lo vote",0.146,0.043,0.022,0.127,0.075,0.096
"P55","Nunca lo votaría",0.052,0.903,0.943,0.307,0.687,0.52
"P55","No sabe",0.025,0.022,0.008,0.054,0.036,0.149
"P56","La votaría",0.127,0.664,0.421,0.151,0.398,0.422
"P56","Puede que la vote",0.055,0.133,0.311,0.045,0.095,0.045
"P56","Nunca la votaría",0.793,0.176,0.24,0.799,0.465,0.425
"P56","No sabe",0.025,0.027,0.028,0.005,0.042,0.108
"P57","Lo votaría",0.032,0.649,0.107,0.08,0.119,0.09
"P57","Puede que lo vote",0.069,0.266,0.299,0.09,0.178,0.259
"P57","Nunca lo votaría",0.879,0.053,0.54,0.792,0.631,0.424
"P57","No sabe",0.02,0.032,0.054,0.038,0.072,0.227
"P58","Lo votaría",0.033,0.181,0.688,0.127,0.058,0.027
"P58","Puede que lo vote",0.061,0.31,0.214,0.051,0.132,0.207
"P58","Nunca lo votaría",0.882,0.436,0.087,0.81,0.757,0.565
"P58","No sabe",0.024,0.073,0.011,0.012,0.053,0.201
"P59","Lo votaría",0.04,0.09,0.128,0.104,0.082,0.043
"P59","Puede que lo vote",0.108,0.23,0.127,0.087,0.069,0.117
"P59","Nunca lo votaría",0.797,0.561,0.68,0.777,0.786,0.609
"P59","No sabe",0.055,0.119,0.065,0.032,0.063,0.231
"P60","Lo votaría",0.016,0.183,0.188,0.134,0.136,0.095
"P60","Puede que lo vote",0.065,0.427,0.36,0.011,0.172,0.177
"P60","Nunca lo votaría",0.87,0.284,0.392,0.848,0.63,0.499
"P60","No sabe",0.049,0.106,0.06,0.007,0.062,0.229
"P61","Muy buena",0.249,0.053,0.051,0.082,0.106,0.077
"P61","Buena",0.348,0.091,0.079,0.118,0.087,0.145
"P61","Ni buena ni mala",0.293,0.127,0.08,0.278,0.213,0.227
"P61","Mala",0.066,0.21,0.138,0.248,0.152,0.15
"P61","Muy mala",0.04,0.512,0.642,0.272,0.434,0.334
"P61","No sabe",0.004,0.007,0.01,0.002,0.008,0.067
"P62","Muy buena",0.582,0.026,0.024,0.384,0.209,0.216
"P62","Buena",0.226,0.047,0.025,0.185,0.075,0.108
"P62","Ni buena ni mala",0.101,0.173,0.129,0.143,0.134,0.137
"P62","Mala",0.031,0.228,0.173,0.08,0.126,0.152
"P62","Muy mala",0.042,0.476,0.63,0.194,0.426,0.295
"P62","No sabe",0.018,0.05,0.019,0.014,0.03,0.092
"P63","Muy buena",0.33,0.021,0.023,0.066,0.043,0.044
"P63","Buena",0.426,0.045,0.025,0.116,0.046,0.103
"P63","Ni buena ni mala",0.198,0.163,0.141,0.307,0.272,0.326
"P63","Mala",0.035,0.264,0.229,0.236,0.222,0.16
"P63","Muy mala",0.008,0.489,0.576,0.267,0.407,0.285
"P63","No sabe",0.003,0.018,0.006,0.008,0.01,0.082
"P64","Muy buena",0.697,0.028,0.028,0.421,0.206,0.222
"P64","Buena",0.164,0.023,0.025,0.147,0.054,0.088
"P64","Ni buena ni mala",0.076,0.079,0.065,0.105,0.094,0.111
"P64","Mala",0.018,0.188,0.123,0.079,0.1,0.12
"P64","Muy mala",0.033,0.669,0.757,0.244,0.539,0.364
"P64","No sabe",0.012,0.013,0.002,0.004,0.007,0.095
"P65","Muy buena",0.1,0.502,0.429,0.116,0.351,0.359
"P65","Buena",0.029,0.23,0.247,0.036,0.102,0.113
"P65","Ni buena ni mala",0.071,0.11,0.13,0.063,0.105,0.082
"P65","Mala",0.191,0.063,0.058,0.111,0.14,0.127
"P65","Muy mala",0.603,0.088,0.132,0.671,0.297,0.248
"P65","No sabe",0.006,0.007,0.004,0.003,0.005,0.071
"P66","Muy buena",0.025,0.364,0.103,0.037,0.096,0.053
"P66","Buena",0.034,0.437,0.148,0.052,0.113,0.157
"P66","Ni buena ni mala",0.107,0.132,0.233,0.088,0.266,0.307
"P66","Mala",0.291,0.039,0.209,0.223,0.199,0.19
