"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.301,0.652,0.094,0.054,0.197,0,0.058
"P16","Javier Milei a presidente por la Libertad Avanza",0.175,0.261,0.421,0.217,0.233,0.277,0.139
"P16","Los candidatos a presidente de la Izquierda",0.033,0.012,0,0.693,0.023,0,0
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.003,0,0,0,0.547,0.027,0.019
"P16","En blanco",0,0,0,0,0,0.186,0.011
"P16","No sabe",0.034,0.012,0.005,0,0,0.072,0.568
"P19","Axel Kicillof a gobernador por Unión por la Patria",0.46,0.093,0.368,0.248,0.031,0.555,0.2
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.306,0.593,0.229,0.051,0.023,0.051,0.088
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.132,0.239,0.276,0.229,0.279,0,0.078
"P19","El candidato a gobernador de la Izquierda",0.046,0.012,0.03,0.439,0,0,0
"P19","En blanco",0.005,0.003,0.024,0.033,0,0.026,0.08
"P19","No sabe",0.051,0.06,0.073,0,0.667,0.368,0.554
"P22","Fernando Moreira a intendente por Unión por la Patria",0.516,0.176,0.425,0.55,0.282,0.387,0.173
"P22","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.336,0.635,0.323,0.088,0.255,0.041,0.079
"P22","Hernán Sardella a intendente por la Libertad Avanza",0.069,0.104,0.15,0,0.036,0.18,0.081
"P22","El candidato del Frente de Izquierda",0.015,0.009,0.003,0.362,0.026,0,0
"P22","En blanco",0.008,0.03,0.029,0,0.031,0,0.075
"P22","No sabe",0.056,0.046,0.07,0,0.37,0.392,0.592
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.233,0.566,0.418,0.093,0.823,0.326,0.432
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.209,0.294,0.17,0.081,0.041,0.144,0.139
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.431,0.089,0.301,0.506,0.049,0.173,0.095
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.093,0.009,0.066,0.018,0.021,0.015,0.007
"P25","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.014,0.004,0.011,0.289,0.024,0.117,0.073
"P25","No sabe",0.02,0.038,0.034,0.013,0.042,0.225,0.254
"P26","Totalmente seguro",0.675,0.724,0.793,0.585,0.675,0.445,0.463
"P26","Bastante seguro",0.191,0.161,0.125,0.102,0,0.127,0.104
"P26","Algo seguro",0.098,0.079,0.07,0.09,0.195,0.018,0.154
"P26","Para nada seguro",0.036,0.036,0.012,0.223,0.13,0.41,0.279
"P27","Tiene Decidido que va a ir a votar",0.923,0.932,0.952,0.811,0.953,0.629,0.654
"P27","Tiene dudas sobre si va a ir a  votar",0.056,0.032,0.041,0,0.025,0.371,0.215
"P27","Tiene Decidido que no va a ir a votar",0.021,0.036,0.007,0.189,0.022,0,0.131
"P28","Lo votaría",0.707,0.153,0.554,0.03,0.116,0.208,0.204
"P28","Puede que lo vote",0.055,0.053,0.043,0.388,0.309,0.489,0.237
"P28","Nunca lo votaría",0.229,0.791,0.384,0.43,0.575,0.058,0.234
"P28","No sabe",0.009,0.003,0.019,0.152,0,0.245,0.325
"P29","Lo votaría",0.32,0.579,0.126,0,0.167,0.186,0.039
"P29","Puede que lo vote",0.082,0.156,0.159,0.225,0.427,0.041,0.274
"P29","Nunca lo votaría",0.579,0.248,0.687,0.761,0.406,0.698,0.387
"P29","No sabe",0.019,0.017,0.028,0.014,0,0.075,0.3
"P30","Lo votaría",0.102,0.348,0.363,0,0.167,0.198,0.12
"P30","Puede que lo vote",0.094,0.202,0.078,0.091,0.301,0.047,0.126
"P30","Nunca lo votaría",0.771,0.413,0.541,0.894,0.532,0.679,0.404
"P30","No sabe",0.033,0.037,0.018,0.015,0,0.076,0.35
"P31","Si",0.397,0.434,0.398,0.322,0.418,0.471,0.192
"P31","No",0.603,0.566,0.602,0.678,0.582,0.529,0.808
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria",0.831,0.026,0.193,0.021,0,0.245,0.12
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.091,0.848,0.042,0.031,0.106,0,0.034
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.054,0.115,0.763,0.118,0.152,0.175,0.072
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.01,0.005,0,0.83,0.012,0,0
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0,0,0,0.73,0.012,0.011
"PRESIDENTE","En blanco",0,0,0,0,0,0.535,0.006
"PRESIDENTE","No sabe",0.013,0.006,0.002,0,0,0.033,0.757
"CORTA_PRESIDENTE","Si",0.178,0.171,0.257,0.177,0.391,0.686,0.306
"CORTA_PRESIDENTE","No",0.822,0.829,0.743,0.823,0.609,0.314,0.694
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria",0.844,0.037,0.148,0.137,0.02,0.294,0.104
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.088,0.832,0.084,0.031,0.014,0.025,0.054
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.038,0.097,0.715,0.121,0.182,0,0.04
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.013,0.006,0.009,0.688,0,0,0
"GOBERNADOR","En blanco",0.002,0.001,0.012,0.023,0.439,0.473,0.043
"GOBERNADOR","No sabe",0.015,0.027,0.032,0,0.345,0.208,0.759
"CORTA_GOBERNADOR","Si",0.191,0.219,0.317,0.319,0.789,0.768,0.387
"CORTA_GOBERNADOR","No",0.809,0.781,0.683,0.681,0.211,0.232,0.613
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria",0.861,0.069,0.16,0.31,0.169,0.215,0.096
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.092,0.851,0.122,0.055,0.126,0.021,0.041
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0.021,0.046,0.681,0,0.022,0.076,0.041
"INTENDENTE","El candidato del Frente de Izquierda",0.006,0.003,0.001,0.635,0.015,0,0
"INTENDENTE","En blanco",0.003,0.011,0.011,0,0.507,0.474,0.039
"INTENDENTE","No sabe",0.017,0.02,0.025,0,0.161,0.214,0.783
"CORTA_INTENDENTE","Si",0.181,0.204,0.368,0.367,0.789,0.783,0.422
"CORTA_INTENDENTE","No",0.819,0.796,0.632,0.633,0.211,0.217,0.578
