"var","categoria","Unión por la Patria","Juntos por el Cambio","Liberales","Izquierda","Otro","No sabe"
"P18","Otros",0.018,0.013,0.013,0.077,0.131,0.04
"P18","En blanco",0.008,0.011,0.028,0.041,0.086,0.111
"P18","No sabe",0.02,0.022,0.007,0.004,0.036,0.272
"P25","Totalmente seguro",0.704,0.645,0.734,0.498,0.514,0.255
"P25","Bastante seguro",0.165,0.187,0.109,0.294,0.14,0.147
"P25","Algo seguro",0.086,0.115,0.1,0.106,0.144,0.164
"P25","Para nada seguro",0.045,0.053,0.057,0.102,0.202,0.434
"P26","Tiene Decidido que va a ir a votar",0.939,0.906,0.9,0.737,0.808,0.709
"P26","Tiene dudas sobre si va a ir a  votar",0.041,0.067,0.062,0.225,0.118,0.18
"P26","Tiene Decidido que no va a ir a votar",0.02,0.027,0.038,0.038,0.074,0.111
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.729,0.106,0.028,0.1,0.179,0.179
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.11,0.703,0.127,0.059,0.075,0.12
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.089,0.061,0.8,0.191,0.313,0.196
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.024,0.011,0.008,0.552,0.007,0.02
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.015,0.032,0.021,0.046,0.125,0.079
"P27","Otros",0.019,0.047,0.008,0.014,0.199,0.043
"P27","En blanco",0.004,0.017,0.003,0.017,0.032,0.118
"P27","No sabe",0.01,0.023,0.005,0.021,0.07,0.245
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.735,0.11,0.031,0.124,0.185,0.196
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.1,0.615,0.067,0.02,0.107,0.128
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.093,0.138,0.845,0.231,0.319,0.193
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.014,0.006,0.004,0.512,0.008,0.016
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.019,0.021,0.035,0.049,0.081,0.074
"P28","Otros",0.017,0.043,0.007,0.009,0.223,0.058
"P28","En blanco",0.009,0.035,0.003,0.04,0.037,0.12
"P28","No sabe",0.013,0.032,0.008,0.015,0.04,0.215
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.754,0.16,0.044,0.391,0.324,0.236
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.157,0.744,0.678,0.188,0.246,0.21
"P33","En blanco",0.065,0.056,0.217,0.32,0.226,0.201
"P33","No sabe",0.024,0.04,0.061,0.101,0.204,0.353
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.183,0.737,0.152,0.152,0.156,0.204
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.123,0.111,0.806,0.182,0.372,0.226
"P34","En blanco",0.545,0.105,0.029,0.572,0.256,0.2
"P34","No sabe",0.149,0.047,0.013,0.094,0.216,0.37
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.77,0.134,0.053,0.35,0.287,0.209
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.131,0.67,0.454,0.094,0.204,0.172
"P35","En blanco",0.067,0.104,0.392,0.486,0.307,0.226
"P35","No sabe",0.032,0.092,0.101,0.07,0.202,0.393
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.202,0.603,0.094,0.217,0.187,0.175
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.114,0.187,0.82,0.129,0.365,0.25
"P36","En blanco",0.533,0.114,0.058,0.56,0.254,0.213
"P36","No sabe",0.151,0.096,0.028,0.094,0.194,0.362
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.786,0.165,0.057,0.364,0.292,0.252
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.109,0.388,0.899,0.226,0.37,0.245
"P37","En blanco",0.063,0.249,0.03,0.319,0.187,0.15
"P37","No sabe",0.042,0.198,0.014,0.091,0.151,0.353
"P38","Lo votaría",0.728,0.14,0.036,0.246,0.126,0.171
"P38","Puede que lo vote",0.097,0.106,0.135,0.216,0.183,0.103
"P38","Nunca lo votaría",0.157,0.728,0.801,0.414,0.611,0.508
"P38","No sabe",0.018,0.026,0.028,0.124,0.08,0.218
"P39","Lo votaría",0.463,0.065,0.018,0.421,0.108,0.119
"P39","Puede que lo vote",0.211,0.063,0.05,0.319,0.14,0.08
"P39","Nunca lo votaría",0.281,0.84,0.904,0.226,0.688,0.507
"P39","No sabe",0.045,0.032,0.028,0.034,0.064,0.294
"P40","Lo votaría",0.17,0.663,0.282,0.064,0.101,0.1
"P40","Puede que lo vote",0.082,0.109,0.403,0.149,0.18,0.136
"P40","Nunca lo votaría",0.725,0.199,0.279,0.716,0.68,0.572
"P40","No sabe",0.023,0.029,0.036,0.071,0.039,0.192
"P41","Lo votaría",0.108,0.537,0.148,0.08,0.093,0.084
"P41","Puede que lo vote",0.114,0.226,0.355,0.141,0.163,0.202
"P41","Nunca lo votaría",0.752,0.194,0.459,0.655,0.694,0.494
"P41","No sabe",0.026,0.043,0.038,0.124,0.05,0.22
"P42","Lo votaría",0.123,0.176,0.813,0.091,0.303,0.177
"P42","Puede que lo vote",0.063,0.294,0.091,0.112,0.166,0.169
"P42","Nunca lo votaría",0.799,0.478,0.084,0.78,0.517,0.458
"P42","No sabe",0.015,0.052,0.012,0.017,0.014,0.196
"P43","Lo votaría",0.092,0.031,0.115,0.625,0.07,0.039
"P43","Puede que lo vote",0.312,0.095,0.061,0.141,0.16,0.145
"P43","Nunca lo votaría",0.548,0.839,0.793,0.234,0.692,0.591
"P43","No sabe",0.048,0.035,0.031,0,0.078,0.225
"P44","Lo votaría",0.047,0.044,0.059,0.17,0.204,0.051
"P44","Puede que lo vote",0.184,0.161,0.156,0.142,0.123,0.195
"P44","Nunca lo votaría",0.717,0.732,0.75,0.633,0.602,0.503
"P44","No sabe",0.052,0.063,0.035,0.055,0.071,0.251
"P52","Si",0.549,0.506,0.503,0.441,0.471,0.415
"P52","No",0.451,0.494,0.497,0.559,0.529,0.585
