"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.007,0.04,0.007,0.054,0.015,0.004,0.771,0.04,0.04,0.041
"P27","Otros",0.01,0.103,0.015,0.132,0.016,0.016,0.012,0.271,0.018,0.048
"P27","En blanco",0.006,0.021,0.001,0.038,0.004,0.004,0.068,0.093,0.523,0.058
"P27","No sabe",0.013,0.03,0.008,0.068,0.001,0.018,0.021,0.266,0.199,0.482
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.909,0.694,0.022,0.025,0.03,0.155,0.099,0.155,0.166,0.178
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.025,0.029,0.645,0.83,0.041,0.036,0.033,0.113,0.039,0.096
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.035,0.02,0.174,0.064,0.879,0.071,0.062,0.071,0.105,0.121
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.068,0.003,0.005,0.005,0.662,0.004,0.064,0.037,0
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.003,0.042,0.015,0.018,0.014,0.006,0.744,0.013,0.027,0.031
"P28","Otros",0.002,0.092,0.055,0.027,0.014,0.009,0,0.387,0.031,0.068
"P28","En blanco",0.006,0.029,0.039,0.016,0.008,0.015,0.05,0.074,0.499,0.074
"P28","No sabe",0.01,0.026,0.047,0.015,0.009,0.046,0.008,0.123,0.096,0.432
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.899,0.828,0.083,0.099,0.05,0.389,0.296,0.262,0.085,0.215
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.013,0.054,0.871,0.705,0.636,0.071,0.199,0.148,0.078,0.232
"P33","En blanco",0.062,0.095,0.024,0.092,0.223,0.408,0.204,0.287,0.755,0.065
"P33","No sabe",0.026,0.023,0.022,0.104,0.091,0.132,0.301,0.303,0.082,0.488
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.152,0.104,0.842,0.646,0.084,0.206,0.226,0.272,0.113,0.162
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.059,0.042,0.108,0.181,0.845,0.049,0.157,0.125,0.118,0.182
"P34","En blanco",0.609,0.697,0.025,0.083,0.039,0.619,0.371,0.317,0.645,0.09
"P34","No sabe",0.18,0.157,0.025,0.09,0.032,0.126,0.246,0.286,0.124,0.566
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.903,0.807,0.06,0.049,0.065,0.321,0.274,0.352,0.118,0.229
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.024,0.034,0.706,0.879,0.403,0.074,0.22,0.109,0.05,0.144
"P35","En blanco",0.038,0.122,0.125,0.032,0.404,0.456,0.18,0.284,0.702,0.129
"P35","No sabe",0.035,0.037,0.109,0.04,0.128,0.149,0.326,0.255,0.13,0.498
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.173,0.132,0.572,0.832,0.077,0.3,0.178,0.198,0.007,0.157
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.051,0.047,0.244,0.104,0.856,0.059,0.142,0.178,0.026,0.244
"P36","En blanco",0.587,0.675,0.079,0.043,0.044,0.521,0.303,0.273,0.774,0.093
"P36","No sabe",0.189,0.146,0.105,0.021,0.023,0.12,0.377,0.351,0.193,0.506
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.926,0.816,0.085,0.136,0.047,0.366,0.327,0.337,0.073,0.219
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.022,0.041,0.467,0.347,0.897,0.036,0.131,0.143,0.089,0.199
"P37","En blanco",0.031,0.106,0.254,0.255,0.032,0.423,0.226,0.246,0.661,0.052
"P37","No sabe",0.021,0.037,0.194,0.262,0.024,0.175,0.316,0.274,0.177,0.53
"P38","Lo votaría",0.917,0.594,0.065,0.066,0.051,0.217,0.147,0.137,0.086,0.159
"P38","Puede que lo vote",0.038,0.217,0.112,0.161,0.132,0.145,0.203,0.195,0.058,0.056
"P38","Nunca lo votaría",0.032,0.138,0.806,0.717,0.797,0.498,0.6,0.493,0.579,0.41
"P38","No sabe",0.013,0.051,0.017,0.056,0.02,0.14,0.05,0.175,0.277,0.375
"P39","Lo votaría",0.446,0.84,0.018,0.017,0.03,0.38,0.09,0.069,0.058,0.096
"P39","Puede que lo vote",0.313,0.092,0.03,0.055,0.066,0.264,0.124,0.216,0.014,0.034
"P39","Nunca lo votaría",0.163,0.063,0.932,0.889,0.874,0.306,0.717,0.632,0.637,0.375
"P39","No sabe",0.078,0.005,0.02,0.039,0.03,0.05,0.069,0.083,0.291,0.495
"P40","Lo votaría",0.083,0.095,0.821,0.425,0.236,0.076,0.042,0.085,0.012,0.072
"P40","Puede que lo vote",0.077,0.037,0.054,0.255,0.392,0.204,0.22,0.192,0.143,0.124
"P40","Nunca lo votaría",0.797,0.864,0.114,0.288,0.331,0.625,0.696,0.642,0.575,0.441
"P40","No sabe",0.043,0.004,0.011,0.032,0.041,0.095,0.042,0.081,0.27,0.363
"P41","Lo votaría",0.039,0.022,0.5,0.844,0.12,0.099,0.089,0.072,0,0.078
"P41","Puede que lo vote",0.073,0.06,0.306,0.112,0.338,0.071,0.214,0.182,0.327,0.093
"P41","Nunca lo votaría",0.853,0.888,0.147,0.032,0.492,0.707,0.622,0.716,0.5,0.462
"P41","No sabe",0.035,0.03,0.047,0.012,0.05,0.123,0.075,0.03,0.173,0.367
"P42","Lo votaría",0.029,0.026,0.222,0.229,0.853,0.059,0.068,0.079,0.048,0.115
"P42","Puede que lo vote",0.043,0.037,0.358,0.219,0.069,0.079,0.193,0.134,0.215,0.092
"P42","Nunca lo votaría",0.905,0.928,0.365,0.521,0.067,0.829,0.702,0.674,0.567,0.521
"P42","No sabe",0.023,0.009,0.055,0.031,0.011,0.033,0.037,0.113,0.17,0.272
"P43","Lo votaría",0.053,0.165,0.03,0.042,0.15,0.68,0.006,0.032,0.081,0
"P43","Puede que lo vote",0.34,0.391,0.079,0.063,0.058,0.107,0.122,0.218,0.195,0.087
"P43","Nunca lo votaría",0.546,0.388,0.862,0.862,0.752,0.207,0.802,0.682,0.554,0.583
"P43","No sabe",0.061,0.056,0.029,0.033,0.04,0.006,0.07,0.068,0.17,0.33
"P44","Lo votaría",0.037,0.029,0.037,0.064,0.059,0.174,0.667,0,0.051,0.026
"P44","Puede que lo vote",0.234,0.145,0.126,0.228,0.132,0.113,0.056,0.271,0.149,0.215
"P44","Nunca lo votaría",0.67,0.756,0.781,0.639,0.763,0.619,0.259,0.628,0.626,0.438
"P44","No sabe",0.059,0.07,0.056,0.069,0.046,0.094,0.018,0.101,0.174,0.321
"P52","Si",0.559,0.568,0.523,0.461,0.473,0.493,0.435,0.45,0.358,0.399
"P52","No",0.441,0.432,0.477,0.539,0.527,0.507,0.565,0.55,0.642,0.601
