"var","categoria","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos","Javier Milei presidente - José Luis Espert vice por los liberales","Otros candidatos"
"P16","Nunca lo votaría",0.893,0.882,0.091,0.234,0.869,0.671
"P16","No sabe",0.042,0.039,0.106,0.106,0.051,0.162
"P17","La votaría",0.041,0.029,0.49,0.832,0.044,0.065
"P17","Puede que la vote",0.021,0.062,0.202,0.079,0.046,0.095
"P17","Nunca la votaría",0.926,0.889,0.24,0.079,0.865,0.667
"P17","No sabe",0.012,0.02,0.068,0.01,0.045,0.173
"P18","Lo votaría",0.31,0.586,0.045,0.02,0.111,0.062
"P18","Puede que lo vote",0.42,0.322,0.142,0.039,0.278,0.218
"P18","Nunca lo votaría",0.189,0.069,0.677,0.916,0.524,0.509
"P18","No sabe",0.081,0.023,0.136,0.025,0.087,0.211
"P19","Lo votaría",0.141,0.255,0.04,0.017,0.093,0.125
"P19","Puede que lo vote",0.302,0.366,0.164,0.097,0.204,0.198
"P19","Nunca lo votaría",0.449,0.276,0.628,0.747,0.577,0.466
"P19","No sabe",0.108,0.103,0.168,0.139,0.126,0.211
"P20","La votaría",0.63,0.303,0.011,0.014,0.245,0.178
"P20","Puede que la vote",0.207,0.297,0.125,0.016,0.345,0.16
"P20","Nunca la votaría",0.136,0.343,0.779,0.939,0.324,0.526
"P20","No sabe",0.027,0.057,0.085,0.031,0.086,0.136
"P21","Lo votaría",0.059,0.062,0.101,0.021,0.648,0.055
"P21","Puede que lo vote",0.252,0.191,0.044,0.036,0.181,0.148
"P21","Nunca lo votaría",0.59,0.675,0.75,0.886,0.12,0.664
"P21","No sabe",0.099,0.072,0.105,0.057,0.051,0.133
"P22","La votaría",0.356,0.267,0.066,0.06,0.074,0.072
"P22","Puede que la vote",0.334,0.346,0.114,0.017,0.224,0.186
"P22","Nunca la votaría",0.24,0.298,0.699,0.864,0.59,0.56
"P22","No sabe",0.07,0.089,0.121,0.059,0.112,0.182
"P23","Lo votaría",0.037,0.027,0.296,0.203,0.04,0.053
"P23","Puede que lo vote",0.028,0.046,0.297,0.442,0.057,0.095
"P23","Nunca lo votaría",0.892,0.883,0.292,0.224,0.846,0.689
"P23","No sabe",0.043,0.044,0.115,0.131,0.057,0.163
"P24","Lo votaría",0.07,0.156,0.05,0.026,0.025,0.055
"P24","Puede que lo vote",0.222,0.255,0.12,0.046,0.142,0.14
"P24","Nunca lo votaría",0.567,0.367,0.668,0.809,0.644,0.493
"P24","No sabe",0.141,0.222,0.162,0.119,0.189,0.312
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.054,0.066,0.492,0.849,0.029,0.051
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.818,0.473,0.11,0.031,0.031,0.104
"P29","Javier Milei – José Luis Espert por los liberales",0.052,0.129,0.088,0.056,0.715,0.036
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.063,0.058,0.114,0.056,0.008,0.101
"P29","Otro candidato",0.013,0.274,0.196,0.008,0.217,0.708
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.526,0.845,0.026,0.054,0.039,0.093
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.046,0.032,0.781,0.563,0.017,0.069
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.107,0.035,0.093,0.011,0.868,0.052
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.028,0.02,0.06,0.069,0.009,0.102
"P31","Otro candidato",0.293,0.068,0.04,0.303,0.067,0.684
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.046,0.102,0.41,0.648,0.046,0.079
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.756,0.6,0.068,0.05,0.117,0.27
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.07,0.073,0.084,0.014,0.779,0.029
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.012,0.008,0.103,0.055,0.007,0.073
"P33","Otro candidato",0.116,0.217,0.335,0.233,0.051,0.549
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.051,0.062,0.703,0.948,0.031,0.14
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.874,0.624,0.07,0.022,0.493,0.251
"P35","No sabe",0.075,0.314,0.227,0.03,0.476,0.609
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.025,0.03,0.887,0.766,0.017,0.103
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.709,0.883,0.064,0.015,0.412,0.259
"P36","No sabe",0.266,0.087,0.049,0.219,0.571,0.638
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.025,0.038,0.559,0.782,0.043,0.13
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.866,0.685,0.081,0.006,0.555,0.329
"P37","No sabe",0.109,0.277,0.36,0.212,0.402,0.541
"P38","Muy buena",0.019,0.001,0.27,0.145,0,0.021
"P38","Buena",0.091,0.142,0.311,0.342,0.081,0.058
"P38","Ni buena ni mala",0.05,0.107,0.273,0.334,0.049,0.229
"P38","Mala",0.049,0.122,0.049,0.124,0.129,0.171
"P38","Muy mala",0.789,0.626,0.088,0.044,0.729,0.49
"P38","No sabe",0.002,0.002,0.009,0.011,0.012,0.031
"P39","Muy buena",0.023,0.007,0.236,0.093,0.003,0.032
"P39","Buena",0.004,0.033,0.429,0.352,0.017,0.042
"P39","Ni buena ni mala",0.055,0.096,0.221,0.361,0.064,0.172
"P39","Mala",0.074,0.124,0.044,0.133,0.077,0.2
"P39","Muy mala",0.843,0.737,0.07,0.058,0.812,0.53
"P39","No sabe",0.001,0.003,0,0.003,0.027,0.024
"P40","Muy buena",0.024,0.003,0.319,0.698,0.011,0.058
"P40","Buena",0.006,0.04,0.213,0.177,0.014,0.053
"P40","Ni buena ni mala",0.035,0.021,0.191,0.083,0.013,0.137
"P40","Mala",0.028,0.081,0.076,0.025,0.054,0.082
"P40","Muy mala",0.904,0.841,0.162,0.01,0.89,0.635
"P40","No sabe",0.003,0.014,0.039,0.007,0.018,0.035
"P41","Muy buena",0.469,0.048,0,0.047,0.052,0.06
"P41","Buena",0.269,0.273,0.055,0.008,0.189,0.076
"P41","Ni buena ni mala",0.14,0.272,0.055,0.034,0.256,0.237
"P41","Mala",0.023,0.238,0.302,0.161,0.217,0.225
"P41","Muy mala",0.087,0.167,0.576,0.741,0.258,0.368
"P41","No sabe",0.012,0.002,0.012,0.009,0.028,0.034
"P42","Muy buena",0.319,0.401,0.006,0.009,0.055,0.042
"P42","Buena",0.392,0.372,0.138,0.025,0.203,0.208
"P42","Ni buena ni mala",0.207,0.179,0.189,0.135,0.276,0.285
"P42","Mala",0.036,0.037,0.147,0.212,0.137,0.176
"P42","Muy mala",0.031,0.011,0.47,0.608,0.303,0.226
"P42","No sabe",0.015,0,0.05,0.011,0.026,0.063
"P43","Muy buena",0.034,0.03,0.126,0.124,0.002,0.054
"P43","Buena",0.038,0.05,0.264,0.334,0.042,0.068
"P43","Ni buena ni mala",0.067,0.136,0.321,0.378,0.12,0.174
"P43","Mala",0.118,0.266,0.044,0.096,0.127,0.201
"P43","Muy mala",0.721,0.511,0.199,0.065,0.671,0.458
"P43","No sabe",0.022,0.007,0.046,0.003,0.038,0.045
"P44","Muy buena",0.035,0.013,0.074,0.029,0.432,0.041
"P44","Buena",0.168,0.08,0.032,0.048,0.246,0.044
"P44","Ni buena ni mala",0.36,0.321,0.112,0.073,0.162,0.265
"P44","Mala",0.131,0.287,0.22,0.138,0.044,0.213
"P44","Muy mala",0.284,0.289,0.432,0.677,0.102,0.384
"P44","No sabe",0.022,0.01,0.13,0.035,0.014,0.053
"P45","Muy buena",0.423,0.225,0.008,0.009,0.098,0.103
"P45","Buena",0.325,0.338,0.075,0.004,0.17,0.165
"P45","Ni buena ni mala",0.17,0.251,0.17,0.052,0.248,0.206
"P45","Mala",0.041,0.116,0.287,0.137,0.14,0.153
"P45","Muy mala",0.034,0.062,0.448,0.787,0.324,0.339
"P45","No sabe",0.007,0.008,0.012,0.011,0.02,0.034
"P46","Muy buena",0.049,0.046,0.265,0.103,0.022,0.045
"P46","Buena",0.044,0.087,0.335,0.413,0.041,0.089
"P46","Ni buena ni mala",0.085,0.158,0.184,0.347,0.098,0.136
"P46","Mala",0.142,0.16,0.055,0.048,0.108,0.197
"P46","Muy mala",0.678,0.516,0.145,0.084,0.69,0.478
"P46","No sabe",0.002,0.033,0.016,0.005,0.041,0.055
"P47","Muy buena",0.059,0.082,0.065,0.013,0.025,0.039
"P47","Buena",0.185,0.228,0.075,0.042,0.079,0.089
"P47","Ni buena ni mala",0.368,0.428,0.301,0.174,0.205,0.34
"P47","Mala",0.128,0.075,0.135,0.192,0.116,0.144
"P47","Muy mala",0.222,0.083,0.215,0.507,0.376,0.276
"P47","No sabe",0.038,0.104,0.209,0.072,0.199,0.112
