"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Mauricio Macri presidente – María Eugenia Vidal vice","No sabe"
"P45","Mala",0.15,0.086,0.154
"P45","Muy mala",0.73,0.067,0.328
"P45","No sabe",0.011,0.006,0.035
"P46","Muy buena",0.117,0.041,0.053
"P46","Buena",0.379,0.06,0.079
"P46","Ni buena ni mala",0.321,0.082,0.157
"P46","Mala",0.083,0.123,0.15
"P46","Muy mala",0.093,0.687,0.493
"P46","No sabe",0.007,0.007,0.068
"P47","Muy buena",0.027,0.058,0.033
"P47","Buena",0.057,0.179,0.086
"P47","Ni buena ni mala",0.183,0.381,0.285
"P47","Mala",0.188,0.107,0.122
"P47","Muy mala",0.452,0.215,0.286
"P47","No sabe",0.093,0.06,0.188
