"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P43","Muy mala",0.789,0.606,0.247,0.367
"P43","No sabe",0.005,0.028,0.017,0.119
"P44","Muy buena",0.076,0.162,0.082,0.107
"P44","Buena",0.179,0.162,0.062,0.141
"P44","Ni buena ni mala",0.318,0.275,0.148,0.304
"P44","Mala",0.129,0.18,0.16,0.166
"P44","Muy mala",0.291,0.199,0.507,0.184
"P44","No sabe",0.007,0.022,0.041,0.098
"P45","Muy buena",0.413,0.241,0.036,0.146
"P45","Buena",0.339,0.302,0.069,0.207
"P45","Ni buena ni mala",0.131,0.219,0.147,0.309
"P45","Mala",0.063,0.084,0.161,0.121
"P45","Muy mala",0.047,0.152,0.571,0.14
"P45","No sabe",0.007,0.002,0.016,0.077
"P46","Muy buena",0.056,0.052,0.086,0.039
"P46","Buena",0.06,0.076,0.265,0.063
"P46","Ni buena ni mala",0.057,0.107,0.257,0.179
"P46","Mala",0.103,0.177,0.092,0.202
"P46","Muy mala",0.72,0.584,0.273,0.409
"P46","No sabe",0.004,0.004,0.027,0.108
"P47","Muy buena",0.074,0.046,0.029,0.02
"P47","Buena",0.201,0.165,0.064,0.12
"P47","Ni buena ni mala",0.333,0.355,0.241,0.365
"P47","Mala",0.131,0.132,0.15,0.089
"P47","Muy mala",0.235,0.186,0.407,0.108
"P47","No sabe",0.026,0.116,0.109,0.298
