"var","categoria","Alberto Fernández presidente – Daniel Scioli vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P15","No sabe",0.107,0.035,0.104
"P16","Lo votaría",0.314,0.018,0.05
"P16","Puede que lo vote",0.447,0.038,0.126
"P16","Nunca lo votaría",0.143,0.912,0.718
"P16","No sabe",0.096,0.032,0.106
"P17","La votaría",0.729,0.031,0.206
"P17","Puede que la vote",0.132,0.035,0.056
"P17","Nunca la votaría",0.108,0.918,0.672
"P17","No sabe",0.031,0.016,0.066
"P18","Lo votaría",0.024,0.404,0.061
"P18","Puede que lo vote",0.065,0.394,0.204
"P18","Nunca lo votaría",0.853,0.159,0.604
"P18","No sabe",0.058,0.043,0.131
"P19","Lo votaría",0.024,0.198,0.079
"P19","Puede que lo vote",0.119,0.34,0.169
"P19","Nunca lo votaría",0.729,0.374,0.561
"P19","No sabe",0.128,0.088,0.191
"P20","La votaría",0.014,0.461,0.21
"P20","Puede que la vote",0.029,0.294,0.182
"P20","Nunca la votaría",0.927,0.213,0.511
"P20","No sabe",0.03,0.032,0.097
"P21","Lo votaría",0.034,0.158,0.223
"P21","Puede que lo vote",0.043,0.23,0.138
"P21","Nunca lo votaría",0.872,0.554,0.527
"P21","No sabe",0.051,0.058,0.112
"P22","La votaría",0.048,0.293,0.08
"P22","Puede que la vote",0.036,0.341,0.181
"P22","Nunca la votaría",0.855,0.288,0.607
"P22","No sabe",0.061,0.078,0.132
"P23","Lo votaría",0.244,0.033,0.045
"P23","Puede que lo vote",0.41,0.04,0.147
"P23","Nunca lo votaría",0.225,0.901,0.684
"P23","No sabe",0.121,0.026,0.124
"P24","Lo votaría",0.038,0.097,0.023
"P24","Puede que lo vote",0.071,0.281,0.069
"P24","Nunca lo votaría",0.791,0.449,0.669
"P24","No sabe",0.1,0.173,0.239
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.017,0.389,0.174
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.014,0.319,0.038
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.173,0.01,0.009
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.736,0.012,0.199
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.009,0.168,0.279
"P25","Otros candidatos",0.051,0.102,0.301
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.753,0.05,0.198
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.047,0.521,0.177
"P29","Javier Milei – José Luis Espert por los liberales",0.066,0.185,0.246
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.078,0.037,0.078
"P29","Otro candidato",0.056,0.207,0.301
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.05,0.588,0.079
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.703,0.025,0.059
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.019,0.217,0.287
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.072,0.014,0.073
"P31","Otro candidato",0.156,0.156,0.502
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.636,0.062,0.122
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.051,0.616,0.224
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.024,0.192,0.25
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.06,0.004,0.059
"P33","Otro candidato",0.229,0.126,0.345
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.912,0.042,0.22
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.037,0.79,0.254
"P35","No sabe",0.051,0.168,0.526
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.797,0.024,0.143
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.02,0.853,0.273
"P37","No sabe",0.183,0.123,0.584
"P38","Muy buena",0.181,0.008,0.021
"P38","Buena",0.363,0.127,0.057
"P38","Ni buena ni mala",0.326,0.043,0.203
"P38","Mala",0.081,0.089,0.169
"P38","Muy mala",0.04,0.731,0.527
"P38","No sabe",0.009,0.002,0.023
"P39","Muy buena",0.142,0.008,0.017
"P39","Buena",0.412,0.011,0.037
"P39","Ni buena ni mala",0.321,0.051,0.192
"P39","Mala",0.091,0.103,0.154
"P39","Muy mala",0.032,0.825,0.575
"P39","No sabe",0.002,0.002,0.025
"P40","Muy buena",0.609,0.012,0.147
"P40","Buena",0.197,0.013,0.05
"P40","Ni buena ni mala",0.107,0.016,0.094
"P40","Mala",0.033,0.052,0.061
"P40","Muy mala",0.041,0.903,0.618
"P40","No sabe",0.013,0.004,0.03
"P41","Muy buena",0.049,0.229,0.108
"P41","Buena",0.026,0.261,0.105
"P41","Ni buena ni mala",0.051,0.238,0.157
"P41","Mala",0.177,0.144,0.192
"P41","Muy mala",0.689,0.126,0.399
"P41","No sabe",0.008,0.002,0.039
"P42","Muy buena",0.013,0.31,0.058
"P42","Buena",0.059,0.407,0.122
"P42","Ni buena ni mala",0.13,0.217,0.26
"P42","Mala",0.194,0.043,0.174
"P42","Muy mala",0.588,0.021,0.332
"P42","No sabe",0.016,0.002,0.054
"P43","Muy buena",0.128,0.028,0.042
"P43","Buena",0.329,0.033,0.098
"P43","Ni buena ni mala",0.359,0.078,0.211
"P43","Mala",0.094,0.209,0.106
"P43","Muy mala",0.08,0.644,0.493
"P43","No sabe",0.01,0.008,0.05
"P44","Muy buena",0.04,0.101,0.146
"P44","Buena",0.053,0.13,0.132
"P44","Ni buena ni mala",0.083,0.305,0.224
"P44","Mala",0.152,0.191,0.123
"P44","Muy mala",0.636,0.265,0.312
"P44","No sabe",0.036,0.008,0.063
"P45","Muy buena",0.011,0.311,0.1
"P45","Buena",0.021,0.336,0.117
"P45","Ni buena ni mala",0.074,0.218,0.188
"P45","Mala",0.17,0.068,0.153
"P45","Muy mala",0.715,0.059,0.414
"P45","No sabe",0.009,0.008,0.028
"P46","Muy buena",0.147,0.042,0.035
"P46","Buena",0.432,0.059,0.083
"P46","Ni buena ni mala",0.269,0.104,0.206
"P46","Mala",0.056,0.147,0.133
"P46","Muy mala",0.092,0.635,0.494
"P46","No sabe",0.004,0.013,0.049
"P47","Muy buena",0.023,0.072,0.019
"P47","Buena",0.057,0.209,0.049
"P47","Ni buena ni mala",0.195,0.399,0.237
"P47","Mala",0.197,0.095,0.141
"P47","Muy mala",0.447,0.149,0.399
"P47","No sabe",0.081,0.076,0.155
