"var","categoria","Estoy de acuerdo","Debería realizarse solo en caso de violación o riesgo de vida de la madre","No estoy de acuerdo","No sabe"
"P24","Nunca lo votaría",0.67,0.577,0.608,0.456
"P24","No sabe",0.146,0.205,0.195,0.342
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.1,0.278,0.266,0.25
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.129,0.152,0.114,0.141
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.059,0.058,0.071,0.04
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.483,0.141,0.166,0.166
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.088,0.201,0.195,0.162
"P25","Otros candidatos",0.141,0.17,0.188,0.241
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.478,0.18,0.21,0.207
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.163,0.358,0.348,0.22
"P29","Javier Milei – José Luis Espert por los liberales",0.109,0.222,0.186,0.125
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.086,0.025,0.046,0.168
"P29","Otro candidato",0.164,0.215,0.21,0.28
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.212,0.326,0.245,0.235
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.343,0.158,0.165,0.162
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.091,0.241,0.262,0.125
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.084,0.016,0.02,0.107
"P31","Otro candidato",0.27,0.259,0.308,0.371
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.397,0.135,0.151,0.261
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.223,0.408,0.371,0.266
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.079,0.222,0.224,0.117
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.065,0.017,0.004,0.073
"P33","Otro candidato",0.236,0.218,0.25,0.283
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.559,0.206,0.263,0.248
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.258,0.508,0.444,0.447
"P35","No sabe",0.183,0.286,0.293,0.305
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.48,0.161,0.2,0.21
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.262,0.487,0.422,0.41
"P36","No sabe",0.258,0.352,0.378,0.38
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.482,0.145,0.202,0.208
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.269,0.549,0.505,0.375
"P37","No sabe",0.249,0.306,0.293,0.417
"P38","Muy buena",0.103,0.032,0.055,0.04
"P38","Buena",0.252,0.114,0.165,0.088
"P38","Ni buena ni mala",0.218,0.136,0.156,0.256
"P38","Mala",0.112,0.119,0.104,0.083
"P38","Muy mala",0.312,0.589,0.49,0.509
"P38","No sabe",0.003,0.01,0.03,0.024
"P39","Muy buena",0.051,0.043,0.068,0.075
"P39","Buena",0.218,0.07,0.134,0.089
"P39","Ni buena ni mala",0.24,0.129,0.135,0.16
"P39","Mala",0.14,0.112,0.059,0.107
"P39","Muy mala",0.35,0.641,0.577,0.516
"P39","No sabe",0.001,0.005,0.027,0.053
"P40","Muy buena",0.381,0.131,0.134,0.156
"P40","Buena",0.11,0.052,0.096,0.031
"P40","Ni buena ni mala",0.081,0.056,0.038,0.132
"P40","Mala",0.038,0.055,0.062,0.063
"P40","Muy mala",0.382,0.697,0.654,0.524
"P40","No sabe",0.008,0.009,0.016,0.094
"P41","Muy buena",0.081,0.16,0.236,0.125
"P41","Buena",0.057,0.203,0.185,0.206
"P41","Ni buena ni mala",0.119,0.193,0.146,0.191
"P41","Mala",0.196,0.157,0.147,0.111
"P41","Muy mala",0.542,0.272,0.259,0.306
"P41","No sabe",0.005,0.015,0.027,0.061
"P42","Muy buena",0.088,0.171,0.188,0.19
"P42","Buena",0.13,0.282,0.257,0.212
"P42","Ni buena ni mala",0.168,0.228,0.225,0.248
"P42","Mala",0.167,0.107,0.096,0.108
"P42","Muy mala",0.435,0.183,0.208,0.194
"P42","No sabe",0.012,0.029,0.026,0.048
"P43","Muy buena",0.075,0.049,0.049,0.102
"P43","Buena",0.208,0.082,0.121,0.143
"P43","Ni buena ni mala",0.273,0.156,0.165,0.149
"P43","Mala",0.141,0.142,0.141,0.149
"P43","Muy mala",0.295,0.544,0.508,0.36
"P43","No sabe",0.008,0.027,0.016,0.097
"P44","Muy buena",0.059,0.123,0.162,0.02
"P44","Buena",0.084,0.145,0.067,0.122
"P44","Ni buena ni mala",0.129,0.28,0.257,0.239
"P44","Mala",0.152,0.136,0.203,0.245
"P44","Muy mala",0.559,0.273,0.265,0.318
"P44","No sabe",0.017,0.043,0.046,0.056
"P45","Muy buena",0.089,0.206,0.211,0.125
"P45","Buena",0.119,0.216,0.184,0.219
"P45","Ni buena ni mala",0.105,0.203,0.224,0.182
"P45","Mala",0.133,0.101,0.133,0.217
"P45","Muy mala",0.548,0.257,0.222,0.22
"P45","No sabe",0.006,0.017,0.026,0.037
"P46","Muy buena",0.088,0.056,0.064,0.081
"P46","Buena",0.259,0.112,0.151,0.13
"P46","Ni buena ni mala",0.228,0.158,0.157,0.144
"P46","Mala",0.097,0.108,0.16,0.181
"P46","Muy mala",0.318,0.542,0.453,0.346
"P46","No sabe",0.01,0.024,0.015,0.118
"P47","Muy buena",0.03,0.048,0.058,0.023
"P47","Buena",0.072,0.144,0.128,0.154
"P47","Ni buena ni mala",0.257,0.308,0.291,0.345
"P47","Mala",0.154,0.131,0.14,0.101
"P47","Muy mala",0.427,0.241,0.252,0.205
"P47","No sabe",0.06,0.128,0.131,0.172
