"var","categoria","Derecha","Centro derecha","Centro izquierda","Izquierda","No sabe"
"P19","Puede que lo vote",0.213,0.283,0.186,0.116,0.205
"P19","Nunca lo votaría",0.532,0.476,0.652,0.723,0.444
"P19","No sabe",0.08,0.092,0.068,0.098,0.277
"P20","La votaría",0.378,0.423,0.117,0.104,0.182
"P20","Puede que la vote",0.197,0.239,0.09,0.054,0.198
"P20","Nunca la votaría",0.385,0.294,0.765,0.812,0.471
"P20","No sabe",0.04,0.044,0.028,0.03,0.149
"P21","Lo votaría",0.262,0.149,0.049,0.075,0.122
"P21","Puede que lo vote",0.187,0.226,0.076,0.088,0.149
"P21","Nunca lo votaría",0.501,0.558,0.854,0.782,0.556
"P21","No sabe",0.05,0.067,0.021,0.055,0.173
"P22","La votaría",0.22,0.195,0.109,0.068,0.149
"P22","Puede que la vote",0.187,0.32,0.114,0.082,0.19
"P22","Nunca la votaría",0.52,0.405,0.737,0.786,0.473
"P22","No sabe",0.073,0.08,0.04,0.064,0.188
"P23","Lo votaría",0.054,0.072,0.187,0.174,0.084
"P23","Puede que lo vote",0.084,0.067,0.378,0.317,0.139
"P23","Nunca lo votaría",0.802,0.831,0.38,0.396,0.607
"P23","No sabe",0.06,0.03,0.055,0.113,0.17
"P24","Lo votaría",0.091,0.059,0.082,0.02,0.038
"P24","Puede que lo vote",0.149,0.23,0.14,0.057,0.124
"P24","Nunca lo votaría",0.617,0.584,0.677,0.818,0.53
"P24","No sabe",0.143,0.127,0.101,0.105,0.308
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.282,0.352,0.072,0.105,0.193
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.149,0.186,0.094,0.055,0.155
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.062,0.022,0.065,0.055,0.072
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.115,0.091,0.582,0.63,0.2
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.278,0.174,0.047,0.035,0.161
"P25","Otros candidatos",0.114,0.175,0.14,0.12,0.219
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.164,0.089,0.584,0.595,0.244
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.32,0.477,0.133,0.113,0.273
"P29","Javier Milei – José Luis Espert por los liberales",0.248,0.184,0.077,0.072,0.186
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.071,0.042,0.059,0.129,0.043
"P29","Otro candidato",0.197,0.208,0.147,0.091,0.254
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.311,0.413,0.148,0.129,0.273
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.148,0.079,0.444,0.346,0.203
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.329,0.23,0.045,0.054,0.169
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.019,0.007,0.087,0.171,0.028
"P31","Otro candidato",0.193,0.271,0.276,0.3,0.327
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.104,0.11,0.491,0.497,0.195
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.395,0.505,0.16,0.115,0.341
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.311,0.196,0.048,0.04,0.143
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.009,0.009,0.051,0.133,0.033
"P33","Otro candidato",0.181,0.18,0.25,0.215,0.288
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.173,0.145,0.668,0.7,0.294
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.579,0.627,0.194,0.127,0.365
"P35","No sabe",0.248,0.228,0.138,0.173,0.341
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.176,0.105,0.573,0.583,0.218
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.495,0.608,0.207,0.127,0.384
"P36","No sabe",0.329,0.287,0.22,0.29,0.398
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.125,0.102,0.571,0.606,0.232
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.583,0.715,0.187,0.142,0.397
"P37","No sabe",0.292,0.183,0.242,0.252,0.371
"P38","Muy buena",0.079,0.022,0.083,0.116,0.048
"P38","Buena",0.155,0.129,0.297,0.272,0.108
"P38","Ni buena ni mala",0.116,0.109,0.261,0.283,0.171
"P38","Mala",0.06,0.116,0.111,0.136,0.137
"P38","Muy mala",0.59,0.624,0.243,0.184,0.508
"P38","No sabe",0,0,0.005,0.009,0.028
"P39","Muy buena",0.052,0.026,0.065,0.076,0.048
"P39","Buena",0.066,0.051,0.268,0.28,0.11
"P39","Ni buena ni mala",0.087,0.065,0.291,0.22,0.207
"P39","Mala",0.095,0.112,0.114,0.21,0.103
"P39","Muy mala",0.7,0.746,0.259,0.211,0.507
"P39","No sabe",0,0,0.003,0.003,0.025
"P40","Muy buena",0.08,0.068,0.496,0.524,0.166
"P40","Buena",0.051,0.03,0.109,0.137,0.089
"P40","Ni buena ni mala",0.081,0.048,0.074,0.069,0.065
"P40","Mala",0.054,0.048,0.031,0.029,0.064
"P40","Muy mala",0.733,0.804,0.281,0.233,0.58
"P40","No sabe",0.001,0.002,0.009,0.008,0.036
"P41","Muy buena",0.176,0.235,0.081,0.091,0.112
"P41","Buena",0.215,0.212,0.045,0.048,0.146
"P41","Ni buena ni mala",0.163,0.185,0.09,0.03,0.217
"P41","Mala",0.152,0.16,0.187,0.144,0.181
"P41","Muy mala",0.271,0.207,0.592,0.679,0.318
"P41","No sabe",0.023,0.001,0.005,0.008,0.026
"P42","Muy buena",0.193,0.195,0.051,0.084,0.154
"P42","Buena",0.258,0.317,0.124,0.071,0.231
"P42","Ni buena ni mala",0.16,0.226,0.149,0.133,0.282
"P42","Mala",0.129,0.104,0.191,0.153,0.096
"P42","Muy mala",0.225,0.147,0.476,0.541,0.207
"P42","No sabe",0.035,0.011,0.009,0.018,0.03
"P43","Muy buena",0.052,0.047,0.075,0.07,0.067
"P43","Buena",0.076,0.067,0.244,0.234,0.132
"P43","Ni buena ni mala",0.083,0.09,0.32,0.342,0.226
"P43","Mala",0.169,0.149,0.127,0.119,0.136
"P43","Muy mala",0.582,0.646,0.228,0.221,0.406
"P43","No sabe",0.038,0.001,0.006,0.014,0.033
"P44","Muy buena",0.195,0.129,0.046,0.02,0.07
"P44","Buena",0.175,0.136,0.039,0.034,0.115
"P44","Ni buena ni mala",0.191,0.217,0.1,0.149,0.317
"P44","Mala",0.15,0.219,0.154,0.11,0.152
"P44","Muy mala",0.24,0.297,0.651,0.66,0.29
"P44","No sabe",0.049,0.002,0.01,0.027,0.056
"P45","Muy buena",0.195,0.232,0.064,0.085,0.167
"P45","Buena",0.208,0.275,0.068,0.051,0.203
"P45","Ni buena ni mala",0.167,0.209,0.104,0.138,0.19
"P45","Mala",0.148,0.105,0.138,0.083,0.125
"P45","Muy mala",0.273,0.173,0.619,0.631,0.286
"P45","No sabe",0.009,0.006,0.007,0.012,0.029
"P46","Muy buena",0.066,0.055,0.091,0.093,0.063
"P46","Buena",0.108,0.083,0.342,0.295,0.132
"P46","Ni buena ni mala",0.1,0.114,0.226,0.301,0.218
"P46","Mala",0.12,0.17,0.101,0.059,0.111
"P46","Muy mala",0.584,0.564,0.234,0.23,0.439
"P46","No sabe",0.022,0.014,0.006,0.022,0.037
"P47","Muy buena",0.034,0.059,0.052,0.048,0.026
"P47","Buena",0.144,0.177,0.088,0.056,0.094
"P47","Ni buena ni mala",0.254,0.319,0.182,0.205,0.387
"P47","Mala",0.147,0.133,0.209,0.096,0.107
"P47","Muy mala",0.311,0.257,0.428,0.544,0.208
"P47","No sabe",0.11,0.055,0.041,0.051,0.178
