"var","categoria","Jorge Macri por Juntos por el Cambio","Martín Lousteau  por Juntos por el Cambio","Ricardo López Murphy  por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","Mariano Recalde por el Frente de Todos","Pedro Rosemblat por el Frente de Todos","Ramiro Marra por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P19","Leandro Santoro por el Frente de Todos",0.009,0.092,0.068,0.927,0.808,0.726,0.036,0.052,0.03,0.152
"P19","Ramiro Marra por la Libertad Avanza",0.023,0.088,0.186,0.005,0.037,0.053,0.847,0.014,0.031,0.055
"P19","Al candidato del Frente de Izquierda",0.002,0.049,0.013,0.015,0.035,0.081,0.006,0.719,0.03,0.008
"P19","En blanco",0.007,0.096,0.071,0.009,0.022,0.06,0.024,0.107,0.75,0.03
"P19","No sabe",0.017,0.212,0.115,0.019,0.044,0.049,0.013,0.057,0.099,0.647
"P22","Martín Lousteau  por Juntos por el Cambio",0.405,0.799,0.314,0.077,0.09,0.081,0.047,0.051,0.117,0.146
"P22","Leandro Santoro por el Frente de Todos",0.079,0.063,0.092,0.838,0.745,0.663,0.083,0.088,0.033,0.136
"P22","Ramiro Marra por la Libertad Avanza",0.139,0.045,0.289,0.056,0.07,0.103,0.803,0.041,0.053,0.054
"P22","Al candidato del Frente de Izquierda",0.004,0.025,0.004,0.007,0.043,0.062,0.017,0.699,0.015,0.025
"P22","En blanco",0.121,0.023,0.146,0.008,0.016,0.061,0.029,0.047,0.685,0.084
"P22","No sabe",0.252,0.045,0.155,0.014,0.036,0.03,0.021,0.074,0.097,0.555
"P25","Ricardo López Murphy  por Juntos por el Cambio",0.617,0.427,0.831,0.04,0.058,0.085,0.098,0.042,0.037,0.133
"P25","Leandro Santoro por el Frente de Todos",0.042,0.138,0.027,0.898,0.77,0.671,0.06,0.061,0.028,0.107
"P25","Ramiro Marra por la Libertad Avanza",0.085,0.071,0.09,0.02,0.08,0.027,0.777,0,0.094,0.067
"P25","Al candidato del Frente de Izquierda",0.006,0.039,0.003,0.009,0.047,0.079,0.01,0.784,0.022,0.009
"P25","En blanco",0.073,0.124,0.026,0.017,0.016,0.097,0.022,0.06,0.701,0.135
"P25","No sabe",0.177,0.201,0.023,0.016,0.029,0.041,0.033,0.053,0.118,0.549
"P26","Jorge Macri por Juntos por el Cambio",0.97,0.511,0.723,0.018,0.034,0.049,0.332,0.06,0.132,0.132
"P26","Leandro Santoro por el Frente de Todos",0.016,0.184,0.034,0.951,0.869,0.855,0.057,0.479,0.049,0.19
"P26","En blanco",0.004,0.151,0.122,0.011,0.025,0.019,0.394,0.389,0.596,0.13
"P26","No sabe",0.01,0.154,0.121,0.02,0.072,0.077,0.217,0.072,0.223,0.548
"P27","Martín Lousteau por Juntos por el Cambio",0.591,0.861,0.535,0.03,0.097,0.071,0.214,0.083,0.056,0.15
"P27","Leandro Santoro por el Frente de Todos",0.036,0.069,0.028,0.935,0.85,0.829,0.057,0.511,0.057,0.216
"P27","En blanco",0.195,0.024,0.288,0.012,0.022,0.054,0.529,0.338,0.742,0.157
"P27","No sabe",0.178,0.046,0.149,0.023,0.031,0.046,0.2,0.068,0.145,0.477
"P28","Ricardo López Murphy por Juntos por el Cambio",0.765,0.581,0.858,0.029,0.057,0.049,0.369,0.068,0.079,0.179
"P28","Leandro Santoro por el Frente de Todos",0.037,0.124,0.054,0.943,0.884,0.841,0.078,0.462,0.058,0.169
"P28","En blanco",0.085,0.114,0.052,0.006,0.017,0.06,0.387,0.438,0.722,0.103
"P28","No sabe",0.113,0.181,0.036,0.022,0.042,0.05,0.166,0.032,0.141,0.549
"P29","Lo votaría",0.897,0.287,0.361,0.022,0.02,0.057,0.134,0.069,0.035,0.035
"P29","Puede que lo vote",0.059,0.293,0.402,0.122,0.198,0.095,0.275,0.175,0.027,0.175
"P29","Nunca lo votaría",0.026,0.307,0.19,0.833,0.753,0.838,0.502,0.71,0.625,0.486
"P29","No sabe",0.018,0.113,0.047,0.023,0.029,0.01,0.089,0.046,0.313,0.304
"P30","Lo votaría",0.248,0.745,0.191,0.043,0.084,0.056,0.085,0.048,0.064,0.129
"P30","Puede que lo vote",0.311,0.16,0.321,0.167,0.207,0.216,0.154,0.198,0.049,0.303
"P30","Nunca lo votaría",0.328,0.055,0.451,0.726,0.653,0.688,0.683,0.713,0.547,0.247
"P30","No sabe",0.113,0.04,0.037,0.064,0.056,0.04,0.078,0.041,0.34,0.321
"P31","Lo votaría",0.403,0.297,0.826,0.014,0.029,0.049,0.233,0.064,0.034,0.121
"P31","Puede que lo vote",0.346,0.327,0.067,0.044,0.055,0.04,0.24,0.091,0.057,0.215
"P31","Nunca lo votaría",0.174,0.256,0.089,0.92,0.911,0.882,0.459,0.82,0.568,0.322
"P31","No sabe",0.077,0.12,0.018,0.022,0.005,0.029,0.068,0.025,0.341,0.342
"P32","Lo votaría",0.046,0.08,0.106,0.866,0.74,0.665,0.049,0.126,0.068,0.094
"P32","Puede que lo vote",0.055,0.162,0.03,0.038,0.119,0.19,0.086,0.451,0.107,0.258
"P32","Nunca lo votaría",0.84,0.679,0.828,0.094,0.121,0.11,0.786,0.333,0.528,0.349
"P32","No sabe",0.059,0.079,0.036,0.002,0.02,0.035,0.079,0.09,0.297,0.299
"P33","Lo votaría",0.008,0.043,0.041,0.492,0.781,0.561,0.032,0.098,0.033,0.08
"P33","Puede que lo vote",0.025,0.104,0.01,0.343,0.14,0.289,0.078,0.291,0.112,0.215
"P33","Nunca lo votaría",0.911,0.787,0.892,0.135,0.041,0.121,0.807,0.476,0.494,0.345
"P33","No sabe",0.056,0.066,0.057,0.03,0.038,0.029,0.083,0.135,0.361,0.36
"P34","Lo votaría",0.015,0.016,0.042,0.246,0.356,0.806,0.044,0.094,0.026,0.051
"P34","Puede que lo vote",0.019,0.072,0.008,0.253,0.25,0.098,0.042,0.25,0.124,0.118
"P34","Nunca lo votaría",0.799,0.714,0.811,0.374,0.293,0.071,0.741,0.552,0.476,0.294
"P34","No sabe",0.167,0.198,0.139,0.127,0.101,0.025,0.173,0.104,0.374,0.537
"P35","Lo votaría",0.052,0.024,0.088,0.033,0.062,0.083,0.74,0.022,0.066,0.063
"P35","Puede que lo vote",0.171,0.129,0.246,0.055,0.081,0.052,0.055,0.045,0.074,0.103
"P35","Nunca lo votaría",0.666,0.727,0.571,0.835,0.815,0.832,0.146,0.821,0.518,0.345
"P35","No sabe",0.111,0.12,0.095,0.077,0.042,0.033,0.059,0.112,0.342,0.489
"P36","Si",0.623,0.623,0.618,0.624,0.569,0.546,0.59,0.776,0.593,0.464
"P36","No",0.377,0.377,0.382,0.376,0.431,0.454,0.41,0.224,0.407,0.536
