"var","categoria","Ricardo López Murphy  por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","Ramiro Marra por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P16","Ramiro Marra por la Libertad Avanza",0.052,0.032,0.633,0.075,0.051,0.033
"P16","Al candidato del Frente de Izquierda",0.008,0.013,0.005,0.539,0.049,0.01
"P16","En blanco",0.018,0.012,0.011,0.025,0.182,0.066
"P16","No sabe",0.006,0.009,0.017,0.028,0.109,0.241
"P19","Jorge Macri por Juntos por el Cambio",0.753,0.049,0.199,0.07,0.359,0.457
"P19","Leandro Santoro por el Frente de Todos",0.045,0.88,0.062,0.054,0.083,0.039
"P19","Ramiro Marra por la Libertad Avanza",0.091,0.027,0.71,0.068,0.024,0.031
"P19","Al candidato del Frente de Izquierda",0.009,0.012,0.006,0.725,0.037,0.009
"P19","En blanco",0.035,0.009,0.008,0.028,0.409,0.038
"P19","No sabe",0.067,0.023,0.015,0.055,0.088,0.426
"P22","Martín Lousteau  por Juntos por el Cambio",0.489,0.118,0.134,0.128,0.309,0.315
"P22","Leandro Santoro por el Frente de Todos",0.094,0.775,0.113,0.085,0.095,0.049
"P22","Ramiro Marra por la Libertad Avanza",0.168,0.078,0.731,0.028,0.025,0.063
"P22","Al candidato del Frente de Izquierda",0.004,0.011,0.006,0.697,0.018,0.007
"P22","En blanco",0.101,0.007,0.009,0.015,0.484,0.03
"P22","No sabe",0.144,0.011,0.007,0.047,0.069,0.536
"P26","Jorge Macri por Juntos por el Cambio",0.819,0.054,0.446,0.077,0.375,0.525
"P26","Leandro Santoro por el Frente de Todos",0.06,0.903,0.087,0.477,0.123,0.083
"P26","En blanco",0.063,0.031,0.26,0.309,0.335,0.058
"P26","No sabe",0.058,0.012,0.207,0.137,0.167,0.334
"P27","Martín Lousteau por Juntos por el Cambio",0.655,0.103,0.298,0.186,0.314,0.418
"P27","Leandro Santoro por el Frente de Todos",0.059,0.866,0.106,0.424,0.109,0.057
"P27","En blanco",0.18,0.025,0.412,0.219,0.464,0.09
"P27","No sabe",0.106,0.006,0.184,0.171,0.113,0.435
"P28","Ricardo López Murphy por Juntos por el Cambio",0.866,0.057,0.435,0.079,0.201,0.327
"P28","Leandro Santoro por el Frente de Todos",0.059,0.909,0.1,0.47,0.118,0.057
"P28","En blanco",0.035,0.014,0.313,0.327,0.541,0.071
"P28","No sabe",0.04,0.02,0.152,0.124,0.14,0.545
"P29","Lo votaría",0.604,0.052,0.257,0.06,0.319,0.424
"P29","Puede que lo vote",0.23,0.137,0.257,0.16,0.098,0.131
"P29","Nunca lo votaría",0.126,0.792,0.399,0.708,0.489,0.257
"P29","No sabe",0.04,0.019,0.087,0.072,0.094,0.188
"P30","Lo votaría",0.321,0.09,0.164,0.197,0.244,0.285
"P30","Puede que lo vote",0.302,0.198,0.162,0.155,0.205,0.207
"P30","Nunca lo votaría",0.309,0.661,0.599,0.557,0.423,0.286
"P30","No sabe",0.068,0.051,0.075,0.091,0.128,0.222
"P31","Lo votaría",0.61,0.034,0.218,0.127,0.113,0.116
"P31","Puede que lo vote",0.251,0.067,0.281,0.051,0.204,0.255
"P31","Nunca lo votaría",0.095,0.875,0.418,0.757,0.572,0.359
"P31","No sabe",0.044,0.024,0.083,0.065,0.111,0.27
"P32","Lo votaría",0.096,0.762,0.084,0.136,0.137,0.045
"P32","Puede que lo vote",0.044,0.104,0.094,0.414,0.128,0.132
"P32","Nunca lo votaría",0.81,0.125,0.767,0.355,0.598,0.617
"P32","No sabe",0.05,0.009,0.055,0.095,0.137,0.206
"P33","Lo votaría",0.042,0.514,0.058,0.126,0.133,0.02
"P33","Puede que lo vote",0.027,0.307,0.081,0.292,0.075,0.091
"P33","Nunca lo votaría",0.878,0.143,0.793,0.446,0.659,0.699
"P33","No sabe",0.053,0.036,0.068,0.136,0.133,0.19
"P34","Lo votaría",0.034,0.333,0.064,0.196,0.122,0.028
"P34","Puede que lo vote",0.022,0.23,0.051,0.226,0.053,0.047
"P34","Nunca lo votaría",0.768,0.32,0.724,0.434,0.67,0.649
"P34","No sabe",0.176,0.117,0.161,0.144,0.155,0.276
"P35","Lo votaría",0.062,0.047,0.584,0.037,0.024,0.028
"P35","Puede que lo vote",0.2,0.058,0.139,0.051,0.074,0.061
"P35","Nunca lo votaría",0.639,0.827,0.198,0.8,0.803,0.62
"P35","No sabe",0.099,0.068,0.079,0.112,0.099,0.291
"P36","Si",0.615,0.619,0.564,0.708,0.613,0.581
"P36","No",0.385,0.381,0.436,0.292,0.387,0.419
