"var","categoria","Estoy de acuerdo","Debería realizarse solo en caso de violación o riesgo de vida de la madre","No estoy de acuerdo","No sabe"
"P20","Puede que la vote",0.132,0.211,0.18,0.196
"P20","Nunca la votaría",0.677,0.368,0.381,0.406
"P20","No sabe",0.049,0.115,0.125,0.155
"P21","Lo votaría",0.104,0.198,0.193,0.198
"P21","Puede que lo vote",0.115,0.202,0.164,0.076
"P21","Nunca lo votaría",0.724,0.482,0.499,0.523
"P21","No sabe",0.057,0.118,0.144,0.203
"P22","La votaría",0.122,0.164,0.168,0.107
"P22","Puede que la vote",0.153,0.25,0.192,0.23
"P22","Nunca la votaría",0.648,0.463,0.468,0.454
"P22","No sabe",0.077,0.123,0.172,0.209
"P23","Lo votaría",0.136,0.072,0.082,0.087
"P23","Puede que lo vote",0.273,0.117,0.08,0.088
"P23","Nunca lo votaría",0.492,0.709,0.708,0.587
"P23","No sabe",0.099,0.102,0.13,0.238
"P24","Lo votaría",0.052,0.059,0.08,0.071
"P24","Puede que lo vote",0.131,0.169,0.164,0.11
"P24","Nunca lo votaría",0.669,0.562,0.55,0.501
"P24","No sabe",0.148,0.21,0.206,0.318
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.113,0.268,0.316,0.251
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.119,0.15,0.106,0.116
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.053,0.05,0.059,0.078
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.459,0.141,0.126,0.169
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.094,0.21,0.197,0.188
"P25","Otros candidatos",0.162,0.181,0.196,0.198
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.457,0.189,0.168,0.221
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.173,0.345,0.343,0.256
"P29","Javier Milei – José Luis Espert por los liberales",0.117,0.23,0.208,0.142
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.087,0.03,0.033,0.139
"P29","Otro candidato",0.166,0.206,0.248,0.242
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.211,0.307,0.274,0.235
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.317,0.148,0.149,0.142
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.113,0.265,0.274,0.21
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.082,0.018,0.015,0.056
"P31","Otro candidato",0.277,0.262,0.288,0.357
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.386,0.135,0.155,0.217
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.216,0.384,0.362,0.269
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.098,0.24,0.232,0.164
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.065,0.012,0.005,0.052
"P33","Otro candidato",0.235,0.229,0.246,0.298
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.519,0.195,0.208,0.283
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.27,0.521,0.502,0.425
"P35","No sabe",0.211,0.284,0.29,0.292
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.454,0.148,0.151,0.234
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.267,0.466,0.447,0.382
"P36","No sabe",0.279,0.386,0.402,0.384
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.47,0.138,0.143,0.217
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.271,0.534,0.532,0.403
"P37","No sabe",0.259,0.328,0.325,0.38
"P38","Muy buena",0.101,0.028,0.046,0.053
"P38","Buena",0.249,0.11,0.137,0.096
"P38","Ni buena ni mala",0.222,0.145,0.16,0.267
"P38","Mala",0.12,0.115,0.125,0.157
"P38","Muy mala",0.306,0.591,0.506,0.405
"P38","No sabe",0.002,0.011,0.026,0.022
"P39","Muy buena",0.052,0.039,0.048,0.072
"P39","Buena",0.201,0.072,0.098,0.081
"P39","Ni buena ni mala",0.237,0.129,0.141,0.159
"P39","Mala",0.146,0.108,0.106,0.155
"P39","Muy mala",0.361,0.64,0.594,0.485
"P39","No sabe",0.003,0.012,0.013,0.048
"P40","Muy buena",0.372,0.108,0.1,0.159
"P40","Buena",0.096,0.061,0.078,0.05
"P40","Ni buena ni mala",0.07,0.066,0.058,0.103
"P40","Mala",0.064,0.062,0.098,0.103
"P40","Muy mala",0.392,0.694,0.658,0.518
"P40","No sabe",0.006,0.009,0.008,0.067
"P41","Muy buena",0.098,0.17,0.221,0.146
"P41","Buena",0.079,0.203,0.222,0.152
"P41","Ni buena ni mala",0.122,0.214,0.165,0.204
"P41","Mala",0.172,0.17,0.131,0.196
"P41","Muy mala",0.519,0.23,0.248,0.267
"P41","No sabe",0.01,0.013,0.013,0.035
"P42","Muy buena",0.085,0.173,0.183,0.164
"P42","Buena",0.138,0.26,0.25,0.18
"P42","Ni buena ni mala",0.156,0.254,0.259,0.226
"P42","Mala",0.169,0.119,0.113,0.158
"P42","Muy mala",0.436,0.165,0.174,0.174
"P42","No sabe",0.016,0.029,0.021,0.098
"P43","Muy buena",0.073,0.055,0.041,0.075
"P43","Buena",0.197,0.095,0.119,0.109
"P43","Ni buena ni mala",0.281,0.17,0.183,0.187
"P43","Mala",0.145,0.136,0.151,0.171
"P43","Muy mala",0.294,0.512,0.49,0.371
"P43","No sabe",0.01,0.032,0.016,0.087
"P44","Muy buena",0.056,0.136,0.144,0.052
"P44","Buena",0.095,0.155,0.123,0.139
"P44","Ni buena ni mala",0.138,0.293,0.241,0.219
"P44","Mala",0.138,0.15,0.2,0.202
"P44","Muy mala",0.55,0.228,0.24,0.328
"P44","No sabe",0.023,0.038,0.052,0.06
"P45","Muy buena",0.088,0.208,0.233,0.139
"P45","Buena",0.125,0.229,0.211,0.23
"P45","Ni buena ni mala",0.123,0.234,0.239,0.216
"P45","Mala",0.123,0.101,0.107,0.195
"P45","Muy mala",0.531,0.203,0.176,0.188
"P45","No sabe",0.01,0.025,0.034,0.032
"P46","Muy buena",0.08,0.062,0.065,0.097
"P46","Buena",0.244,0.107,0.122,0.099
"P46","Ni buena ni mala",0.23,0.161,0.179,0.225
"P46","Mala",0.121,0.134,0.15,0.161
"P46","Muy mala",0.313,0.506,0.465,0.344
"P46","No sabe",0.012,0.03,0.019,0.074
"P47","Muy buena",0.042,0.049,0.048,0.059
"P47","Buena",0.079,0.13,0.117,0.103
"P47","Ni buena ni mala",0.245,0.335,0.344,0.337
"P47","Mala",0.159,0.135,0.146,0.175
"P47","Muy mala",0.413,0.23,0.227,0.189
"P47","No sabe",0.062,0.121,0.118,0.137
