"var","categoria","Derecha","Centro derecha","Centro izquierda","Izquierda","No sabe"
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.345,0.249,0.055,0.08,0.204
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.019,0.006,0.086,0.168,0.024
"P31","Otro candidato",0.21,0.261,0.293,0.3,0.317
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.143,0.097,0.498,0.399,0.189
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.343,0.55,0.134,0.136,0.312
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.32,0.182,0.049,0.083,0.181
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.015,0.004,0.052,0.138,0.024
"P33","Otro candidato",0.179,0.167,0.267,0.244,0.294
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.177,0.133,0.642,0.599,0.275
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.576,0.637,0.195,0.223,0.37
"P35","No sabe",0.247,0.23,0.163,0.178,0.355
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.168,0.1,0.568,0.482,0.205
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.486,0.6,0.203,0.222,0.342
"P36","No sabe",0.346,0.3,0.229,0.296,0.453
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.137,0.096,0.604,0.508,0.197
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.564,0.722,0.169,0.209,0.382
"P37","No sabe",0.299,0.182,0.227,0.283,0.421
"P38","Muy buena",0.076,0.016,0.093,0.103,0.043
"P38","Buena",0.168,0.094,0.291,0.258,0.106
"P38","Ni buena ni mala",0.129,0.099,0.272,0.248,0.2
"P38","Mala",0.083,0.116,0.111,0.139,0.153
"P38","Muy mala",0.542,0.674,0.226,0.247,0.474
"P38","No sabe",0.002,0.001,0.007,0.005,0.024
"P39","Muy buena",0.049,0.017,0.064,0.059,0.049
"P39","Buena",0.074,0.048,0.253,0.234,0.099
"P39","Ni buena ni mala",0.067,0.08,0.3,0.214,0.214
"P39","Mala",0.118,0.102,0.116,0.187,0.132
"P39","Muy mala",0.69,0.751,0.259,0.303,0.48
"P39","No sabe",0.002,0.002,0.008,0.003,0.026
"P40","Muy buena",0.09,0.059,0.464,0.427,0.169
"P40","Buena",0.049,0.036,0.122,0.11,0.08
"P40","Ni buena ni mala",0.049,0.044,0.078,0.078,0.088
"P40","Mala",0.081,0.058,0.052,0.069,0.083
"P40","Muy mala",0.729,0.802,0.274,0.311,0.555
"P40","No sabe",0.002,0.001,0.01,0.005,0.025
"P41","Muy buena",0.199,0.229,0.066,0.159,0.118
"P41","Buena",0.214,0.255,0.057,0.044,0.149
"P41","Ni buena ni mala",0.153,0.208,0.114,0.075,0.222
"P41","Mala",0.164,0.149,0.161,0.112,0.197
"P41","Muy mala",0.251,0.158,0.595,0.601,0.294
"P41","No sabe",0.019,0.001,0.007,0.009,0.02
"P42","Muy buena",0.197,0.174,0.048,0.125,0.14
"P42","Buena",0.235,0.332,0.116,0.093,0.204
"P42","Ni buena ni mala",0.179,0.254,0.144,0.123,0.288
"P42","Mala",0.136,0.106,0.195,0.157,0.123
"P42","Muy mala",0.229,0.13,0.488,0.482,0.19
"P42","No sabe",0.024,0.004,0.009,0.02,0.055
"P43","Muy buena",0.071,0.041,0.065,0.074,0.059
"P43","Buena",0.095,0.06,0.244,0.233,0.12
"P43","Ni buena ni mala",0.13,0.113,0.317,0.284,0.251
"P43","Mala",0.151,0.158,0.14,0.118,0.143
"P43","Muy mala",0.53,0.626,0.227,0.269,0.378
"P43","No sabe",0.023,0.002,0.007,0.022,0.049
"P44","Muy buena",0.2,0.109,0.025,0.048,0.086
"P44","Buena",0.168,0.179,0.057,0.083,0.122
"P44","Ni buena ni mala",0.22,0.231,0.117,0.133,0.299
"P44","Mala",0.139,0.21,0.146,0.107,0.161
"P44","Muy mala",0.244,0.259,0.645,0.608,0.258
"P44","No sabe",0.029,0.012,0.01,0.021,0.074
"P45","Muy buena",0.226,0.222,0.047,0.109,0.165
"P45","Buena",0.217,0.3,0.1,0.051,0.194
"P45","Ni buena ni mala",0.184,0.206,0.113,0.165,0.239
"P45","Mala",0.127,0.096,0.127,0.095,0.12
"P45","Muy mala",0.235,0.168,0.603,0.557,0.24
"P45","No sabe",0.011,0.008,0.01,0.023,0.042
"P46","Muy buena",0.075,0.047,0.09,0.111,0.059
"P46","Buena",0.126,0.06,0.318,0.24,0.123
"P46","Ni buena ni mala",0.123,0.114,0.256,0.247,0.236
"P46","Mala",0.138,0.174,0.105,0.096,0.137
"P46","Muy mala",0.524,0.589,0.226,0.281,0.398
"P46","No sabe",0.014,0.016,0.005,0.025,0.047
"P47","Muy buena",0.062,0.044,0.04,0.05,0.041
"P47","Buena",0.109,0.202,0.08,0.05,0.087
"P47","Ni buena ni mala",0.301,0.306,0.214,0.22,0.374
"P47","Mala",0.165,0.149,0.184,0.134,0.119
"P47","Muy mala",0.274,0.232,0.438,0.499,0.21
"P47","No sabe",0.089,0.067,0.044,0.047,0.169
