"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P37","En blanco",0.037,0.207,0.306,0.055
"P37","No sabe",0.022,0.154,0.031,0.503
"P38","Lo votaría",0.798,0.061,0.098,0.075
"P38","Puede que lo vote",0.108,0.132,0.102,0.082
"P38","Nunca lo votaría",0.075,0.777,0.755,0.69
"P38","No sabe",0.019,0.03,0.045,0.153
"P39","Lo votaría",0.495,0.027,0.114,0.056
"P39","Puede que lo vote",0.238,0.045,0.084,0.09
"P39","Nunca lo votaría",0.209,0.9,0.758,0.695
"P39","No sabe",0.058,0.028,0.044,0.159
"P40","Lo votaría",0.123,0.598,0.3,0.338
"P40","Puede que lo vote",0.063,0.194,0.235,0.168
"P40","Nunca lo votaría",0.778,0.191,0.421,0.346
"P40","No sabe",0.036,0.017,0.044,0.148
"P41","Lo votaría",0.079,0.562,0.075,0.092
"P41","Puede que lo vote",0.075,0.328,0.162,0.202
"P41","Nunca lo votaría",0.807,0.086,0.705,0.514
"P41","No sabe",0.039,0.024,0.058,0.192
"P42","Lo votaría",0.057,0.346,0.457,0.342
"P42","Puede que lo vote",0.057,0.3,0.116,0.083
"P42","Nunca lo votaría",0.874,0.324,0.374,0.422
"P42","No sabe",0.012,0.03,0.053,0.153
"P43","Lo votaría",0.092,0.062,0.137,0.051
"P43","Puede que lo vote",0.327,0.079,0.109,0.072
"P43","Nunca lo votaría",0.528,0.823,0.716,0.747
"P43","No sabe",0.053,0.036,0.038,0.13
"P44","Lo votaría",0.053,0.064,0.061,0.053
"P44","Puede que lo vote",0.198,0.18,0.109,0.107
"P44","Nunca lo votaría",0.686,0.705,0.774,0.682
"P44","No sabe",0.063,0.051,0.056,0.158
"P52","Si",0.554,0.516,0.466,0.407
"P52","No",0.446,0.484,0.534,0.593
