"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.122,0.669,0.048,0.05
"P34","En blanco",0.104,0.028,0.768,0.138
"P34","No sabe",0.051,0.015,0.047,0.555
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.216,0.072,0.702,0.464
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.719,0.483,0.049,0.114
"P35","En blanco",0.042,0.316,0.228,0.044
"P35","No sabe",0.023,0.129,0.021,0.378
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.282,0.061,0.723,0.456
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.315,0.884,0.044,0.066
"P37","En blanco",0.232,0.023,0.219,0.052
"P37","No sabe",0.171,0.032,0.014,0.426
"P38","Lo votaría",0.202,0.063,0.658,0.43
"P38","Puede que lo vote",0.127,0.13,0.097,0.081
"P38","Nunca lo votaría",0.634,0.781,0.226,0.353
"P38","No sabe",0.037,0.026,0.019,0.136
"P39","Lo votaría",0.116,0.032,0.446,0.262
"P39","Puede que lo vote",0.065,0.078,0.224,0.136
"P39","Nunca lo votaría",0.791,0.849,0.276,0.454
"P39","No sabe",0.028,0.041,0.054,0.148
"P40","Lo votaría",0.584,0.396,0.137,0.22
"P40","Puede que lo vote",0.139,0.296,0.069,0.068
"P40","Nunca lo votaría",0.248,0.285,0.756,0.599
"P40","No sabe",0.029,0.023,0.038,0.113
"P41","Lo votaría",0.643,0.152,0.044,0.079
"P41","Puede que lo vote",0.21,0.358,0.063,0.153
"P41","Nunca lo votaría",0.128,0.432,0.853,0.626
"P41","No sabe",0.019,0.058,0.04,0.142
"P42","Lo votaría",0.178,0.694,0.031,0.058
"P42","Puede que lo vote",0.271,0.198,0.05,0.085
"P42","Nunca lo votaría",0.511,0.09,0.894,0.736
"P42","No sabe",0.04,0.018,0.025,0.121
"P43","Lo votaría",0.057,0.101,0.107,0.067
"P43","Puede que lo vote",0.132,0.081,0.29,0.169
"P43","Nunca lo votaría",0.777,0.781,0.55,0.639
"P43","No sabe",0.034,0.037,0.053,0.125
"P44","Lo votaría",0.066,0.066,0.043,0.057
"P44","Puede que lo vote",0.212,0.141,0.145,0.157
"P44","Nunca lo votaría",0.655,0.748,0.755,0.655
"P44","No sabe",0.067,0.045,0.057,0.131
"P52","Si",0.517,0.516,0.518,0.458
"P52","No",0.483,0.484,0.482,0.542
