"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P42","No sabe",0.037,0.103,0.005,0
"P43","Lo votaría",0.848,0.072,0.094,0.037
"P43","Puede que lo vote",0.1,0.042,0,0.056
"P43","Nunca lo votaría",0.023,0.817,0.791,0.9
"P43","No sabe",0.029,0.069,0.115,0.007
"P44","Lo votaría",0.048,0.377,0.021,0.006
"P44","Puede que lo vote",0.098,0.322,0.019,0.08
"P44","Nunca lo votaría",0.806,0.166,0.845,0.717
"P44","No sabe",0.048,0.135,0.115,0.197
"P45","Lo votaría",0.075,0.108,0.023,0.008
"P45","Puede que lo vote",0.19,0.2,0.066,0.057
"P45","Nunca lo votaría",0.586,0.439,0.723,0.697
"P45","No sabe",0.149,0.253,0.188,0.238
"P46","Lo votaría",0.043,0.418,0.977,0.683
"P46","Puede que lo vote",0.065,0.197,0,0.097
"P46","Nunca lo votaría",0.876,0.25,0.023,0.046
"P46","No sabe",0.016,0.135,0,0.174
"P47","Lo votaría",0.039,0.133,0.012,0.068
"P47","Puede que lo vote",0.242,0.072,0,0.046
"P47","Nunca lo votaría",0.551,0.611,0.724,0.712
"P47","No sabe",0.168,0.184,0.264,0.174
"P48","Si",0.39,0.277,0.684,0.571
"P48","No",0.61,0.723,0.316,0.429
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.867,0.063,0.017,0.14
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.038,0.371,0.03,0
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.066,0.507,0.927,0.771
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.008,0.004,0,0
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.012,0.014,0.015,0
"PRESIDENTE","En blanco",0.005,0.002,0.011,0.024
"PRESIDENTE","No sabe",0.004,0.039,0,0.065
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.797,0.098,0.034,0.008
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.043,0.432,0.025,0.058
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.086,0.076,0.142,0.206
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.032,0.223,0.305,0.578
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.009,0.003,0.005,0.007
"DIPUTADOS","En blanco",0.012,0.07,0.263,0.017
"DIPUTADOS","No sabe",0.021,0.098,0.226,0.126
"P14_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.832,0.066,0.005,0.172
"P14_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.039,0.374,0.03,0
"P14_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.05,0.028,0.023,0.06
"P14_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.065,0.512,0.927,0.762
"P14_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.008,0.004,0,0
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.006,0.014,0.015,0
"P14_imputada","En blanco",0,0.002,0,0.006
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.87,0.066,0.017,0.205
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.039,0.402,0.03,0
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.066,0.512,0.927,0.771
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.008,0.004,0,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.012,0.014,0.015,0
"PRESIDENTE_imputada","En blanco",0.005,0.002,0.011,0.024
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",0.815,0.106,0.034,0.021
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.045,0.479,0.024,0.058
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.086,0.083,0.212,0.206
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.033,0.26,0.459,0.611
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.009,0.002,0.005,0.007
"DIPUTADOS_imputada","En blanco",0.012,0.07,0.266,0.097
