"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.362,0.202,0.334,0.316
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.016,0.041,0.018,0.06
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.014,0.042,0.018,0.034
"PRESIDENTE_imputada","En blanco",0.005,0.006,0.042,0.014
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",0.491,0.49,0.384,0.388
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.166,0.108,0.1,0.172
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.18,0.196,0.213,0.18
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.103,0.121,0.257,0.176
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0.015,0.009,0.005
"DIPUTADOS_imputada","En blanco",0.06,0.07,0.037,0.079
