"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P30","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.107,0,0
"P30","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.019,0,0.414
"P30","No sabe",0.035,0.036,0
"P31","No estaba enterado del tema",0.117,0.138,0.177
"P31","Un tema de la vida privada de él",0.145,0,0.338
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.354,0.413,0
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.125,0.18,0
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.237,0.248,0.417
"P31","No sabe",0.022,0.021,0.068
"P32","Si",0.786,0.416,0.856
"P32","No",0.214,0.584,0.144
"P33","Sergio Massa",0.522,0.528,0.267
"P33","Patria Bullrich",0.092,0.195,0.33
"P33","Javier Milei",0.281,0.235,0.403
"P33","Myriam Bregman",0.058,0.019,0
"P33","Juan Schiaretti",0.047,0.023,0
"P34","Ha aumentado significativamente",0.159,0.345,0.205
"P34","Ha aumentado ligeramente",0.233,0.04,0
"P34","Se mantiene igual",0.301,0.241,0.401
"P34","Ha disminuido ligeramente",0.165,0.139,0
"P34","Ha disminuido significativamente",0.142,0.235,0.394
"P35","No, ninguna dificultad",0.417,0.264,0.669
"P35","Alguna dificultad ocasional",0.336,0.322,0
"P35","Sí, dificultades frecuentes",0.247,0.414,0.331
"P36","Sí, absolutamente",0.574,0.43,0.668
"P36","Sí, en cierta medida",0.264,0.463,0.332
"P36","No, en absoluto",0.162,0.107,0
"P37","Reducir la inflación",0.384,0.502,0.86
"P37","Implementar reformas fiscales",0.094,0.233,0
"P37","Establecer políticas de control de precios",0.212,0,0.066
"P37","Reducir el gasto público",0.234,0.265,0.074
"P37","Estimular la inversión extranjera",0.054,0,0
"P37","Aumentar los subsidios a los servicios públicos",0.022,0,0
"P38","Muy positiva",0.23,0.35,0.191
"P38","Positiva",0.25,0.141,0.443
"P38","Neutral",0.289,0.226,0
"P38","Algo negativa",0.041,0,0
"P38","Negativa",0.037,0.066,0.366
"P38","No sabe",0.153,0.217,0
"P39","Muy positiva",0.403,0.628,0.453
"P39","Positiva",0.217,0.021,0
"P39","Neutral",0.197,0.211,0
"P39","Algo negativa",0.05,0.043,0.547
"P39","Negativa",0.104,0.029,0
"P39","No sabe",0.029,0.068,0
"P40","Muy positiva",0.291,0.274,0.451
"P40","Positiva",0.233,0.043,0
"P40","Neutral",0.147,0.374,0
"P40","Algo negativa",0.112,0.081,0.098
"P40","Negativa",0.148,0.061,0.451
"P40","No sabe",0.069,0.167,0
"P41","Muy positiva",0.506,0.347,0.45
"P41","Positiva",0.229,0.196,0.451
"P41","Neutral",0.097,0.167,0
"P41","Algo negativa",0.069,0.017,0.099
"P41","Negativa",0.072,0.105,0
"P41","No sabe",0.027,0.168,0
"P42","Muy positiva",0.496,0.365,0.458
"P42","Positiva",0.206,0.088,0.458
"P42","Neutral",0.151,0.209,0
"P42","Algo negativa",0.047,0.041,0
"P42","Negativa",0.07,0.109,0.084
"P42","No sabe",0.03,0.188,0
"P43","Lo votaría",0.552,0.429,0
"P43","Puede que lo vote",0.071,0,0.457
"P43","Nunca lo votaría",0.346,0.383,0.543
"P43","No sabe",0.031,0.188,0
"P44","Lo votaría",0.132,0.188,0
"P44","Puede que lo vote",0.153,0,0.085
"P44","Nunca lo votaría",0.647,0.615,0.915
"P44","No sabe",0.068,0.197,0
"P45","Lo votaría",0.09,0,0
"P45","Puede que lo vote",0.152,0.017,0.457
"P45","Nunca lo votaría",0.56,0.974,0.457
"P45","No sabe",0.198,0.009,0.086
"P46","Lo votaría",0.301,0.15,0.543
"P46","Puede que lo vote",0.104,0.035,0
"P46","Nunca lo votaría",0.548,0.805,0.457
"P46","No sabe",0.047,0.01,0
"P47","Lo votaría",0.064,0,0
"P47","Puede que lo vote",0.219,0.017,0
"P47","Nunca lo votaría",0.555,0.797,1
"P47","No sabe",0.162,0.186,0
"P48","Si",0.43,0.374,0.454
"P48","No",0.57,0.626,0.546
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.372,0.32,0.27
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.214,0.265,0.192
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.284,0.173,0.254
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.034,0.009,0.009
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.023,0.015,0.025
"PRESIDENTE","En blanco",0.016,0.03,0
"PRESIDENTE","No sabe",0.057,0.188,0.25
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.44,0.351,0.326
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.112,0.215,0.072
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.188,0.179,0.198
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.147,0.04,0
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.009,0,0
"DIPUTADOS","En blanco",0.052,0.074,0
"DIPUTADOS","No sabe",0.052,0.141,0.404
"P14_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.363,0.361,0.27
"P14_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.214,0.277,0.113
"P14_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.086,0.044,0.117
"P14_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.281,0.294,0.491
"P14_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.033,0.009,0.009
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.017,0.004,0
"P14_imputada","En blanco",0.006,0.011,0
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.404,0.362,0.269
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.225,0.277,0.207
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.291,0.307,0.49
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.035,0.009,0.009
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.028,0.015,0.025
"PRESIDENTE_imputada","En blanco",0.017,0.03,0
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",0.445,0.454,0.327
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.122,0.253,0.072
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.195,0.179,0.196
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.17,0.04,0.405
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.009,0,0
"DIPUTADOS_imputada","En blanco",0.059,0.074,0
