"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P18","Bastante seguro",0.133,0.168,0.076,0.125,0.295,0.198
"P18","Algo seguro",0.069,0.034,0.101,0,0,0.027
"P18","Para nada seguro",0.083,0.083,0.019,0.066,0.193,0.25
"P22","Sí",0.74,0.505,0.193,0.431,0.548,0.482
"P22","No",0.26,0.495,0.807,0.569,0.452,0.518
"P23","Martín Soria a Diputado Nacional por Unión por la Patria",0.069,0.04,0.178,0.347,0,0
"P23","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.238,0.13,0.465,0.077,0.05,0.117
"P23","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.131,0.168,0.083,0.527,0,0.106
"P23","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.347,0.269,0.015,0.049,0.216,0.682
"P23","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0.009,0.015,0,0.121,0
"P23","En blanco",0.117,0.194,0.061,0,0,0
"P23","No sabe",0.098,0.19,0.183,0,0.613,0.095
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.28,0.471,0.899,0.617,0.445,0.428
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.308,0.323,0.095,0.241,0.142,0.305
"P27","En blanco",0.291,0.137,0,0.03,0.413,0.174
"P27","No sabe",0.121,0.069,0.006,0.112,0,0.093
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.274,0.221,0.247,0.176,0.109,0.362
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.542,0.425,0.059,0.303,0.533,0.21
"P28","En blanco",0.08,0.281,0.431,0.303,0.236,0.34
"P28","No sabe",0.104,0.073,0.263,0.218,0.122,0.088
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.276,0.396,0.846,0.638,0.47,0.435
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.643,0.576,0.045,0.185,0.505,0.468
"P29","En blanco",0.053,0.024,0.095,0.012,0.025,0.097
"P29","No sabe",0.028,0.004,0.014,0.165,0,0
"P31","No estaba enterado del tema",0.277,0.043,0.057,0.099,0.142,0.077
"P31","Un tema de la vida privada de él",0.071,0.251,0.128,0.269,0.081,0.033
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.134,0.298,0.621,0.299,0.283,0.189
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.159,0.143,0.096,0.075,0.037,0.152
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.357,0.265,0.05,0.258,0.433,0.373
"P31","No sabe",0.002,0,0.048,0,0.024,0.176
"P32","Si",0.824,0.844,0.78,0.507,0.833,0.874
"P32","No",0.176,0.156,0.22,0.493,0.167,0.126
"P33","Sergio Massa",0.287,0.374,0.808,0.477,0.181,0.396
"P33","Patria Bullrich",0.113,0.154,0.072,0.059,0.041,0.361
"P33","Javier Milei",0.52,0.404,0.006,0.171,0.484,0.213
"P33","Myriam Bregman",0.031,0.028,0.084,0.257,0.14,0
"P33","Juan Schiaretti",0.049,0.04,0.03,0.036,0.154,0.03
"P34","Ha aumentado significativamente",0.14,0.055,0.226,0.031,0.037,0.23
"P34","Ha aumentado ligeramente",0.146,0.22,0.257,0.29,0.171,0.016
"P34","Se mantiene igual",0.284,0.537,0.268,0.26,0.19,0.214
"P34","Ha disminuido ligeramente",0.155,0.093,0.175,0.196,0.099,0.491
"P34","Ha disminuido significativamente",0.275,0.095,0.074,0.223,0.503,0.049
"P35","No, ninguna dificultad",0.33,0.458,0.538,0.204,0.232,0.26
"P35","Alguna dificultad ocasional",0.379,0.308,0.251,0.363,0.15,0.662
"P35","Sí, dificultades frecuentes",0.291,0.234,0.211,0.433,0.618,0.078
"P36","Sí, absolutamente",0.557,0.545,0.543,0.806,0.248,0.277
"P36","Sí, en cierta medida",0.205,0.218,0.405,0.194,0.647,0.377
"P36","No, en absoluto",0.238,0.237,0.052,0,0.105,0.346
"P37","Reducir la inflación",0.344,0.304,0.428,0.566,0.694,0.121
"P37","Implementar reformas fiscales",0.132,0.095,0.112,0.006,0.04,0
"P37","Establecer políticas de control de precios",0.118,0.151,0.304,0.215,0.168,0.191
"P37","Reducir el gasto público",0.303,0.308,0.123,0.205,0.024,0.656
"P37","Estimular la inversión extranjera",0.068,0.142,0.023,0.008,0.038,0
"P37","Aumentar los subsidios a los servicios públicos",0.035,0,0.01,0,0.036,0.032
"P38","Muy positiva",0.207,0.286,0.239,0.334,0.228,0.119
"P38","Positiva",0.072,0.221,0.391,0.26,0.198,0.141
"P38","Neutral",0.361,0.303,0.228,0.031,0.094,0.567
"P38","Algo negativa",0.066,0.036,0.006,0,0.043,0.096
"P38","Negativa",0.067,0.025,0.009,0,0.395,0.062
"P38","No sabe",0.227,0.129,0.127,0.375,0.042,0.015
"P39","Muy positiva",0.206,0.539,0.613,0.277,0.247,0.23
"P39","Positiva",0.196,0.172,0.205,0.337,0.072,0.406
"P39","Neutral",0.232,0.149,0.143,0.15,0.25,0.184
"P39","Algo negativa",0.111,0.06,0.006,0,0.39,0.137
"P39","Negativa",0.192,0.039,0.031,0.135,0.041,0.015
"P39","No sabe",0.063,0.041,0.002,0.101,0,0.028
"P40","Muy positiva",0.191,0.366,0.368,0.351,0.268,0.143
"P40","Positiva",0.117,0.183,0.359,0.107,0.191,0.043
"P40","Neutral",0.155,0.265,0.148,0.113,0.138,0.338
"P40","Algo negativa",0.177,0.037,0.02,0.107,0,0.352
"P40","Negativa",0.264,0.105,0.01,0.15,0.403,0.049
"P40","No sabe",0.096,0.044,0.095,0.172,0,0.075
"P41","Muy positiva",0.461,0.434,0.599,0.413,0.433,0.103
"P41","Positiva",0.19,0.283,0.213,0.163,0.449,0.361
"P41","Neutral",0.145,0.089,0.082,0.171,0.074,0.36
"P41","Algo negativa",0.082,0.135,0.022,0.051,0.044,0.012
"P41","Negativa",0.118,0.059,0.01,0.198,0,0.053
"P41","No sabe",0.004,0,0.074,0.004,0,0.111
"P42","Muy positiva",0.294,0.573,0.598,0.453,0.313,0.139
"P42","Positiva",0.212,0.166,0.2,0.241,0.495,0.25
"P42","Neutral",0.313,0.06,0.09,0.013,0.159,0.56
"P42","Algo negativa",0.038,0.026,0.034,0.162,0.033,0
"P42","Negativa",0.094,0.075,0.034,0.127,0,0.051
"P42","No sabe",0.049,0.1,0.044,0.004,0,0
"P43","Lo votaría",0.184,0.4,0.822,0.701,0.253,0.353
"P43","Puede que lo vote",0.077,0.202,0.037,0.081,0.012,0
"P43","Nunca lo votaría",0.648,0.393,0.102,0.208,0.712,0.647
"P43","No sabe",0.091,0.005,0.039,0.01,0.023,0
"P44","Lo votaría",0.126,0.161,0.081,0.256,0,0.062
"P44","Puede que lo vote",0.191,0.249,0.063,0.073,0,0.375
"P44","Nunca lo votaría",0.571,0.529,0.794,0.53,0.857,0.528
"P44","No sabe",0.112,0.061,0.062,0.141,0.143,0.035
"P45","Lo votaría",0.03,0.052,0.085,0.227,0.014,0.024
"P45","Puede que lo vote",0.129,0.358,0.128,0.116,0.064,0.553
"P45","Nunca lo votaría",0.585,0.495,0.657,0.358,0.766,0.279
"P45","No sabe",0.256,0.095,0.13,0.299,0.156,0.144
"P46","Lo votaría",0.625,0.231,0.017,0.257,0.589,0.253
"P46","Puede que lo vote",0.096,0.1,0.095,0.067,0.118,0
"P46","Nunca lo votaría",0.229,0.653,0.884,0.495,0.293,0.354
"P46","No sabe",0.05,0.016,0.004,0.181,0,0.393
"P47","Lo votaría",0.087,0.058,0.022,0.165,0.024,0
"P47","Puede que lo vote",0.111,0.107,0.219,0.168,0.211,0.035
"P47","Nunca lo votaría",0.626,0.803,0.585,0.346,0.62,0.491
"P47","No sabe",0.176,0.032,0.174,0.321,0.145,0.474
"P48","Si",0.447,0.368,0.379,0.368,0.615,0.595
"P48","No",0.553,0.632,0.621,0.632,0.385,0.405
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.295,0.383,0.824,0.6,0.298,0.503
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.117,0.092,0.094,0.223,0,0.01
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.562,0.483,0.056,0.158,0.513,0.21
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0,0,0.004,0.004,0.13,0
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.004,0.017,0.015,0,0.037,0.056
"PRESIDENTE","En blanco",0.005,0.021,0.007,0,0,0
"PRESIDENTE","No sabe",0.017,0.004,0,0.015,0.022,0.221
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.254,0.353,0.736,0.63,0.236,0.399
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.178,0.098,0.123,0.085,0.023,0.038
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.094,0.103,0.07,0.253,0.037,0.151
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.29,0.183,0.012,0.017,0.117,0.394
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0.004,0.005,0,0.168,0
"DIPUTADOS","En blanco",0.109,0.13,0.018,0,0,0
"DIPUTADOS","No sabe",0.075,0.129,0.036,0.015,0.419,0.018
"P14_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.302,0.342,0.778,0.616,0.32,0.399
"P14_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.113,0.096,0.094,0.164,0,0.231
"P14_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.016,0.057,0.062,0.059,0.037,0.122
"P14_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.565,0.483,0.054,0.158,0.513,0.192
"P14_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0,0.004,0.003,0.13,0
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.004,0.017,0.008,0,0,0.056
"P14_imputada","En blanco",0,0.005,0,0,0,0
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.308,0.383,0.824,0.616,0.32,0.503
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.117,0.096,0.094,0.223,0,0.231
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.566,0.483,0.056,0.158,0.513,0.21
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0,0,0.004,0.003,0.13,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.004,0.017,0.015,0,0.037,0.056
"PRESIDENTE_imputada","En blanco",0.005,0.021,0.007,0,0,0
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",0.259,0.353,0.766,0.646,0.259,0.399
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.195,0.102,0.123,0.084,0.125,0.038
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.096,0.179,0.071,0.253,0.037,0.169
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.341,0.229,0.017,0.017,0.411,0.394
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0.003,0.005,0,0.168,0
"DIPUTADOS_imputada","En blanco",0.109,0.134,0.018,0,0,0
