"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.905,0.038,0.22,0.409
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.049,0.103,0.544,0.347
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.02,0.818,0.138,0.023
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.001,0,0
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.008,0.01,0.064,0.016
"PRESIDENTE","En blanco",0.004,0.005,0.034,0.053
"PRESIDENTE","No sabe",0.004,0.025,0,0.152
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.828,0.046,0.19,0.127
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.046,0.176,0.576,0.292
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.068,0.122,0.081,0.433
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.012,0.369,0.019,0
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.012,0.003,0,0
"DIPUTADOS","En blanco",0.011,0.12,0.134,0.028
"DIPUTADOS","No sabe",0.023,0.164,0,0.12
"P14_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.861,0.038,0.19,0.561
"P14_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.049,0.111,0.544,0.292
"P14_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.06,0.019,0.064,0.108
"P14_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.018,0.82,0.138,0.023
"P14_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.01,0.001,0,0
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.001,0.01,0.064,0.016
"P14_imputada","En blanco",0.001,0.001,0,0
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.909,0.038,0.22,0.561
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.049,0.124,0.544,0.347
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.02,0.821,0.138,0.023
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.002,0,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.008,0.01,0.064,0.016
"PRESIDENTE_imputada","En blanco",0.004,0.005,0.034,0.053
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",0.849,0.051,0.19,0.144
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.046,0.199,0.576,0.395
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.068,0.149,0.081,0.433
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.013,0.458,0.019,0
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.013,0.003,0,0
"DIPUTADOS_imputada","En blanco",0.011,0.14,0.134,0.028
