"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P60","Ha disminuido ligeramente",0.16,0.265,0.218,0.225,0.159,0.247,0.229
"P60","Ha disminuido significativamente",0.089,0.286,0.286,0.184,0.272,0.219,0.342
"P61","Muy baja",0.054,0.039,0.045,0.025,0.138,0.055,0.09
"P61","Baja",0.084,0.051,0.058,0.059,0.048,0.153,0.051
"P61","Moderada",0.161,0.051,0.071,0.132,0.097,0.064,0.066
"P61","Alta",0.426,0.179,0.148,0.339,0.138,0.232,0.258
"P61","Muy alta",0.275,0.68,0.678,0.445,0.579,0.496,0.535
"P62","Muy bajas",0.032,0.053,0.075,0.031,0.036,0.047,0.055
"P62","Bajas",0.09,0.127,0.103,0.036,0.06,0.116,0.057
"P62","Adecuadas",0.344,0.216,0.183,0.228,0.212,0.078,0.214
"P62","Altas",0.357,0.315,0.283,0.419,0.207,0.351,0.352
"P62","Muy altas",0.177,0.289,0.356,0.286,0.485,0.408,0.322
"P63","No, ninguna dificultad",0.425,0.245,0.239,0.254,0.137,0.205,0.239
"P63","Alguna dificultad ocasional",0.278,0.368,0.325,0.372,0.413,0.294,0.28
"P63","Sí, dificultades frecuentes",0.297,0.387,0.436,0.374,0.45,0.501,0.481
"P64","Sí, absolutamente",0.661,0.266,0.346,0.519,0.586,0.329,0.429
"P64","Sí, en cierta medida",0.248,0.398,0.326,0.327,0.262,0.344,0.374
"P64","No, en absoluto",0.091,0.336,0.328,0.154,0.152,0.327,0.197
"P65","Reducir la inflación",0.506,0.377,0.383,0.545,0.436,0.545,0.383
"P65","Implementar reformas fiscales",0.118,0.115,0.12,0.107,0.076,0.015,0.064
"P65","Establecer políticas de control de precios",0.246,0.063,0.091,0.179,0.282,0.135,0.216
