"var","categoria","Luis Samyn Duco","Gonzalo Meschengieser","Micaela Ferraro","Javier Forlenza","Jose Paesani","Malena Galmarini","Pipo Gorosito"
"P25","No sabe",0.104,0,0,0,0,0,0
"P26","Muy buena",0.433,0.982,0.099,0.037,0.048,0.418,0.633
"P26","Buena",0.438,0.018,0.048,0.725,0.853,0.437,0.141
"P26","Ni buena ni mala",0.022,0,0.583,0.055,0.075,0.106,0.186
"P26","Mala",0.004,0,0.244,0.183,0,0.022,0.024
"P26","Muy mala",0.097,0,0.017,0,0.024,0.008,0.016
"P26","No sabe",0.006,0,0.009,0,0,0.009,0
"P27","Muy buena",0.014,0,0.049,0.027,0,0.206,0.008
"P27","Buena",0.028,0.018,0,0,0,0.011,0.125
"P27","Ni buena ni mala",0.57,0.946,0.759,0.028,0.832,0.048,0.216
"P27","Mala",0.09,0,0.018,0.761,0.12,0.06,0.016
"P27","Muy mala",0.242,0.036,0.161,0.184,0.048,0.192,0.602
"P27","No sabe",0.056,0,0.013,0,0,0.483,0.033
"P28","Si",0.359,0.017,0.113,0.678,0.116,0.782,0.788
"P28","No",0.641,0.983,0.887,0.322,0.884,0.218,0.212
