"var","categoria","A los candidatos del Frente de todos","A los candidatos de Juntos por el cambio","A los candidatos del frente unidos por tigre","A los candidatos del Peronismo no kirchnerista, Lavagnismo o randazismo","A los candidatos de la Izquierda","A los candidatos Liberales"
"P20","Ni buena ni mala",0.103,0.073,0.113,0.091,0.199,0
"P20","Mala",0.016,0.099,0.099,0.21,0.299,0.097
"P20","Muy mala",0.094,0.764,0.342,0.603,0.264,0.743
"P20","No sabe",0.001,0.002,0.031,0,0.038,0.02
"P21","Muy buena",0.074,0.324,0.234,0,0.042,0.083
"P21","Buena",0.061,0.297,0.148,0.514,0.081,0.265
"P21","Ni buena ni mala",0.099,0.221,0.325,0.306,0.161,0.177
"P21","Mala",0.12,0.069,0.206,0,0.243,0.167
"P21","Muy mala",0.632,0.088,0.07,0.172,0.435,0.299
"P21","No sabe",0.014,0.001,0.017,0.008,0.038,0.009
"P22","Muy buena",0.566,0.051,0.266,0.117,0.024,0.045
"P22","Buena",0.159,0.017,0.1,0.108,0.147,0.145
"P22","Ni buena ni mala",0.134,0.018,0.212,0.149,0.291,0.021
"P22","Mala",0.043,0.163,0.112,0.18,0.318,0.059
"P22","Muy mala",0.079,0.75,0.263,0.446,0.182,0.73
"P22","No sabe",0.019,0.001,0.047,0,0.038,0
"P23","Muy buena",0.08,0.579,0.222,0.167,0,0.275
"P23","Buena",0.101,0.28,0.207,0.275,0.121,0.147
"P23","Ni buena ni mala",0.216,0.106,0.226,0.258,0.333,0.133
"P23","Mala",0.199,0.002,0.013,0.068,0.145,0.135
"P23","Muy mala",0.375,0.032,0.107,0.198,0.363,0.296
"P23","No sabe",0.029,0.001,0.225,0.034,0.038,0.014
"P24","Muy buena",0.206,0.056,0.046,0.116,0.045,0.027
"P24","Buena",0.256,0.057,0.139,0.027,0.094,0.023
"P24","Ni buena ni mala",0.336,0.088,0.207,0.229,0.323,0.188
"P24","Mala",0.029,0.215,0.088,0.127,0.158,0.2
"P24","Muy mala",0.116,0.471,0.401,0.448,0.337,0.477
"P24","No sabe",0.057,0.113,0.119,0.053,0.043,0.085
"P25","Muy buena",0.245,0.019,0.145,0.116,0.008,0.02
"P25","Buena",0.207,0.07,0.157,0.091,0.178,0.027
"P25","Ni buena ni mala",0.333,0.059,0.224,0.177,0.131,0.025
"P25","Mala",0.065,0.138,0.037,0.091,0.195,0.312
"P25","Muy mala",0.127,0.714,0.415,0.525,0.488,0.589
"P25","No sabe",0.023,0,0.022,0,0,0.027
"P26","Muy buena",0.353,0.056,0.173,0.119,0.066,0.028
"P26","Buena",0.313,0.094,0.372,0.295,0.2,0.213
"P26","Ni buena ni mala",0.216,0.301,0.192,0.098,0.358,0.192
"P26","Mala",0.062,0.211,0.099,0.216,0.098,0.05
"P26","Muy mala",0.046,0.284,0.094,0.16,0.278,0.481
"P26","No sabe",0.01,0.054,0.07,0.112,0,0.036
"P27","Muy buena",0.067,0.186,0.179,0.007,0,0.041
"P27","Buena",0.063,0.363,0.084,0.248,0.028,0.104
"P27","Ni buena ni mala",0.204,0.325,0.353,0.194,0.325,0.307
"P27","Mala",0.161,0.013,0.148,0.194,0.099,0.064
"P27","Muy mala",0.384,0.045,0.032,0.071,0.452,0.269
"P27","No sabe",0.121,0.068,0.204,0.286,0.096,0.215
"P28","Si",0.522,0.487,0.53,0.515,0.6,0.47
"P28","No",0.478,0.513,0.47,0.485,0.4,0.53
