"var","categoria","Malena Galmarini por el Frente de todos","Gisela Zamora por Frente vecinal unidos","Segundo cernadas por Juntos por el Cambio","Rodriguez Laborde por el Frente de Randazzo","A los candidatos del frente de izquierda","Cervetto por los liberales"
"P13","Pipo Gorosito por el Frente de todos",0.732,0.14,0.056,0.015,0.103,0.114
"P13","Gisela Zamora por Frente vecinal unidos",0.23,0.641,0.05,0.168,0,0.072
"P13","Segundo cernadas por Juntos por el cambio",0.016,0.158,0.868,0.198,0.09,0.054
"P13","Rodriguez Laborde por el Frente de Randazzo",0.004,0.038,0.003,0.568,0.051,0.008
"P13","A los candidatos del frente de izquierda",0.013,0.002,0.007,0.046,0.752,0.002
"P13","Cervetto por los liberales",0.005,0.021,0.016,0.005,0.004,0.75
"P14","Micaela Ferraro por el Frente de todos",0.717,0.11,0.015,0.01,0.005,0.111
"P14","Gisela Zamora por Frente vecinal unidos",0.151,0.694,0.065,0.153,0.018,0.097
"P14","Segundo cernadas por juntos por el cambio",0.016,0.176,0.86,0.198,0.176,0.099
"P14","Rodriguez Laborde por el Frente de Randazzo",0.042,0.005,0.02,0.562,0.036,0
"P14","A los candidatos del frente de izquierda",0.054,0.004,0,0.069,0.748,0.035
"P14","Cervetto por los liberales",0.02,0.011,0.04,0.008,0.017,0.658
"P15","Luis Samin Duco por el Frente de todos",0.736,0.128,0.033,0.038,0.029,0.013
"P15","Gisela Zamora por Frente vecinal unidos",0.17,0.668,0.047,0.12,0.02,0.139
"P15","Segundo cernadas por juntos por el cambio",0.026,0.197,0.88,0.193,0.096,0.099
"P15","Rodriguez Laborde por el Frente de Randazzo",0.031,0.005,0.026,0.552,0.082,0.018
"P15","A los candidatos del frente de izquierda",0.025,0.002,0.007,0.057,0.665,0.081
"P15","Cervetto por los liberales",0.012,0,0.007,0.04,0.108,0.65
"P16","Muy bueno",0.371,0.222,0.088,0.099,0.032,0.089
"P16","Bueno",0.296,0.49,0.111,0.182,0.009,0.217
"P16","Ni bueno ni malo",0.234,0.207,0.44,0.303,0.248,0.274
"P16","Malo",0.061,0.028,0.168,0.216,0.382,0.105
"P16","Muy malo",0.01,0.038,0.177,0.185,0.292,0.301
"P16","No sabe",0.028,0.015,0.016,0.015,0.037,0.014
"P18","Muy buena",0.599,0.407,0.072,0.103,0.009,0.134
"P18","Buena",0.193,0.141,0.041,0.087,0.075,0
"P18","Ni buena ni mala",0.136,0.186,0.014,0.138,0.329,0.087
"P18","Mala",0.02,0.151,0.229,0.202,0.116,0.04
"P18","Muy mala",0.052,0.115,0.644,0.47,0.381,0.723
"P18","No sabe",0,0,0,0,0.09,0.016
"P19","Muy buena",0.108,0.056,0.222,0.03,0.035,0.139
"P19","Buena",0.032,0.067,0.264,0.039,0.026,0.164
"P19","Ni buena ni mala",0.071,0.17,0.222,0.357,0.205,0.191
"P19","Mala",0.145,0.212,0.209,0.41,0.08,0.252
"P19","Muy mala",0.636,0.455,0.082,0.164,0.49,0.238
"P19","No sabe",0.008,0.04,0.001,0,0.164,0.016
"P20","Muy buena",0.701,0.333,0.064,0.092,0.133,0.118
"P20","Buena",0.121,0.149,0.011,0.043,0.061,0.109
"P20","Ni buena ni mala",0.113,0.089,0.071,0.026,0.224,0.052
"P20","Mala",0.046,0.078,0.103,0.127,0.058,0.105
"P20","Muy mala",0.017,0.35,0.744,0.697,0.493,0.588
"P20","No sabe",0.002,0.001,0.007,0.015,0.031,0.028
"P21","Muy buena",0.09,0.051,0.337,0.116,0.035,0.239
"P21","Buena",0.058,0.158,0.285,0.359,0.289,0.166
"P21","Ni buena ni mala",0.068,0.328,0.198,0.276,0.214,0.128
"P21","Mala",0.175,0.051,0.096,0.097,0.103,0.153
"P21","Muy mala",0.607,0.389,0.08,0.135,0.327,0.299
"P21","No sabe",0.002,0.023,0.004,0.017,0.032,0.015
"P22","Muy buena",0.624,0.265,0.054,0.123,0.108,0.163
"P22","Buena",0.157,0.094,0.022,0.082,0.259,0.14
"P22","Ni buena ni mala",0.064,0.178,0.072,0.062,0.298,0.07
"P22","Mala",0.089,0.101,0.153,0.166,0.064,0.04
"P22","Muy mala",0.066,0.305,0.698,0.567,0.239,0.569
"P22","No sabe",0,0.057,0.001,0,0.032,0.018
"P23","Muy buena",0.093,0.13,0.54,0.246,0.095,0.378
"P23","Buena",0.065,0.177,0.277,0.288,0.311,0.113
"P23","Ni buena ni mala",0.185,0.273,0.128,0.242,0.189,0.111
"P23","Mala",0.187,0.113,0.001,0.065,0.128,0.131
"P23","Muy mala",0.408,0.261,0.02,0.152,0.205,0.255
"P23","No sabe",0.062,0.046,0.034,0.007,0.072,0.012
"P24","Muy buena",0.284,0.044,0.045,0.013,0.151,0.019
"P24","Buena",0.261,0.14,0.066,0.083,0.076,0.074
"P24","Ni buena ni mala",0.283,0.313,0.127,0.219,0.195,0.136
"P24","Mala",0.017,0.121,0.174,0.27,0.048,0.228
"P24","Muy mala",0.096,0.27,0.491,0.362,0.437,0.466
"P24","No sabe",0.059,0.112,0.097,0.053,0.093,0.077
"P25","Muy buena",0.307,0.079,0.029,0.118,0.112,0
"P25","Buena",0.234,0.164,0.076,0.135,0,0.023
"P25","Ni buena ni mala",0.339,0.317,0.044,0.03,0.138,0.065
"P25","Mala",0.052,0.08,0.128,0.22,0.129,0.247
"P25","Muy mala",0.053,0.34,0.723,0.488,0.57,0.642
"P25","No sabe",0.015,0.02,0,0.009,0.051,0.023
"P26","Muy buena",0.265,0.328,0.058,0.113,0.114,0.111
"P26","Buena",0.35,0.39,0.099,0.13,0.045,0.136
"P26","Ni buena ni mala",0.242,0.119,0.306,0.157,0.284,0.303
"P26","Mala",0.085,0.088,0.169,0.29,0.231,0.048
"P26","Muy mala",0.04,0.052,0.309,0.224,0.276,0.367
"P26","No sabe",0.018,0.023,0.059,0.086,0.05,0.035
"P27","Muy buena",0.069,0.026,0.214,0.007,0.102,0.127
"P27","Buena",0.069,0.096,0.347,0.359,0.008,0.056
"P27","Ni buena ni mala",0.147,0.37,0.317,0.203,0.389,0.287
"P27","Mala",0.208,0.09,0.021,0.138,0.116,0.061
"P27","Muy mala",0.38,0.257,0.028,0.105,0.269,0.244
"P27","No sabe",0.127,0.161,0.073,0.188,0.116,0.225
"P28","Si",0.515,0.503,0.509,0.484,0.506,0.533
"P28","No",0.485,0.497,0.491,0.516,0.494,0.467
