"var","categoria","Pipo Gorosito por el Frente de todos","Gisela Zamora por Frente vecinal unidos","Segundo cernadas por Juntos por el cambio","Rodriguez Laborde por el Frente de Randazzo","A los candidatos del frente de izquierda","Cervetto por los liberales"
"P10","Malena Galmarini",0.256,0.305,0.407,0,0.41,0.3
"P10","Pipo Gorosito",0.234,0.181,0.2,0.187,0,0
"P11","Segundo Cernadas",1,0.252,0.628,0.359,0,0.254
"P11","Nicolas Massot",0,0.748,0.372,0.641,1,0.746
"P12","Malena Galmarini por el Frente de todos",0.78,0.309,0.014,0.029,0.081,0.017
"P12","Gisela Zamora por Frente vecinal unidos",0.095,0.546,0.087,0.162,0.008,0.051
"P12","Segundo cernadas por Juntos por el Cambio",0.067,0.074,0.84,0.023,0.051,0.068
"P12","Rodriguez Laborde por el Frente de Randazzo",0.003,0.042,0.032,0.714,0.054,0.003
"P12","A los candidatos del frente de izquierda",0.019,0,0.013,0.057,0.801,0.003
"P12","Cervetto por los liberales",0.036,0.029,0.014,0.015,0.005,0.858
"P14","Micaela Ferraro por el Frente de todos",0.782,0.089,0.02,0.018,0.068,0.105
"P14","Gisela Zamora por Frente vecinal unidos",0.085,0.744,0.041,0.165,0,0.03
"P14","Segundo cernadas por juntos por el cambio",0.047,0.058,0.91,0.013,0.036,0.094
"P14","Rodriguez Laborde por el Frente de Randazzo",0.015,0.059,0.008,0.755,0,0
"P14","A los candidatos del frente de izquierda",0.03,0.034,0.005,0.03,0.886,0.02
"P14","Cervetto por los liberales",0.041,0.016,0.016,0.019,0.01,0.751
"P15","Luis Samin Duco por el Frente de todos",0.762,0.155,0.022,0.079,0.028,0
"P15","Gisela Zamora por Frente vecinal unidos",0.135,0.715,0.005,0.2,0,0.125
"P15","Segundo cernadas por juntos por el cambio",0.057,0.035,0.941,0.012,0.05,0.109
"P15","Rodriguez Laborde por el Frente de Randazzo",0,0.075,0.018,0.681,0.028,0.009
"P15","A los candidatos del frente de izquierda",0.02,0.02,0.002,0.028,0.887,0.016
"P15","Cervetto por los liberales",0.026,0,0.012,0,0.007,0.741
"P16","Muy bueno",0.381,0.271,0.066,0.016,0.076,0.032
"P16","Bueno",0.283,0.439,0.122,0.111,0.01,0.293
"P16","Ni bueno ni malo",0.22,0.179,0.44,0.549,0.236,0.281
"P16","Malo",0.07,0.071,0.172,0.124,0.261,0.096
"P16","Muy malo",0.03,0.011,0.189,0.2,0.329,0.279
"P16","No sabe",0.016,0.029,0.011,0,0.088,0.019
"P18","Muy buena",0.654,0.377,0.057,0.016,0.039,0.153
"P18","Buena",0.163,0.171,0.028,0.14,0.153,0.011
"P18","Ni buena ni mala",0.122,0.181,0.034,0.222,0.326,0.026
"P18","Mala",0.003,0.166,0.211,0.342,0.109,0.033
"P18","Muy mala",0.058,0.105,0.667,0.207,0.34,0.773
"P18","No sabe",0,0,0.003,0.073,0.033,0.004
"P19","Muy buena",0.061,0.136,0.197,0.048,0.047,0.136
"P19","Buena",0.022,0.058,0.264,0.064,0,0.173
"P19","Ni buena ni mala",0.079,0.152,0.265,0.263,0.11,0.121
"P19","Mala",0.204,0.185,0.196,0.35,0.103,0.243
"P19","Muy mala",0.625,0.435,0.073,0.201,0.622,0.327
"P19","No sabe",0.009,0.034,0.005,0.074,0.118,0
"P20","Muy buena",0.719,0.352,0.044,0.034,0.237,0.14
"P20","Buena",0.061,0.211,0.01,0.03,0.065,0.119
"P20","Ni buena ni mala",0.118,0.113,0.054,0.116,0.181,0.028
"P20","Mala",0.019,0.103,0.097,0.224,0.06,0.106
"P20","Muy mala",0.077,0.213,0.789,0.571,0.424,0.607
"P20","No sabe",0.006,0.008,0.006,0.025,0.033,0
"P21","Muy buena",0.11,0.079,0.323,0.037,0.037,0.151
"P21","Buena",0.016,0.165,0.303,0.447,0.263,0.186
"P21","Ni buena ni mala",0.101,0.224,0.236,0.174,0.076,0.196
"P21","Mala",0.15,0.143,0.055,0.138,0.167,0.153
"P21","Muy mala",0.603,0.382,0.081,0.176,0.424,0.306
"P21","No sabe",0.02,0.007,0.002,0.028,0.033,0.008
"P22","Muy buena",0.587,0.338,0.058,0.05,0.131,0.159
"P22","Buena",0.131,0.109,0.021,0.119,0.353,0.159
"P22","Ni buena ni mala",0.145,0.155,0.025,0.181,0.244,0.036
"P22","Mala",0.026,0.174,0.141,0.291,0.067,0.037
"P22","Muy mala",0.111,0.189,0.742,0.359,0.172,0.609
"P22","No sabe",0,0.035,0.013,0,0.033,0
"P23","Muy buena",0.075,0.141,0.551,0.052,0.087,0.373
"P23","Buena",0.046,0.171,0.292,0.199,0.35,0.124
"P23","Ni buena ni mala",0.239,0.24,0.118,0.329,0.09,0.099
"P23","Mala",0.189,0.109,0.002,0.113,0.126,0.141
"P23","Muy mala",0.397,0.245,0.028,0.227,0.296,0.257
"P23","No sabe",0.054,0.094,0.009,0.08,0.051,0.006
"P24","Muy buena",0.224,0.109,0.048,0.048,0.192,0.029
"P24","Buena",0.235,0.214,0.059,0.01,0.116,0.021
"P24","Ni buena ni mala",0.305,0.322,0.094,0.312,0.221,0.168
"P24","Mala",0.052,0.084,0.195,0.098,0.058,0.184
"P24","Muy mala",0.122,0.178,0.508,0.375,0.315,0.546
"P24","No sabe",0.062,0.093,0.096,0.157,0.098,0.052
"P25","Muy buena",0.274,0.161,0.023,0.031,0.121,0.011
"P25","Buena",0.187,0.245,0.042,0.267,0.077,0.038
"P25","Ni buena ni mala",0.337,0.277,0.062,0.032,0.227,0.044
"P25","Mala",0.068,0.073,0.142,0.032,0.141,0.242
"P25","Muy mala",0.13,0.208,0.731,0.556,0.434,0.653
"P25","No sabe",0.004,0.036,0,0.082,0,0.012
"P26","Muy buena",0.305,0.302,0.053,0.18,0.172,0.017
"P26","Buena",0.303,0.424,0.106,0.06,0.077,0.15
"P26","Ni buena ni mala",0.256,0.133,0.27,0.279,0.287,0.344
"P26","Mala",0.078,0.085,0.191,0.153,0.152,0.094
"P26","Muy mala",0.047,0.03,0.321,0.115,0.312,0.367
"P26","No sabe",0.011,0.026,0.059,0.213,0,0.028
"P27","Muy buena",0.06,0.019,0.211,0.019,0.119,0.131
"P27","Buena",0.067,0.099,0.361,0.163,0.009,0.047
"P27","Ni buena ni mala",0.224,0.312,0.306,0.224,0.178,0.262
"P27","Mala",0.191,0.119,0.01,0.2,0.142,0.114
"P27","Muy mala",0.347,0.257,0.047,0.1,0.398,0.263
"P27","No sabe",0.111,0.194,0.065,0.294,0.154,0.183
"P28","Si",0.504,0.541,0.462,0.572,0.695,0.554
"P28","No",0.496,0.459,0.538,0.428,0.305,0.446
