"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"Sergio Massa","Muy buena",0.072,0.06,0.084,0,0.04,0.101,0.224,0.092,0.062,0.053,0.035,0.056,0.218,0.014,0.116,0.088,0.091,0.063,0
"Sergio Massa","Buena",0.119,0.133,0.105,0.047,0.097,0.154,0.231,0.113,0.132,0.103,0.137,0.14,0.165,0.042,0.132,0.07,0.202,0.036,0.106
"Sergio Massa","Ni buena ni mala",0.281,0.262,0.299,0.271,0.291,0.308,0.218,0.336,0.264,0.203,0.224,0.278,0.318,0.404,0.193,0.305,0.385,0.162,0.074
"Sergio Massa","Mala",0.149,0.176,0.122,0.195,0.133,0.154,0.117,0.155,0.119,0.203,0.166,0.154,0.101,0.058,0.216,0.16,0.122,0.236,0.176
"Sergio Massa","Muy mala",0.315,0.315,0.315,0.402,0.353,0.242,0.199,0.215,0.36,0.423,0.362,0.309,0.198,0.282,0.338,0.353,0.144,0.478,0.644
"Sergio Massa","No sabe",0.064,0.054,0.075,0.085,0.086,0.041,0.011,0.089,0.063,0.015,0.076,0.063,0,0.2,0.005,0.024,0.056,0.025,0
"Alberto Fernandez","Muy buena",0.136,0.104,0.167,0.106,0.109,0.197,0.162,0.195,0.12,0.046,0.12,0.153,0.083,0.193,0.12,0.094,0.14,0.101,0
"Alberto Fernandez","Buena",0.163,0.215,0.113,0.061,0.19,0.18,0.222,0.193,0.145,0.138,0.148,0.156,0.146,0.215,0.123,0.194,0.26,0.07,0.096
"Alberto Fernandez","Ni buena ni mala",0.204,0.2,0.208,0.259,0.161,0.221,0.213,0.195,0.216,0.196,0.192,0.204,0.444,0.179,0.058,0.243,0.304,0.102,0.115
"Alberto Fernandez","Mala",0.156,0.161,0.152,0.151,0.19,0.115,0.138,0.153,0.161,0.155,0.151,0.157,0.068,0.092,0.294,0.144,0.15,0.167,0.15
"Alberto Fernandez","Muy mala",0.319,0.312,0.325,0.365,0.347,0.259,0.261,0.218,0.357,0.45,0.374,0.327,0.208,0.321,0.307,0.311,0.138,0.509,0.639
"Alberto Fernandez","No sabe",0.022,0.008,0.035,0.058,0.003,0.028,0.004,0.046,0.001,0.015,0.015,0.003,0.051,0,0.098,0.014,0.008,0.051,0
"CFK","Muy buena",0.284,0.292,0.277,0.243,0.208,0.381,0.403,0.273,0.285,0.305,0.263,0.29,0.267,0.272,0.247,0.351,0.456,0.074,0.033
"CFK","Buena",0.119,0.131,0.108,0.103,0.154,0.08,0.111,0.128,0.106,0.133,0.072,0.126,0.094,0.194,0.099,0.115,0.179,0.059,0
"CFK","Ni buena ni mala",0.08,0.091,0.068,0.052,0.101,0.086,0.047,0.128,0.045,0.057,0.05,0.104,0.214,0,0.02,0.105,0.091,0.043,0
"CFK","Mala",0.122,0.127,0.117,0.114,0.132,0.091,0.159,0.122,0.151,0.056,0.156,0.098,0.204,0.018,0.241,0.085,0.094,0.169,0.091
"CFK","Muy mala",0.371,0.346,0.395,0.436,0.391,0.337,0.274,0.297,0.406,0.446,0.459,0.36,0.221,0.516,0.302,0.324,0.179,0.597,0.876
"CFK","No sabe",0.024,0.013,0.035,0.052,0.014,0.025,0.006,0.052,0.007,0.003,0,0.022,0,0,0.091,0.02,0.001,0.058,0
"Patricia Bullrich","Muy buena",0.156,0.204,0.111,0.142,0.156,0.106,0.262,0.154,0.142,0.192,0.221,0.16,0.041,0.083,0.148,0.216,0.052,0.339,0.07
"Patricia Bullrich","Buena",0.136,0.126,0.146,0.155,0.143,0.136,0.094,0.152,0.127,0.126,0.185,0.127,0.032,0.2,0.094,0.16,0.074,0.231,0.472
"Patricia Bullrich","Ni buena ni mala",0.142,0.157,0.128,0.166,0.131,0.128,0.164,0.097,0.176,0.157,0.2,0.153,0.207,0.038,0.159,0.081,0.111,0.175,0.141
"Patricia Bullrich","Mala",0.133,0.143,0.123,0.052,0.198,0.091,0.133,0.17,0.113,0.103,0.084,0.123,0.275,0.072,0.094,0.224,0.197,0.073,0.125
"Patricia Bullrich","Muy mala",0.368,0.326,0.408,0.389,0.301,0.485,0.327,0.33,0.389,0.397,0.248,0.36,0.445,0.399,0.5,0.319,0.502,0.163,0.192
"Patricia Bullrich","No sabe",0.065,0.044,0.084,0.096,0.071,0.054,0.02,0.097,0.053,0.025,0.062,0.077,0,0.208,0.005,0,0.064,0.019,0
"Mauricio Macri","Muy buena",0.106,0.118,0.094,0.094,0.126,0.059,0.144,0.098,0.113,0.106,0.089,0.162,0.072,0.015,0.079,0.093,0.051,0.251,0.023
"Mauricio Macri","Buena",0.129,0.12,0.139,0.161,0.121,0.112,0.142,0.095,0.17,0.11,0.128,0.106,0.09,0.239,0.139,0.11,0.025,0.264,0.58
"Mauricio Macri","Ni buena ni mala",0.126,0.133,0.119,0.143,0.114,0.115,0.155,0.116,0.116,0.167,0.176,0.11,0.106,0.102,0.178,0.096,0.086,0.177,0.067
"Mauricio Macri","Mala",0.202,0.224,0.18,0.217,0.207,0.176,0.211,0.259,0.194,0.109,0.216,0.172,0.253,0.271,0.189,0.192,0.252,0.112,0.113
"Mauricio Macri","Muy mala",0.408,0.358,0.457,0.356,0.398,0.503,0.342,0.378,0.391,0.499,0.353,0.41,0.479,0.33,0.41,0.493,0.557,0.171,0.217
"Mauricio Macri","No sabe",0.029,0.047,0.011,0.029,0.034,0.035,0.006,0.054,0.016,0.009,0.038,0.04,0,0.043,0.005,0.016,0.029,0.025,0
