"var","categoria","El gobierno nacional","El gobierno provincial anterior del MPN","El actual gobierno provincial de Rolo Figueroa","Todos igual","No sabe"
"P18","No alcanza para nada porque el gobierno gestionó mal la compra",0.019,0.035,0.017,0.051,0.021
"P18","No sabe",0.029,0.052,0.106,0.076,0.343
"P19","Si",0.654,0.609,0.279,0.343,0.49
"P19","No",0.194,0.177,0.53,0.222,0.047
"P19","No sabe",0.152,0.214,0.191,0.435,0.463
"P20","Si",0.536,0.427,0.265,0.247,0.384
"P20","No",0.192,0.256,0.498,0.399,0.059
"P20","No sabe",0.272,0.317,0.237,0.354,0.557
"P23","Buena",0.328,0.213,0.097,0.245,0.319
"P23","Regular",0.402,0.498,0.408,0.397,0.249
"P23","Mala",0.237,0.268,0.444,0.268,0.302
"P23","No sabe",0.033,0.021,0.051,0.09,0.13
"P24","Buena",0.22,0.193,0.143,0.174,0.297
"P24","Regular",0.476,0.527,0.511,0.516,0.281
"P24","Mala",0.235,0.246,0.32,0.207,0.309
"P24","No sabe",0.069,0.034,0.026,0.103,0.113
"P25","Buena",0.233,0.214,0.123,0.166,0.176
"P25","Regular",0.453,0.41,0.278,0.327,0.325
"P25","Mala",0.182,0.224,0.441,0.292,0.173
"P25","No sabe",0.132,0.152,0.158,0.215,0.326
"P26","La capacitación para atender a la gente",0.36,0.217,0.079,0.089,0.126
"P26","La infraestructura y equipamiento de la fuerza",0.119,0.216,0.206,0.127,0.111
"P26","La formación técnica y profesional",0.32,0.289,0.26,0.421,0.183
"P26","La cantidad y distribución de los efectivos",0.064,0.13,0.184,0.12,0.139
"P26","La velocidad de respuesta ante las denuncias",0.047,0.081,0.124,0.1,0.259
"P26","Otros",0.068,0.048,0.104,0.105,0.061
"P26","No sabe",0.022,0.019,0.043,0.038,0.121
"P27","Alto",0.182,0.161,0.165,0.186,0.319
"P27","Regular",0.471,0.55,0.452,0.325,0.233
"P27","Bajo",0.316,0.267,0.356,0.42,0.309
"P27","No sabe",0.031,0.022,0.027,0.069,0.139
"P28","El gobierno de Javier Milei",0.546,0.18,0.275,0.253,0.129
"P28","El gobierno de Alberto Fernández",0.312,0.706,0.51,0.473,0.517
"P28","Ambos",0.11,0.11,0.215,0.262,0.077
"P28","No sabe",0.032,0.004,0,0.012,0.277
"P29","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.179,0.169,0.2,0.154,0.135
"P29","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.27,0.41,0.235,0.32,0.191
"P29","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.154,0.18,0.155,0.122,0.113
"P29","Retirarla y no presentar nada",0.334,0.169,0.314,0.208,0.326
"P29","Volverla a presentar igual",0.009,0.046,0.074,0.122,0.135
"P29","No sabe",0.054,0.026,0.022,0.074,0.1
"P30","Javier Milei",0.254,0.566,0.551,0.463,0.362
"P30","Los gobernadores",0.678,0.347,0.393,0.396,0.348
"P30","No sabe",0.068,0.087,0.056,0.141,0.29
"P31","Muy buena",0.344,0.23,0.097,0.112,0.243
"P31","Buena",0.316,0.367,0.194,0.171,0.281
"P31","Ni buena ni mala",0.287,0.283,0.33,0.465,0.43
"P31","Mala",0.037,0.083,0.25,0.204,0.046
"P31","Muy mala",0.014,0.029,0.125,0.012,0
"P31","No sabe",0.002,0.008,0.004,0.036,0
"P32","Muy buena",0.284,0.066,0.113,0.081,0.091
"P32","Buena",0.227,0.191,0.173,0.111,0.342
"P32","Ni buena ni mala",0.385,0.333,0.298,0.386,0.35
"P32","Mala",0.076,0.275,0.283,0.246,0.03
"P32","Muy mala",0.015,0.095,0.096,0.116,0.025
"P32","No sabe",0.013,0.04,0.037,0.06,0.162
"P33","Muy buena",0.188,0.029,0.119,0.081,0.121
"P33","Buena",0.194,0.066,0.178,0.163,0.29
"P33","Ni buena ni mala",0.362,0.23,0.179,0.281,0.296
"P33","Mala",0.156,0.444,0.328,0.31,0.066
"P33","Muy mala",0.098,0.195,0.189,0.139,0.018
"P33","No sabe",0.002,0.036,0.007,0.026,0.209
"P34","Muy buena",0.169,0.04,0.028,0.046,0.112
"P34","Buena",0.196,0.142,0.137,0.093,0.289
"P34","Ni buena ni mala",0.435,0.404,0.421,0.452,0.489
"P34","Mala",0.104,0.253,0.259,0.217,0.012
"P34","Muy mala",0.077,0.096,0.11,0.111,0.012
"P34","No sabe",0.019,0.065,0.045,0.081,0.086
"P35","Muy buena",0.295,0.13,0.063,0.142,0.074
"P35","Buena",0.174,0.173,0.205,0.108,0.15
"P35","Ni buena ni mala",0.386,0.258,0.21,0.347,0.423
"P35","Mala",0.102,0.279,0.228,0.23,0.199
"P35","Muy mala",0.035,0.13,0.241,0.127,0.019
"P35","No sabe",0.008,0.03,0.053,0.046,0.135
"P36","Muy buena",0.379,0.115,0.198,0.176,0.275
"P36","Buena",0.163,0.106,0.162,0.126,0.118
"P36","Ni buena ni mala",0.146,0.094,0.078,0.121,0.063
"P36","Mala",0.182,0.285,0.247,0.259,0.382
"P36","Muy mala",0.129,0.391,0.315,0.318,0.162
"P36","No sabe",0.001,0.009,0,0,0
"P37","Muy buena",0.148,0.141,0.124,0.099,0.062
"P37","Buena",0.094,0.211,0.186,0.102,0.169
"P37","Ni buena ni mala",0.075,0.255,0.147,0.259,0.581
"P37","Mala",0.413,0.219,0.267,0.246,0.105
"P37","Muy mala",0.269,0.166,0.276,0.294,0.083
"P37","No sabe",0.001,0.008,0,0,0
"P38","Muy buena",0.217,0.053,0.083,0.041,0.185
"P38","Buena",0.259,0.133,0.149,0.188,0.128
"P38","Ni buena ni mala",0.264,0.169,0.127,0.207,0.119
"P38","Mala",0.165,0.273,0.374,0.216,0.434
"P38","Muy mala",0.083,0.364,0.267,0.335,0.134
"P38","No sabe",0.012,0.008,0,0.013,0
"P39","Muy buena",0.23,0.454,0.436,0.279,0.225
"P39","Buena",0.034,0.163,0.083,0.227,0.298
"P39","Ni buena ni mala",0.149,0.118,0.06,0.111,0.19
"P39","Mala",0.331,0.125,0.168,0.132,0.049
"P39","Muy mala",0.252,0.127,0.249,0.243,0.238
"P39","No sabe",0.004,0.013,0.004,0.008,0
"P40","Muy buena",0.202,0.339,0.335,0.258,0.101
"P40","Buena",0.097,0.24,0.156,0.215,0.388
"P40","Ni buena ni mala",0.085,0.161,0.051,0.146,0.126
"P40","Mala",0.338,0.113,0.18,0.104,0.171
"P40","Muy mala",0.278,0.144,0.278,0.277,0.214
"P40","No sabe",0,0.003,0,0,0
"P41","Muy buena",0.143,0.201,0.205,0.15,0.061
"P41","Buena",0.072,0.211,0.061,0.13,0.258
"P41","Ni buena ni mala",0.21,0.316,0.259,0.301,0.343
"P41","Mala",0.336,0.124,0.175,0.12,0.074
"P41","Muy mala",0.187,0.138,0.256,0.199,0.208
"P41","No sabe",0.052,0.01,0.044,0.1,0.056
"P42","Muy buena",0.149,0.457,0.465,0.268,0.229
"P42","Buena",0.114,0.16,0.075,0.118,0.257
"P42","Ni buena ni mala",0.233,0.133,0.076,0.28,0.1
"P42","Mala",0.212,0.106,0.143,0.028,0.005
"P42","Muy mala",0.252,0.137,0.241,0.293,0.215
"P42","No sabe",0.04,0.007,0,0.013,0.194
"P43","Muy buena",0.124,0.101,0.076,0.093,0.005
"P43","Buena",0.152,0.191,0.199,0.207,0.147
"P43","Ni buena ni mala",0.362,0.47,0.291,0.363,0.367
"P43","Mala",0.212,0.145,0.255,0.13,0.194
"P43","Muy mala",0.11,0.065,0.179,0.177,0.056
"P43","No sabe",0.04,0.028,0,0.03,0.231
"P44","Muy buena",0.129,0.194,0.169,0.043,0.064
"P44","Buena",0.073,0.242,0.174,0.206,0.1
"P44","Ni buena ni mala",0.22,0.262,0.157,0.281,0.461
"P44","Mala",0.261,0.127,0.228,0.079,0.013
"P44","Muy mala",0.287,0.166,0.272,0.362,0.159
"P44","No sabe",0.03,0.009,0,0.029,0.203
"P45","Muy buena",0.153,0.157,0.089,0.071,0.057
"P45","Buena",0.043,0.178,0.212,0.07,0.054
"P45","Ni buena ni mala",0.26,0.365,0.328,0.374,0.414
"P45","Mala",0.3,0.138,0.108,0.136,0.13
"P45","Muy mala",0.182,0.115,0.227,0.179,0.031
"P45","No sabe",0.062,0.047,0.036,0.17,0.314
