"var","categoria","Javier Milei por la Libertad Avanza","Patricia Bullrich por Juntos por el Cambio","En blanco","No sabe"
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.105,0.181,0.042,0.064
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.013,0.006,0.05,0.039
"P18","En blanco",0.02,0.011,0.061,0.03
"P18","No sabe",0.03,0.026,0.082,0.24
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.092,0.045,0.652,0.492
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.152,0.518,0.057,0.105
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.088,0.203,0.045,0.076
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.606,0.194,0.017,0.04
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.013,0.003,0.074,0.037
"P19","En blanco",0.016,0.009,0.066,0.017
"P19","No sabe",0.033,0.028,0.089,0.233
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.096,0.051,0.742,0.538
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.181,0.649,0.032,0.099
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.666,0.232,0.016,0.031
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.01,0.067,0.054
"P20","En blanco",0.012,0.007,0.062,0.019
"P20","No sabe",0.025,0.051,0.081,0.259
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.124,0.077,0.62,0.459
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.157,0.647,0.085,0.099
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.647,0.21,0.065,0.121
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.007,0.07,0.054
"P23","En blanco",0.018,0.012,0.074,0.021
"P23","No sabe",0.034,0.047,0.086,0.246
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.103,0.07,0.709,0.538
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.206,0.419,0.056,0.094
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.639,0.333,0.028,0.052
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.009,0.073,0.037
"P24","En blanco",0.012,0.054,0.062,0.018
"P24","No sabe",0.022,0.115,0.072,0.261
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.116,0.113,0.603,0.482
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.173,0.466,0.089,0.129
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.656,0.262,0.07,0.085
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.009,0.082,0.032
"P27","En blanco",0.025,0.058,0.079,0.019
"P27","No sabe",0.019,0.092,0.077,0.253
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.111,0.043,0.674,0.464
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.185,0.684,0.033,0.106
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.629,0.203,0.031,0.063
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.011,0.082,0.026
"P28","En blanco",0.018,0.015,0.101,0.04
"P28","No sabe",0.047,0.044,0.079,0.301
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.091,0.144,0.598,0.41
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.127,0.435,0.141,0.158
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.722,0.282,0.024,0.084
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.013,0.012,0.068,0.037
"P29","En blanco",0.004,0.046,0.091,0.024
"P29","No sabe",0.043,0.081,0.078,0.287
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.109,0.084,0.695,0.498
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.183,0.632,0.047,0.12
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.648,0.22,0.041,0.07
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.025,0.01,0.074,0.044
"P30","En blanco",0.013,0.019,0.088,0.026
"P30","No sabe",0.022,0.035,0.055,0.242
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.14,0.106,0.674,0.506
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.138,0.468,0.082,0.141
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.673,0.288,0.065,0.069
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.019,0.007,0.059,0.038
"P33","En blanco",0.01,0.055,0.073,0.017
"P33","No sabe",0.02,0.076,0.047,0.229
"P34","Sergio Massa por el Frente de Todos",0.119,0.055,0.759,0.564
"P34","Patricia Bullrich por Juntos por el Cambio",0.525,0.853,0.04,0.099
"P34","En blanco",0.233,0.039,0.143,0.038
"P34","No sabe",0.123,0.053,0.058,0.299
"P35","Sergio Massa por el Frente de Todos",0.1,0.069,0.778,0.553
"P35","Javier Milei por la Libertad Avanza",0.836,0.549,0.034,0.101
"P35","En blanco",0.038,0.187,0.15,0.034
"P35","No sabe",0.026,0.195,0.038,0.312
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.27,0.439,0.161,0.134
"P36","Javier Milei por la Libertad Avanza",0.703,0.432,0.008,0.029
"P36","En blanco",0.017,0.062,0.754,0.041
"P36","No sabe",0.01,0.067,0.077,0.796
"P38","Sergio Massa por el Frente de Todos",0.185,0.081,0.699,0.498
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.361,0.658,0.034,0.095
"P38","En blanco",0.33,0.157,0.249,0.037
"P38","No sabe",0.124,0.104,0.018,0.37
"P39","Agustín Rossi por el Frente de Todos",0.094,0.059,0.747,0.522
"P39","Patricia Bullrich por Juntos por el Cambio",0.576,0.798,0.016,0.078
"P39","En blanco",0.217,0.086,0.198,0.041
"P39","No sabe",0.113,0.057,0.039,0.359
"P40","Daniel Scioli por el Frente de Todos",0.115,0.05,0.771,0.58
"P40","Patricia Bullrich por Juntos por el Cambio",0.569,0.877,0.038,0.123
"P40","En blanco",0.235,0.039,0.157,0.027
"P40","No sabe",0.081,0.034,0.034,0.27
"P41","Lo votaría",0.187,0.159,0.442,0.385
"P41","Puede que lo vote",0.115,0.075,0.332,0.229
"P41","Nunca lo votaría",0.652,0.722,0.169,0.202
"P41","No sabe",0.046,0.044,0.057,0.184
"P42","Lo votaría",0.258,0.633,0.067,0.138
"P42","Puede que lo vote",0.346,0.202,0.029,0.085
"P42","Nunca lo votaría",0.354,0.147,0.877,0.687
"P42","No sabe",0.042,0.018,0.027,0.09
"P43","Lo votaría",0.736,0.241,0.024,0.109
"P43","Puede que lo vote",0.138,0.389,0.017,0.035
"P43","Nunca lo votaría",0.116,0.326,0.94,0.753
"P43","No sabe",0.01,0.044,0.019,0.103
"P44","Lo votaría",0.193,0.364,0.028,0.081
"P44","Puede que lo vote",0.25,0.304,0.081,0.121
"P44","Nunca lo votaría",0.52,0.292,0.858,0.691
"P44","No sabe",0.037,0.04,0.033,0.107
"P45","Lo votaría",0.12,0.056,0.399,0.363
"P45","Puede que lo vote",0.132,0.095,0.246,0.214
"P45","Nunca lo votaría",0.708,0.823,0.311,0.328
"P45","No sabe",0.04,0.026,0.044,0.095
"P46","Lo votaría",0.054,0.047,0.445,0.343
"P46","Puede que lo vote",0.036,0.044,0.311,0.251
"P46","Nunca lo votaría",0.849,0.888,0.206,0.275
"P46","No sabe",0.061,0.021,0.038,0.131
"P47","Lo votaría",0.076,0.123,0.1,0.121
"P47","Puede que lo vote",0.19,0.271,0.24,0.241
"P47","Nunca lo votaría",0.66,0.551,0.576,0.438
"P47","No sabe",0.074,0.055,0.084,0.2
"P48","Lo votaría",0.082,0.05,0.676,0.536
"P48","Puede que lo vote",0.075,0.054,0.124,0.136
"P48","Nunca lo votaría",0.812,0.881,0.171,0.254
"P48","No sabe",0.031,0.015,0.029,0.074
"P49","Si",0.584,0.55,0.648,0.61
"P49","No",0.416,0.45,0.352,0.39
