"var","categoria","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P35","Javier Milei por la Libertad Avanza",0.149,0.454,0.829,0.111,0.272,0.201
"P35","En blanco",0.039,0.202,0.056,0.407,0.527,0.116
"P35","No sabe",0.041,0.222,0.032,0.22,0.06,0.521
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.24,0.67,0.074,0.194,0.161,0.213
"P36","Javier Milei por la Libertad Avanza",0.113,0.184,0.831,0.062,0.107,0.116
"P36","En blanco",0.449,0.075,0.066,0.534,0.633,0.136
"P36","No sabe",0.198,0.071,0.029,0.21,0.099,0.535
"P37","Javier Milei por la Libertad Avanza",0.118,0.145,0.569,0.186,0.058,0.074
"P37","Patricia Bullrich por Juntos por el Cambio",0.128,0.706,0.351,0.097,0.466,0.401
"P37","En blanco",0.575,0.087,0.056,0.565,0.434,0.174
"P37","No sabe",0.179,0.062,0.024,0.152,0.042,0.351
"P38","Sergio Massa por el Frente de Todos",0.712,0.128,0.142,0.196,0.13,0.151
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.106,0.764,0.345,0.156,0.25,0.223
"P38","En blanco",0.132,0.056,0.363,0.504,0.611,0.106
"P38","No sabe",0.05,0.052,0.15,0.144,0.009,0.52
"P39","Agustín Rossi por el Frente de Todos",0.732,0.101,0.091,0.271,0.087,0.132
"P39","Patricia Bullrich por Juntos por el Cambio",0.131,0.751,0.577,0.178,0.491,0.441
"P39","En blanco",0.077,0.082,0.223,0.397,0.398,0.058
"P39","No sabe",0.06,0.066,0.109,0.154,0.024,0.369
"P40","Daniel Scioli por el Frente de Todos",0.752,0.114,0.082,0.303,0.12,0.217
"P40","Patricia Bullrich por Juntos por el Cambio",0.148,0.789,0.638,0.168,0.558,0.474
"P40","En blanco",0.058,0.049,0.204,0.391,0.288,0.051
"P40","No sabe",0.042,0.048,0.076,0.138,0.034,0.258
"P41","Lo votaría",0.528,0.161,0.144,0.099,0.169,0.138
"P41","Puede que lo vote",0.295,0.126,0.103,0.202,0.087,0.096
"P41","Nunca lo votaría",0.129,0.67,0.701,0.598,0.676,0.545
"P41","No sabe",0.048,0.043,0.052,0.101,0.068,0.221
"P42","Lo votaría",0.117,0.609,0.336,0.153,0.417,0.337
"P42","Puede que lo vote",0.086,0.168,0.323,0.045,0.123,0.122
"P42","Nunca lo votaría",0.77,0.203,0.303,0.772,0.423,0.443
"P42","No sabe",0.027,0.02,0.038,0.03,0.037,0.098
"P43","Lo votaría",0.111,0.174,0.695,0.038,0.092,0.049
"P43","Puede que lo vote",0.068,0.33,0.181,0.072,0.26,0.257
"P43","Nunca lo votaría",0.796,0.447,0.112,0.863,0.604,0.569
"P43","No sabe",0.025,0.049,0.012,0.027,0.044,0.125
"P44","Lo votaría",0.071,0.534,0.126,0.054,0.07,0.067
"P44","Puede que lo vote",0.126,0.27,0.238,0.155,0.219,0.292
"P44","Nunca lo votaría",0.765,0.167,0.598,0.762,0.681,0.465
"P44","No sabe",0.038,0.029,0.038,0.029,0.03,0.176
"P45","Lo votaría",0.446,0.104,0.048,0.149,0.097,0.149
"P45","Puede que lo vote",0.263,0.095,0.101,0.252,0.099,0.154
"P45","Nunca lo votaría",0.268,0.764,0.816,0.484,0.782,0.544
"P45","No sabe",0.023,0.037,0.035,0.115,0.022,0.153
"P46","Lo votaría",0.466,0.082,0.036,0.135,0.055,0.054
"P46","Puede que lo vote",0.261,0.062,0.044,0.152,0.118,0.217
"P46","Nunca lo votaría",0.238,0.818,0.877,0.539,0.823,0.6
"P46","No sabe",0.035,0.038,0.043,0.174,0.004,0.129
"P47","Lo votaría",0.093,0.19,0.061,0.154,0.073,0.043
"P47","Puede que lo vote",0.225,0.336,0.198,0.258,0.095,0.221
"P47","Nunca lo votaría",0.588,0.402,0.677,0.499,0.787,0.569
"P47","No sabe",0.094,0.072,0.064,0.089,0.045,0.167
"P48","Lo votaría",0.704,0.096,0.055,0.269,0.065,0.114
"P48","Puede que lo vote",0.088,0.068,0.065,0.129,0.095,0.212
"P48","Nunca lo votaría",0.189,0.818,0.85,0.51,0.818,0.586
"P48","No sabe",0.019,0.018,0.03,0.092,0.022,0.088
"P49","Si",0.664,0.569,0.55,0.605,0.478,0.597
"P49","No",0.336,0.431,0.45,0.395,0.522,0.403
