"var","categoria","Agustín Rossi por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","En blanco","No sabe"
"P20","En blanco",0.008,0.011,0.11,0.008
"P20","No sabe",0.052,0.044,0.059,0.306
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.674,0.06,0.164,0.196
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.097,0.553,0.146,0.114
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.105,0.324,0.421,0.349
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.046,0.011,0.075,0.024
"P23","En blanco",0.017,0.011,0.133,0.013
"P23","No sabe",0.061,0.041,0.061,0.304
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.805,0.039,0.148,0.174
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.041,0.431,0.1,0.094
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.05,0.384,0.503,0.4
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.042,0.011,0.082,0.016
"P24","En blanco",0.011,0.044,0.11,0.02
"P24","No sabe",0.051,0.091,0.057,0.296
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.668,0.072,0.195,0.203
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.1,0.43,0.105,0.151
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.118,0.365,0.428,0.306
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.038,0.006,0.083,0.047
"P27","En blanco",0.015,0.05,0.147,0.026
"P27","No sabe",0.061,0.077,0.042,0.267
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.781,0.031,0.088,0.106
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.043,0.619,0.091,0.151
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.053,0.283,0.502,0.346
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.043,0.007,0.081,0.03
"P28","En blanco",0.021,0.015,0.176,0.029
"P28","No sabe",0.059,0.045,0.062,0.338
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.68,0.057,0.201,0.192
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.175,0.386,0.083,0.09
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.028,0.432,0.447,0.354
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.034,0.014,0.078,0.018
"P29","En blanco",0.023,0.038,0.123,0.026
"P29","No sabe",0.06,0.073,0.068,0.32
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.788,0.049,0.153,0.155
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.048,0.583,0.085,0.129
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.076,0.298,0.51,0.364
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.033,0.014,0.086,0.057
"P30","En blanco",0.017,0.021,0.139,0.014
"P30","No sabe",0.038,0.035,0.027,0.281
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.755,0.088,0.163,0.187
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.083,0.404,0.141,0.164
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.093,0.383,0.47,0.334
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.025,0.011,0.076,0.043
"P33","En blanco",0.013,0.047,0.121,0.01
"P33","No sabe",0.031,0.067,0.029,0.262
"P34","Sergio Massa por el Frente de Todos",0.874,0.016,0.183,0.148
"P34","Patricia Bullrich por Juntos por el Cambio",0.045,0.918,0.158,0.189
"P34","En blanco",0.045,0.038,0.537,0.091
"P34","No sabe",0.036,0.028,0.122,0.572
"P35","Sergio Massa por el Frente de Todos",0.887,0.026,0.149,0.152
"P35","Javier Milei por la Libertad Avanza",0.049,0.699,0.486,0.369
"P35","En blanco",0.037,0.136,0.316,0.047
"P35","No sabe",0.027,0.139,0.049,0.432
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.211,0.432,0.108,0.119
"P36","Javier Milei por la Libertad Avanza",0.067,0.458,0.551,0.395
"P36","En blanco",0.526,0.053,0.305,0.06
"P36","No sabe",0.196,0.057,0.036,0.426
"P37","Javier Milei por la Libertad Avanza",0.081,0.324,0.388,0.294
"P37","Patricia Bullrich por Juntos por el Cambio",0.074,0.649,0.222,0.215
"P37","En blanco",0.657,0.009,0.36,0.104
"P37","No sabe",0.188,0.018,0.03,0.387
"P38","Sergio Massa por el Frente de Todos",0.84,0.049,0.178,0.172
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.02,0.722,0.085,0.086
"P38","En blanco",0.098,0.153,0.718,0.1
"P38","No sabe",0.042,0.076,0.019,0.642
"P40","Daniel Scioli por el Frente de Todos",0.899,0.017,0.148,0.154
"P40","Patricia Bullrich por Juntos por el Cambio",0.031,0.964,0.174,0.208
"P40","En blanco",0.043,0.01,0.659,0.068
"P40","No sabe",0.027,0.009,0.019,0.57
"P41","Lo votaría",0.487,0.147,0.218,0.215
"P41","Puede que lo vote",0.389,0.073,0.081,0.081
"P41","Nunca lo votaría",0.068,0.752,0.636,0.465
"P41","No sabe",0.056,0.028,0.065,0.239
"P42","Lo votaría",0.081,0.609,0.117,0.151
"P42","Puede que lo vote",0.065,0.28,0.131,0.148
"P42","Nunca lo votaría",0.837,0.095,0.695,0.564
"P42","No sabe",0.017,0.016,0.057,0.137
"P43","Lo votaría",0.041,0.405,0.447,0.36
"P43","Puede que lo vote",0.037,0.341,0.105,0.064
"P43","Nunca lo votaría",0.905,0.222,0.433,0.445
"P43","No sabe",0.017,0.032,0.015,0.131
"P44","Lo votaría",0.035,0.356,0.113,0.119
"P44","Puede que lo vote",0.075,0.341,0.119,0.162
"P44","Nunca lo votaría",0.857,0.268,0.743,0.565
"P44","No sabe",0.033,0.035,0.025,0.154
"P45","Lo votaría",0.453,0.076,0.094,0.124
"P45","Puede que lo vote",0.273,0.101,0.104,0.144
"P45","Nunca lo votaría",0.245,0.8,0.769,0.555
"P45","No sabe",0.029,0.023,0.033,0.177
"P46","Lo votaría",0.563,0.02,0.027,0.036
"P46","Puede que lo vote",0.324,0.02,0.074,0.174
"P46","Nunca lo votaría",0.084,0.928,0.848,0.626
"P46","No sabe",0.029,0.032,0.051,0.164
"P47","Lo votaría",0.134,0.1,0.079,0.079
"P47","Puede que lo vote",0.276,0.268,0.119,0.164
"P47","Nunca lo votaría",0.506,0.568,0.726,0.585
"P47","No sabe",0.084,0.064,0.076,0.172
"P48","Lo votaría",0.744,0.033,0.139,0.176
"P48","Puede que lo vote",0.134,0.045,0.09,0.129
"P48","Nunca lo votaría",0.101,0.904,0.731,0.606
"P48","No sabe",0.021,0.018,0.04,0.089
"P49","Si",0.645,0.566,0.574,0.568
"P49","No",0.355,0.434,0.426,0.432
