"var","categoria","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.002,0.024,0.006,0.047,0.243,0.055
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.012,0.008,0.487,0.036,0.15
"P11","En blanco",0.003,0.004,0.002,0.036,0.272,0.019
"P11","No sabe",0.033,0.028,0.011,0.021,0.066,0.361
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.705,0.043,0.045,0.158,0.139,0.13
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.031,0.584,0.05,0.045,0.043,0.095
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.039,0.219,0.122,0.054,0.134,0.163
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.029,0.035,0.019,0.09,0.064,0.104
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.006,0.026,0.009,0.01,0.109,0.038
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.073,0.061,0.722,0.036,0.044,0.03
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.003,0.014,0.507,0.029,0.046
"P12","En blanco",0.021,0.008,0.008,0.078,0.387,0.043
"P12","No sabe",0.081,0.021,0.011,0.022,0.051,0.351
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.542,0.055,0.204,0.081,0.164,0.081
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.192,0.454,0.052,0.124,0.063,0.062
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.058,0.225,0.083,0.041,0.1,0.183
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.059,0.142,0.076,0.056,0.052,0.104
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.018,0.034,0.017,0.067,0.111,0.073
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.026,0.056,0.534,0.05,0.035,0.038
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.025,0.002,0.012,0.551,0.028,0.03
"P16","En blanco",0.02,0.011,0.007,0.015,0.394,0.054
"P16","No sabe",0.06,0.021,0.015,0.015,0.053,0.375
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.851,0.025,0.029,0.225,0.162,0.154
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.018,0.71,0.055,0.045,0.01,0.066
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.034,0.191,0.032,0.027,0.169,0.193
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.03,0.051,0.86,0.031,0.03,0.024
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.003,0.007,0.564,0.033,0.031
"P17","En blanco",0.014,0.005,0.007,0.04,0.489,0.039
"P17","No sabe",0.033,0.015,0.01,0.068,0.107,0.493
"P18","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.055,0.048,0.756,0.06,0.101,0.021
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.788,0.065,0.021,0.19,0.065,0.13
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.026,0.628,0.133,0.04,0.058,0.114
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.044,0.21,0.054,0.061,0.155,0.184
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.005,0.001,0.443,0.057,0.022
"P18","En blanco",0.024,0.009,0.025,0.058,0.488,0.061
"P18","No sabe",0.049,0.035,0.01,0.148,0.076,0.468
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.805,0.026,0.043,0.133,0.124,0.09
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.059,0.625,0.131,0.07,0.067,0.077
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.034,0.245,0.029,0.03,0.11,0.194
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.034,0.057,0.772,0.039,0.05,0.051
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.005,0.004,0.58,0.04,0.01
"P19","En blanco",0.014,0.01,0.011,0.057,0.52,0.058
"P19","No sabe",0.039,0.032,0.01,0.091,0.089,0.52
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.712,0.089,0.085,0.079,0.132,0.101
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.1,0.756,0.123,0.033,0.022,0.072
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.11,0.128,0.769,0.041,0.022,0.018
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.002,0.008,0.791,0.049,0.011
"P23","En blanco",0.013,0.005,0.01,0.029,0.754,0.023
"P23","No sabe",0.051,0.02,0.005,0.027,0.021,0.775
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.867,0.054,0.033,0.132,0.03,0.054
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.05,0.548,0.082,0.056,0.187,0.236
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.039,0.196,0.862,0.048,0.031,0.038
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.002,0.007,0.713,0.053,0.016
"P24","En blanco",0.008,0.06,0.006,0.024,0.668,0.07
"P24","No sabe",0.019,0.14,0.01,0.027,0.031,0.586
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.712,0.071,0.103,0.12,0.115,0.105
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.119,0.524,0.106,0.068,0.18,0.216
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.086,0.212,0.756,0.082,0.04,0.051
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.005,0.009,0.614,0.048,0.037
"P27","En blanco",0.017,0.073,0.018,0.084,0.601,0.089
"P27","No sabe",0.048,0.115,0.008,0.032,0.016,0.502
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.759,0.038,0.027,0.163,0.074,0.141
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.044,0.852,0.123,0.031,0.099,0.105
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.052,0.056,0.826,0.067,0.076,0.042
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.028,0.001,0.002,0.582,0.051,0.031
"P28","En blanco",0.039,0.018,0.016,0.071,0.682,0.049
"P28","No sabe",0.078,0.035,0.006,0.086,0.018,0.632
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.668,0.032,0.179,0.091,0.045,0.127
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.188,0.513,0.035,0.128,0.179,0.203
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.024,0.306,0.759,0.047,0.125,0.029
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.019,0.006,0.009,0.63,0.04,0.02
"P29","En blanco",0.026,0.051,0.009,0.034,0.59,0.069
"P29","No sabe",0.075,0.092,0.009,0.07,0.021,0.552
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.801,0.062,0.046,0.251,0.09,0.131
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.063,0.824,0.091,0.063,0.097,0.114
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.06,0.076,0.838,0.059,0.034,0.016
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.013,0.005,0.01,0.589,0.072,0.069
"P30","En blanco",0.029,0.018,0.004,0.025,0.67,0.058
"P30","No sabe",0.034,0.015,0.011,0.013,0.037,0.612
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.773,0.092,0.105,0.228,0.087,0.153
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.093,0.544,0.108,0.075,0.137,0.205
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.078,0.237,0.763,0.072,0.083,0.022
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.004,0.003,0.572,0.043,0.053
"P33","En blanco",0.016,0.055,0.008,0.022,0.616,0.06
"P33","No sabe",0.031,0.068,0.013,0.031,0.034,0.507
"P34","Sergio Massa por el Frente de Todos",0.921,0.017,0.048,0.273,0.074,0.139
"P34","Patricia Bullrich por Juntos por el Cambio",0.033,0.952,0.533,0.114,0.194,0.217
"P34","En blanco",0.023,0.014,0.251,0.401,0.68,0.139
"P34","No sabe",0.023,0.017,0.168,0.212,0.052,0.505
"P35","Sergio Massa por el Frente de Todos",0.92,0.028,0.029,0.343,0.08,0.185
"P35","Javier Milei por la Libertad Avanza",0.035,0.622,0.846,0.102,0.145,0.088
"P35","En blanco",0.023,0.171,0.075,0.357,0.715,0.19
"P35","No sabe",0.022,0.179,0.05,0.198,0.06,0.537
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.229,0.561,0.055,0.183,0.228,0.309
"P36","Javier Milei por la Libertad Avanza",0.046,0.272,0.905,0.108,0.079,0.058
"P36","En blanco",0.507,0.083,0.026,0.526,0.624,0.183
"P36","No sabe",0.218,0.084,0.014,0.183,0.069,0.45
"P37","Javier Milei por la Libertad Avanza",0.084,0.152,0.646,0.162,0.126,0.088
"P37","Patricia Bullrich por Juntos por el Cambio",0.064,0.786,0.325,0.11,0.113,0.254
"P37","En blanco",0.655,0.027,0.016,0.545,0.676,0.282
"P37","No sabe",0.197,0.035,0.013,0.183,0.085,0.376
"P38","Sergio Massa por el Frente de Todos",0.835,0.046,0.106,0.254,0.115,0.196
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.039,0.778,0.285,0.134,0.263,0.272
"P38","En blanco",0.089,0.098,0.435,0.449,0.605,0.155
"P38","No sabe",0.037,0.078,0.174,0.163,0.017,0.377
"P39","Agustín Rossi por el Frente de Todos",0.843,0.016,0.045,0.451,0.101,0.207
"P39","Patricia Bullrich por Juntos por el Cambio",0.033,0.911,0.519,0.167,0.205,0.273
"P39","En blanco",0.072,0.037,0.291,0.292,0.662,0.114
"P39","No sabe",0.052,0.036,0.145,0.09,0.032,0.406
"P40","Daniel Scioli por el Frente de Todos",0.886,0.016,0.031,0.48,0.183,0.247
"P40","Patricia Bullrich por Juntos por el Cambio",0.031,0.96,0.607,0.163,0.217,0.273
"P40","En blanco",0.051,0.011,0.267,0.271,0.513,0.116
"P40","No sabe",0.032,0.013,0.095,0.086,0.087,0.364
"P41","Lo votaría",0.553,0.163,0.156,0.112,0.095,0.052
"P41","Puede que lo vote",0.37,0.075,0.067,0.26,0.093,0.119
"P41","Nunca lo votaría",0.046,0.729,0.715,0.499,0.718,0.554
"P41","No sabe",0.031,0.033,0.062,0.129,0.094,0.275
"P42","Lo votaría",0.091,0.771,0.2,0.152,0.086,0.144
"P42","Puede que lo vote",0.042,0.136,0.415,0.055,0.165,0.142
"P42","Nunca lo votaría",0.842,0.085,0.342,0.731,0.672,0.596
"P42","No sabe",0.025,0.008,0.043,0.062,0.077,0.118
"P43","Lo votaría",0.043,0.259,0.742,0.05,0.081,0.037
"P43","Puede que lo vote",0.026,0.404,0.157,0.089,0.173,0.11
"P43","Nunca lo votaría",0.907,0.292,0.086,0.826,0.725,0.741
"P43","No sabe",0.024,0.045,0.015,0.035,0.021,0.112
"P44","Lo votaría",0.046,0.412,0.153,0.044,0.202,0.186
"P44","Puede que lo vote",0.096,0.374,0.186,0.15,0.136,0.146
"P44","Nunca lo votaría",0.82,0.182,0.615,0.754,0.646,0.541
"P44","No sabe",0.038,0.032,0.046,0.052,0.016,0.127
"P45","Lo votaría",0.491,0.083,0.036,0.075,0.133,0.13
"P45","Puede que lo vote",0.251,0.107,0.087,0.317,0.099,0.192
"P45","Nunca lo votaría",0.235,0.789,0.836,0.536,0.734,0.482
"P45","No sabe",0.023,0.021,0.041,0.072,0.034,0.196
"P46","Lo votaría",0.534,0.025,0.019,0.213,0.04,0.088
"P46","Puede que lo vote",0.32,0.02,0.026,0.228,0.132,0.217
"P46","Nunca lo votaría",0.114,0.932,0.907,0.41,0.787,0.533
"P46","No sabe",0.032,0.023,0.048,0.149,0.041,0.162
"P47","Lo votaría",0.139,0.122,0.051,0.147,0.137,0.059
"P47","Puede que lo vote",0.271,0.288,0.156,0.284,0.115,0.228
"P47","Nunca lo votaría",0.498,0.529,0.722,0.488,0.66,0.538
"P47","No sabe",0.092,0.061,0.071,0.081,0.088,0.175
"P48","Lo votaría",0.757,0.045,0.021,0.301,0.204,0.24
"P48","Puede que lo vote",0.128,0.04,0.06,0.216,0.082,0.155
"P48","Nunca lo votaría",0.099,0.899,0.885,0.427,0.681,0.501
"P48","No sabe",0.016,0.016,0.034,0.056,0.033,0.104
"P49","Si",0.675,0.574,0.521,0.577,0.512,0.61
"P49","No",0.325,0.426,0.479,0.423,0.488,0.39
