"var","categoria","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.063,0.135,0.075,0.025,0.087,0.107
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.013,0.03,0.02,0.079,0.084,0.075
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.058,0.06,0.481,0.058,0.044,0.038
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.007,0.005,0.012,0.612,0.045,0.035
"P16","En blanco",0.02,0.008,0.004,0.009,0.363,0.059
"P16","No sabe",0.034,0.02,0.017,0.006,0.083,0.447
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.746,0.102,0.101,0.246,0.176,0.204
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.052,0.597,0.115,0.011,0.026,0.052
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.042,0.157,0.055,0.047,0.193,0.175
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.104,0.115,0.704,0.019,0.043,0.027
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.003,0.006,0.547,0.047,0.047
"P17","En blanco",0.01,0.009,0.008,0.046,0.418,0.041
"P17","No sabe",0.035,0.017,0.011,0.084,0.097,0.454
"P18","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.101,0.13,0.62,0.047,0.119,0.016
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.685,0.116,0.105,0.25,0.108,0.181
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.076,0.532,0.159,0.033,0.065,0.091
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.058,0.182,0.068,0.07,0.153,0.163
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.006,0.005,0.415,0.032,0.027
"P18","En blanco",0.021,0.007,0.028,0.056,0.443,0.066
"P18","No sabe",0.05,0.027,0.015,0.129,0.08,0.456
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.682,0.088,0.113,0.192,0.194,0.174
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.096,0.54,0.161,0.055,0.055,0.088
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.047,0.209,0.059,0.027,0.14,0.15
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.09,0.127,0.634,0.035,0.085,0.047
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.012,0.004,0.006,0.529,0.011,0.03
"P19","En blanco",0.015,0.008,0.014,0.073,0.437,0.059
"P19","No sabe",0.058,0.024,0.013,0.089,0.078,0.452
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.77,0.107,0.116,0.105,0.114,0.167
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.088,0.741,0.123,0.013,0.038,0.059
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.085,0.122,0.748,0.052,0.085,0.015
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.005,0.006,0.769,0.033,0.012
"P20","En blanco",0.014,0.003,0.002,0.037,0.671,0.007
"P20","No sabe",0.032,0.022,0.005,0.024,0.059,0.74
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.729,0.127,0.116,0.153,0.098,0.139
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.094,0.473,0.114,0.019,0.211,0.198
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.113,0.22,0.741,0.042,0.057,0.034
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.004,0.012,0.722,0.028,0.014
"P24","En blanco",0.015,0.052,0.006,0.051,0.582,0.061
"P24","No sabe",0.038,0.124,0.011,0.013,0.024,0.554
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.751,0.095,0.112,0.093,0.026,0.059
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.099,0.532,0.119,0.081,0.192,0.169
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.108,0.199,0.732,0.043,0.066,0.05
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0.006,0.016,0.673,0.034,0.026
"P27","En blanco",0.013,0.065,0.012,0.085,0.652,0.088
"P27","No sabe",0.023,0.103,0.009,0.025,0.03,0.608
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.668,0.098,0.088,0.156,0.159,0.168
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.101,0.752,0.166,0.008,0.067,0.07
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.106,0.112,0.702,0.054,0.087,0.023
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.003,0.009,0.621,0.031,0.027
"P28","En blanco",0.036,0.012,0.02,0.083,0.634,0.046
"P28","No sabe",0.072,0.023,0.015,0.078,0.022,0.666
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.691,0.086,0.13,0.088,0.097,0.167
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.114,0.536,0.091,0.069,0.224,0.168
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.096,0.238,0.734,0.02,0.092,0.038
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.01,0.007,0.704,0.037,0.01
"P29","En blanco",0.018,0.046,0.016,0.045,0.537,0.065
"P29","No sabe",0.071,0.084,0.022,0.074,0.013,0.552
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.695,0.131,0.107,0.263,0.19,0.177
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.126,0.694,0.16,0.019,0.073,0.094
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.101,0.145,0.704,0.068,0.041,0.024
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.002,0.012,0.633,0.06,0.055
"P30","En blanco",0.027,0.014,0.004,0.009,0.614,0.056
"P30","No sabe",0.04,0.014,0.013,0.008,0.022,0.594
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.734,0.128,0.119,0.231,0.202,0.232
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.089,0.538,0.115,0.055,0.133,0.168
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.11,0.219,0.735,0.065,0.073,0.039
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.004,0.005,0.005,0.596,0.041,0.043
"P33","En blanco",0.019,0.048,0.007,0.024,0.54,0.052
"P33","No sabe",0.044,0.062,0.019,0.029,0.011,0.466
"P34","Sergio Massa por el Frente de Todos",0.768,0.102,0.124,0.324,0.214,0.258
"P34","Patricia Bullrich por Juntos por el Cambio",0.134,0.846,0.518,0.101,0.176,0.195
"P34","En blanco",0.052,0.023,0.213,0.33,0.586,0.121
"P34","No sabe",0.046,0.029,0.145,0.245,0.024,0.426
"P35","Sergio Massa por el Frente de Todos",0.767,0.115,0.111,0.388,0.161,0.309
"P35","Javier Milei por la Libertad Avanza",0.137,0.532,0.795,0.12,0.182,0.088
"P35","En blanco",0.046,0.171,0.056,0.334,0.602,0.149
"P35","No sabe",0.05,0.182,0.038,0.158,0.055,0.454
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.222,0.518,0.108,0.193,0.215,0.305
"P36","Javier Milei por la Libertad Avanza",0.109,0.296,0.776,0.096,0.089,0.081
"P36","En blanco",0.459,0.105,0.066,0.552,0.622,0.201
"P36","No sabe",0.21,0.081,0.05,0.159,0.074,0.413
"P37","Javier Milei por la Libertad Avanza",0.117,0.129,0.607,0.165,0.151,0.115
"P37","Patricia Bullrich por Juntos por el Cambio",0.105,0.766,0.283,0.085,0.14,0.233
"P37","En blanco",0.595,0.071,0.062,0.567,0.635,0.298
"P37","No sabe",0.183,0.034,0.048,0.183,0.074,0.354
"P38","Sergio Massa por el Frente de Todos",0.742,0.119,0.14,0.328,0.177,0.295
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.088,0.678,0.333,0.121,0.228,0.224
"P38","En blanco",0.122,0.125,0.357,0.394,0.588,0.15
"P38","No sabe",0.048,0.078,0.17,0.157,0.007,0.331
"P39","Agustín Rossi por el Frente de Todos",0.74,0.092,0.114,0.432,0.16,0.24
"P39","Patricia Bullrich por Juntos por el Cambio",0.101,0.805,0.54,0.155,0.171,0.247
"P39","En blanco",0.087,0.067,0.22,0.338,0.628,0.116
"P39","No sabe",0.072,0.036,0.126,0.075,0.041,0.397
"P40","Daniel Scioli por el Frente de Todos",0.812,0.093,0.11,0.449,0.093,0.212
"P40","Patricia Bullrich por Juntos por el Cambio",0.13,0.846,0.595,0.185,0.187,0.253
"P40","En blanco",0.037,0.039,0.209,0.293,0.649,0.134
"P40","No sabe",0.021,0.022,0.086,0.073,0.071,0.401
"P41","Lo votaría",0.554,0.15,0.171,0.104,0.168,0.159
"P41","Puede que lo vote",0.294,0.118,0.116,0.286,0.104,0.105
"P41","Nunca lo votaría",0.12,0.697,0.65,0.471,0.68,0.48
"P41","No sabe",0.032,0.035,0.063,0.139,0.048,0.256
"P42","Lo votaría",0.128,0.683,0.247,0.129,0.096,0.138
"P42","Puede que lo vote",0.073,0.143,0.368,0.082,0.125,0.114
"P42","Nunca lo votaría",0.777,0.166,0.342,0.716,0.744,0.613
"P42","No sabe",0.022,0.008,0.043,0.073,0.035,0.135
"P43","Lo votaría",0.109,0.218,0.697,0.054,0.072,0.036
"P43","Puede que lo vote",0.06,0.377,0.129,0.13,0.188,0.117
"P43","Nunca lo votaría",0.804,0.363,0.159,0.781,0.714,0.736
"P43","No sabe",0.027,0.042,0.015,0.035,0.026,0.111
"P44","Lo votaría",0.07,0.386,0.152,0.047,0.175,0.166
"P44","Puede que lo vote",0.115,0.324,0.21,0.205,0.101,0.152
"P44","Nunca lo votaría",0.785,0.255,0.593,0.686,0.703,0.543
"P44","No sabe",0.03,0.035,0.045,0.062,0.021,0.139
"P45","Lo votaría",0.527,0.076,0.07,0.13,0.071,0.041
"P45","Puede que lo vote",0.233,0.096,0.118,0.332,0.109,0.227
"P45","Nunca lo votaría",0.225,0.806,0.768,0.464,0.802,0.529
"P45","No sabe",0.015,0.022,0.044,0.074,0.018,0.203
"P46","Lo votaría",0.482,0.064,0.071,0.178,0.074,0.085
"P46","Puede que lo vote",0.268,0.051,0.056,0.272,0.149,0.217
"P46","Nunca lo votaría",0.211,0.862,0.829,0.421,0.749,0.54
"P46","No sabe",0.039,0.023,0.044,0.129,0.028,0.158
"P47","Lo votaría",0.1,0.131,0.083,0.136,0.14,0.066
"P47","Puede que lo vote",0.223,0.3,0.188,0.33,0.135,0.23
"P47","Nunca lo votaría",0.582,0.501,0.665,0.461,0.659,0.526
"P47","No sabe",0.095,0.068,0.064,0.073,0.066,0.178
"P48","Lo votaría",0.673,0.09,0.09,0.33,0.207,0.285
"P48","Puede que lo vote",0.112,0.052,0.073,0.209,0.087,0.13
"P48","Nunca lo votaría",0.199,0.835,0.809,0.408,0.681,0.488
"P48","No sabe",0.016,0.023,0.028,0.053,0.025,0.097
"P49","Si",0.659,0.552,0.569,0.583,0.507,0.625
"P49","No",0.341,0.448,0.431,0.417,0.493,0.375
