"var","categoria","A Horacio Rodriguez Larreta","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P34","Patricia Bullrich por Juntos por el Cambio",0.799,0.97,0.349,0.711
"P34","En blanco",0.082,0.004,0.111,0.175
"P34","No sabe",0.096,0.007,0.102,0.023
"P35","Sergio Massa por el Frente de Todos",0.091,0.019,0.475,0.152
"P35","Javier Milei por la Libertad Avanza",0.379,0.545,0.106,0.375
"P35","En blanco",0.25,0.218,0.286,0.319
"P35","No sabe",0.28,0.218,0.133,0.154
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.825,0.548,0.385,0.476
"P36","Javier Milei por la Libertad Avanza",0.123,0.273,0.092,0.35
"P36","En blanco",0.031,0.095,0.322,0.115
"P36","No sabe",0.021,0.084,0.201,0.059
"P37","Javier Milei por la Libertad Avanza",0.146,0.076,0.07,0.139
"P37","Patricia Bullrich por Juntos por el Cambio",0.726,0.904,0.502,0.736
"P37","En blanco",0.074,0.014,0.343,0.078
"P37","No sabe",0.054,0.006,0.085,0.047
"P38","Sergio Massa por el Frente de Todos",0.035,0.082,0.404,0.081
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.938,0.735,0.411,0.84
"P38","En blanco",0.015,0.11,0.132,0.025
"P38","No sabe",0.012,0.073,0.053,0.054
"P39","Agustín Rossi por el Frente de Todos",0.024,0.019,0.357,0.208
"P39","Patricia Bullrich por Juntos por el Cambio",0.821,0.943,0.368,0.593
"P39","En blanco",0.108,0.017,0.202,0.149
"P39","No sabe",0.047,0.021,0.073,0.05
"P40","Daniel Scioli por el Frente de Todos",0.069,0.019,0.461,0.186
"P40","Patricia Bullrich por Juntos por el Cambio",0.828,0.96,0.407,0.605
"P40","En blanco",0.062,0.006,0.087,0.171
"P40","No sabe",0.041,0.015,0.045,0.038
"P41","Lo votaría",0.027,0.017,0.432,0.189
"P41","Puede que lo vote",0.087,0.107,0.078,0.074
"P41","Nunca lo votaría",0.821,0.838,0.441,0.722
"P41","No sabe",0.065,0.038,0.049,0.015
"P42","Lo votaría",0.462,0.859,0.112,0.459
"P42","Puede que lo vote",0.359,0.056,0.247,0.263
"P42","Nunca lo votaría",0.152,0.08,0.583,0.278
"P42","No sabe",0.027,0.005,0.058,0
"P43","Lo votaría",0.178,0.146,0.015,0.146
"P43","Puede que lo vote",0.286,0.446,0.096,0.256
"P43","Nunca lo votaría",0.495,0.367,0.868,0.57
"P43","No sabe",0.041,0.041,0.021,0.028
"P44","Lo votaría",0.782,0.381,0.178,0.355
"P44","Puede que lo vote",0.204,0.353,0.318,0.349
"P44","Nunca lo votaría",0.014,0.224,0.504,0.266
"P44","No sabe",0,0.042,0,0.03
"P45","Lo votaría",0.104,0.033,0.246,0.155
"P45","Puede que lo vote",0.097,0.078,0.225,0.047
"P45","Nunca lo votaría",0.765,0.877,0.509,0.763
"P45","No sabe",0.034,0.012,0.02,0.035
"P46","Lo votaría",0.014,0.015,0.241,0.164
"P46","Puede que lo vote",0.102,0.016,0.234,0.011
"P46","Nunca lo votaría",0.871,0.938,0.514,0.754
"P46","No sabe",0.013,0.031,0.011,0.071
"P47","Lo votaría",0.047,0.111,0.595,0.327
"P47","Puede que lo vote",0.433,0.296,0.154,0.245
"P47","Nunca lo votaría",0.436,0.5,0.214,0.257
"P47","No sabe",0.084,0.093,0.037,0.171
"P48","Lo votaría",0.017,0.024,0.269,0.235
"P48","Puede que lo vote",0.12,0.028,0.156,0.038
"P48","Nunca lo votaría",0.842,0.927,0.575,0.556
"P48","No sabe",0.021,0.021,0,0.171
"P49","Si",0.501,0.522,0.582,0.512
"P49","No",0.499,0.478,0.418,0.488
