"var","categoria","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.055,0.051,0.691,0.221,0.028,0.049,0.102
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.018,0.025,0.07,0.563,0.065,0.026,0.034
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.841,0.032,0.148,0.063,0.062,0.171,0.055
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.018,0.004,0.015,0.629,0.036,0.066
"P10","En blanco",0.003,0.017,0.011,0.013,0.006,0.442,0.02
"P10","No sabe",0.022,0.06,0.051,0.039,0.066,0.135,0.527
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.777,0.037,0.138,0.031,0.003,0.146,0.047
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.064,0.781,0.04,0.116,0.111,0.107,0.175
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.066,0.047,0.611,0.17,0.04,0.067,0.073
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.055,0.033,0.115,0.562,0.026,0.04,0.022
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.019,0.015,0.016,0.051,0.214,0.069,0.071
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.006,0.006,0.025,0.025,0.016,0.188,0.047
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.003,0.024,0.013,0.014,0.577,0.062,0.185
"P11","En blanco",0.002,0.006,0.006,0.005,0,0.251,0.011
"P11","No sabe",0.008,0.051,0.036,0.026,0.013,0.07,0.369
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.067,0.706,0.063,0.058,0.127,0.068,0.134
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.042,0.067,0.596,0.15,0.022,0.046,0.059
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.106,0.037,0.121,0.555,0.046,0.026,0.023
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.022,0.013,0.026,0.068,0.12,0.104,0.098
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.006,0.005,0.022,0.032,0.058,0.071,0.037
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.737,0.059,0.119,0.11,0.01,0.148,0.044
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.025,0.003,0.014,0.568,0.027,0.094
"P12","En blanco",0.005,0.017,0.015,0.001,0.036,0.42,0.032
"P12","No sabe",0.007,0.071,0.035,0.012,0.013,0.09,0.479
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.277,0.509,0.067,0.107,0.106,0.055,0.116
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.051,0.241,0.438,0.102,0.049,0.059,0.092
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.061,0.059,0.135,0.559,0.019,0.011,0.03
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.066,0.045,0.169,0.074,0.102,0.082,0.053
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.014,0.009,0.024,0.059,0.103,0.133,0.048
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.511,0.027,0.115,0.071,0.046,0.167,0.052
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.027,0.003,0.009,0.57,0.051,0.112
"P16","En blanco",0.003,0.019,0.016,0.001,0,0.391,0.037
"P16","No sabe",0.009,0.064,0.033,0.018,0.005,0.051,0.46
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.073,0.886,0.023,0.059,0.104,0.08,0.149
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.044,0.047,0.731,0.18,0.025,0.039,0.088
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.015,0.02,0.067,0.613,0.035,0.043,0.026
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.851,0.011,0.136,0.092,0.004,0.186,0.032
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0.017,0.001,0.022,0.733,0.019,0.056
"P17","En blanco",0.004,0.002,0.01,0.009,0.021,0.542,0.025
"P17","No sabe",0.007,0.017,0.032,0.025,0.078,0.091,0.624
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.109,0.792,0.014,0.085,0.082,0.081,0.119
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.07,0.089,0.763,0.09,0.017,0.054,0.054
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.009,0.032,0.1,0.655,0.031,0.025,0.017
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.787,0.02,0.101,0.143,0,0.138,0.028
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.003,0.014,0.003,0.008,0.801,0.004,0.049
"P19","En blanco",0.004,0.014,0.003,0.008,0.004,0.608,0.021
"P19","No sabe",0.018,0.039,0.016,0.011,0.065,0.09,0.712
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.067,0.843,0.034,0.123,0.155,0.188,0.193
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.053,0.063,0.746,0.524,0.055,0.06,0.124
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.851,0.02,0.16,0.138,0.012,0.175,0.036
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.026,0.007,0.021,0.638,0.057,0.073
"P20","En blanco",0.012,0.007,0.008,0.043,0.066,0.379,0.03
"P20","No sabe",0.008,0.041,0.045,0.151,0.074,0.141,0.544
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.113,0.673,0.093,0.146,0.095,0.149,0.185
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.146,0.115,0.655,0.467,0.067,0.049,0.1
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.711,0.106,0.2,0.178,0.05,0.204,0.056
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.035,0.006,0.026,0.648,0.058,0.069
"P23","En blanco",0.016,0.013,0.01,0.047,0.043,0.386,0.036
"P23","No sabe",0.006,0.058,0.036,0.136,0.097,0.154,0.554
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.074,0.81,0.056,0.11,0.127,0.111,0.186
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.063,0.07,0.391,0.707,0.083,0.08,0.134
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.832,0.038,0.302,0.126,0.004,0.196,0.032
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0.027,0.005,0.023,0.705,0.053,0.06
"P24","En blanco",0.017,0.014,0.074,0.01,0.031,0.476,0.039
"P24","No sabe",0.008,0.041,0.172,0.024,0.05,0.084,0.549
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.129,0.679,0.083,0.119,0.113,0.139,0.184
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.102,0.119,0.409,0.679,0.101,0.032,0.1
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.724,0.105,0.276,0.146,0.018,0.195,0.079
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.03,0.006,0.015,0.656,0.049,0.054
"P27","En blanco",0.025,0.016,0.086,0.013,0.074,0.522,0.066
"P27","No sabe",0.01,0.051,0.14,0.028,0.038,0.063,0.517
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.063,0.752,0.033,0.099,0.147,0.078,0.189
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.131,0.068,0.758,0.56,0.036,0.047,0.13
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.784,0.058,0.137,0.111,0.047,0.175,0.044
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.005,0.034,0.002,0.021,0.635,0.052,0.052
"P28","En blanco",0.008,0.02,0.027,0.067,0.031,0.529,0.072
"P28","No sabe",0.009,0.068,0.043,0.142,0.104,0.119,0.513
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.211,0.656,0.053,0.068,0.094,0.12,0.157
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.036,0.197,0.383,0.638,0.111,0.089,0.127
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.731,0.025,0.387,0.174,0.027,0.146,0.069
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.027,0.005,0.023,0.667,0.028,0.062
"P29","En blanco",0.01,0.024,0.058,0.018,0.074,0.513,0.061
"P29","No sabe",0.004,0.071,0.114,0.079,0.027,0.104,0.524
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.079,0.816,0.054,0.128,0.114,0.058,0.158
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.107,0.078,0.729,0.548,0.076,0.11,0.114
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.801,0.055,0.159,0.13,0.02,0.169,0.058
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0.019,0.005,0.024,0.716,0.094,0.071
"P30","En blanco",0.003,0.011,0.019,0.064,0.032,0.518,0.053
"P30","No sabe",0.004,0.021,0.034,0.106,0.042,0.051,0.546
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.134,0.795,0.084,0.132,0.082,0.112,0.173
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.109,0.098,0.42,0.63,0.071,0.062,0.144
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.74,0.071,0.332,0.144,0.059,0.166,0.065
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.005,0.012,0.005,0.011,0.649,0.072,0.074
"P33","En blanco",0.009,0.009,0.062,0.023,0.059,0.481,0.05
"P33","No sabe",0.003,0.015,0.097,0.06,0.08,0.107,0.494
"P34","Sergio Massa por el Frente de Todos",0.095,0.858,0.015,0.116,0.263,0.169,0.301
"P34","Patricia Bullrich por Juntos por el Cambio",0.474,0.068,0.948,0.709,0.142,0.184,0.162
"P34","En blanco",0.253,0.031,0.018,0.08,0.392,0.573,0.135
"P34","No sabe",0.178,0.043,0.019,0.095,0.203,0.074,0.402
"P35","Sergio Massa por el Frente de Todos",0.071,0.862,0.019,0.145,0.358,0.18,0.322
"P35","Javier Milei por la Libertad Avanza",0.812,0.059,0.674,0.393,0.11,0.184,0.147
"P35","En blanco",0.065,0.041,0.144,0.244,0.37,0.498,0.128
"P35","No sabe",0.052,0.038,0.163,0.218,0.162,0.138,0.403
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.062,0.229,0.407,0.77,0.222,0.11,0.19
"P36","Javier Milei por la Libertad Avanza",0.873,0.049,0.396,0.132,0.084,0.13,0.108
"P36","En blanco",0.038,0.508,0.096,0.074,0.489,0.52,0.26
"P36","No sabe",0.027,0.214,0.101,0.024,0.205,0.24,0.442
"P37","Javier Milei por la Libertad Avanza",0.662,0.079,0.14,0.24,0.148,0.18,0.118
"P37","Patricia Bullrich por Juntos por el Cambio",0.277,0.088,0.79,0.6,0.091,0.143,0.149
"P37","En blanco",0.038,0.642,0.036,0.098,0.574,0.564,0.33
"P37","No sabe",0.023,0.191,0.034,0.062,0.187,0.113,0.403
"P38","Sergio Massa por el Frente de Todos",0.137,0.797,0.056,0.109,0.307,0.189,0.284
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.274,0.058,0.659,0.8,0.154,0.142,0.189
"P38","En blanco",0.422,0.101,0.156,0.064,0.374,0.632,0.178
"P38","No sabe",0.167,0.044,0.129,0.027,0.165,0.037,0.349
"P39","Agustín Rossi por el Frente de Todos",0.078,0.841,0.019,0.065,0.404,0.101,0.282
"P39","Patricia Bullrich por Juntos por el Cambio",0.486,0.061,0.861,0.764,0.165,0.216,0.204
"P39","En blanco",0.289,0.053,0.06,0.112,0.344,0.54,0.148
"P39","No sabe",0.147,0.045,0.06,0.059,0.087,0.143,0.366
"P40","Daniel Scioli por el Frente de Todos",0.079,0.846,0.02,0.111,0.417,0.199,0.345
"P40","Patricia Bullrich por Juntos por el Cambio",0.554,0.065,0.95,0.764,0.207,0.205,0.182
"P40","En blanco",0.263,0.058,0.014,0.062,0.274,0.435,0.173
"P40","No sabe",0.104,0.031,0.016,0.063,0.102,0.161,0.3
"P41","Lo votaría",0.165,0.493,0.195,0.186,0.093,0.133,0.162
"P41","Puede que lo vote",0.071,0.368,0.06,0.098,0.289,0.129,0.193
"P41","Nunca lo votaría",0.696,0.097,0.713,0.679,0.462,0.648,0.398
"P41","No sabe",0.068,0.042,0.032,0.037,0.156,0.09,0.247
"P42","Lo votaría",0.209,0.108,0.773,0.414,0.06,0.146,0.123
"P42","Puede que lo vote",0.37,0.056,0.115,0.354,0.089,0.091,0.078
"P42","Nunca lo votaría",0.377,0.811,0.104,0.19,0.795,0.735,0.678
"P42","No sabe",0.044,0.025,0.008,0.042,0.056,0.028,0.121
"P43","Lo votaría",0.742,0.041,0.34,0.139,0.018,0.112,0.078
"P43","Puede que lo vote",0.128,0.05,0.369,0.334,0.158,0.112,0.112
"P43","Nunca lo votaría",0.117,0.883,0.248,0.473,0.816,0.703,0.727
"P43","No sabe",0.013,0.026,0.043,0.054,0.008,0.073,0.083
"P44","Lo votaría",0.151,0.049,0.277,0.671,0.068,0.059,0.06
"P44","Puede que lo vote",0.174,0.099,0.401,0.197,0.194,0.113,0.187
"P44","Nunca lo votaría",0.625,0.814,0.283,0.105,0.724,0.757,0.65
"P44","No sabe",0.05,0.038,0.039,0.027,0.014,0.071,0.103
"P45","Lo votaría",0.065,0.457,0.062,0.187,0.097,0.091,0.152
"P45","Puede que lo vote",0.075,0.247,0.12,0.135,0.248,0.15,0.214
"P45","Nunca lo votaría",0.82,0.262,0.794,0.653,0.583,0.657,0.497
"P45","No sabe",0.04,0.034,0.024,0.025,0.072,0.102,0.137
"P46","Lo votaría",0.042,0.542,0.012,0.049,0.183,0.072,0.106
"P46","Puede que lo vote",0.028,0.294,0.037,0.08,0.131,0.185,0.271
"P46","Nunca lo votaría",0.882,0.125,0.919,0.841,0.575,0.679,0.485
"P46","No sabe",0.048,0.039,0.032,0.03,0.111,0.064,0.138
"P47","Lo votaría",0.072,0.127,0.073,0.179,0.209,0.101,0.088
"P47","Puede que lo vote",0.165,0.263,0.269,0.319,0.306,0.126,0.172
"P47","Nunca lo votaría",0.689,0.512,0.594,0.432,0.447,0.724,0.565
"P47","No sabe",0.074,0.098,0.064,0.07,0.038,0.049,0.175
"P48","Lo votaría",0.066,0.772,0.019,0.064,0.323,0.16,0.268
"P48","Puede que lo vote",0.069,0.103,0.044,0.068,0.177,0.143,0.219
"P48","Nunca lo votaría",0.835,0.107,0.916,0.84,0.428,0.68,0.411
"P48","No sabe",0.03,0.018,0.021,0.028,0.072,0.017,0.102
"P49","Si",0.563,0.668,0.541,0.611,0.631,0.507,0.539
"P49","No",0.437,0.332,0.459,0.389,0.369,0.493,0.461
