"var","categoria","A Sergio Massa","A Daniel Scioli","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P24","No sabe",0.044,0.084,0.178,0.147
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.717,0.885,0.49,0.743
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.08,0.09,0.171,0.045
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.1,0.015,0.101,0.005
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.004,0,0.016
"P27","En blanco",0.035,0,0.059,0.04
"P27","No sabe",0.045,0.006,0.179,0.151
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.771,0.771,0.38,0.79
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.11,0.057,0.194,0.022
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.011,0.036,0.219,0.014
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.043,0.015,0,0.012
"P28","En blanco",0.021,0.011,0.044,0.034
"P28","No sabe",0.044,0.11,0.163,0.128
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.805,0.751,0.356,0.794
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.085,0.075,0.151,0.021
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.007,0.041,0.289,0.018
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.063,0.038,0,0.012
"P29","En blanco",0.008,0.017,0.041,0.033
"P29","No sabe",0.032,0.078,0.163,0.122
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.73,0.768,0.362,0.781
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.107,0.049,0.353,0.014
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.066,0.051,0.073,0.032
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.031,0.033,0,0.009
"P30","En blanco",0.031,0.033,0.028,0.021
"P30","No sabe",0.035,0.066,0.184,0.143
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.794,0.822,0.464,0.846
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.124,0.032,0.023,0.009
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.03,0.034,0.304,0.018
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.051,0,0.005
"P33","En blanco",0.011,0.024,0.028,0.019
"P33","No sabe",0.033,0.037,0.181,0.103
"P34","Sergio Massa por el Frente de Todos",0.937,0.891,0.506,0.79
"P34","Patricia Bullrich por Juntos por el Cambio",0.054,0.035,0.333,0.024
"P34","En blanco",0.007,0.024,0.041,0.055
"P34","No sabe",0.002,0.05,0.12,0.131
"P35","Sergio Massa por el Frente de Todos",0.929,0.878,0.519,0.827
"P35","Javier Milei por la Libertad Avanza",0.056,0.071,0.305,0.021
"P35","En blanco",0.009,0.034,0.042,0.052
"P35","No sabe",0.006,0.017,0.134,0.1
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.308,0.153,0.221,0.169
"P36","Javier Milei por la Libertad Avanza",0.029,0.102,0.168,0.01
"P36","En blanco",0.498,0.467,0.388,0.577
"P36","No sabe",0.165,0.278,0.223,0.244
"P37","Javier Milei por la Libertad Avanza",0.066,0.098,0.031,0.016
"P37","Patricia Bullrich por Juntos por el Cambio",0.128,0.041,0.304,0.031
"P37","En blanco",0.672,0.485,0.451,0.743
"P37","No sabe",0.134,0.376,0.214,0.21
"P38","Sergio Massa por el Frente de Todos",0.882,0.824,0.5,0.731
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.016,0.021,0.232,0.019
"P38","En blanco",0.095,0.106,0.182,0.158
"P38","No sabe",0.007,0.049,0.086,0.092
"P39","Agustín Rossi por el Frente de Todos",0.861,0.782,0.429,0.789
"P39","Patricia Bullrich por Juntos por el Cambio",0.014,0.057,0.302,0.018
"P39","En blanco",0.093,0.072,0.139,0.079
"P39","No sabe",0.032,0.089,0.13,0.114
"P40","Daniel Scioli por el Frente de Todos",0.912,0.902,0.526,0.834
"P40","Patricia Bullrich por Juntos por el Cambio",0.014,0.09,0.372,0.018
"P40","En blanco",0.05,0,0.017,0.089
"P40","No sabe",0.024,0.008,0.085,0.059
"P41","Lo votaría",0.845,0.51,0.337,0.528
"P41","Puede que lo vote",0.061,0.294,0.226,0.258
"P41","Nunca lo votaría",0.066,0.152,0.348,0.125
"P41","No sabe",0.028,0.044,0.089,0.089
"P42","Lo votaría",0.155,0.116,0.244,0.022
"P42","Puede que lo vote",0.007,0.007,0.065,0.028
"P42","Nunca lo votaría",0.827,0.847,0.691,0.933
"P42","No sabe",0.011,0.03,0,0.017
"P43","Lo votaría",0.076,0.102,0.072,0.003
"P43","Puede que lo vote",0.045,0.017,0.28,0.025
"P43","Nunca lo votaría",0.877,0.802,0.648,0.952
"P43","No sabe",0.002,0.079,0,0.02
"P44","Lo votaría",0.079,0.062,0.14,0.002
"P44","Puede que lo vote",0.058,0.019,0.151,0.054
"P44","Nunca lo votaría",0.826,0.871,0.709,0.928
"P44","No sabe",0.037,0.048,0,0.016
"P45","Lo votaría",0.581,0.754,0.352,0.489
"P45","Puede que lo vote",0.236,0.038,0.247,0.302
"P45","Nunca lo votaría",0.181,0.195,0.354,0.16
"P45","No sabe",0.002,0.013,0.047,0.049
"P46","Lo votaría",0.523,0.49,0.313,0.53
"P46","Puede que lo vote",0.358,0.367,0.339,0.315
"P46","Nunca lo votaría",0.109,0.143,0.314,0.085
"P46","No sabe",0.01,0,0.034,0.07
"P47","Lo votaría",0.126,0.088,0.093,0.055
"P47","Puede que lo vote",0.211,0.22,0.284,0.143
"P47","Nunca lo votaría",0.538,0.59,0.473,0.671
"P47","No sabe",0.125,0.102,0.15,0.131
"P48","Lo votaría",0.758,0.861,0.369,0.83
"P48","Puede que lo vote",0.189,0.074,0.117,0.08
"P48","Nunca lo votaría",0.043,0.052,0.497,0.05
"P48","No sabe",0.01,0.013,0.017,0.04
"P49","Si",0.734,0.55,0.73,0.608
"P49","No",0.266,0.45,0.27,0.392
