"var","categoria","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P11","En blanco",0.007,0.005,0.003,0.002,0.123,0.01
"P11","No sabe",0.043,0.02,0.01,0.008,0.08,0.265
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.668,0.206,0.038,0.125,0.096,0.099
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.032,0.362,0.224,0.053,0.303,0.229
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.04,0.274,0.134,0.063,0.049,0.062
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.01,0.056,0.018,0.065,0.055,0.092
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.004,0.027,0.01,0.03,0.052,0.04
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.19,0.044,0.552,0.041,0.028,0.046
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.013,0.004,0.003,0.54,0.042,0.017
"P12","En blanco",0.013,0.004,0.009,0.056,0.283,0.027
"P12","No sabe",0.03,0.023,0.012,0.027,0.092,0.388
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.54,0.099,0.181,0.122,0.09,0.131
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.177,0.387,0.143,0.056,0.211,0.223
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.057,0.311,0.086,0.043,0.044,0.055
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.055,0.117,0.1,0.047,0.157,0.092
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.011,0.04,0.018,0.05,0.055,0.071
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.077,0.016,0.446,0.031,0.057,0.046
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.022,0.004,0.004,0.632,0.035,0.013
"P16","En blanco",0.014,0.005,0.01,0.002,0.265,0.024
"P16","No sabe",0.047,0.021,0.012,0.017,0.086,0.345
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.736,0.214,0.024,0.17,0.174,0.224
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.023,0.449,0.256,0.03,0.28,0.253
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.013,0.272,0.054,0.07,0.024,0.072
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.178,0.024,0.651,0.045,0.06,0.032
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.016,0.004,0.568,0.026,0.007
"P17","En blanco",0.005,0.004,0.005,0.002,0.336,0.012
"P17","No sabe",0.028,0.021,0.006,0.115,0.1,0.4
"P18","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.188,0.036,0.578,0.052,0.051,0.009
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.673,0.228,0.023,0.214,0.138,0.198
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.046,0.381,0.302,0.035,0.289,0.274
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.028,0.293,0.063,0.074,0.041,0.087
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.011,0.002,0.467,0.038,0.007
"P18","En blanco",0.014,0.012,0.015,0.026,0.349,0.034
"P18","No sabe",0.043,0.039,0.017,0.132,0.094,0.391
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.648,0.189,0.042,0.139,0.161,0.216
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.088,0.386,0.285,0.086,0.281,0.268
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.025,0.32,0.049,0.031,0.055,0.09
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.151,0.051,0.598,0.049,0.037,0.039
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.014,0.004,0.528,0.027,0.009
"P19","En blanco",0.014,0.006,0.006,0.05,0.34,0.019
"P19","No sabe",0.059,0.034,0.016,0.117,0.099,0.359
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.735,0.234,0.023,0.16,0.163,0.227
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.035,0.62,0.291,0.054,0.312,0.268
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.176,0.039,0.662,0.069,0.047,0.025
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.012,0.019,0.005,0.639,0.025,0.025
"P20","En blanco",0.004,0.02,0.011,0.031,0.335,0.006
"P20","No sabe",0.038,0.068,0.008,0.047,0.118,0.449
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.7,0.13,0.087,0.081,0.104,0.197
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.094,0.667,0.233,0.088,0.289,0.253
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.131,0.104,0.658,0.055,0.09,0.06
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.012,0.01,0.002,0.717,0.034,0.027
"P23","En blanco",0.012,0.031,0.01,0.035,0.372,0.004
"P23","No sabe",0.051,0.058,0.01,0.024,0.111,0.459
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.696,0.233,0.049,0.142,0.197,0.224
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.051,0.636,0.143,0.047,0.057,0.081
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.192,0.065,0.743,0.081,0.042,0.048
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.004,0.005,0.693,0.031,0.018
"P24","En blanco",0.009,0.013,0.024,0.034,0.558,0.03
"P24","No sabe",0.035,0.049,0.036,0.003,0.115,0.599
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.724,0.112,0.085,0.145,0.122,0.188
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.09,0.734,0.096,0.084,0.028,0.099
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.101,0.1,0.757,0.04,0.068,0.074
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.005,0.009,0.649,0.042,0.011
"P27","En blanco",0.02,0.017,0.024,0.077,0.682,0.027
"P27","No sabe",0.045,0.032,0.029,0.005,0.058,0.601
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.716,0.264,0.007,0.094,0.031,0.05
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.022,0.637,0.356,0.086,0.241,0.234
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.21,0.018,0.625,0.045,0.051,0.018
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.019,0.003,0.002,0.742,0.042,0.006
"P28","En blanco",0.012,0.034,0.005,0.014,0.578,0.036
"P28","No sabe",0.021,0.044,0.005,0.019,0.057,0.656
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.673,0.251,0.044,0.157,0.131,0.214
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.058,0.596,0.327,0.047,0.233,0.255
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.22,0.077,0.613,0.04,0.033,0.016
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.004,0.007,0.714,0.061,0.03
"P30","En blanco",0.006,0.031,0.004,0.022,0.527,0.012
"P30","No sabe",0.034,0.041,0.005,0.02,0.015,0.473
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.803,0.13,0.082,0.194,0.091,0.199
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.083,0.725,0.086,0.045,0.046,0.108
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.082,0.104,0.803,0.041,0.062,0.069
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0.003,0.003,0.672,0.011,0.029
"P33","En blanco",0.005,0.015,0.008,0.021,0.715,0.029
"P33","No sabe",0.021,0.023,0.018,0.027,0.075,0.566
"P34","Sergio Massa por el Frente de Todos",0.744,0.21,0.034,0.291,0.18,0.29
"P34","Patricia Bullrich por Juntos por el Cambio",0.111,0.715,0.657,0.144,0.424,0.359
"P34","En blanco",0.078,0.029,0.187,0.333,0.305,0.082
"P34","No sabe",0.067,0.046,0.122,0.232,0.091,0.269
"P35","Sergio Massa por el Frente de Todos",0.746,0.226,0.018,0.346,0.228,0.304
"P35","Javier Milei por la Libertad Avanza",0.126,0.368,0.932,0.127,0.166,0.163
"P35","En blanco",0.071,0.203,0.025,0.364,0.523,0.105
"P35","No sabe",0.057,0.203,0.025,0.163,0.083,0.428
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.176,0.685,0.119,0.15,0.158,0.236
"P36","Javier Milei por la Libertad Avanza",0.199,0.096,0.819,0.128,0.103,0.095
"P36","En blanco",0.44,0.152,0.023,0.576,0.602,0.188
"P36","No sabe",0.185,0.067,0.039,0.146,0.137,0.481
"P37","Javier Milei por la Libertad Avanza",0.084,0.132,0.607,0.117,0.024,0.119
"P37","Patricia Bullrich por Juntos por el Cambio",0.193,0.651,0.343,0.147,0.382,0.326
"P37","En blanco",0.563,0.148,0.02,0.601,0.534,0.22
"P37","No sabe",0.16,0.069,0.03,0.135,0.06,0.335
"P38","Sergio Massa por el Frente de Todos",0.695,0.213,0.085,0.228,0.214,0.294
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.085,0.719,0.397,0.115,0.17,0.227
"P38","En blanco",0.153,0.046,0.357,0.517,0.59,0.089
"P38","No sabe",0.067,0.022,0.161,0.14,0.026,0.39
"P39","Agustín Rossi por el Frente de Todos",0.732,0.209,0.027,0.347,0.152,0.193
"P39","Patricia Bullrich por Juntos por el Cambio",0.095,0.707,0.647,0.213,0.388,0.36
"P39","En blanco",0.104,0.048,0.211,0.381,0.401,0.105
"P39","No sabe",0.069,0.036,0.115,0.059,0.059,0.342
"P40","Daniel Scioli por el Frente de Todos",0.749,0.213,0.019,0.37,0.2,0.285
"P40","Patricia Bullrich por Juntos por el Cambio",0.13,0.716,0.723,0.182,0.43,0.385
"P40","En blanco",0.078,0.036,0.186,0.392,0.291,0.076
"P40","No sabe",0.043,0.035,0.072,0.056,0.079,0.254
"P41","Lo votaría",0.545,0.092,0.195,0.142,0.143,0.223
"P41","Puede que lo vote",0.258,0.225,0.055,0.2,0.138,0.14
"P41","Nunca lo votaría",0.142,0.649,0.7,0.569,0.581,0.481
"P41","No sabe",0.055,0.034,0.05,0.089,0.138,0.156
"P42","Lo votaría",0.095,0.565,0.387,0.18,0.386,0.282
"P42","Puede que lo vote",0.098,0.163,0.315,0.077,0.06,0.129
"P42","Nunca lo votaría",0.779,0.252,0.261,0.736,0.5,0.51
"P42","No sabe",0.028,0.02,0.037,0.007,0.054,0.079
"P43","Lo votaría",0.105,0.112,0.759,0.052,0.047,0.043
"P43","Puede que lo vote",0.083,0.3,0.193,0.115,0.189,0.218
"P43","Nunca lo votaría",0.784,0.539,0.041,0.824,0.701,0.634
"P43","No sabe",0.028,0.049,0.007,0.009,0.063,0.105
"P44","Lo votaría",0.064,0.488,0.155,0.072,0.022,0.113
"P44","Puede que lo vote",0.089,0.282,0.261,0.135,0.204,0.26
"P44","Nunca lo votaría",0.805,0.204,0.548,0.768,0.714,0.494
"P44","No sabe",0.042,0.026,0.036,0.025,0.06,0.133
"P45","Lo votaría",0.451,0.096,0.071,0.145,0.098,0.174
"P45","Puede que lo vote",0.256,0.11,0.094,0.256,0.123,0.178
"P45","Nunca lo votaría",0.261,0.763,0.809,0.538,0.713,0.515
"P45","No sabe",0.032,0.031,0.026,0.061,0.066,0.133
"P46","Lo votaría",0.503,0.134,0.009,0.119,0.049,0.022
"P46","Puede que lo vote",0.243,0.109,0.012,0.218,0.227,0.208
"P46","Nunca lo votaría",0.232,0.718,0.938,0.566,0.705,0.604
"P46","No sabe",0.022,0.039,0.041,0.097,0.019,0.166
"P47","Lo votaría",0.083,0.211,0.052,0.194,0.058,0.049
"P47","Puede que lo vote",0.22,0.357,0.177,0.251,0.159,0.213
"P47","Nunca lo votaría",0.608,0.36,0.712,0.477,0.734,0.552
"P47","No sabe",0.089,0.072,0.059,0.078,0.049,0.186
"P48","Lo votaría",0.666,0.187,0.027,0.297,0.131,0.209
"P48","Puede que lo vote",0.083,0.066,0.054,0.17,0.163,0.198
"P48","Nunca lo votaría",0.232,0.729,0.89,0.443,0.685,0.519
"P48","No sabe",0.019,0.018,0.029,0.09,0.021,0.074
"P49","Si",0.631,0.601,0.559,0.584,0.541,0.58
"P49","No",0.369,0.399,0.441,0.416,0.459,0.42
