"var","categoria","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.211,0.488,0.069,0.029,0.209,0.146
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.047,0.336,0.693,0.057,0.036,0.022
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.005,0.005,0.685,0.02,0.01
"P29","En blanco",0.021,0.036,0.006,0.077,0.656,0.01
"P29","No sabe",0.071,0.082,0.006,0.082,0.032,0.673
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.763,0.123,0.137,0.048,0.061,0.113
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.119,0.498,0.143,0,0.187,0.137
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.107,0.27,0.703,0.059,0.015,0.021
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.001,0.003,0.004,0.757,0.002,0.003
"P33","En blanco",0.002,0.041,0.008,0.04,0.724,0.011
"P33","No sabe",0.008,0.065,0.005,0.096,0.011,0.715
"P34","Sergio Massa por el Frente de Todos",0.836,0.044,0.088,0.214,0.252,0.205
"P34","Patricia Bullrich por Juntos por el Cambio",0.079,0.908,0.518,0.148,0.274,0.198
"P34","En blanco",0.041,0.022,0.24,0.404,0.433,0.081
"P34","No sabe",0.044,0.026,0.154,0.234,0.041,0.516
"P35","Sergio Massa por el Frente de Todos",0.837,0.053,0.072,0.276,0.255,0.253
"P35","Javier Milei por la Libertad Avanza",0.074,0.599,0.811,0.132,0.166,0.106
"P35","En blanco",0.043,0.17,0.068,0.406,0.481,0.118
"P35","No sabe",0.046,0.178,0.049,0.186,0.098,0.523
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.229,0.526,0.097,0.188,0.253,0.295
"P36","Javier Milei por la Libertad Avanza",0.08,0.29,0.841,0.106,0.069,0.072
"P36","En blanco",0.49,0.088,0.038,0.499,0.548,0.16
"P36","No sabe",0.201,0.096,0.024,0.207,0.13,0.473
"P37","Javier Milei por la Libertad Avanza",0.095,0.154,0.625,0.19,0.089,0.096
"P37","Patricia Bullrich por Juntos por el Cambio",0.106,0.764,0.306,0.109,0.199,0.217
"P37","En blanco",0.616,0.04,0.04,0.564,0.635,0.243
"P37","No sabe",0.183,0.042,0.029,0.137,0.077,0.444
"P38","Sergio Massa por el Frente de Todos",0.788,0.07,0.126,0.234,0.193,0.21
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.063,0.747,0.298,0.14,0.256,0.252
"P38","En blanco",0.107,0.1,0.407,0.505,0.545,0.076
"P38","No sabe",0.042,0.083,0.169,0.121,0.006,0.462
"P39","Agustín Rossi por el Frente de Todos",0.796,0.047,0.085,0.286,0.139,0.192
"P39","Patricia Bullrich por Juntos por el Cambio",0.077,0.871,0.507,0.19,0.267,0.272
"P39","En blanco",0.075,0.04,0.274,0.359,0.556,0.066
"P39","No sabe",0.052,0.042,0.134,0.165,0.038,0.47
"P40","Daniel Scioli por el Frente de Todos",0.819,0.05,0.07,0.319,0.229,0.299
"P40","Patricia Bullrich por Juntos por el Cambio",0.084,0.925,0.581,0.186,0.308,0.248
"P40","En blanco",0.052,0.01,0.258,0.344,0.4,0.088
"P40","No sabe",0.045,0.015,0.091,0.151,0.063,0.365
"P41","Lo votaría",0.488,0.165,0.184,0.11,0.201,0.17
"P41","Puede que lo vote",0.35,0.073,0.088,0.193,0.167,0.132
"P41","Nunca lo votaría",0.11,0.734,0.661,0.549,0.589,0.462
"P41","No sabe",0.052,0.028,0.067,0.148,0.043,0.236
"P42","Lo votaría",0.089,0.746,0.221,0.114,0.218,0.143
"P42","Puede que lo vote",0.062,0.146,0.381,0.107,0.103,0.141
"P42","Nunca lo votaría",0.82,0.099,0.353,0.735,0.628,0.595
"P42","No sabe",0.029,0.009,0.045,0.044,0.051,0.121
"P43","Lo votaría",0.06,0.282,0.702,0.028,0.043,0.03
"P43","Puede que lo vote",0.054,0.377,0.145,0.154,0.134,0.142
"P43","Nunca lo votaría",0.858,0.301,0.137,0.76,0.79,0.716
"P43","No sabe",0.028,0.04,0.016,0.058,0.033,0.112
"P44","Lo votaría",0.047,0.413,0.157,0.054,0.207,0.153
"P44","Puede que lo vote",0.111,0.353,0.181,0.188,0.127,0.192
