"var","categoria","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.064,0.156,0.073,0.071,0.062,0.069,0.067
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.015,0.026,0.064,0.015,0.053,0.139,0.056
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.041,0.086,0.03,0.547,0.051,0.094,0.05
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.005,0.003,0.011,0.644,0.071,0.063
"P16","En blanco",0.021,0.012,0,0.002,0.004,0.448,0.051
"P16","No sabe",0.054,0.036,0.027,0.011,0,0.042,0.475
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.884,0.072,0.043,0.026,0.137,0.141,0.192
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.013,0.739,0.239,0.033,0.045,0.022,0.078
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.02,0.027,0.672,0.038,0.006,0.021,0.01
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.039,0.119,0.018,0.885,0.021,0.035,0.045
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.006,0.01,0.006,0.759,0.037,0.026
"P17","En blanco",0.008,0.008,0.005,0.002,0.014,0.649,0.028
"P17","No sabe",0.028,0.029,0.013,0.01,0.018,0.095,0.621
"P18","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.096,0.076,0.02,0.791,0.026,0.028,0.053
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.806,0.111,0.085,0.023,0.122,0.127,0.132
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.011,0.74,0.208,0.091,0.018,0.023,0.042
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.033,0.042,0.657,0.063,0.028,0.026,0.014
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.002,0.008,0,0.673,0.003,0.02
"P18","En blanco",0.011,0.009,0.009,0.022,0.004,0.738,0.042
"P18","No sabe",0.035,0.02,0.013,0.01,0.129,0.055,0.697
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.872,0.075,0.098,0.041,0.145,0.128,0.155
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.025,0.723,0.624,0.063,0.043,0.079,0.115
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.043,0.153,0.074,0.865,0.033,0.09,0.036
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.011,0.011,0.006,0.711,0.066,0.046
"P20","En blanco",0.013,0.009,0.031,0.006,0.039,0.478,0.035
"P20","No sabe",0.029,0.029,0.162,0.019,0.029,0.159,0.613
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.685,0.113,0.12,0.1,0.111,0.127,0.218
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.088,0.641,0.542,0.142,0.032,0.069,0.091
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.117,0.195,0.157,0.724,0.052,0.116,0.05
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.028,0.009,0.01,0.006,0.701,0.087,0.048
"P23","En blanco",0.024,0.008,0.044,0.011,0.013,0.441,0.036
"P23","No sabe",0.058,0.034,0.127,0.017,0.091,0.16,0.557
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.838,0.083,0.121,0.05,0.161,0.072,0.16
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.037,0.397,0.75,0.085,0.051,0.042,0.096
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.065,0.283,0.072,0.838,0.02,0.114,0.046
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.009,0.005,0.009,0.732,0.09,0.046
"P24","En blanco",0.02,0.068,0.014,0.007,0.021,0.573,0.051
"P24","No sabe",0.025,0.16,0.038,0.011,0.015,0.109,0.601
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.697,0.104,0.1,0.118,0.086,0.113,0.224
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.101,0.404,0.712,0.105,0.078,0.019,0.087
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.108,0.27,0.126,0.734,0.058,0.115,0.07
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.011,0.004,0.011,0.655,0.082,0.046
"P27","En blanco",0.028,0.075,0.018,0.019,0.058,0.62,0.066
"P27","No sabe",0.048,0.136,0.04,0.013,0.065,0.051,0.507
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.745,0.068,0.081,0.037,0.226,0.155,0.233
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.039,0.727,0.622,0.143,0.031,0.058,0.117
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.081,0.134,0.093,0.789,0.033,0.043,0.037
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.026,0.008,0.004,0.005,0.614,0.086,0.043
"P28","En blanco",0.026,0.029,0.069,0.01,0.02,0.572,0.061
"P28","No sabe",0.083,0.034,0.131,0.016,0.076,0.086,0.509
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.656,0.097,0.06,0.169,0.141,0.141,0.218
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.169,0.376,0.691,0.05,0.114,0.056,0.11
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.048,0.352,0.134,0.751,0.042,0.07,0.067
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.012,0.01,0.007,0.627,0.064,0.056
"P29","En blanco",0.029,0.055,0.024,0.007,0.045,0.601,0.064
"P29","No sabe",0.08,0.108,0.081,0.016,0.031,0.068,0.485
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.817,0.091,0.125,0.046,0.226,0.169,0.208
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.061,0.696,0.597,0.127,0.034,0.061,0.105
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.064,0.158,0.101,0.796,0.027,0.067,0.066
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.008,0.015,0.013,0.607,0.176,0.063
"P30","En blanco",0.021,0.016,0.062,0.005,0.016,0.516,0.066
"P30","No sabe",0.029,0.031,0.1,0.013,0.09,0.011,0.492
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.778,0.131,0.116,0.12,0.233,0.137,0.222
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.085,0.409,0.674,0.11,0.053,0.02,0.133
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.09,0.303,0.128,0.74,0.052,0.149,0.064
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.007,0.009,0,0.008,0.563,0.12,0.061
"P33","En blanco",0.015,0.059,0.023,0.01,0.044,0.493,0.068
"P33","No sabe",0.025,0.089,0.059,0.012,0.055,0.081,0.452
"P34","Sergio Massa por el Frente de Todos",0.921,0.055,0.097,0.063,0.332,0.118,0.227
"P34","Patricia Bullrich por Juntos por el Cambio",0.035,0.896,0.776,0.49,0.102,0.144,0.204
"P34","En blanco",0.021,0.017,0.057,0.271,0.375,0.628,0.122
"P34","No sabe",0.023,0.032,0.07,0.176,0.191,0.11,0.447
"P35","Sergio Massa por el Frente de Todos",0.921,0.058,0.122,0.043,0.433,0.145,0.25
"P35","Javier Milei por la Libertad Avanza",0.041,0.649,0.432,0.83,0.102,0.1,0.115
"P35","En blanco",0.017,0.138,0.243,0.072,0.334,0.643,0.141
"P35","No sabe",0.021,0.155,0.203,0.055,0.131,0.112,0.494
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.217,0.412,0.75,0.073,0.162,0.069,0.192
"P36","Javier Milei por la Libertad Avanza",0.064,0.376,0.127,0.872,0.082,0.139,0.082
"P36","En blanco",0.503,0.104,0.086,0.03,0.617,0.625,0.257
"P36","No sabe",0.216,0.108,0.037,0.025,0.139,0.167,0.469
"P37","Javier Milei por la Libertad Avanza",0.09,0.152,0.193,0.659,0.125,0.156,0.125
"P37","Patricia Bullrich por Juntos por el Cambio",0.063,0.746,0.637,0.304,0.042,0.125,0.156
"P37","En blanco",0.645,0.058,0.1,0.019,0.69,0.65,0.344
"P37","No sabe",0.202,0.044,0.07,0.018,0.143,0.069,0.375
"P38","Sergio Massa por el Frente de Todos",0.853,0.08,0.073,0.123,0.353,0.165,0.249
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.03,0.643,0.834,0.278,0.127,0.119,0.158
"P38","En blanco",0.082,0.153,0.057,0.43,0.386,0.716,0.203
"P38","No sabe",0.035,0.124,0.036,0.169,0.134,0,0.39
"P39","Agustín Rossi por el Frente de Todos",0.849,0.054,0.073,0.055,0.529,0.17,0.281
"P39","Patricia Bullrich por Juntos por el Cambio",0.032,0.833,0.808,0.492,0.118,0.172,0.212
"P39","En blanco",0.071,0.064,0.066,0.304,0.288,0.513,0.108
"P39","No sabe",0.048,0.049,0.053,0.149,0.065,0.145,0.399
"P40","Daniel Scioli por el Frente de Todos",0.885,0.051,0.093,0.042,0.532,0.241,0.34
"P40","Patricia Bullrich por Juntos por el Cambio",0.036,0.91,0.801,0.567,0.146,0.144,0.224
"P40","En blanco",0.05,0.02,0.051,0.285,0.253,0.469,0.116
"P40","No sabe",0.029,0.019,0.055,0.106,0.069,0.146,0.32
"P41","Lo votaría",0.552,0.216,0.154,0.15,0.091,0.039,0.079
"P41","Puede que lo vote",0.361,0.059,0.123,0.071,0.308,0.164,0.219
"P41","Nunca lo votaría",0.052,0.698,0.677,0.71,0.449,0.665,0.45
"P41","No sabe",0.035,0.027,0.046,0.069,0.152,0.132,0.252
"P42","Lo votaría",0.092,0.758,0.465,0.197,0.022,0.069,0.142
"P42","Puede que lo vote",0.039,0.114,0.314,0.383,0.136,0.155,0.091
"P42","Nunca lo votaría",0.844,0.125,0.195,0.368,0.799,0.718,0.637
"P42","No sabe",0.025,0.003,0.026,0.052,0.043,0.058,0.13
"P43","Lo votaría",0.039,0.329,0.144,0.747,0.012,0.103,0.07
"P43","Puede que lo vote",0.028,0.368,0.352,0.137,0.137,0.109,0.083
"P43","Nunca lo votaría",0.906,0.267,0.459,0.102,0.846,0.713,0.733
"P43","No sabe",0.027,0.036,0.045,0.014,0.005,0.075,0.114
"P44","Lo votaría",0.028,0.266,0.676,0.164,0.027,0.033,0.075
"P44","Puede que lo vote",0.08,0.417,0.194,0.176,0.184,0.099,0.148
"P44","Nunca lo votaría",0.85,0.28,0.108,0.617,0.778,0.794,0.642
"P44","No sabe",0.042,0.037,0.022,0.043,0.011,0.074,0.135
"P45","Lo votaría",0.488,0.072,0.163,0.054,0.103,0.152,0.138
"P45","Puede que lo vote",0.25,0.135,0.131,0.066,0.303,0.063,0.219
"P45","Nunca lo votaría",0.241,0.774,0.68,0.841,0.514,0.569,0.484
"P45","No sabe",0.021,0.019,0.026,0.039,0.08,0.216,0.159
"P46","Lo votaría",0.539,0.044,0.047,0.029,0.238,0.12,0.129
"P46","Puede que lo vote",0.306,0.054,0.061,0.022,0.267,0.19,0.219
"P46","Nunca lo votaría",0.11,0.868,0.863,0.906,0.402,0.608,0.533
"P46","No sabe",0.045,0.034,0.029,0.043,0.093,0.082,0.119
"P47","Lo votaría",0.132,0.079,0.159,0.059,0.148,0.144,0.13
"P47","Puede que lo vote",0.257,0.276,0.321,0.158,0.357,0.133,0.157
"P47","Nunca lo votaría",0.503,0.579,0.465,0.71,0.468,0.665,0.551
"P47","No sabe",0.108,0.066,0.055,0.073,0.027,0.058,0.162
"P48","Lo votaría",0.765,0.062,0.064,0.039,0.407,0.265,0.318
"P48","Puede que lo vote",0.119,0.049,0.053,0.063,0.176,0.143,0.185
"P48","Nunca lo votaría",0.099,0.872,0.861,0.859,0.355,0.577,0.4
"P48","No sabe",0.017,0.017,0.022,0.039,0.062,0.015,0.097
"P49","Si",0.66,0.58,0.575,0.537,0.618,0.496,0.608
"P49","No",0.34,0.42,0.425,0.463,0.382,0.504,0.392
