"var","categoria","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.02,0.059,0.11,0.779,0.09,0.029,0.048
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.007,0.015,0.008,0.606,0.006,0.016
"P19","En blanco",0.013,0.004,0.019,0.009,0.034,0.579,0.063
"P19","No sabe",0.039,0.036,0.029,0.015,0.146,0.096,0.591
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.923,0.024,0.069,0.035,0.08,0.1,0.161
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.008,0.87,0.519,0.058,0.043,0.095,0.088
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.013,0.07,0.147,0.875,0.116,0.069,0.054
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.007,0.016,0.011,0.672,0.085,0.029
"P20","En blanco",0.012,0.002,0.047,0.009,0.036,0.483,0.058
"P20","No sabe",0.027,0.027,0.202,0.012,0.053,0.168,0.61
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.698,0.087,0.09,0.102,0.101,0.157,0.213
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.093,0.726,0.504,0.122,0.023,0.053,0.098
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.1,0.144,0.15,0.744,0.073,0.09,0.086
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.025,0.001,0.017,0.015,0.7,0.076,0.023
"P23","En blanco",0.018,0.008,0.061,0.007,0.066,0.438,0.056
"P23","No sabe",0.066,0.034,0.178,0.01,0.037,0.186,0.524
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.868,0.048,0.084,0.047,0.08,0.094,0.167
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.038,0.469,0.783,0.062,0.081,0.068,0.079
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.036,0.233,0.07,0.862,0.069,0.133,0.049
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.01,0.013,0.01,0.71,0.056,0.032
"P24","En blanco",0.011,0.08,0.016,0.01,0.026,0.58,0.065
"P24","No sabe",0.033,0.16,0.034,0.009,0.034,0.069,0.608
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.713,0.066,0.087,0.112,0.079,0.194,0.211
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.109,0.469,0.741,0.085,0.044,0.029,0.071
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.08,0.238,0.102,0.766,0.087,0.101,0.067
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.011,0.004,0.016,0.675,0.026,0.043
"P27","En blanco",0.025,0.09,0.017,0.012,0.085,0.585,0.084
"P27","No sabe",0.056,0.126,0.049,0.009,0.03,0.065,0.524
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.77,0.036,0.068,0.033,0.18,0.119,0.21
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.035,0.835,0.57,0.108,0.059,0.06,0.147
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.051,0.071,0.082,0.829,0.033,0.077,0.05
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.027,0.004,0.011,0.004,0.673,0.005,0.046
"P28","En blanco",0.033,0.018,0.085,0.01,0.013,0.634,0.073
"P28","No sabe",0.084,0.036,0.184,0.016,0.042,0.105,0.474
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.672,0.034,0.046,0.18,0.102,0.14,0.218
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.177,0.463,0.659,0.027,0.1,0.092,0.088
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.021,0.329,0.152,0.764,0.041,0.07,0.098
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.005,0.011,0.01,0.701,0.013,0.033
"P29","En blanco",0.028,0.065,0.027,0.014,0.016,0.531,0.079
"P29","No sabe",0.082,0.104,0.105,0.005,0.04,0.154,0.484
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.825,0.068,0.079,0.036,0.208,0.167,0.21
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.048,0.798,0.586,0.097,0.058,0.047,0.14
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.056,0.084,0.104,0.845,0.023,0.055,0.055
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.006,0.026,0.009,0.685,0.089,0.053
"P30","En blanco",0.021,0.024,0.075,0.004,0.003,0.555,0.07
"P30","No sabe",0.041,0.02,0.13,0.009,0.023,0.087,0.472
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.776,0.087,0.096,0.111,0.2,0.21,0.281
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.085,0.495,0.631,0.098,0.076,0.029,0.109
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.078,0.259,0.165,0.768,0.038,0.03,0.067
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.007,0.005,0.009,0.006,0.644,0.101,0.027
"P33","En blanco",0.016,0.071,0.035,0.009,0.013,0.522,0.063
"P33","No sabe",0.038,0.083,0.064,0.008,0.029,0.108,0.453
"P34","Sergio Massa por el Frente de Todos",0.924,0.013,0.086,0.049,0.259,0.142,0.23
"P34","Patricia Bullrich por Juntos por el Cambio",0.027,0.967,0.723,0.506,0.122,0.109,0.198
"P34","En blanco",0.021,0.012,0.081,0.262,0.423,0.655,0.149
"P34","No sabe",0.028,0.008,0.11,0.183,0.196,0.094,0.423
"P35","Sergio Massa por el Frente de Todos",0.927,0.018,0.12,0.032,0.293,0.124,0.263
"P35","Javier Milei por la Libertad Avanza",0.02,0.64,0.456,0.848,0.157,0.078,0.144
"P35","En blanco",0.029,0.158,0.226,0.071,0.437,0.579,0.156
"P35","No sabe",0.024,0.184,0.198,0.049,0.113,0.219,0.437
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.218,0.482,0.823,0.032,0.179,0.082,0.163
"P36","Javier Milei por la Libertad Avanza",0.041,0.321,0.113,0.926,0.084,0.062,0.121
"P36","En blanco",0.528,0.096,0.044,0.023,0.6,0.542,0.247
"P36","No sabe",0.213,0.101,0.02,0.019,0.137,0.314,0.469
"P37","Javier Milei por la Libertad Avanza",0.066,0.144,0.285,0.644,0.173,0.13,0.092
"P37","Patricia Bullrich por Juntos por el Cambio",0.065,0.788,0.571,0.319,0.07,0.103,0.227
"P37","En blanco",0.664,0.033,0.081,0.02,0.631,0.587,0.333
"P37","No sabe",0.205,0.035,0.063,0.017,0.126,0.18,0.348
"P38","Sergio Massa por el Frente de Todos",0.845,0.048,0.056,0.122,0.228,0.168,0.246
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.017,0.726,0.875,0.267,0.147,0.111,0.167
"P38","En blanco",0.091,0.129,0.036,0.438,0.505,0.656,0.209
"P38","No sabe",0.047,0.097,0.033,0.173,0.12,0.065,0.378
"P39","Agustín Rossi por el Frente de Todos",0.866,0.012,0.071,0.045,0.381,0.107,0.265
"P39","Patricia Bullrich por Juntos por el Cambio",0.016,0.899,0.782,0.5,0.136,0.147,0.284
"P39","En blanco",0.066,0.045,0.064,0.31,0.418,0.604,0.098
"P39","No sabe",0.052,0.044,0.083,0.145,0.065,0.142,0.353
"P40","Daniel Scioli por el Frente de Todos",0.895,0.016,0.079,0.028,0.419,0.223,0.347
"P40","Patricia Bullrich por Juntos por el Cambio",0.013,0.967,0.767,0.595,0.125,0.131,0.285
"P40","En blanco",0.056,0.006,0.073,0.275,0.404,0.473,0.081
"P40","No sabe",0.036,0.011,0.081,0.102,0.052,0.173,0.287
"P41","Lo votaría",0.546,0.183,0.204,0.135,0.019,0.12,0.101
"P41","Puede que lo vote",0.366,0.061,0.101,0.064,0.343,0.103,0.192
"P41","Nunca lo votaría",0.049,0.73,0.656,0.723,0.559,0.684,0.456
"P41","No sabe",0.039,0.026,0.039,0.078,0.079,0.093,0.251
"P42","Lo votaría",0.079,0.846,0.332,0.209,0.034,0.061,0.177
"P42","Puede que lo vote",0.041,0.067,0.413,0.396,0.066,0.097,0.138
"P42","Nunca lo votaría",0.86,0.085,0.214,0.34,0.897,0.746,0.563
"P42","No sabe",0.02,0.002,0.041,0.055,0.003,0.096,0.122
"P43","Lo votaría",0.031,0.301,0.127,0.769,0.008,0.041,0.083
"P43","Puede que lo vote",0.023,0.382,0.387,0.134,0.146,0.114,0.132
"P43","Nunca lo votaría",0.926,0.269,0.44,0.086,0.846,0.77,0.662
"P43","No sabe",0.02,0.048,0.046,0.011,0,0.075,0.123
"P44","Lo votaría",0.031,0.326,0.705,0.148,0.015,0.046,0.055
"P44","Puede que lo vote",0.08,0.41,0.218,0.171,0.199,0.161,0.191
"P44","Nunca lo votaría",0.854,0.224,0.063,0.638,0.751,0.754,0.593
"P44","No sabe",0.035,0.04,0.014,0.043,0.035,0.039,0.161
"P45","Lo votaría",0.485,0.07,0.192,0.033,0.126,0.129,0.107
"P45","Puede que lo vote",0.255,0.119,0.117,0.065,0.2,0.13,0.273
"P45","Nunca lo votaría",0.237,0.795,0.645,0.863,0.618,0.648,0.428
"P45","No sabe",0.023,0.016,0.046,0.039,0.056,0.093,0.192
"P46","Lo votaría",0.54,0.024,0.053,0.021,0.161,0.085,0.129
"P46","Puede que lo vote",0.327,0.027,0.059,0.019,0.184,0.091,0.249
"P46","Nunca lo votaría",0.092,0.927,0.848,0.914,0.539,0.657,0.505
"P46","No sabe",0.041,0.022,0.04,0.046,0.116,0.167,0.117
"P47","Lo votaría",0.133,0.099,0.168,0.05,0.152,0.097,0.106
"P47","Puede que lo vote",0.271,0.274,0.336,0.15,0.261,0.119,0.188
"P47","Nunca lo votaría",0.495,0.57,0.426,0.729,0.506,0.634,0.566
"P47","No sabe",0.101,0.057,0.07,0.071,0.081,0.15,0.14
"P48","Lo votaría",0.771,0.039,0.027,0.03,0.371,0.257,0.302
"P48","Puede que lo vote",0.13,0.039,0.065,0.061,0.158,0.087,0.173
"P48","Nunca lo votaría",0.083,0.909,0.878,0.873,0.387,0.604,0.44
"P48","No sabe",0.016,0.013,0.03,0.036,0.084,0.052,0.085
"P49","Si",0.668,0.557,0.583,0.551,0.628,0.496,0.563
"P49","No",0.332,0.443,0.417,0.449,0.372,0.504,0.437
