"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodriguez Larreta por Juntos por el Cambio","En blanco","No sabe"
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.096,0.165,0.49,0.36
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.734,0.029,0.133,0.106
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.047,0.426,0.156,0.18
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.016,0.274,0.03,0.04
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.023,0.032,0.03,0.039
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.011,0.03,0.022,0.028
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.028,0.023,0.065,0.063
"P11","En blanco",0.003,0.004,0.037,0.01
"P11","No sabe",0.042,0.017,0.037,0.174
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.633,0.05,0.127,0.123
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.053,0.395,0.139,0.206
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.036,0.263,0.08,0.049
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.035,0.045,0.023,0.032
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.011,0.033,0.014,0.014
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.126,0.183,0.449,0.337
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.024,0.009,0.062,0.035
"P12","En blanco",0.016,0.006,0.069,0.013
"P12","No sabe",0.066,0.016,0.037,0.191
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.47,0.081,0.219,0.147
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.213,0.326,0.111,0.171
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.06,0.257,0.052,0.079
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.055,0.131,0.088,0.095
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.023,0.044,0.022,0.031
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.056,0.131,0.348,0.252
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.031,0.009,0.061,0.039
"P16","En blanco",0.018,0.007,0.067,0.001
"P16","No sabe",0.074,0.014,0.032,0.185
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.762,0.025,0.152,0.13
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.036,0.5,0.127,0.227
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.024,0.242,0.024,0.023
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.089,0.192,0.525,0.376
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.032,0.007,0.062,0.029
"P17","En blanco",0.011,0.011,0.061,0.007
"P17","No sabe",0.046,0.023,0.049,0.208
"P18","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.102,0.181,0.468,0.343
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.716,0.046,0.134,0.109
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.045,0.465,0.185,0.283
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.039,0.253,0.034,0.026
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.022,0.01,0.04,0.033
"P18","En blanco",0.017,0.011,0.085,0.009
"P18","No sabe",0.059,0.034,0.054,0.197
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.717,0.022,0.102,0.081
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.066,0.468,0.186,0.279
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.028,0.278,0.032,0.037
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.092,0.184,0.477,0.346
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.031,0.01,0.051,0.033
"P19","En blanco",0.014,0.009,0.089,0
"P19","No sabe",0.052,0.029,0.063,0.224
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.785,0.032,0.125,0.096
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.044,0.669,0.141,0.209
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.089,0.212,0.543,0.401
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.026,0.012,0.068,0.046
"P20","En blanco",0.009,0.018,0.068,0.003
"P20","No sabe",0.047,0.057,0.055,0.245
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.637,0.067,0.156,0.114
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.119,0.598,0.184,0.214
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.122,0.257,0.463,0.408
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.034,0.011,0.06,0.044
"P23","En blanco",0.017,0.019,0.084,0.002
"P23","No sabe",0.071,0.048,0.053,0.218
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.758,0.053,0.124,0.11
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.059,0.547,0.062,0.056
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.096,0.295,0.544,0.436
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.024,0.012,0.076,0.03
"P24","En blanco",0.013,0.026,0.128,0.006
"P24","No sabe",0.05,0.067,0.066,0.362
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.627,0.084,0.161,0.162
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.106,0.556,0.066,0.098
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.152,0.264,0.501,0.39
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.028,0.006,0.081,0.027
"P27","En blanco",0.018,0.031,0.156,0.004
"P27","No sabe",0.069,0.059,0.035,0.319
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.687,0.042,0.131,0.104
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.071,0.67,0.155,0.255
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.094,0.2,0.504,0.377
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.03,0.012,0.072,0.022
"P28","En blanco",0.033,0.021,0.103,0.012
"P28","No sabe",0.085,0.055,0.035,0.23
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.611,0.066,0.199,0.162
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.169,0.504,0.054,0.049
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.082,0.34,0.513,0.428
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.021,0.01,0.072,0.036
"P29","En blanco",0.03,0.021,0.123,0.01
"P29","No sabe",0.087,0.059,0.039,0.315
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.738,0.052,0.148,0.109
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.068,0.643,0.144,0.223
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.107,0.223,0.512,0.393
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.026,0.014,0.082,0.036
"P30","En blanco",0.022,0.026,0.093,0.002
"P30","No sabe",0.039,0.042,0.021,0.237
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.694,0.091,0.191,0.135
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.1,0.528,0.065,0.111
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.137,0.294,0.519,0.396
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.012,0.064,0.034
"P33","En blanco",0.018,0.031,0.126,0.003
"P33","No sabe",0.034,0.044,0.035,0.321
"P34","Sergio Massa por el Frente de Todos",0.837,0.023,0.123,0.103
"P34","Patricia Bullrich por Juntos por el Cambio",0.093,0.878,0.401,0.405
"P34","En blanco",0.034,0.06,0.383,0.03
"P34","No sabe",0.036,0.039,0.093,0.462
"P35","Sergio Massa por el Frente de Todos",0.837,0.036,0.117,0.108
"P35","Javier Milei por la Libertad Avanza",0.108,0.642,0.588,0.449
"P35","En blanco",0.026,0.166,0.241,0.038
"P35","No sabe",0.029,0.156,0.054,0.405
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.2,0.574,0.064,0.069
"P36","Javier Milei por la Libertad Avanza",0.133,0.343,0.606,0.47
"P36","En blanco",0.477,0.044,0.287,0.028
"P36","No sabe",0.19,0.039,0.043,0.433
"P37","Javier Milei por la Libertad Avanza",0.151,0.26,0.4,0.277
"P37","Patricia Bullrich por Juntos por el Cambio",0.095,0.686,0.273,0.334
"P37","En blanco",0.583,0.025,0.308,0.041
"P37","No sabe",0.171,0.029,0.019,0.348
"P39","Agustín Rossi por el Frente de Todos",0.794,0.017,0.138,0.11
"P39","Patricia Bullrich por Juntos por el Cambio",0.071,0.925,0.329,0.306
"P39","En blanco",0.081,0.034,0.487,0.024
"P39","No sabe",0.054,0.024,0.046,0.56
"P40","Daniel Scioli por el Frente de Todos",0.789,0.034,0.156,0.157
"P40","Patricia Bullrich por Juntos por el Cambio",0.093,0.907,0.441,0.436
"P40","En blanco",0.069,0.036,0.381,0.03
"P40","No sabe",0.049,0.023,0.022,0.377
"P41","Lo votaría",0.481,0.184,0.141,0.152
"P41","Puede que lo vote",0.354,0.078,0.096,0.082
"P41","Nunca lo votaría",0.11,0.705,0.717,0.561
"P41","No sabe",0.055,0.033,0.046,0.205
"P42","Lo votaría",0.081,0.613,0.237,0.347
"P42","Puede que lo vote",0.077,0.242,0.228,0.195
"P42","Nunca lo votaría",0.809,0.126,0.507,0.363
"P42","No sabe",0.033,0.019,0.028,0.095
"P43","Lo votaría",0.09,0.327,0.492,0.415
"P43","Puede que lo vote",0.061,0.358,0.129,0.126
"P43","Nunca lo votaría",0.819,0.279,0.361,0.385
"P43","No sabe",0.03,0.036,0.018,0.074
"P44","Lo votaría",0.06,0.461,0.046,0.068
"P44","Puede que lo vote",0.097,0.396,0.094,0.174
"P44","Nunca lo votaría",0.806,0.122,0.819,0.61
"P44","No sabe",0.037,0.021,0.041,0.148
"P45","Lo votaría",0.403,0.1,0.105,0.092
"P45","Puede que lo vote",0.244,0.124,0.087,0.153
"P45","Nunca lo votaría",0.314,0.752,0.771,0.643
"P45","No sabe",0.039,0.024,0.037,0.112
"P46","Lo votaría",0.458,0.033,0.094,0.07
"P46","Puede que lo vote",0.283,0.034,0.075,0.141
"P46","Nunca lo votaría",0.205,0.903,0.791,0.692
"P46","No sabe",0.054,0.03,0.04,0.097
"P47","Lo votaría",0.12,0.129,0.064,0.064
"P47","Puede que lo vote",0.25,0.3,0.143,0.195
"P47","Nunca lo votaría",0.535,0.507,0.729,0.603
"P47","No sabe",0.095,0.064,0.064,0.138
"P48","Lo votaría",0.683,0.051,0.126,0.118
"P48","Puede que lo vote",0.126,0.054,0.072,0.109
"P48","Nunca lo votaría",0.166,0.876,0.775,0.696
"P48","No sabe",0.025,0.019,0.027,0.077
"P49","Si",0.652,0.562,0.595,0.503
"P49","No",0.348,0.438,0.405,0.497
