"var","categoria","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P45","Nunca lo votaría",0.26,0.72,0.84,0.534,0.798,0.597
"P45","No sabe",0.033,0.02,0.032,0.069,0.081,0.126
"P46","Lo votaría",0.517,0.049,0.024,0.163,0.04,0.069
"P46","Puede que lo vote",0.299,0.036,0.036,0.239,0.088,0.162
"P46","Nunca lo votaría",0.138,0.885,0.903,0.511,0.818,0.656
"P46","No sabe",0.046,0.03,0.037,0.087,0.054,0.113
"P47","Lo votaría",0.136,0.145,0.062,0.144,0.063,0.052
"P47","Puede que lo vote",0.258,0.3,0.197,0.296,0.125,0.2
"P47","Nunca lo votaría",0.5,0.491,0.679,0.515,0.781,0.596
"P47","No sabe",0.106,0.064,0.062,0.045,0.031,0.152
"P48","Lo votaría",0.719,0.066,0.047,0.338,0.113,0.181
"P48","Puede que lo vote",0.13,0.042,0.06,0.162,0.059,0.132
"P48","Nunca lo votaría",0.119,0.878,0.87,0.418,0.818,0.616
"P48","No sabe",0.032,0.014,0.023,0.082,0.01,0.071
"P49","Si",0.661,0.567,0.564,0.588,0.49,0.562
"P49","No",0.339,0.433,0.436,0.412,0.51,0.438
