"var","categoria","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.059,0.128,0.496,0.097,0.082,0.074,0.013,0.002,0.013
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.073,0.155,0.071,0.335,0.054,0.062,0.004,0.016,0.007
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.006,0.003,0.018,0.264,0.519,0.014,0.006,0.026,0.007
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.039,0.049,0.169,0.05,0.207,0.522,0.036,0.017,0.01
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.027,0.005,0,0.033,0.035,0.001,0.755,0.041,0.01
"P16","En blanco",0.013,0.004,0.003,0.016,0.008,0.001,0.063,0.621,0.027
"P16","No sabe",0.036,0.009,0.013,0.01,0.008,0.009,0.013,0.065,0.744
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.841,0.051,0.065,0.121,0.122,0.079,0.188,0.295,0.299
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.047,0.785,0.193,0.182,0.246,0.062,0.013,0.064,0.051
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.021,0.061,0.468,0.223,0.214,0.01,0.033,0.01,0.034
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.03,0.063,0.252,0.098,0.094,0.835,0.022,0.041,0.033
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.021,0.003,0.009,0.081,0.04,0.002,0.574,0.051,0.005
"P17","En blanco",0.006,0.012,0.002,0.103,0.14,0.004,0.01,0.51,0.019
"P17","No sabe",0.034,0.025,0.011,0.192,0.144,0.008,0.16,0.029,0.559
"P18","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.063,0.056,0.199,0.138,0.077,0.734,0.054,0.041,0.021
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.79,0.105,0.081,0.1,0.082,0.069,0.196,0.165,0.268
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.053,0.704,0.201,0.146,0.246,0.105,0.021,0.106,0.1
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.026,0.094,0.486,0.202,0.194,0.051,0.044,0.002,0.018
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.013,0.003,0.01,0.085,0.083,0.001,0.431,0.033,0.005
"P18","En blanco",0.011,0.01,0.008,0.11,0.151,0.024,0.03,0.56,0.048
"P18","No sabe",0.044,0.028,0.015,0.219,0.167,0.016,0.224,0.093,0.54
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.766,0.049,0.076,0.102,0.079,0.105,0.159,0.212,0.278
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.087,0.716,0.177,0.172,0.263,0.117,0.015,0.088,0.097
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.029,0.123,0.454,0.201,0.215,0.015,0.016,0.015,0.038
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.031,0.075,0.26,0.11,0.114,0.741,0.081,0.028,0.021
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.022,0.006,0.004,0.072,0.061,0.004,0.507,0.036,0.003
"P19","En blanco",0.014,0.006,0.002,0.134,0.135,0.006,0.045,0.513,0.014
"P19","No sabe",0.051,0.025,0.027,0.209,0.133,0.012,0.177,0.108,0.549
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.822,0.048,0.094,0.232,0.094,0.09,0.135,0.218,0.367
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.045,0.821,0.473,0.248,0.389,0.068,0.027,0.075,0.083
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.049,0.071,0.269,0.138,0.13,0.82,0.114,0.078,0.044
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.009,0.016,0.089,0.021,0.006,0.574,0.101,0.013
"P20","En blanco",0.016,0.007,0.032,0.05,0.179,0.005,0.026,0.397,0.023
"P20","No sabe",0.045,0.044,0.116,0.243,0.187,0.011,0.124,0.131,0.47
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.669,0.094,0.141,0.17,0.08,0.133,0.04,0.229,0.3
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.106,0.7,0.436,0.314,0.348,0.141,0.006,0.073,0.096
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.127,0.138,0.277,0.16,0.155,0.705,0.11,0.06,0.047
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.031,0.005,0.012,0.07,0.022,0.007,0.665,0.099,0.011
"P23","En blanco",0.014,0.015,0.044,0.046,0.175,0.004,0.059,0.406,0.036
"P23","No sabe",0.053,0.048,0.09,0.24,0.22,0.01,0.12,0.133,0.51
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.796,0.067,0.097,0.173,0.069,0.102,0.105,0.224,0.301
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.058,0.448,0.607,0.377,0.364,0.05,0.053,0.029,0.043
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.06,0.227,0.258,0.146,0.143,0.82,0.063,0.073,0.067
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.021,0.009,0.009,0.055,0.091,0.005,0.667,0.089,0.009
"P24","En blanco",0.023,0.083,0.009,0.085,0.141,0.008,0.051,0.444,0.04
"P24","No sabe",0.042,0.166,0.02,0.164,0.192,0.015,0.061,0.141,0.54
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.68,0.076,0.094,0.176,0.065,0.151,0.08,0.224,0.312
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.116,0.425,0.571,0.35,0.39,0.111,0.027,0.026,0.051
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.111,0.25,0.279,0.149,0.135,0.706,0.054,0.057,0.071
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.01,0.007,0.053,0.056,0.011,0.648,0.088,0.005
"P27","En blanco",0.021,0.094,0.023,0.113,0.158,0.012,0.129,0.486,0.062
"P27","No sabe",0.049,0.145,0.026,0.159,0.196,0.009,0.062,0.119,0.499
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.804,0.058,0.07,0.101,0.059,0.064,0.126,0.064,0.149
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.052,0.788,0.536,0.329,0.396,0.142,0.04,0.09,0.098
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.067,0.076,0.227,0.125,0.124,0.771,0.043,0.094,0.077
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.019,0.007,0.013,0.063,0.058,0.004,0.673,0.11,0.004
"P28","En blanco",0.019,0.025,0.055,0.132,0.178,0.005,0.022,0.538,0.075
"P28","No sabe",0.039,0.046,0.099,0.25,0.185,0.014,0.096,0.104,0.597
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.694,0.043,0.086,0.074,0.053,0.217,0.124,0.139,0.134
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.189,0.428,0.512,0.373,0.363,0.045,0.035,0.036,0.09
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.044,0.336,0.319,0.16,0.168,0.707,0.04,0.106,0.059
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.009,0.017,0.063,0.058,0.006,0.67,0.077,0.016
"P29","En blanco",0.018,0.072,0.018,0.074,0.139,0.006,0.072,0.535,0.072
"P29","No sabe",0.038,0.112,0.048,0.256,0.219,0.019,0.059,0.107,0.629
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.781,0.082,0.073,0.174,0.053,0.108,0.208,0.195,0.285
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.075,0.749,0.52,0.332,0.461,0.123,0.036,0.123,0.098
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.075,0.097,0.281,0.106,0.117,0.758,0.034,0.111,0.036
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.012,0.009,0.016,0.109,0.105,0.004,0.671,0.112,0.01
"P30","En blanco",0.015,0.031,0.041,0.121,0.121,0.002,0.014,0.436,0.056
"P30","No sabe",0.042,0.032,0.069,0.158,0.143,0.005,0.037,0.023,0.515
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.76,0.095,0.13,0.145,0.065,0.16,0.221,0.285,0.259
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.092,0.463,0.54,0.319,0.392,0.106,0.016,0.05,0.094
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.093,0.263,0.268,0.196,0.149,0.72,0.062,0.127,0.067
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.008,0.01,0.108,0.106,0.003,0.619,0.035,0.004
"P33","En blanco",0.019,0.074,0.028,0.053,0.138,0.004,0.038,0.404,0.062
"P33","No sabe",0.027,0.097,0.024,0.179,0.15,0.007,0.044,0.099,0.514
"P34","Sergio Massa por el Frente de Todos",0.835,0.035,0.097,0.266,0.126,0.108,0.321,0.293,0.391
"P34","Patricia Bullrich por Juntos por el Cambio",0.061,0.943,0.745,0.431,0.574,0.48,0.145,0.126,0.156
"P34","En blanco",0.046,0.01,0.081,0.157,0.204,0.252,0.293,0.489,0.067
"P34","No sabe",0.058,0.012,0.077,0.146,0.096,0.16,0.241,0.092,0.386
"P35","Sergio Massa por el Frente de Todos",0.846,0.044,0.098,0.291,0.146,0.093,0.364,0.294,0.413
"P35","Javier Milei por la Libertad Avanza",0.057,0.656,0.541,0.302,0.317,0.786,0.148,0.138,0.074
"P35","En blanco",0.052,0.128,0.19,0.171,0.376,0.075,0.352,0.478,0.083
"P35","No sabe",0.045,0.172,0.171,0.236,0.161,0.046,0.136,0.09,0.43
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.228,0.448,0.65,0.407,0.519,0.059,0.118,0.102,0.136
"P36","Javier Milei por la Libertad Avanza",0.065,0.352,0.265,0.169,0.163,0.856,0.086,0.072,0.07
"P36","En blanco",0.488,0.091,0.062,0.238,0.16,0.056,0.63,0.673,0.302
"P36","No sabe",0.219,0.109,0.023,0.186,0.158,0.029,0.166,0.153,0.492
"P37","Javier Milei por la Libertad Avanza",0.096,0.138,0.302,0.217,0.19,0.608,0.101,0.081,0.057
"P37","Patricia Bullrich por Juntos por el Cambio",0.088,0.769,0.575,0.448,0.504,0.31,0.056,0.064,0.184
"P37","En blanco",0.621,0.045,0.074,0.221,0.156,0.06,0.678,0.751,0.366
"P37","No sabe",0.195,0.048,0.049,0.114,0.15,0.022,0.165,0.104,0.393
"P38","Sergio Massa por el Frente de Todos",0.772,0.079,0.089,0.315,0.176,0.166,0.267,0.217,0.37
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.069,0.668,0.735,0.446,0.594,0.273,0.118,0.087,0.1
"P38","En blanco",0.105,0.14,0.132,0.135,0.151,0.399,0.471,0.631,0.139
"P38","No sabe",0.054,0.113,0.044,0.104,0.079,0.162,0.144,0.065,0.391
"P39","Agustín Rossi por el Frente de Todos",0.849,0.047,0.055,0.211,0.068,0.094,0.371,0.271,0.25
"P39","Patricia Bullrich por Juntos por el Cambio",0.073,0.847,0.766,0.496,0.628,0.487,0.107,0.128,0.168
"P39","En blanco",0.036,0.045,0.114,0.148,0.188,0.288,0.429,0.518,0.16
"P39","No sabe",0.042,0.061,0.065,0.145,0.116,0.131,0.093,0.083,0.422
"P40","Daniel Scioli por el Frente de Todos",0.858,0.037,0.071,0.256,0.048,0.103,0.409,0.235,0.409
"P40","Patricia Bullrich por Juntos por el Cambio",0.07,0.936,0.781,0.506,0.608,0.555,0.121,0.16,0.186
"P40","En blanco",0.043,0.012,0.098,0.099,0.221,0.246,0.386,0.401,0.107
"P40","No sabe",0.029,0.015,0.05,0.139,0.123,0.096,0.084,0.204,0.298
"P41","Lo votaría",0.464,0.195,0.205,0.2,0.168,0.193,0.082,0.219,0.245
"P41","Puede que lo vote",0.366,0.076,0.072,0.22,0.078,0.077,0.293,0.104,0.205
"P41","Nunca lo votaría",0.122,0.699,0.684,0.524,0.737,0.662,0.508,0.485,0.331
"P41","No sabe",0.048,0.03,0.039,0.056,0.017,0.068,0.117,0.192,0.219
"P42","Lo votaría",0.087,0.823,0.461,0.228,0.272,0.218,0.078,0.158,0.133
"P42","Puede que lo vote",0.057,0.065,0.343,0.332,0.271,0.357,0.039,0.047,0.077
"P42","Nunca lo votaría",0.826,0.106,0.18,0.385,0.446,0.368,0.853,0.754,0.693
"P42","No sabe",0.03,0.006,0.016,0.055,0.011,0.057,0.03,0.041,0.097
"P43","Lo votaría",0.051,0.287,0.314,0.107,0.084,0.716,0.017,0.119,0.035
"P43","Puede que lo vote",0.037,0.403,0.293,0.286,0.273,0.121,0.168,0.085,0.103
"P43","Nunca lo votaría",0.877,0.272,0.362,0.56,0.595,0.148,0.815,0.714,0.758
"P43","No sabe",0.035,0.038,0.031,0.047,0.048,0.015,0,0.082,0.104
"P44","Lo votaría",0.039,0.3,0.626,0.249,0.272,0.134,0.008,0.023,0.027
"P44","Puede que lo vote",0.102,0.39,0.167,0.411,0.448,0.185,0.164,0.097,0.132
"P44","Nunca lo votaría",0.814,0.277,0.18,0.324,0.229,0.637,0.821,0.778,0.699
"P44","No sabe",0.045,0.033,0.027,0.016,0.051,0.044,0.007,0.102,0.142
"P45","Lo votaría",0.443,0.074,0.17,0.114,0.078,0.084,0.119,0.102,0.214
"P45","Puede que lo vote",0.259,0.117,0.077,0.319,0.179,0.094,0.186,0.168,0.159
"P45","Nunca lo votaría",0.258,0.792,0.727,0.511,0.709,0.786,0.63,0.65,0.46
"P45","No sabe",0.04,0.017,0.026,0.056,0.034,0.036,0.065,0.08,0.167
"P46","Lo votaría",0.549,0.029,0.044,0.067,0.022,0.07,0.119,0.073,0.11
"P46","Puede que lo vote",0.292,0.035,0.041,0.148,0.049,0.041,0.225,0.261,0.316
"P46","Nunca lo votaría",0.12,0.907,0.886,0.718,0.854,0.84,0.564,0.641,0.42
"P46","No sabe",0.039,0.029,0.029,0.067,0.075,0.049,0.092,0.025,0.154
"P47","Lo votaría",0.133,0.077,0.103,0.511,0.182,0.063,0.077,0.019,0.044
"P47","Puede que lo vote",0.263,0.274,0.285,0.165,0.395,0.167,0.278,0.182,0.189
"P47","Nunca lo votaría",0.507,0.587,0.547,0.309,0.364,0.689,0.591,0.752,0.552
"P47","No sabe",0.097,0.062,0.065,0.015,0.059,0.081,0.054,0.047,0.215
"P48","Lo votaría",0.747,0.048,0.044,0.122,0.12,0.106,0.328,0.256,0.327
"P48","Puede que lo vote",0.094,0.04,0.06,0.172,0.062,0.067,0.145,0.246,0.238
"P48","Nunca lo votaría",0.137,0.899,0.868,0.697,0.801,0.792,0.431,0.475,0.344
"P48","No sabe",0.022,0.013,0.028,0.009,0.017,0.035,0.096,0.023,0.091
"P49","Si",0.653,0.568,0.56,0.545,0.485,0.567,0.635,0.586,0.612
"P49","No",0.347,0.432,0.44,0.455,0.515,0.433,0.365,0.414,0.388
