"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P21","Nunca lo votaría",0.853,0.654,0.211,0.608,0.646
"P21","No sabe",0.067,0.072,0.045,0.116,0.126
"P22","La votaría",0.057,0.329,0.107,0.153,0.095
"P22","Puede que la vote",0.052,0.339,0.235,0.092,0.21
"P22","Nunca la votaría",0.816,0.261,0.567,0.702,0.532
"P22","No sabe",0.075,0.071,0.091,0.053,0.163
"P23","Lo votaría",0.217,0.055,0.047,0.081,0.049
"P23","Puede que lo vote",0.419,0.034,0.089,0.188,0.084
"P23","Nunca lo votaría",0.24,0.886,0.803,0.562,0.731
"P23","No sabe",0.124,0.025,0.061,0.169,0.136
"P24","Lo votaría",0.016,0.098,0.04,0.116,0.062
"P24","Puede que lo vote",0.059,0.239,0.149,0.139,0.157
"P24","Nunca lo votaría",0.798,0.524,0.648,0.502,0.483
"P24","No sabe",0.127,0.139,0.163,0.243,0.298
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.036,0.624,0.064,0.212,0.014
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.03,0.242,0.107,0.131,0.192
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.092,0.023,0.031,0.108,0.057
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.802,0.033,0.098,0.271,0.012
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.014,0.018,0.666,0.021,0.17
"P25","Otros candidatos",0.026,0.06,0.034,0.257,0.555
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.087,0.622,0.124,0.139,0.197
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.589,0.079,0.056,0.136,0.079
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.01,0.066,0.74,0.137,0.124
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.046,0.017,0.012,0.438,0.011
"P31","Otro candidato",0.268,0.216,0.068,0.15,0.589
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.645,0.061,0.107,0.167,0.056
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.077,0.782,0.152,0.184,0.234
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.012,0.048,0.649,0.109,0.135
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.031,0.009,0.011,0.375,0.007
"P33","Otro candidato",0.235,0.1,0.081,0.165,0.568
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.897,0.079,0.122,0.444,0.085
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.072,0.849,0.413,0.216,0.301
"P35","No sabe",0.031,0.072,0.465,0.34,0.614
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.734,0.053,0.118,0.377,0.088
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.062,0.737,0.417,0.225,0.411
"P36","No sabe",0.204,0.21,0.465,0.398,0.501
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.725,0.043,0.14,0.317,0.086
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.055,0.848,0.506,0.194,0.392
"P37","No sabe",0.22,0.109,0.354,0.489,0.522
"P38","Muy buena",0.117,0.025,0.051,0.171,0.015
"P38","Buena",0.334,0.104,0.068,0.146,0.131
"P38","Ni buena ni mala",0.348,0.047,0.053,0.264,0.179
"P38","Mala",0.114,0.057,0.133,0.202,0.136
"P38","Muy mala",0.073,0.767,0.686,0.217,0.512
"P38","No sabe",0.014,0,0.009,0,0.027
"P39","Muy buena",0.097,0.017,0.038,0.09,0.027
"P39","Buena",0.356,0.02,0.058,0.08,0.059
"P39","Ni buena ni mala",0.337,0.054,0.097,0.291,0.13
"P39","Mala",0.106,0.069,0.098,0.268,0.162
"P39","Muy mala",0.1,0.84,0.697,0.271,0.591
"P39","No sabe",0.004,0,0.012,0,0.031
"P40","Muy buena",0.646,0.032,0.066,0.207,0.023
"P40","Buena",0.182,0.013,0.037,0.114,0.04
"P40","Ni buena ni mala",0.09,0.021,0.039,0.196,0.085
"P40","Mala",0.018,0.032,0.061,0.118,0.092
"P40","Muy mala",0.057,0.901,0.784,0.339,0.716
"P40","No sabe",0.007,0.001,0.013,0.026,0.044
"P41","Muy buena",0.043,0.374,0.066,0.087,0.025
"P41","Buena",0.029,0.298,0.145,0.1,0.107
"P41","Ni buena ni mala",0.045,0.155,0.263,0.18,0.233
"P41","Mala",0.156,0.064,0.255,0.126,0.277
"P41","Muy mala",0.713,0.1,0.27,0.505,0.314
"P41","No sabe",0.014,0.009,0.001,0.002,0.044
"P42","Muy buena",0.026,0.327,0.1,0.122,0.101
"P42","Buena",0.068,0.396,0.19,0.067,0.247
"P42","Ni buena ni mala",0.138,0.171,0.276,0.285,0.269
"P42","Mala",0.181,0.05,0.146,0.136,0.145
"P42","Muy mala",0.571,0.045,0.276,0.386,0.172
"P42","No sabe",0.016,0.011,0.012,0.004,0.066
"P43","Muy buena",0.135,0.033,0.02,0.066,0.026
"P43","Buena",0.316,0.031,0.084,0.176,0.064
"P43","Ni buena ni mala",0.371,0.054,0.16,0.3,0.161
"P43","Mala",0.071,0.174,0.116,0.202,0.212
"P43","Muy mala",0.099,0.692,0.609,0.251,0.47
"P43","No sabe",0.008,0.016,0.011,0.005,0.067
"P44","Muy buena",0.023,0.035,0.386,0.093,0.047
"P44","Buena",0.035,0.127,0.263,0.129,0.052
"P44","Ni buena ni mala",0.08,0.336,0.189,0.199,0.275
"P44","Mala",0.151,0.188,0.079,0.132,0.207
"P44","Muy mala",0.662,0.3,0.083,0.447,0.342
"P44","No sabe",0.049,0.014,0,0,0.077
"P45","Muy buena",0.013,0.395,0.096,0.105,0.104
"P45","Buena",0.038,0.33,0.184,0.099,0.177
"P45","Ni buena ni mala",0.075,0.152,0.216,0.242,0.259
"P45","Mala",0.134,0.052,0.187,0.094,0.173
"P45","Muy mala",0.724,0.067,0.31,0.444,0.254
"P45","No sabe",0.016,0.004,0.007,0.016,0.033
"P46","Muy buena",0.139,0.04,0.028,0.044,0.054
"P46","Buena",0.387,0.064,0.101,0.165,0.081
"P46","Ni buena ni mala",0.337,0.08,0.1,0.222,0.159
"P46","Mala",0.051,0.129,0.098,0.223,0.181
"P46","Muy mala",0.075,0.679,0.666,0.323,0.452
"P46","No sabe",0.011,0.008,0.007,0.023,0.073
"P47","Muy buena",0.01,0.073,0.044,0.035,0.045
"P47","Buena",0.058,0.2,0.099,0.082,0.096
"P47","Ni buena ni mala",0.191,0.369,0.26,0.3,0.344
"P47","Mala",0.169,0.096,0.136,0.224,0.132
"P47","Muy mala",0.47,0.205,0.334,0.305,0.219
"P47","No sabe",0.102,0.057,0.127,0.054,0.164
