"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Javier Milei presidente – José Luis Espert por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P11","A Cristina Fernández de Kirchner",0.426,0.708,0.205,0.748,0.652
"P12","A Horacio Rodriguez Larreta",0.298,0.255,0.136,0.475,0.096
"P12","A Mauricio Macri",0.31,0.294,0.429,0.41,0.328
"P12","A Patricia Bullrich",0.245,0.192,0.297,0,0.347
"P12","A Facundo Manes",0.072,0.144,0.088,0.035,0.102
"P12","A Gerardo Morales",0.075,0.115,0.05,0.08,0.127
"P13","Seguro lo votaria",0.185,0.183,0.445,0.259,0.096
"P13","Quizás lo votaría",0.286,0.137,0.327,0.114,0.231
"P13","Nunca lo votaría",0.529,0.68,0.228,0.627,0.673
"P14","Lo votaría",0.394,0.037,0.178,0.04,0.188
"P14","Puede que lo vote",0.261,0.032,0.322,0.108,0.132
"P14","Nunca lo votaría",0.283,0.915,0.442,0.805,0.603
"P14","No sabe",0.062,0.016,0.058,0.047,0.077
"P15","Lo votaría",0.054,0.197,0.073,0.109,0.067
"P15","Puede que lo vote",0.086,0.464,0.102,0.285,0.177
"P15","Nunca lo votaría",0.82,0.235,0.779,0.5,0.632
"P15","No sabe",0.04,0.104,0.046,0.106,0.124
"P16","Lo votaría",0.033,0.355,0.04,0.083,0.054
"P16","Puede que lo vote",0.071,0.422,0.051,0.253,0.177
"P16","Nunca lo votaría",0.856,0.138,0.892,0.442,0.648
"P16","No sabe",0.04,0.085,0.017,0.222,0.121
"P17","La votaría",0.064,0.751,0.056,0.425,0.259
"P17","Puede que la vote",0.043,0.092,0.046,0.169,0.082
"P17","Nunca la votaría",0.879,0.129,0.885,0.303,0.577
"P17","No sabe",0.014,0.028,0.013,0.103,0.082
"P18","Lo votaría",0.469,0.036,0.137,0.075,0.068
"P18","Puede que lo vote",0.35,0.091,0.29,0.085,0.227
"P18","Nunca lo votaría",0.149,0.805,0.502,0.715,0.578
"P18","No sabe",0.032,0.068,0.071,0.125,0.127
"P19","Lo votaría",0.208,0.028,0.101,0.094,0.078
"P19","Puede que lo vote",0.325,0.127,0.244,0.161,0.182
"P19","Nunca lo votaría",0.361,0.688,0.551,0.547,0.587
"P19","No sabe",0.106,0.157,0.104,0.198,0.153
"P20","La votaría",0.434,0.038,0.322,0.086,0.217
"P20","Puede que la vote",0.261,0.039,0.332,0.064,0.14
"P20","Nunca la votaría",0.269,0.882,0.294,0.77,0.557
"P20","No sabe",0.036,0.041,0.052,0.08,0.086
"P21","Lo votaría",0.043,0.036,0.622,0.03,0.049
"P21","Puede que lo vote",0.213,0.03,0.236,0.097,0.117
"P21","Nunca lo votaría",0.663,0.862,0.111,0.756,0.733
"P21","No sabe",0.081,0.072,0.031,0.117,0.101
"P22","La votaría",0.321,0.064,0.129,0.046,0.094
"P22","Puede que la vote",0.311,0.058,0.248,0.039,0.194
"P22","Nunca la votaría",0.29,0.799,0.547,0.853,0.585
"P22","No sabe",0.078,0.079,0.076,0.062,0.127
"P23","Lo votaría",0.031,0.293,0.035,0.074,0.058
"P23","Puede que lo vote",0.052,0.391,0.061,0.257,0.185
"P23","Nunca lo votaría",0.888,0.21,0.871,0.436,0.614
"P23","No sabe",0.029,0.106,0.033,0.233,0.143
"P24","Lo votaría",0.089,0.038,0.05,0.099,0.037
"P24","Puede que lo vote",0.274,0.066,0.154,0.072,0.107
"P24","Nunca lo votaría",0.462,0.766,0.65,0.58,0.645
"P24","No sabe",0.175,0.13,0.146,0.249,0.211
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.415,0.041,0.126,0.119,0.218
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.442,0.019,0.028,0.055,0.034
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.006,0.195,0.031,0.071,0.009
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.059,0.688,0.017,0.403,0.315
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.022,0.011,0.752,0.028,0.037
"P25","Otros candidatos",0.056,0.046,0.046,0.324,0.387
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.102,0.768,0.017,0.286,0.297
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.64,0.091,0.102,0.093,0.21
"P29","Javier Milei – José Luis Espert por los liberales",0.078,0.039,0.694,0.042,0.04
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.032,0.035,0.047,0.536,0.033
"P29","Otro candidato",0.148,0.067,0.14,0.043,0.42
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.119,0.657,0.036,0.245,0.174
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.72,0.1,0.156,0.065,0.27
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.034,0.019,0.784,0.011,0.018
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.005,0.018,0.007,0.615,0.002
"P33","Otro candidato",0.122,0.206,0.017,0.064,0.536
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.09,0.85,0.038,0.606,0.361
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.748,0.06,0.54,0.076,0.3
"P35","No sabe",0.162,0.09,0.422,0.318,0.339
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.058,0.881,0.032,0.429,0.176
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.847,0.04,0.46,0.106,0.223
"P36","No sabe",0.095,0.079,0.508,0.465,0.601
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.067,0.743,0.058,0.475,0.245
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.767,0.053,0.611,0.116,0.325
"P37","No sabe",0.166,0.204,0.331,0.409,0.43
"P38","Muy buena",0.018,0.169,0.009,0.084,0.051
"P38","Buena",0.113,0.354,0.096,0.125,0.142
"P38","Ni buena ni mala",0.077,0.317,0.04,0.402,0.211
"P38","Mala",0.093,0.075,0.125,0.221,0.135
"P38","Muy mala",0.692,0.074,0.721,0.168,0.443
"P38","No sabe",0.007,0.011,0.009,0,0.018
"P39","Muy buena",0.007,0.148,0.006,0.067,0.037
"P39","Buena",0.033,0.418,0.028,0.113,0.079
"P39","Ni buena ni mala",0.083,0.274,0.044,0.451,0.225
"P39","Mala",0.109,0.094,0.087,0.218,0.142
"P39","Muy mala",0.766,0.064,0.826,0.151,0.491
"P39","No sabe",0.002,0.002,0.009,0,0.026
"P40","Muy buena",0.04,0.572,0.021,0.429,0.237
"P40","Buena",0.02,0.208,0.007,0.134,0.066
"P40","Ni buena ni mala",0.027,0.094,0.019,0.163,0.101
"P40","Mala",0.049,0.036,0.065,0.027,0.055
"P40","Muy mala",0.853,0.084,0.887,0.214,0.508
"P40","No sabe",0.011,0.006,0.001,0.033,0.033
"P41","Muy buena",0.221,0.045,0.088,0.098,0.172
"P41","Buena",0.273,0.026,0.181,0.065,0.097
"P41","Ni buena ni mala",0.192,0.072,0.277,0.118,0.121
"P41","Mala",0.142,0.195,0.221,0.101,0.15
"P41","Muy mala",0.167,0.649,0.232,0.615,0.42
"P41","No sabe",0.005,0.013,0.001,0.003,0.04
"P42","Muy buena",0.364,0.029,0.055,0.073,0.086
"P42","Buena",0.393,0.082,0.204,0.052,0.182
"P42","Ni buena ni mala",0.153,0.126,0.316,0.21,0.251
"P42","Mala",0.032,0.182,0.151,0.215,0.152
"P42","Muy mala",0.051,0.559,0.263,0.445,0.278
"P42","No sabe",0.007,0.022,0.011,0.005,0.051
"P43","Muy buena",0.042,0.129,0,0.084,0.062
"P43","Buena",0.053,0.336,0.046,0.157,0.121
"P43","Ni buena ni mala",0.085,0.369,0.134,0.385,0.191
"P43","Mala",0.2,0.071,0.151,0.203,0.131
"P43","Muy mala",0.614,0.077,0.659,0.171,0.442
"P43","No sabe",0.006,0.018,0.01,0,0.053
"P44","Muy buena",0.024,0.035,0.376,0.061,0.04
"P44","Buena",0.1,0.051,0.275,0.031,0.066
"P44","Ni buena ni mala",0.345,0.102,0.204,0.188,0.188
"P44","Mala",0.227,0.164,0.052,0.123,0.161
"P44","Muy mala",0.29,0.599,0.093,0.597,0.476
"P44","No sabe",0.014,0.049,0,0,0.069
"P45","Muy buena",0.339,0.013,0.105,0.031,0.149
"P45","Buena",0.32,0.027,0.212,0.073,0.144
"P45","Ni buena ni mala",0.16,0.123,0.243,0.16,0.155
"P45","Mala",0.075,0.158,0.16,0.115,0.125
"P45","Muy mala",0.097,0.662,0.272,0.616,0.402
"P45","No sabe",0.009,0.017,0.008,0.005,0.025
"P46","Muy buena",0.049,0.172,0.01,0.017,0.054
"P46","Buena",0.073,0.434,0.07,0.156,0.132
"P46","Ni buena ni mala",0.12,0.241,0.099,0.361,0.232
"P46","Mala",0.136,0.053,0.115,0.186,0.138
"P46","Muy mala",0.601,0.081,0.699,0.251,0.409
"P46","No sabe",0.021,0.019,0.007,0.029,0.035
"P47","Muy buena",0.068,0.026,0.022,0.071,0.033
"P47","Buena",0.235,0.052,0.092,0.049,0.068
"P47","Ni buena ni mala",0.398,0.213,0.242,0.287,0.27
"P47","Mala",0.085,0.174,0.132,0.186,0.162
"P47","Muy mala",0.137,0.43,0.381,0.351,0.35
"P47","No sabe",0.077,0.105,0.131,0.056,0.117
